year,ndgain_vulnerability,fao_undernourishment_pct
1995,0.576220664142081,NA
1996,0.574860698843949,NA
1997,0.580283441140606,NA
1998,0.570722467727366,NA
1999,0.568324982370442,NA
2000,0.565245405781607,NA
2001,0.567012547134796,NA
2002,0.563576438147786,15.5
2003,0.563864958069721,14.6
2004,0.56343042850156,14.8
2005,0.560102618247176,14.7
2006,0.554115989577631,15.1
2007,0.563409511108052,15.4
2008,0.557822556460093,16.1
2009,0.556202464707568,16.9
2010,0.554066162157698,17.9
2011,0.553562045951478,18.2
2012,0.544983490051936,18
2013,0.544997102461483,17.3
2014,0.548921522578754,16.7
2015,0.538382156514073,15.6
2016,0.534508970977934,15.2
2017,0.529671189784003,14.4
2018,0.528898395231602,13.4
2019,0.529206492636317,12
2020,0.528183627327675,10.9
2021,0.557245693286426,10.8
2022,0.568568181856243,10.3
2023,0.568382610178076,10.6
2024,NA,10.4
