country,iso3,income,readiness,undernourishment,H,marg0,alloc_M,lifted,funded
India,IND,Lower middle income,0.395,12.0,171050785.44,9672.689,15995.768,101821665.576,True
Pakistan,PAK,Lower middle income,0.307,16.5,40210610.055,7517.191,3489.922,19269675.479,True
China,CHN,Upper middle income,0.553,2.5,35304375.0,13548.751,3235.083,25103434.038,True
Nigeria,NGA,Lower middle income,0.246,19.9,44407028.304,6035.338,3184.945,15602477.907,True
Ethiopia,ETH,Low income,0.294,19.7,24700704.539,7196.965,2089.778,11264676.828,True
Kenya,KEN,Lower middle income,0.305,36.8,19964905.648,7475.885,1727.635,9510107.632,True
Indonesia,IDN,Upper middle income,0.393,6.3,17566323.327,9628.332,1641.892,10423978.641,True
Bangladesh,BGD,Lower middle income,0.275,10.4,17436520.816,6741.551,1405.781,7311149.749,True
Madagascar,MDG,Low income,0.264,39.5,12022718.095,6468.982,933.443,4746969.342,True
Uganda,UGA,Low income,0.284,22.0,10408798.18,6959.145,860.46,4553410.67,True
Afghanistan,AFG,Low income,0.25,28.1,11402654.602,6113.968,831.441,4101462.537,True
Zambia,ZMB,Lower middle income,0.334,37.2,7496892.936,8176.776,675.289,3907589.367,True
South Africa,ZAF,Upper middle income,0.355,10.0,6237841.0,8709.298,572.713,3433943.607,True
Iraq,IRQ,Upper middle income,0.305,14.9,6566512.099,7477.522,568.292,3128653.487,True
Mozambique,MOZ,Low income,0.263,21.8,7119061.628,6440.803,550.316,2791994.074,True
Angola,AGO,Lower middle income,0.272,22.5,6802838.775,6657.909,542.598,2802808.547,True
Syrian Arab Republic,SYR,Low income,0.223,39.0,8760247.47,5453.089,532.409,2471201.47,True
Viet Nam,VNM,Lower middle income,0.429,5.3,5283074.715,10518.801,496.423,3316857.526,True
Brazil,BRA,Upper middle income,0.35,2.5,5257660.375,8585.092,480.907,2860160.749,True
Sudan,SDN,Low income,0.253,11.0,5432168.06,6198.109,402.696,2001134.55,True
Malawi,MWI,Low income,0.287,21.4,4401707.792,7029.483,366.531,1950338.252,True
Haiti,HTI,Lower middle income,0.217,54.2,6234954.452,5323.985,360.062,1650291.214,True
Russian Federation,RUS,High income,0.495,2.5,3605923.325,12123.118,336.212,2441494.033,True
Mexico,MEX,Upper middle income,0.359,2.7,3472554.159,8806.98,319.686,1928960.538,True
Rwanda,RWA,Low income,0.429,24.4,3330851.32,10498.491,312.975,2088800.576,True
Philippines,PHL,Lower middle income,0.347,3.0,3418930.14,8502.466,311.872,1844743.286,True
Thailand,THA,Upper middle income,0.484,4.6,3299825.134,11864.154,308.382,2210982.458,True
Niger,NER,Low income,0.342,12.9,3265244.517,8387.431,296.635,1741199.743,True
Ukraine,UKR,Upper middle income,0.405,6.9,2832364.854,9933.774,265.5,1716154.881,True
Morocco,MAR,Lower middle income,0.431,7.0,2613034.48,10556.949,245.542,1644048.109,True
Papua New Guinea,PNG,Lower middle income,0.286,28.7,2928309.503,7010.698,243.376,1293125.184,True
Burkina Faso,BFA,Low income,0.281,13.1,2948683.978,6879.155,241.637,1270636.946,True
Mali,MLI,Low income,0.284,12.3,2837934.72,6960.406,234.634,1241765.975,True
Myanmar,MMR,Lower middle income,0.257,5.4,2902866.498,6284.608,218.634,1094610.86,True
Peru,PER,Upper middle income,0.385,6.9,2309805.222,9420.649,215.306,1349950.464,True
Chad,TCD,Low income,0.187,32.0,5905701.12,4591.715,205.126,870608.294,True
Ecuador,ECU,Upper middle income,0.343,12.1,2156691.537,8395.504,195.986,1151029.059,True
Ghana,GHA,Lower middle income,0.345,6.3,2088396.576,8456.52,190.199,1121606.302,True
Zimbabwe,ZWE,Lower middle income,0.22,19.7,3165604.032,5393.66,188.08,867953.219,True
Colombia,COL,Upper middle income,0.374,3.9,2017779.816,9159.458,187.255,1155367.433,True
Guatemala,GTM,Upper middle income,0.314,11.8,2106049.486,7683.697,184.83,1033025.848,True
Germany,DEU,High income,0.685,2.5,2094949.625,16794.316,181.658,1606609.705,True
Benin,BEN,Lower middle income,0.338,14.3,1967608.643,8283.101,178.028,1037664.753,True
Sierra Leone,SLE,Low income,0.299,24.1,1994710.487,7316.522,170.495,927411.335,True
Liberia,LBR,Low income,0.278,35.5,1907519.37,6813.252,155.133,811481.748,True
Sri Lanka,LKA,Lower middle income,0.378,7.4,1641394.0,9267.234,152.626,948010.197,True
Jordan,JOR,Lower middle income,0.41,14.3,1609645.609,10037.951,150.992,981881.983,True
France,FRA,High income,0.651,2.5,1701625.375,15960.039,149.832,1284236.408,True
Nepal,NPL,Lower middle income,0.36,5.3,1574918.108,8808.682,144.995,874982.636,True
Argentina,ARG,Upper middle income,0.369,3.4,1543868.736,9034.034,142.908,874847.904,True
Guinea,GIN,Lower middle income,0.307,11.4,1602285.618,7526.179,139.152,768841.722,True
Italy,ITA,High income,0.53,2.5,1475341.675,12990.042,136.223,1030717.534,True
Honduras,HND,Lower middle income,0.262,14.8,1548653.056,6430.061,119.512,605786.939,True
Spain,ESP,High income,0.527,2.5,1194652.55,12909.594,110.419,832376.195,True
Algeria,DZA,Upper middle income,0.337,2.5,1136934.725,8257.414,102.762,597917.745,True
Cameroon,CMR,Lower middle income,0.262,4.8,1326373.008,6413.185,102.084,516712.713,True
Libyan Arab Jamahiriya,LBY,Upper middle income,0.299,16.5,1191927.825,7319.333,101.901,554414.24,True
Nicaragua,NIC,Lower middle income,0.27,17.0,1144211.18,6608.311,90.653,466371.948,True
Canada,CAN,High income,0.646,2.5,973398.35,15833.444,85.906,732726.001,True
Poland,POL,High income,0.532,2.5,920543.725,13044.759,84.937,644282.88,True
Senegal,SEN,Lower middle income,0.351,5.1,900206.253,8595.898,82.368,490227.147,True
Uzbekistan,UZB,Lower middle income,0.418,2.5,873473.875,10250.307,82.022,539875.427,True
Malaysia,MYS,Upper middle income,0.503,2.5,867387.325,12333.425,80.705,592065.686,True
Tajikistan,TJK,Lower middle income,0.328,8.4,855306.648,8024.985,76.503,438064.113,True
Togo,TGO,Low income,0.357,9.1,827166.158,8734.253,75.998,456418.897,True
Cambodia,KHM,Lower middle income,0.288,5.2,894489.648,7050.482,74.641,397820.172,True
Saudi Arabia,SAU,High income,0.563,2.5,804380.6,13793.376,73.445,576082.66,True
Botswana,BWA,Upper middle income,0.434,24.0,585574.08,10640.038,55.027,370122.519,True
Australia,AUS,High income,0.693,2.5,633370.65,16982.069,54.728,487362.096,True
Gabon,GAB,Upper middle income,0.295,25.3,614978.991,7216.84,52.121,281380.417,True
Namibia,NAM,Upper middle income,0.382,18.1,523028.822,9347.546,48.699,303980.99,True
Kazakhstan,KAZ,Upper middle income,0.505,2.5,500865.225,12360.898,46.589,342236.497,True
Chile,CHL,High income,0.533,2.5,488825.9,13048.286,45.101,342165.886,True
Romania,ROU,High income,0.439,2.5,476212.55,10755.769,44.748,302883.91,True
Lebanon,LBN,Lower middle income,0.291,8.7,499770.543,7140.133,42.064,225754.907,True
Mauritania,MRT,Lower middle income,0.353,8.7,424180.419,8643.024,38.869,232050.117,True
El Salvador,SLV,Upper middle income,0.335,6.7,420781.373,8213.296,37.962,220218.75,True
Dominican Republic,DOM,Upper middle income,0.36,3.6,404306.424,8830.328,37.244,225062.365,True
Guinea-Bissau,GNB,Low income,0.273,22.1,465321.909,6683.617,37.24,192767.675,True
Tunisia,TUN,Lower middle income,0.432,3.0,363580.02,10589.107,34.166,229163.817,True
Paraguay,PRY,Upper middle income,0.357,5.2,351544.128,8746.423,32.31,194196.456,True
Belgium,BEL,High income,0.595,2.5,292005.25,14569.02,26.339,213541.095,True
Oman,OMN,High income,0.498,5.9,279083.334,12196.676,26.003,189504.917,True
Czech Republic,CZE,High income,0.553,2.5,266802.95,13559.522,24.444,189773.424,True
Greece,GRC,High income,0.531,2.5,260922.05,12997.961,24.089,182335.806,True
Timor-Leste,TLS,Lower middle income,0.383,18.7,256058.165,9394.944,23.859,149360.381,True
Azerbaijan,AZE,Upper middle income,0.442,2.5,253543.9,10841.132,23.822,161987.329,True
Portugal,PRT,High income,0.576,2.5,260858.3,14102.786,23.706,188446.271,True
Panama,PAN,High income,0.381,5.7,250844.061,9323.822,23.347,145521.646,True
United Arab Emirates,ARE,High income,0.588,2.5,251874.425,14395.361,22.783,183377.279,True
Hungary,HUN,High income,0.492,2.5,240126.85,12050.322,22.404,162116.356,True
Sweden,SWE,High income,0.717,2.5,262173.525,17570.943,22.403,203761.167,True
Belarus,BLR,Upper middle income,0.463,2.5,236734.475,11349.814,22.202,155079.295,True
Israel,ISR,High income,0.532,2.5,238937.5,13033.652,22.05,167169.776,True
Turkmenistan,TKM,Upper middle income,0.239,4.3,310898.299,5860.299,21.403,103211.195,True
Jamaica,JAM,Upper middle income,0.411,7.7,218614.088,10066.708,20.511,133597.897,True
Austria,AUT,High income,0.675,2.5,226046.275,16539.958,19.694,172543.795,True
Switzerland,CHE,High income,0.69,2.5,219427.2,16893.617,18.992,168578.624,True
Serbia,SRB,Upper middle income,0.445,2.5,166611.225,10892.103,15.652,106728.234,True
Swaziland,SWZ,Lower middle income,0.307,14.7,179180.799,7527.281,15.562,85991.87,True
Bulgaria,BGR,High income,0.46,2.5,161627.425,11265.28,15.165,105460.064,True
Solomon Islands,SLB,Lower middle income,0.398,20.0,156213.2,9747.244,14.62,93472.859,True
Albania,ALB,Upper middle income,0.418,5.4,149995.206,10245.333,14.085,92681.001,True
Trinidad and Tobago,TTO,High income,0.34,11.2,152970.16,8331.231,13.867,81090.088,True
Djibouti,DJI,Lower middle income,0.323,12.9,146685.384,7908.771,13.042,74076.662,True
Denmark,DNK,High income,0.766,2.5,147575.925,18763.208,12.326,116785.238,True
Costa Rica,CRI,Upper middle income,0.451,2.5,127044.125,11044.218,11.93,82011.154,True
Ireland,IRL,High income,0.599,2.5,130320.9,14667.367,11.736,95537.432,True
Finland,FIN,High income,0.748,2.5,138902.65,18334.583,11.697,109244.062,True
Norway,NOR,High income,0.761,2.5,136428.175,18642.238,11.421,107778.679,True
New Zealand,NZL,High income,0.69,2.5,127927.5,16908.764,11.069,98309.003,True
Kuwait,KWT,High income,0.464,2.5,114741.075,11365.039,10.76,75217.252,True
Comoros,COM,Lower middle income,0.284,15.4,128464.952,6962.691,10.624,56234.804,True
Mauritius,MUS,Upper middle income,0.565,8.7,109839.501,13831.873,10.023,78751.806,True
Croatia,HRV,High income,0.491,2.5,96391.025,12019.325,8.996,64995.518,True
Georgia,GEO,Upper middle income,0.569,2.5,92812.55,13935.99,8.456,66740.22,True
Mongolia,MNG,Upper middle income,0.457,2.5,85843.7,11198.437,8.057,55833.977,True
Uruguay,URY,High income,0.511,2.5,84772.825,12526.676,7.871,58279.786,True
Bosnia and Herzegovina,BIH,Upper middle income,0.366,2.5,80120.05,8958.337,7.404,45107.418,True
Armenia,ARM,Upper middle income,0.498,2.5,74230.0,12205.941,6.916,50422.205,True
Cape Verde,CPV,Lower middle income,0.45,13.5,70165.035,11027.458,6.589,45256.034,True
Lithuania,LTU,High income,0.593,2.5,70790.975,14516.888,6.391,51700.562,True
Fiji,FJI,Upper middle income,0.481,6.8,62520.696,11780.528,5.847,41744.31,True
Suriname,SUR,Upper middle income,0.33,9.7,60446.908,8073.077,5.419,31134.875,True
Slovenia,SVN,High income,0.589,2.5,52801.9,14440.846,4.773,38487.673,True
Macedonia,MKD,Upper middle income,0.476,2.5,45792.8,11661.319,4.286,30419.734,True
Latvia,LVA,High income,0.576,2.5,46984.575,14115.06,4.269,33953.401,True
Sao Tome and Principe,STP,Lower middle income,0.37,17.4,39377.07,9076.163,3.648,22392.596,True
Cyprus,CYP,High income,0.514,2.5,33284.25,12585.929,3.088,22931.292,True
Estonia,EST,High income,0.616,2.5,33721.0,15098.151,3.015,24977.453,True
Belize,BLZ,Upper middle income,0.338,7.0,28191.31,8289.55,2.551,14877.717,True
Vanuatu,VUT,Lower middle income,0.376,7.2,22539.312,9217.067,2.094,12966.074,True
Guyana,GUY,High income,0.34,2.5,20540.925,8325.651,1.862,10882.357,True
Montenegro,MNE,Upper middle income,0.465,2.5,15589.775,11383.227,1.462,10228.286,True
Luxembourg,LUX,High income,0.653,2.5,16327.575,15994.285,1.437,12331.185,True
Malta,MLT,High income,0.496,2.5,13277.825,12145.559,1.238,8998.055,True
Barbados,BRB,High income,0.587,4.4,12421.992,14377.261,1.124,9039.583,True
Iceland,ISL,High income,0.695,2.5,9550.075,17021.245,0.825,7353.599,True
Samoa,WSM,Lower middle income,0.43,3.6,7749.396,10540.592,0.728,4871.243,True
Kiribati,KIR,Lower middle income,0.444,4.1,5349.229,10875.413,0.503,3423.672,True
Seychelles,SYC,High income,0.477,2.5,2996.95,11686.315,0.28,1992.998,True
Dominica,DMA,Upper middle income,0.52,3.6,2405.736,12731.786,0.223,1666.012,True
Central African Republic,CAF,Low income,0.135,29.8,1519215.622,3299.052,0.0,0.0,False
