country,iso3,cluster,cluster_k4,vulnerability,readiness,buffer,ln_gdp_pcap,rural_pct,ln1_disasters,ln1_fatalities
Afghanistan,AFG,0,1,0.588,0.25,-7.334,5.878,73.384,1.946,7.015
Albania,ALB,1,0,0.381,0.418,0.983,8.831,36.201,1.609,0.511
Algeria,DZA,1,0,0.367,0.337,2.964,8.509,25.228,1.792,3.32
Angola,AGO,0,1,0.509,0.272,-7.221,7.799,35.161,2.079,4.774
Argentina,ARG,1,0,0.381,0.369,3.045,9.542,7.653,1.792,1.609
Armenia,ARM,1,0,0.36,0.498,2.422,8.791,36.427,1.609,2.367
Australia,AUS,1,3,0.316,0.693,-0.61,10.915,13.876,1.386,0.0
Austria,AUT,1,3,0.299,0.675,-1.774,10.862,40.744,1.609,0.288
Azerbaijan,AZE,1,0,0.406,0.442,5.633,8.958,42.83,1.792,5.266
Bangladesh,BGD,0,2,0.569,0.275,9.031,7.817,61.054,1.386,6.751
Barbados,BRB,1,3,0.371,0.587,1.282,10.006,68.676,0.693,0.0
Belarus,BLR,1,0,0.323,0.463,-0.116,8.525,22.339,2.079,0.981
Belgium,BEL,1,3,0.333,0.595,0.599,10.836,1.847,2.197,0.847
Belize,BLZ,0,0,0.468,0.338,5.43,8.863,53.604,2.303,3.412
Benin,BEN,0,2,0.57,0.338,5.259,7.144,50.466,1.792,5.724
Bosnia and Herzegovina,BIH,1,0,0.346,0.366,1.459,8.943,50.159,1.792,0.511
Botswana,BWA,1,0,0.431,0.434,-14.107,9.027,27.776,2.398,1.674
Brazil,BRA,1,0,0.368,0.35,3.02,9.136,12.445,2.197,8.938
Bulgaria,BGR,1,3,0.353,0.46,1.99,9.547,23.637,1.386,0.288
Burkina Faso,BFA,0,2,0.522,0.281,3.112,6.729,68.123,1.946,8.844
Cape Verde,CPV,1,0,0.421,0.45,-4.306,8.372,32.455,1.609,0.0
Cambodia,KHM,0,2,0.481,0.288,8.119,7.751,74.886,1.609,0.0
Cameroon,CMR,0,2,0.486,0.262,8.905,7.381,41.267,1.792,7.489
Canada,CAN,1,3,0.281,0.646,-3.001,10.938,18.248,1.609,0.847
Central African Republic,CAF,0,1,0.578,0.135,-9.717,6.147,56.88,1.609,6.621
Chad,TCD,0,1,0.64,0.187,-7.598,6.873,75.937,1.946,5.938
Chile,CHL,1,3,0.333,0.533,0.545,9.642,12.088,1.792,3.32
China,CHN,1,0,0.381,0.553,3.932,9.47,36.44,2.565,2.079
Colombia,COL,1,0,0.405,0.374,4.153,8.807,17.95,2.197,7.577
Comoros,COM,0,2,0.541,0.284,2.134,7.336,70.136,1.792,1.099
Costa Rica,CRI,1,0,0.375,0.451,3.528,9.52,17.958,1.609,2.159
Croatia,HRV,1,0,0.38,0.491,3.843,9.824,41.781,1.946,0.0
Cyprus,CYP,1,3,0.359,0.514,2.375,10.431,33.089,1.946,0.288
Czech Republic,CZE,1,3,0.264,0.553,-4.227,10.25,25.623,0.693,0.0
Denmark,DNK,1,3,0.348,0.766,1.624,11.129,11.633,1.946,0.0
Djibouti,DJI,0,2,0.501,0.323,1.813,8.05,21.62,1.609,2.234
Dominica,DMA,1,3,0.44,0.52,6.891,9.14,28.3,1.099,0.0
Dominican Republic,DOM,1,0,0.435,0.36,6.534,9.221,16.152,2.303,2.872
Ecuador,ECU,0,0,0.461,0.343,-0.133,8.782,35.43,2.303,8.04
El Salvador,SLV,1,0,0.424,0.335,2.698,8.532,25.233,1.609,3.412
Estonia,EST,1,3,0.334,0.616,0.681,10.256,30.391,1.099,0.0
Swaziland,SWZ,0,2,0.449,0.307,-3.547,8.266,75.424,2.398,0.0
Ethiopia,ETH,0,1,0.527,0.294,-3.152,6.919,77.339,2.079,8.634
Fiji,FJI,1,0,0.452,0.481,4.557,8.595,41.771,2.303,0.0
Finland,FIN,1,3,0.282,0.748,-2.93,10.829,14.319,2.197,0.0
France,FRA,1,3,0.306,0.651,-1.32,10.623,18.491,1.609,2.269
Gabon,GAB,1,0,0.436,0.295,-15.044,9.037,9.265,1.946,0.847
Georgia,GEO,1,0,0.395,0.569,4.863,8.814,39.703,2.197,0.693
Germany,DEU,1,3,0.301,0.685,-1.618,10.813,22.352,2.303,2.457
Ghana,GHA,0,2,0.45,0.345,4.874,7.71,41.385,1.792,5.275
Greece,GRC,1,3,0.337,0.531,0.86,9.951,19.643,1.792,1.735
Guatemala,GTM,0,2,0.434,0.314,-1.686,8.586,47.334,1.792,6.255
Guinea,GIN,0,2,0.529,0.307,5.312,7.256,62.332,2.639,4.019
Guinea-Bissau,GNB,0,2,0.613,0.273,0.427,6.772,54.959,1.946,1.735
Guyana,GUY,0,2,0.433,0.34,7.527,9.793,72.978,1.792,1.674
Haiti,HTI,0,1,0.51,0.217,-38.834,7.473,41.18,2.079,7.895
Honduras,HND,0,1,0.446,0.262,-3.907,8.007,40.4,2.398,6.304
Hungary,HUN,1,0,0.353,0.492,1.998,9.825,27.448,2.197,0.288
Iceland,ISL,1,3,0.322,0.695,-0.19,11.227,6.008,1.386,0.0
India,IND,0,2,0.485,0.395,1.618,7.761,64.128,1.609,7.052
Indonesia,IDN,0,2,0.429,0.393,3.441,8.462,42.066,1.386,5.331
Iraq,IRQ,0,0,0.436,0.305,-4.646,8.783,28.646,2.485,6.888
Ireland,IRL,1,3,0.315,0.599,-0.644,11.564,35.817,1.099,0.0
Israel,ISR,1,3,0.293,0.532,-2.196,10.914,7.237,1.609,6.462
Italy,ITA,1,3,0.342,0.53,1.216,10.482,28.343,2.303,0.0
Jamaica,JAM,0,0,0.421,0.411,1.515,8.703,42.992,1.792,5.838
Jordan,JOR,1,0,0.367,0.41,-8.888,8.374,8.173,1.792,1.897
Kazakhstan,KAZ,1,0,0.32,0.505,-0.332,9.329,42.01,2.079,1.674
Kenya,KEN,0,1,0.5,0.305,-22.139,7.654,70.998,2.079,6.789
Kiribati,KIR,0,2,0.558,0.444,14.587,7.635,42.942,2.197,0.0
Kuwait,KWT,1,3,0.362,0.464,2.595,10.596,0.0,2.303,0.0
Latvia,LVA,1,3,0.361,0.576,2.492,9.915,31.46,1.946,0.847
Lebanon,LBN,0,0,0.398,0.291,-1.093,8.204,10.738,1.946,7.359
Liberia,LBR,0,1,0.539,0.278,-18.117,6.613,46.935,1.099,2.539
Libyan Arab Jamahiriya,LBY,0,0,0.417,0.299,-7.572,8.697,18.698,1.946,5.159
Lithuania,LTU,1,3,0.36,0.593,2.447,10.13,31.535,1.946,0.0
Luxembourg,LUX,1,3,0.31,0.653,-0.996,11.726,8.119,1.946,0.0
Madagascar,MDG,0,1,0.56,0.264,-20.695,6.222,60.118,2.197,6.027
Malawi,MWI,0,2,0.55,0.287,-3.265,6.404,82.02,2.197,3.878
Malaysia,MYS,1,0,0.367,0.503,2.944,9.371,21.786,2.485,1.099
Mali,MLI,0,2,0.576,0.284,7.633,6.877,54.563,2.079,8.287
Malta,MLT,1,3,0.318,0.496,-0.431,10.497,5.125,1.946,0.511
Mauritania,MRT,0,2,0.578,0.353,11.419,7.581,43.077,1.609,1.846
Mauritius,MUS,1,0,0.411,0.565,-0.192,9.232,59.19,1.946,0.847
Mexico,MEX,1,0,0.387,0.359,4.144,9.342,18.7,2.079,8.944
Mongolia,MNG,1,0,0.365,0.457,2.793,8.516,31.07,1.946,0.0
Montenegro,MNE,1,0,0.364,0.465,2.745,9.209,31.836,1.792,0.288
Morocco,MAR,1,0,0.368,0.431,-1.486,8.148,35.404,1.792,3.821
Mozambique,MOZ,0,1,0.492,0.263,-7.716,6.36,61.813,1.386,6.25
Myanmar,MMR,0,2,0.515,0.257,10.347,7.054,68.229,1.609,9.812
Namibia,NAM,0,0,0.454,0.382,-6.589,8.378,46.044,1.609,1.54
Nepal,NPL,0,2,0.491,0.36,8.745,7.234,78.549,1.792,3.486
New Zealand,NZL,1,3,0.303,0.69,-1.478,10.795,13.116,1.609,0.0
Nicaragua,NIC,0,2,0.446,0.27,-6.079,7.751,40.444,1.099,2.565
Niger,NER,0,2,0.636,0.342,11.223,6.413,83.106,1.792,7.378
Nigeria,NGA,0,1,0.482,0.246,-6.481,7.668,46.479,1.946,9.183
Macedonia,MKD,1,0,0.371,0.476,3.25,8.937,40.882,2.079,0.0
Norway,NOR,1,3,0.255,0.761,-4.823,11.602,16.336,2.197,0.288
Oman,OMN,1,0,0.421,0.498,3.309,10.053,12.25,2.079,1.792
Pakistan,PAK,0,2,0.514,0.307,-0.848,7.338,62.269,1.609,8.12
Panama,PAN,1,0,0.407,0.381,2.518,9.76,30.859,2.197,1.674
Papua New Guinea,PNG,0,1,0.55,0.286,-10.533,8.04,86.418,2.079,5.585
Paraguay,PRY,1,0,0.372,0.357,0.605,8.733,37.182,1.609,1.897
Peru,PER,1,0,0.409,0.385,1.447,8.903,21.292,2.197,4.025
Philippines,PHL,0,2,0.445,0.347,7.874,8.174,52.023,1.946,6.495
Poland,POL,1,0,0.304,0.532,-1.403,9.846,39.866,2.565,0.511
Portugal,PRT,1,3,0.319,0.576,-0.416,10.111,32.619,2.565,0.288
Romania,ROU,1,0,0.413,0.439,6.112,9.652,45.511,1.609,0.288
Russian Federation,RUS,1,0,0.323,0.495,-0.081,9.656,24.874,2.398,0.0
Rwanda,RWA,0,2,0.568,0.429,-5.039,6.883,82.279,0.693,2.615
Samoa,WSM,0,2,0.514,0.43,12.021,8.261,82.384,2.079,0.0
Sao Tome and Principe,STP,0,0,0.54,0.37,0.039,7.779,24.245,2.197,0.0
Saudi Arabia,SAU,1,0,0.41,0.563,5.889,10.559,15.271,2.485,4.21
Senegal,SEN,0,2,0.537,0.351,12.131,7.361,50.914,2.398,3.232
Serbia,SRB,1,0,0.423,0.445,6.823,9.213,43.127,2.398,0.693
Seychelles,SYC,1,0,0.437,0.477,7.826,9.731,41.604,1.609,0.511
Sierra Leone,SLE,0,2,0.598,0.299,-2.653,6.758,56.169,1.609,2.708
Slovenia,SVN,1,3,0.315,0.589,-0.658,10.253,44.249,2.197,0.0
Solomon Islands,SLB,0,2,0.632,0.398,3.852,7.604,74.416,2.079,1.204
South Africa,ZAF,0,0,0.395,0.355,-2.613,8.783,31.665,2.197,5.516
Spain,ESP,1,3,0.306,0.527,-1.297,10.318,18.696,1.792,0.693
Sri Lanka,LKA,0,2,0.474,0.378,5.474,8.115,80.974,2.079,2.037
Sudan,SDN,0,2,0.613,0.253,11.504,6.953,64.044,2.197,9.735
Suriname,SUR,1,0,0.404,0.33,-1.717,8.713,33.693,2.079,0.511
Sweden,SWE,1,3,0.317,0.717,-0.544,10.92,11.508,2.079,0.288
Switzerland,CHE,1,3,0.251,0.69,-5.112,11.455,25.908,1.609,0.0
Syrian Arab Republic,SYR,0,1,0.487,0.223,-25.213,6.958,43.231,2.398,0.0
Tajikistan,TJK,0,2,0.354,0.328,-3.87,6.959,72.032,1.792,1.466
Thailand,THA,1,2,0.434,0.484,5.522,8.841,47.111,1.099,4.138
Timor-Leste,TLS,0,2,0.539,0.383,-1.333,7.759,67.926,1.609,0.0
Togo,TGO,0,2,0.502,0.357,5.717,6.801,56.079,1.946,4.547
Trinidad and Tobago,TTO,1,0,0.374,0.34,-5.286,9.946,46.66,2.197,5.617
Tunisia,TUN,1,0,0.378,0.432,3.169,8.218,29.786,2.079,1.735
Turkmenistan,TKM,1,0,0.372,0.239,1.465,9.007,46.506,2.079,0.405
Uganda,UGA,0,1,0.539,0.284,-4.624,6.87,73.841,2.303,5.557
Ukraine,UKR,0,0,0.365,0.405,-1.606,8.343,30.081,2.197,11.006
United Arab Emirates,ARE,1,3,0.383,0.588,4.067,10.818,12.457,2.197,0.288
Uruguay,URY,1,3,0.374,0.511,3.402,9.944,4.312,2.079,0.288
Uzbekistan,UZB,1,0,0.36,0.418,2.441,7.855,49.534,1.946,1.466
Vanuatu,VUT,0,2,0.558,0.376,11.508,8.099,74.184,1.609,0.288
Viet Nam,VNM,0,2,0.468,0.429,7.129,8.33,61.234,2.079,0.0
Zambia,ZMB,0,1,0.486,0.334,-23.472,7.277,54.239,2.398,2.708
Zimbabwe,ZWE,0,2,0.502,0.22,-4.875,7.621,67.605,1.099,3.106
