model,feature,coef_std
OLS,readiness,5.1161
OLS,read_economic,-1.4967
OLS,read_governance,-2.5897
OLS,read_social,-2.2173
OLS,ln_gdp_pcap,1.8741
OLS,rural_pct,0.5469
OLS,disaster_count,-0.6715
OLS,ln1_fatalities,0.5316
OLS,urban_pct,-0.5469
OLS,agri_land_pct,-0.8866
OLS,arable_land_pct,0.6582
OLS,crop_prod_index,1.2559
OLS,life_expectancy,-0.2663
OLS,infant_mortality,-1.9056
OLS,pop_growth,-1.0819
OLS,inflation,0.4429
Ridge,readiness,0.1075
Ridge,read_economic,0.1216
Ridge,read_governance,0.0742
Ridge,read_social,0.0811
Ridge,ln_gdp_pcap,0.1171
Ridge,rural_pct,0.0133
Ridge,disaster_count,-0.0935
Ridge,ln1_fatalities,0.007
Ridge,urban_pct,-0.0133
Ridge,agri_land_pct,-0.0844
Ridge,arable_land_pct,0.0734
Ridge,crop_prod_index,0.0176
Ridge,life_expectancy,0.1482
Ridge,infant_mortality,-0.176
Ridge,pop_growth,-0.1693
Ridge,inflation,0.0415
Lasso,readiness,0.0
Lasso,read_economic,0.0
Lasso,read_governance,0.0
Lasso,read_social,0.0
Lasso,ln_gdp_pcap,0.0
Lasso,rural_pct,-0.0
Lasso,disaster_count,-0.0
Lasso,ln1_fatalities,-0.0
Lasso,urban_pct,0.0
Lasso,agri_land_pct,-0.0
Lasso,arable_land_pct,0.0
Lasso,crop_prod_index,-0.0
Lasso,life_expectancy,0.0
Lasso,infant_mortality,-0.0
Lasso,pop_growth,-0.0
Lasso,inflation,0.0
ElasticNet,readiness,0.0835
ElasticNet,read_economic,0.0968
ElasticNet,read_governance,0.0315
ElasticNet,read_social,0.0414
ElasticNet,ln_gdp_pcap,0.0919
ElasticNet,rural_pct,0.0
ElasticNet,disaster_count,-0.0442
ElasticNet,ln1_fatalities,-0.0
ElasticNet,urban_pct,-0.0
ElasticNet,agri_land_pct,-0.0242
ElasticNet,arable_land_pct,0.0113
ElasticNet,crop_prod_index,0.0
ElasticNet,life_expectancy,0.1347
ElasticNet,infant_mortality,-0.1733
ElasticNet,pop_growth,-0.1553
ElasticNet,inflation,0.0
