iso3,year,undernourishment,vulnerability,ln_gdp_pcap
AFG,2002,45.8,0.604601457431296,5.187129283440217
ALB,2002,4.8,0.456053766085959,7.299688472802442
DZA,2002,7.3,0.393110846219097,7.569135239316716
ARG,2002,3.0,0.403816513486999,7.851544297592586
ARM,2002,28.6,0.373487228417655,6.610226376324834
AUT,2002,2.5,0.30441475382393,10.178648899894386
AZE,2002,17.8,0.424762227472133,6.637400741236539
BRB,2002,6.8,0.369731284496647,9.372497696359838
BLR,2002,2.7,0.3691206660337,7.2993788084801015
BEL,2002,2.5,0.354638571739617,10.126878729073042
BLZ,2002,5.7,0.465988095995439,8.489152323748458
BEN,2002,14.3,0.580744640246771,6.303468119988288
BIH,2002,3.6,0.371462573612147,7.381842261502823
BWA,2002,28.1,0.479198408327298,8.044706761555895
BRA,2002,10.5,0.391493908799053,7.957156380963463
BGR,2002,4.9,0.369646507837929,7.646345545754941
BFA,2002,22.4,0.579821628870737,5.654781595019189
CPV,2002,16.2,0.432169288524118,7.191865035333958
KHM,2002,19.7,0.529078460306889,5.85835385635971
CMR,2002,24.2,0.494974205624872,6.671556643531556
CAN,2002,2.5,0.287113872839351,10.096420081388622
CAF,2002,35.9,0.572061203694788,5.51600321557613
TCD,2002,34.4,0.643345677779749,5.389352019076768
CHL,2002,2.9,0.359849629015075,8.396346134041393
CHN,2002,9.8,0.395368311670486,7.059239186187989
COL,2002,8.6,0.43981384123483,7.795205985691528
COM,2002,24.7,0.546450224238557,6.636099995775595
CRI,2002,4.6,0.416955048052734,8.310837559663966
HRV,2002,10.6,0.387455562095427,8.735457923252417
CUB,2002,2.5,0.432853715841677,8.008103074945423
CYP,2002,5.9,0.359639651667387,9.686153084547716
CZE,2002,2.5,0.260038783634617,8.99977490706329
DNK,2002,2.5,0.334995497688572,10.412025429162615
DJI,2002,40.8,0.513466575509987,6.610713905150923
DMA,2002,3.7,0.4731218011455,8.610324244045463
DOM,2002,19.7,0.439928893662317,8.027999662685266
ECU,2002,20.0,0.490660891717716,7.630052709209913
SLV,2002,6.9,0.443001547494903,7.657004811791247
EST,2002,3.6,0.345539335243628,8.583576841931535
SWZ,2002,9.8,0.505026220148601,7.209240770758788
ETH,2002,46.1,0.58794159034694,4.696780927783857
FJI,2002,3.6,0.524630875772668,7.6669560548063265
FIN,2002,2.5,0.280112394576259,10.203199077410675
FRA,2002,2.5,0.308374832674918,10.09181490098612
GAB,2002,10.6,0.449606025509385,8.285634335201733
GEO,2002,6.6,0.414399722957902,6.749376205934176
DEU,2002,2.5,0.309474722208424,10.145907875295809
