rank,country,iso3,vulnerability,readiness,undernourishment,predicted,buffer
1,Kiribati,KIR,0.558,0.444,4.1,18.687,14.587
2,Senegal,SEN,0.537,0.351,5.1,17.231,12.131
3,Samoa,WSM,0.514,0.43,3.6,15.621,12.021
4,Vanuatu,VUT,0.558,0.376,7.2,18.708,11.508
5,Sudan,SDN,0.613,0.253,11.0,22.504,11.504
6,Mauritania,MRT,0.578,0.353,8.7,20.119,11.419
7,Niger,NER,0.636,0.342,12.9,24.123,11.223
8,Myanmar,MMR,0.515,0.257,5.4,15.747,10.347
9,Bangladesh,BGD,0.569,0.275,10.4,19.431,9.031
10,Cameroon,CMR,0.486,0.262,4.8,13.705,8.905
11,Nepal,NPL,0.491,0.36,5.3,14.045,8.745
12,Cambodia,KHM,0.481,0.288,5.2,13.319,8.119
13,Philippines,PHL,0.445,0.347,3.0,10.874,7.874
14,Seychelles,SYC,0.437,0.477,2.5,10.326,7.826
15,Mali,MLI,0.576,0.284,12.3,19.933,7.633
16,Guyana,GUY,0.433,0.34,2.5,10.027,7.527
17,Viet Nam,VNM,0.468,0.429,5.3,12.429,7.129
18,Dominica,DMA,0.44,0.52,3.6,10.491,6.891
19,Serbia,SRB,0.423,0.445,2.5,9.323,6.823
20,Dominican Republic,DOM,0.435,0.36,3.6,10.134,6.534
21,Romania,ROU,0.413,0.439,2.5,8.612,6.112
22,Saudi Arabia,SAU,0.41,0.563,2.5,8.389,5.889
23,Togo,TGO,0.502,0.357,9.1,14.817,5.717
24,Azerbaijan,AZE,0.406,0.442,2.5,8.133,5.633
25,Thailand,THA,0.434,0.484,4.6,10.122,5.522
26,Sri Lanka,LKA,0.474,0.378,7.4,12.874,5.474
27,Belize,BLZ,0.468,0.338,7.0,12.43,5.43
28,Guinea,GIN,0.529,0.307,11.4,16.712,5.312
29,Benin,BEN,0.57,0.338,14.3,19.559,5.259
30,Ghana,GHA,0.45,0.345,6.3,11.174,4.874
31,Georgia,GEO,0.395,0.569,2.5,7.363,4.863
32,Fiji,FJI,0.452,0.481,6.8,11.357,4.557
33,Colombia,COL,0.405,0.374,3.9,8.053,4.153
34,Mexico,MEX,0.387,0.359,2.7,6.844,4.144
35,United Arab Emirates,ARE,0.383,0.588,2.5,6.567,4.067
36,China,CHN,0.381,0.553,2.5,6.432,3.932
37,Solomon Islands,SLB,0.632,0.398,20.0,23.852,3.852
38,Croatia,HRV,0.38,0.491,2.5,6.343,3.843
39,Costa Rica,CRI,0.375,0.451,2.5,6.028,3.528
40,Indonesia,IDN,0.429,0.393,6.3,9.741,3.441
41,Uruguay,URY,0.374,0.511,2.5,5.902,3.402
42,Oman,OMN,0.421,0.498,5.9,9.209,3.309
43,Macedonia,MKD,0.371,0.476,2.5,5.75,3.25
44,Tunisia,TUN,0.378,0.432,3.0,6.169,3.169
45,Burkina Faso,BFA,0.522,0.281,13.1,16.212,3.112
46,Argentina,ARG,0.381,0.369,3.4,6.445,3.045
47,Brazil,BRA,0.368,0.35,2.5,5.52,3.02
48,Algeria,DZA,0.367,0.337,2.5,5.464,2.964
49,Malaysia,MYS,0.367,0.503,2.5,5.444,2.944
50,Mongolia,MNG,0.365,0.457,2.5,5.293,2.793
51,Montenegro,MNE,0.364,0.465,2.5,5.245,2.745
52,El Salvador,SLV,0.424,0.335,6.7,9.398,2.698
53,Kuwait,KWT,0.362,0.464,2.5,5.095,2.595
54,Panama,PAN,0.407,0.381,5.7,8.218,2.518
55,Latvia,LVA,0.361,0.576,2.5,4.992,2.492
56,Lithuania,LTU,0.36,0.593,2.5,4.947,2.447
57,Uzbekistan,UZB,0.36,0.418,2.5,4.941,2.441
58,Armenia,ARM,0.36,0.498,2.5,4.922,2.422
59,Cyprus,CYP,0.359,0.514,2.5,4.875,2.375
60,Comoros,COM,0.541,0.284,15.4,17.534,2.134
61,Hungary,HUN,0.353,0.492,2.5,4.498,1.998
62,Bulgaria,BGR,0.353,0.46,2.5,4.49,1.99
63,Djibouti,DJI,0.501,0.323,12.9,14.713,1.813
64,Denmark,DNK,0.348,0.766,2.5,4.124,1.624
65,India,IND,0.485,0.395,12.0,13.618,1.618
66,Jamaica,JAM,0.421,0.411,7.7,9.215,1.515
67,Turkmenistan,TKM,0.372,0.239,4.3,5.765,1.465
68,Bosnia and Herzegovina,BIH,0.346,0.366,2.5,3.959,1.459
69,Peru,PER,0.409,0.385,6.9,8.347,1.447
70,Barbados,BRB,0.371,0.587,4.4,5.682,1.282
71,Italy,ITA,0.342,0.53,2.5,3.716,1.216
72,Albania,ALB,0.381,0.418,5.4,6.383,0.983
73,Greece,GRC,0.337,0.531,2.5,3.36,0.86
74,Estonia,EST,0.334,0.616,2.5,3.181,0.681
75,Paraguay,PRY,0.372,0.357,5.2,5.805,0.605
76,Belgium,BEL,0.333,0.595,2.5,3.099,0.599
77,Chile,CHL,0.333,0.533,2.5,3.045,0.545
78,Guinea-Bissau,GNB,0.613,0.273,22.1,22.527,0.427
79,Sao Tome and Principe,STP,0.54,0.37,17.4,17.439,0.039
80,Russian Federation,RUS,0.323,0.495,2.5,2.419,-0.081
81,Belarus,BLR,0.323,0.463,2.5,2.384,-0.116
82,Ecuador,ECU,0.461,0.343,12.1,11.967,-0.133
83,Iceland,ISL,0.322,0.695,2.5,2.31,-0.19
84,Mauritius,MUS,0.411,0.565,8.7,8.508,-0.192
85,Kazakhstan,KAZ,0.32,0.505,2.5,2.168,-0.332
86,Portugal,PRT,0.319,0.576,2.5,2.084,-0.416
87,Malta,MLT,0.318,0.496,2.5,2.069,-0.431
88,Sweden,SWE,0.317,0.717,2.5,1.956,-0.544
89,Australia,AUS,0.316,0.693,2.5,1.89,-0.61
90,Ireland,IRL,0.315,0.599,2.5,1.856,-0.644
91,Slovenia,SVN,0.315,0.589,2.5,1.842,-0.658
92,Pakistan,PAK,0.514,0.307,16.5,15.652,-0.848
93,Luxembourg,LUX,0.31,0.653,2.5,1.504,-0.996
94,Lebanon,LBN,0.398,0.291,8.7,7.607,-1.093
95,Spain,ESP,0.306,0.527,2.5,1.203,-1.297
96,France,FRA,0.306,0.651,2.5,1.18,-1.32
97,Timor-Leste,TLS,0.539,0.383,18.7,17.367,-1.333
98,Poland,POL,0.304,0.532,2.5,1.097,-1.403
99,New Zealand,NZL,0.303,0.69,2.5,1.022,-1.478
100,Morocco,MAR,0.368,0.431,7.0,5.514,-1.486
101,Ukraine,UKR,0.365,0.405,6.9,5.294,-1.606
102,Germany,DEU,0.301,0.685,2.5,0.882,-1.618
103,Guatemala,GTM,0.434,0.314,11.8,10.114,-1.686
104,Suriname,SUR,0.404,0.33,9.7,7.983,-1.717
105,Austria,AUT,0.299,0.675,2.5,0.726,-1.774
106,Israel,ISR,0.293,0.532,2.5,0.304,-2.196
107,South Africa,ZAF,0.395,0.355,10.0,7.387,-2.613
108,Sierra Leone,SLE,0.598,0.299,24.1,21.447,-2.653
109,Finland,FIN,0.282,0.748,2.5,-0.43,-2.93
110,Canada,CAN,0.281,0.646,2.5,-0.501,-3.001
111,Ethiopia,ETH,0.527,0.294,19.7,16.548,-3.152
112,Malawi,MWI,0.55,0.287,21.4,18.135,-3.265
113,Swaziland,SWZ,0.449,0.307,14.7,11.153,-3.547
114,Tajikistan,TJK,0.354,0.328,8.4,4.53,-3.87
115,Honduras,HND,0.446,0.262,14.8,10.893,-3.907
116,Czech Republic,CZE,0.264,0.553,2.5,-1.727,-4.227
117,Cape Verde,CPV,0.421,0.45,13.5,9.194,-4.306
118,Uganda,UGA,0.539,0.284,22.0,17.376,-4.624
119,Iraq,IRQ,0.436,0.305,14.9,10.254,-4.646
120,Norway,NOR,0.255,0.761,2.5,-2.323,-4.823
121,Zimbabwe,ZWE,0.502,0.22,19.7,14.825,-4.875
122,Rwanda,RWA,0.568,0.429,24.4,19.361,-5.039
123,Switzerland,CHE,0.251,0.69,2.5,-2.612,-5.112
124,Trinidad and Tobago,TTO,0.374,0.34,11.2,5.914,-5.286
125,Nicaragua,NIC,0.446,0.27,17.0,10.921,-6.079
126,Nigeria,NGA,0.482,0.246,19.9,13.419,-6.481
127,Namibia,NAM,0.454,0.382,18.1,11.511,-6.589
128,Angola,AGO,0.509,0.272,22.5,15.279,-7.221
129,Afghanistan,AFG,0.588,0.25,28.1,20.766,-7.334
130,Libyan Arab Jamahiriya,LBY,0.417,0.299,16.5,8.928,-7.572
131,Chad,TCD,0.64,0.187,32.0,24.402,-7.598
132,Mozambique,MOZ,0.492,0.263,21.8,14.084,-7.716
133,Jordan,JOR,0.367,0.41,14.3,5.412,-8.888
134,Central African Republic,CAF,0.578,0.135,29.8,20.083,-9.717
135,Papua New Guinea,PNG,0.55,0.286,28.7,18.167,-10.533
136,Botswana,BWA,0.431,0.434,24.0,9.893,-14.107
137,Gabon,GAB,0.436,0.295,25.3,10.256,-15.044
138,Liberia,LBR,0.539,0.278,35.5,17.383,-18.117
139,Madagascar,MDG,0.56,0.264,39.5,18.805,-20.695
140,Kenya,KEN,0.5,0.305,36.8,14.661,-22.139
141,Zambia,ZMB,0.486,0.334,37.2,13.728,-23.472
142,Syrian Arab Republic,SYR,0.487,0.223,39.0,13.787,-25.213
143,Haiti,HTI,0.51,0.217,54.2,15.366,-38.834
