rank,country,iso3,vulnerability,undernourishment,buffer_point,buffer_mc_mean,buffer_ci_low,buffer_ci_high,prob_overperformer
1,Kiribati,KIR,0.5578,4.1,14.6079,14.6048,11.724,17.5334,1.0
2,Senegal,SEN,0.5369,5.1,12.1482,12.1372,9.47,14.872,1.0
3,Samoa,WSM,0.5137,3.6,12.0344,12.0356,9.5479,14.5641,1.0
4,Vanuatu,VUT,0.5581,7.2,11.5288,11.5389,8.6672,14.4694,1.0
5,Sudan,SDN,0.6128,11.0,11.534,11.5379,8.0351,15.1466,1.0
6,Mauritania,MRT,0.5785,8.7,11.4433,11.4284,8.3807,14.588,1.0
7,Niger,NER,0.6362,12.9,11.2566,11.2453,7.3627,15.2315,1.0
8,Myanmar,MMR,0.5155,5.4,10.3612,10.3555,7.8396,12.8892,1.0
9,Bangladesh,BGD,0.5686,10.4,9.054,9.0531,6.0619,12.1299,1.0
10,Cameroon,CMR,0.4861,4.8,8.9147,8.9192,6.6183,11.2193,1.0
11,Nepal,NPL,0.491,5.3,8.7552,8.7455,6.409,11.1283,1.0
12,Cambodia,KHM,0.4805,5.2,8.1272,8.1216,5.8817,10.3877,1.0
13,Philippines,PHL,0.4453,3.0,7.876,7.8745,5.8295,9.9078,1.0
14,Seychelles,SYC,0.4374,2.5,7.8267,7.8369,5.8461,9.8481,1.0
15,Mali,MLI,0.5758,12.3,7.6572,7.6537,4.3695,10.965,0.9998
16,Guyana,GUY,0.4331,2.5,7.527,7.5291,5.5552,9.4824,1.0
17,Viet Nam,VNM,0.4677,5.3,7.1353,7.144,4.9681,9.3254,1.0
18,Dominica,DMA,0.4398,3.6,6.8928,6.8886,4.9112,8.8818,1.0
19,Serbia,SRB,0.4229,2.5,6.8214,6.8228,4.9173,8.7445,1.0
20,Dominican Republic,DOM,0.4346,3.6,6.5342,6.5307,4.5649,8.5329,1.0
21,Romania,ROU,0.4127,2.5,6.1095,6.1121,4.2383,8.0103,1.0
22,Saudi Arabia,SAU,0.4095,2.5,5.8857,5.8814,4.0113,7.7922,1.0
23,Togo,TGO,0.5021,9.1,5.7289,5.7206,3.3185,8.1698,0.9999
24,Azerbaijan,AZE,0.4058,2.5,5.6288,5.6146,3.7437,7.4687,1.0
25,Thailand,THA,0.4345,4.6,5.5223,5.5285,3.53,7.5312,1.0
26,Sri Lanka,LKA,0.4741,7.4,5.4813,5.4835,3.2625,7.7445,1.0
27,Belize,BLZ,0.4677,7.0,5.4362,5.4157,3.2614,7.5824,1.0
28,Guinea,GIN,0.5294,11.4,5.3283,5.3367,2.5883,8.1404,0.999
29,Benin,BEN,0.5704,14.3,5.2823,5.2746,1.8176,8.7905,0.994
30,Ghana,GHA,0.4496,6.3,4.8776,4.8777,2.8322,6.935,1.0
31,Georgia,GEO,0.3947,2.5,4.8575,4.8479,3.0329,6.6437,1.0
32,Fiji,FJI,0.4523,6.8,4.561,4.5712,2.5005,6.6488,0.9998
33,Colombia,COL,0.4047,3.9,4.1488,4.1457,2.2906,5.9767,1.0
34,Mexico,MEX,0.3872,2.7,4.1368,4.1399,2.3564,5.9334,1.0
35,United Arab Emirates,ARE,0.3833,2.5,4.0593,4.0586,2.2802,5.8685,1.0
36,China,CHN,0.3813,2.5,3.9243,3.9183,2.1487,5.6931,0.9997
37,Solomon Islands,SLB,0.6323,20.0,3.8854,3.8727,-0.6757,8.4938,0.9192
38,Croatia,HRV,0.38,2.5,3.8351,3.8366,2.0434,5.6629,0.9999
39,Costa Rica,CRI,0.3755,2.5,3.5188,3.5129,1.7321,5.3025,0.9995
40,Indonesia,IDN,0.429,6.3,3.4408,3.4391,1.4876,5.3631,0.9984
41,Uruguay,URY,0.3737,2.5,3.3925,3.3987,1.6365,5.1835,0.9996
42,Oman,OMN,0.4213,5.9,3.3073,3.3084,1.404,5.2251,0.9976
43,Macedonia,MKD,0.3715,2.5,3.2403,3.229,1.4565,5.0243,0.9985
44,Tunisia,TUN,0.3775,3.0,3.1598,3.1658,1.3763,4.9562,0.9986
45,Burkina Faso,BFA,0.5222,13.1,3.1267,3.1395,0.188,6.1123,0.959
46,Argentina,ARG,0.3815,3.4,3.0372,3.0357,1.2405,4.8227,0.997
47,Brazil,BRA,0.3682,2.5,3.0095,3.0143,1.2538,4.761,0.9972
48,Algeria,DZA,0.3674,2.5,2.9534,2.9592,1.1826,4.7406,0.9966
49,Malaysia,MYS,0.3671,2.5,2.9333,2.9262,1.1575,4.6848,0.9969
50,Mongolia,MNG,0.3649,2.5,2.782,2.7726,1.0182,4.5869,0.9946
51,Montenegro,MNE,0.3642,2.5,2.7344,2.7429,0.9719,4.5424,0.9945
52,El Salvador,SLV,0.424,6.7,2.697,2.702,0.7755,4.6518,0.9902
