country,undernourishment,climate_vulnerability,gdp_per_capita,rural_pct,ag_land_pct,disaster_count,water_per_capita,kcal_per_capita,ln_gdp,ln_water
Afghanistan,28.1,0.587795902,413.7578947,73.067,58.43950754,6,1178.7379,2273.8936,6.025281007,7.072199569
Albania,5.4,0.38060871,8575.171346,35.397,38.12408759,4,9567.281,3408.1135,9.056626254,9.166104327
Algeria,2.5,0.367360744,5364.02795,24.732,17.35903163,5,251.26729,3424.5012,8.587470455,5.526517273
Angola,22.5,0.508756585,2309.53413,31.312,36.94794257,7,4285.8267,2431.6443,7.744801108,8.363068741
Argentina,3.4,0.381498645,14187.48273,7.537,42.43679156,5,6444.169,3354.89,9.560115357,8.77093097
Armenia,2.5,0.359560825,8125.273958,36.261,58.59336214,4,2315.4307,3162.6196,9.002734724,7.747350997
Australia,2.5,0.315876228,54972.70179,13.876,47.12377243,3,19154.842,3467.567,10.91459201,9.860310809
Austria,2.5,0.299110527,56033.57379,40.47,31.47434561,4,6141.2734,3759.5864,10.93370632,8.722787394
Azerbaijan,2.5,0.405809264,7133.02838,42.423,57.82940109,5,800.47345,3347.8157,8.872491161,6.685203365
Bangladesh,10.4,0.568568182,2482.849178,61.054,72.35154029,3,626.2717,2608.2378,7.817162042,6.439784302
Barbados,4.4,0.370508222,23804.02499,68.575,23.25581395,1,283.54013,3189.6501,10.07760996,5.647353665
Belarus,2.5,0.322992145,5039.775609,22.339,42.03548978,7,3654.8982,3461.5132,8.525116838,8.20382352
Belgium,2.5,0.333294724,54690.09427,1.811,44.37922214,8,1035.7153,3913.8599,10.90943788,6.942847578
Belize,7,0.46771295,7459.998151,53.392,7.978956598,9,38599.1,2833.099,8.917310445,10.56098424
Benin,14.3,0.570411821,1394.177847,49.9,41.8300133,5,767.8879,2703.3135,7.240060163,6.643643759
Bosnia and Herzegovina,2.5,0.345689468,8663.02323,49.731,21.73828125,5,10940.221,3398.2314,9.066819043,9.300201277
Botswana,24,0.431163349,7826.353765,27.133,45.63372329,10,999.39996,2826.39,8.965252006,6.907155059
Brazil,2.5,0.368167155,10377.58928,12.212,28.32673298,8,27014.994,3383.5542,9.247403883,10.20414732
Bulgaria,2.5,0.353332611,15883.86185,23.299,46.08502211,3,3227.1443,3035.3965,9.673058895,8.079352908
Burkina Faso,13.1,0.522186512,882.6898101,67.48,53.40200548,6,568.3047,2694.6262,6.782973848,6.342657719
Cabo Verde,13.5,0.421095794,4861.291841,32.018,19.60297767,4,580.66504,3014.697,8.489059493,6.364174067
Cambodia,5.2,0.480517971,2429.748535,74.43,34.86482948,4,7104.8564,2655.5457,7.795543047,8.868533829
Cameroon,4.8,0.486085791,1736.860911,40.685,20.93651499,5,10142.757,2868.8884,7.459834689,9.224515134
Canada,2.5,0.281436971,54220.3285,18.138,6.47137802,4,74529.555,3572.0554,10.90081118,11.21895104
Central African Republic,29.8,0.57795091,495.9788973,56.386,9.09948955,4,27581.62,2418.7656,6.20653338,10.22490489
Chad,32,0.640173478,989.058529,75.634,39.97561944,15,841.3602,2097.067,6.89675351,6.735019868
Chile,2.5,0.332513665,17067.03648,11.988,14.40102498,5,45486.473,3113.6423,9.744904191,10.72517026
China,2.5,0.381313954,12951.17824,35.43,55.43261175,12,1991.631,3453.9045,9.468942047,7.59670918
Colombia,3.9,0.404659525,7000.836605,17.646,36.48760703,8,41904.21,3120.596,8.853784936,10.64314158
Comoros,15.4,0.541243954,1682.202851,69.868,71.46695325,11,1466.6807,2423.7202,7.427859434,7.290757099
Costa Rica,2.5,0.375485627,16942.02681,17.378,33.14399922,4,22332.068,2999.108,9.737552608,10.01377895
Cote d'Ivoire,11.1,0.490057862,2554.673049,46.851,86.47581635,3,2592.4658,2736.1533,7.845679529,7.860364748
Croatia,2.5,0.380032073,21865.45628,41.425,26.55468192,6,9719.047,3421.4875,9.992663332,9.181842847
Cyprus,2.5,0.35887474,36551.41797,33.013,13.96063853,6,592.1162,2855.2139,10.50647526,6.383702899
Denmark,2.5,0.348060866,68453.87693,11.505,65.525,6,1024.4619,3579.619,11.13391547,6.931922778
Djibouti,12.9,0.500601385,3397.520158,21.448,73.50733391,4,267.559,2726.3806,8.130801079,5.589340103
Dominica,3.6,0.439784194,9912.962128,27.994,33.33333333,2,2976.1018,3278.3,9.201598486,7.998369602
Dominican Republic,3.6,0.434629849,10630.43174,15.554,55.35308089,9,2112.649,3227.89,9.271476086,7.655697889
Ecuador,12.1,0.46103782,6737.847484,35.208,21.541311,9,25019.152,2574.2866,8.815495788,10.12739689
El Salvador,6.7,0.424035884,5365.444914,24.607,57.70752896,4,2498.4885,2861.1096,8.587734581,7.823441228
Estonia,2.5,0.334474272,30133.30445,30.19,23.12192839,2,9549.699,3238.8308,10.3133863,9.164264915
Fiji,6.8,0.452260764,5888.736673,41.287,17.05528188,9,31143.95,2982.4546,8.680796767,10.34637528
Finland,2.5,0.282452526,52821.51143,14.227,7.441768654,8,19310.535,3360.3848,10.8746738,9.868406081
France,2.5,0.305648385,44690.93454,18.223,52.50439744,4,2947.991,3505.4783,10.70752595,7.9888792
Gabon,25.3,0.4363878,8071.397774,8.971,8.356564598,6,69002.6,2507.9507,8.996081952,11.14189946
Georgia,2.5,0.394724855,8283.669607,39.273,34.13296877,8,15674.336,3064.7148,9.022041338,9.659780004
Germany,2.5,0.301358153,53940.40734,22.235,47.46587299,9,1286.1183,3573.1267,10.89563515,7.159383891
Ghana,6.3,0.44962554,2383.904105,40.762,55.39301991,5,931.7726,3132.9773,7.776494803,6.837088793
Greece,2.5,0.337056005,23400.72788,19.327,41.67601784,5,5487.6396,3389.062,10.06052241,8.610253497
Guatemala,11.8,0.434347,5758.308763,46.902,43.03844718,5,6205.0215,2790.4397,8.658399093,8.733114163
Guinea,11.4,0.529396372,1555.493758,61.915,73.22924874,13,16483.701,2872.6372,7.349548304,9.710127353
Guinea-Bissau,22.1,0.613159389,964.9275542,54.534,29.89084282,6,7771.363,2291.1282,6.872053025,8.958200846
Guyana,2.5,0.433089421,20473.70022,72.838,3.410059676,5,295530.75,3202.082,9.926896425,12.59652817
Haiti,54.2,0.510000404,1705.758085,40.344,65.13062409,7,1143.5142,1991.8953,7.441764915,7.041861431
Honduras,14.8,0.445571418,3227.457625,39.788,31.95996068,10,8810.601,2646.4614,8.079449993,9.083710935
Hungary,2.5,0.353454473,22312.17903,27.136,55.69850975,8,622.9927,3530.3574,10.01288795,6.434534801
Iceland,2.5,0.321931755,79960.09615,5.958,16.24516513,3,456351.34,3604.709,11.28928299,13.03101827
India,12,0.484822516,2530.120313,63.636,60.0604065,4,1022.4834,2573.6377,7.836022135,6.929989653
Indonesia,6.3,0.4289768,4876.307745,41.428,29.12580576,3,7294.0967,2796.1113,8.492143603,8.894820629
Iraq,14.9,0.436363709,5965.318351,28.401,21.83078801,11,1452.708,2847.2524,8.693717703,7.28118468
Ireland,2.5,0.315381291,103887.8004,35.534,60.80708376,2,9587.943,3844.27,11.55106675,9.168261651
Israel,2.5,0.293027205,52003.72007,7.146,24.8012939,4,80.03073,3894.7224,10.85907053,4.382410686
Italy,2.5,0.342187165,39065.42444,28.027,44.25658393,11,3086.2542,3667.3591,10.57299307,8.034713402
Jamaica,7.7,0.421404346,6839.725024,42.622,38.50415512,5,3814.0286,2915.9214,8.830502809,8.246441285
Jordan,14.3,0.366620043,4466.083142,7.98,11.53231074,5,61.628235,2563.9648,8.404267049,4.121120126
Kazakhstan,2.5,0.319888042,12879.42753,41.821,79.36648517,7,3259.2834,3330.2756,9.463386552,8.089262634
Kenya,36.8,0.499843901,1952.304579,70.48,49.52632239,7,388.9576,2090.8738,7.576765789,5.96347034
Kuwait,2.5,0.362044609,34075.84904,0,8.417508418,9,0,3262.841,10.43634417,#NAME?
Latvia,2.5,0.360563154,22675.57863,31.329,31.67282661,6,8989.17,3259.167,10.02904379,9.103775798
