Country,hunger_vulnerability_rating,undernourishment_rate,undernourished_population,latest_fao_year,gdp_per_capita,life_expectancy,population,poverty_rate,region,income,poverty_headcount,gini_coefficient,poverty_gap,total_markets,total_population_served,climate_vulnerability_index,who_stunting_rate,child_stunting_rate,child_wasting_rate,child_underweight_rate,infant_mortality,under5_mortality,child_mortality,food_supply_kcal,tfp_index,poverty_below_3usd,major_hunger_outbreak_21st,outbreak_years
Afghanistan,89.5,28.1,11.7,2022-2024,413.76,66.03,41454761,NA,South Asia,Low income,NA,NA,NA,40,4373720,76.8,41.4,NA,NA,NA,NA,NA,NA,2273.89,131.85,NA,TRUE,"2001-2002, 2018-2021"
Albania,22.8,5.4,0.2,2022-2024,8575.17,79.6,2745972,NA,Europe & Central Asia,Upper middle income,0.31,0.29,0.08,NA,NA,NA,6.9,NA,NA,NA,NA,NA,NA,3408.11,107.06,0.34,FALSE,None
Algeria,34.9,2.5,NA,2022-2024,5364.03,76.26,46164219,NA,Middle East & North Africa,Upper middle income,0.58,0.28,0.18,7,897960,43.5,8.4,NA,NA,NA,NA,NA,NA,3424.5,106.81,0,FALSE,None
American Samoa,5,NA,NA,NA,NA,72.85,47521,NA,East Asia & Pacific,High income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,None
Andorra,5,NA,NA,NA,46812.45,84.04,80856,NA,Europe & Central Asia,High income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,None
Angola,80.3,22.5,8.3,2022-2024,2309.53,64.62,36749906,NA,Sub-Saharan Africa,Lower middle income,0.86,0.51,0.53,2,2788876,69,44.8,NA,NA,NA,NA,NA,NA,2431.64,96.85,39.29,FALSE,None
Antigua and Barbuda,12,NA,NA,NA,21494.55,77.6,93316,NA,Latin America & Caribbean,High income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2482.49,NA,NA,FALSE,None
Arab World,13,NA,NA,NA,7479.69,72.44,482105978,NA,Aggregates,Aggregates,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,None
Argentina,31.1,3.4,1.5,2022-2024,14187.48,77.39,45538401,1.2,Latin America & Caribbean,Upper middle income,NA,NA,NA,3,2193834,NA,9.7,NA,NA,NA,NA,NA,NA,3354.89,80.43,NA,FALSE,None
Argentina (urban),0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.96,FALSE,None
Argentina urban,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,None
