Area,missing_count,undernourishment_rate,gdp_per_capita,poverty_rate,poverty_headcount,life_expectancy,population
Gaza,5,NA,NA,NA,NA,NA,NA
Laos,5,NA,NA,NA,NA,NA,NA
Yemen,5,NA,NA,NA,NA,NA,NA
Egypt,4,9.4,NA,NA,NA,NA,NA
Gambia,4,16.8,NA,NA,NA,NA,NA
Iran,4,6.8,NA,NA,NA,NA,NA
Republic of the Congo,4,26.4,NA,NA,NA,NA,NA
Somalia,4,53.2,NA,NA,NA,NA,NA
South Korea,4,2.5,NA,NA,NA,NA,NA
"Taiwan, China",4,NA,NA,NA,0.004991700122,NA,NA
Venezuela,4,5.9,NA,NA,NA,NA,NA
Cuba,3,NA,NA,NA,NA,78.085,11019931
Côte d'Ivoire,3,11.1,NA,NA,0.869940049283,NA,NA
Eritrea,3,NA,NA,NA,NA,68.624,3470390
"Korea, Dem. People's Rep.",3,NA,NA,NA,NA,73.642,26418204
St. Martin (French part),3,NA,NA,NA,NA,80.224,27515
Turkey,3,2.5,NA,NA,0.166691631181,NA,NA
Virgin Islands (U.S.),3,NA,NA,NA,NA,80.519512195122,104917
