Area,region,hunger_vulnerability_rating,gdp_per_capita,population
Africa Eastern and Southern,Unknown,22,1510.74295082335,750503764
Africa Western and Central,Unknown,25,1599.39298291654,509398589
Bahamas,Latin America & Caribbean,10,38231.774484278,399440
Bahrain,Middle East & North Africa,15,29290.1284215098,1577059
Bhutan,South Asia,18.1,3839.4093039286,786385
Brunei Darussalam,Unknown,0,32890.5492465722,458949
Burundi,Africa,21.4,192.074305359351,13689450
Channel Islands,Unknown,0,74589.1381155014,167691
"Congo, Rep.",Unknown,21.4,2477.97845477092,6182885
Cote d'Ivoire,Unknown,18,2554.67304885576,31165654
Cuba,Latin America & Caribbean,11,NA,11019931
Curacao,Unknown,0,21061.741639092,155800
"Egypt, Arab Rep.",Unknown,13.3,3456.78968456253,114535772
Equatorial Guinea,Africa,13.3,6677.793435386,1847549
Eritrea,Africa,10,NA,3470390
"Gambia, The",Unknown,20.3,888.157407441902,2697845
Gaza,Unknown,5,NA,NA
IDA & IBRD total,Unknown,13,6157.39821498709,6858864199
"Iran, Islamic Rep.",Unknown,11.2,4465.63766853306,90608707
Japan,East Asia & Pacific,10,33836.1756271617,124516650
"Korea, Dem. People's Rep.",Unknown,1,NA,26418204
"Korea, Rep.",East Asia & Pacific,8,33121.3712885508,51712619
Lao PDR,Unknown,17.3,2066.94979776957,7664993
Laos,East Asia & Pacific,8,NA,NA
Latin America & the Caribbean (IDA & IBRD countries),Unknown,9,10593.1164302324,642397939
Lesotho,Africa,30.4,916.282970463888,2311472
"Micronesia, Fed. Sts.",Unknown,17.3,3941.37247887414,112630
"Middle East, North Africa, Afghanistan & Pakistan",Unknown,13,6063.05247657864,797801454
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",Unknown,17,2792.71457545742,723911670
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",Unknown,17,2797.40730719316,729077445
Nicaragua,Latin America & Caribbean,31.2,2609.44492072931,6823613
Puerto Rico (US),Unknown,0,36948.4036416846,3203792
Qatar,Middle East & North Africa,15,80195.8746508549,2656032
Singapore,East Asia & Pacific,5,85412.230345235,5917648
Small states,Unknown,5,14222.966048012,20051342
"Somalia, Fed. Rep.",Unknown,24,597.458854603043,18358615
South Asia (IDA & IBRD),Unknown,17,2532.37560051691,1662580579
St. Martin (French part),Unknown,0,NA,27515
Sudan,Africa,26.3,797.283447265625,50042791
"Taiwan, China",Unknown,0,NA,NA
Tonga,East Asia & Pacific,13.2,4863.76384632192,104597
Turkiye,Unknown,7,13105.6585004778,85325965
"Venezuela, RB",Latin America & Caribbean,15.2,NA,28300854
Virgin Islands (U.S.),Unknown,0,NA,104917
West Bank,Unknown,16.2,3455.02852911712,5165775
Yemen,Africa,20,NA,NA
"Yemen, Rep.",Unknown,6.4,NA,39390799
