country,fatalities_latest,fatalities_avg_3yr,fatalities_total,years_with_conflict,civilian_events_latest,civilian_events_avg_3yr,civilian_events_total,violence_events_latest,violence_events_avg_3yr,violence_events_total,civilian_deaths_latest,civilian_deaths_avg_3yr,civilian_deaths_total,has_active_conflict,conflict_intensity_score,civilian_targeting_score,conflict_score,acled_latest_year
Afghanistan,824,1112.6666666666667,201662,9,352,512,8172,712,947.3333333333334,64128,201,356.6666666666667,11445,TRUE,75,75,75,2025
Akrotiri and Dhekelia,0,0,0,0,1,0.33333333333333337,1,1,0.33333333333333337,1,0,0,0,FALSE,0,0,0,2025
Albania,0,0.6666666666666666,4,4,3,4.666666666666667,37,3,5.666666666666667,75,0,0.6666666666666666,2,FALSE,25,0,12.5,2025
Algeria,32,26.666666666666668,13800,29,12,9.666666666666666,891,23,19,3100,10,14,7024,TRUE,50,50,50,2025
American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,2025
Andorra,0,0,0,0,0,0.5,1,0,0.5,1,0,0,0,FALSE,0,0,0,2025
Angola,188,117.33333333333333,144208,28,39,42.666666666666664,892,52,53.333333333333336,3150,38,43,23056,TRUE,50,50,50,2025
Anguilla,0,0,0,0,1,0.5,1,1,0.5,1,0,0,0,FALSE,0,0,0,2024
Antarctica,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,2024
Antigua and Barbuda,1,1.6666666666666667,7,4,1,2,13,1,2,13,1,1.6666666666666667,7,TRUE,25,25,25,2025
Argentina,2,4,122,8,8,17,336,14,28.333333333333332,473,2,3.6666666666666665,89,TRUE,50,25,37.5,2025
Armenia,1,9.666666666666666,298,8,3,6.666666666666667,81,134,94.66666666666667,4511,1,0.6666666666666666,21,TRUE,50,0,25,2025
Aruba,1,0.33333333333333337,1,1,1,1,1,1,1,1,1,1,1,TRUE,0,0,0,2025
Australia,0,0,7,1,1,2,8,1,3,21,0,0,1,FALSE,25,0,12.5,2025
Austria,1,0.33333333333333337,7,2,1,2,19,1,2.3333333333333335,24,1,0.33333333333333337,7,TRUE,25,0,12.5,2025
Azerbaijan,6,192.66666666666669,7797,8,15,41.333333333333336,340,25,222.33333333333331,18078,5,10.666666666666666,224,TRUE,75,50,62.5,2025
Bahamas,0,0,6,2,1,3.666666666666667,17,1,3.666666666666667,19,0,0,3,FALSE,25,0,12.5,2025
Bahrain,0,0,22,3,9,6.333333333333333,91,11,8.666666666666666,121,0,0,6,FALSE,25,0,12.5,2025
Bailiwick of Guernsey,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,2025
Bailiwick of Jersey,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,2025
Bangladesh,327,854,8167,16,553,592,7433,998,1053,14482,218,308,3730,TRUE,100,75,87.5,2025
Barbados,0,0,2,1,0,0.6666666666666667,2,0,0.6666666666666667,3,0,0.6666666666666667,2,FALSE,0,0,0,2024
Belarus,1,1.6666666666666667,20,6,6,15.333333333333334,226,12,19,250,1,1.3333333333333333,14,TRUE,50,25,37.5,2025
Belgium,0,1.3333333333333335,9,3,5,5,24,8,9.333333333333334,65,0,1,5,FALSE,25,0,12.5,2025
Belize,27,29.333333333333332,473,8,36,40,626,56,55,820,16,20,370,TRUE,50,50,50,2025
Benin,414,305,1359,17,114,177.33333333333334,854,173,249,1230,107,126.33333333333333,609,TRUE,75,75,75,2025
Bermuda,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,2025
Bhutan,0,0,0,0,1,1,4,1,1.5,6,0,0,0,FALSE,25,0,12.5,2024
Bolivia,33,22.333333333333332,149,8,60,48,251,105,93.33333333333333,517,24,14.666666666666666,79,TRUE,50,50,50,2025
Bosnia and Herzegovina,0,0.6666666666666667,5,4,13,12.333333333333334,77,15,13.666666666666666,118,0,0,3,FALSE,50,25,37.5,2025
Botswana,4,4.333333333333333,30,10,5,6.666666666666667,56,5,7,66,4,4.333333333333333,29,TRUE,25,25,25,2025
Brazil,6965,7617,55760,8,4269,4683,32759,8950,9443.666666666666,73060,3660,4065,29075,TRUE,100,100,100,2025
British Indian Ocean Territory,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,2021
British Virgin Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,2025
Brunei,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,2023
Bulgaria,1,0.33333333333333337,1,1,3,3,20,3,3,33,1,0.5,1,TRUE,25,0,12.5,2025
Burkina Faso,4811,6932.333333333333,32679,24,153,429.3333333333333,3670,1180,1404.6666666666667,8985,773,1841.3333333333333,10553,TRUE,100,100,100,2025
Burundi,202,182.66666666666666,24587,29,181,232.33333333333334,6725,192,253.33333333333334,9081,90,110.66666666666667,11252,TRUE,75,75,75,2025
Cambodia,0,0,124,13,2,1.3333333333333333,224,4,2,306,0,0,80,FALSE,25,0,12.5,2025
Cameroon,972,1787.6666666666667,18071,29,1308,1577,8184,1833,2485,13746,359,686,6832,TRUE,100,75,87.5,2025
Canada,0,1.3333333333333335,12,2,3,5,39,3,6,51,0,1.3333333333333335,12,FALSE,25,25,25,2025
Cape Verde,0,0,0,0,1,1,4,1,2,11,0,0,0,FALSE,25,0,12.5,2025
Caribbean Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,2025
Cayman Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,2025
Central African Republic,873,749.3333333333334,19293,29,324,242.33333333333334,3676,463,390.6666666666667,6130,474,367,9476,TRUE,75,75,75,2025
Chad,292,378.3333333333333,11272,29,80,69.66666666666667,689,120,115.66666666666667,1499,147,123,2208,TRUE,75,75,75,2025
Chile,12,26.666666666666668,197,8,91,98,871,138,158.66666666666666,1483,11,16.333333333333332,112,TRUE,75,50,62.5,2025
China,1,7,106,8,143,168,2624,143,169.66666666666666,2707,1,6.333333333333333,93,TRUE,75,25,50,2025
Christmas Island,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,2022
Cocos (Keeling) Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,2021
Colombia,2085,1951.6666666666667,14971,8,1368,1583.6666666666667,11374,2580,2592.3333333333335,18490,1241,1322.6666666666667,10504,TRUE,100,100,100,2025
Comoros,2,2,10,5,4,6,36,9,10.333333333333334,58,0,1,7,TRUE,50,0,25,2025
Cook Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,2025
Costa Rica,5,7.666666666666667,50,8,13,10.333333333333334,79,16,17,123,5,5,38,TRUE,50,25,37.5,2025
Croatia,0,0,3,1,7,7.666666666666667,63,7,8,79,0,0,3,FALSE,25,0,12.5,2025
Cuba,5,4.666666666666667,22,7,44,48.666666666666664,375,44,50,399,5,4.666666666666667,19,TRUE,50,25,37.5,2025
Curacao,0,0,0,0,0,0,0,1,0.6666666666666666,2,0,0,0,FALSE,0,0,0,2025
Cyprus,1,0.33333333333333337,3,3,21,23.333333333333332,105,31,36.666666666666664,188,1,0.33333333333333337,3,TRUE,50,25,37.5,2025
Czech Republic,0,0,1,1,4,5,21,4,6.666666666666667,30,0,0,1,FALSE,25,0,12.5,2025
Democratic Republic of Congo,6475,5466.666666666667,91301,29,1133,1090.6666666666667,13354,2926,2490,28804,3491,3318.3333333333335,42181,TRUE,100,100,100,2025
Denmark,0,0,1,1,3,2.5,16,4,2.3333333333333335,34,0,0,1,FALSE,25,0,12.5,2025
Djibouti,1,8.333333333333334,118,16,1,2,62,2,5,109,1,1.6666666666666665,29,TRUE,25,25,25,2024
Dominica,0,0,1,1,1,0.6666666666666666,2,1,1,3,0,0.33333333333333337,1,FALSE,0,0,0,2025
Dominican Republic,23,16.666666666666668,126,8,12,18.666666666666668,135,18,26.333333333333332,198,11,10,85,TRUE,50,25,37.5,2025
East Timor,0,0,4,2,1,1.6666666666666667,11,1,1.6666666666666667,15,0,0,4,FALSE,25,0,12.5,2025
Ecuador,3619,3101.3333333333335,9393,8,2282,2061.3333333333335,6313,2948,2695,8287,2795,2406.3333333333335,7272,TRUE,100,100,100,2025
Egypt,51,32.333333333333336,15389,27,26,25,1634,42,31.333333333333332,5853,31,22.333333333333332,2946,TRUE,50,50,50,2025
El Salvador,9,29.333333333333332,3053,8,9,17.666666666666668,1597,18,37.333333333333336,2811,7,14,1739,TRUE,50,50,50,2025
Equatorial Guinea,0,1.3333333333333335,48,12,1,2,36,1,1.6666666666666667,46,1,0.6666666666666666,25,FALSE,25,0,12.5,2024
Eritrea,0,0.33333333333333337,54417,23,1,1,97,3,2.6666666666666665,322,0,0,5251,FALSE,25,0,12.5,2024
Estonia,0,0,1,1,1,0.5,1,1,0.5,1,1,0.5,1,FALSE,0,0,0,2025
Ethiopia,5563,5619.333333333333,80938,29,501,615,4528,2010,1993,12820,1123,1564,19626,TRUE,100,100,100,2025
Falkland Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,2025
Faroe Islands,0,0,0,0,0,0.5,1,0,0.5,1,0,0,0,FALSE,0,0,0,2025
Fiji,0,0,0,0,2,1.5,3,2,2,5,0,0,0,FALSE,25,0,12.5,2025
Finland,0,0,2,2,3,2,10,3,2,18,0,0,2,FALSE,25,0,12.5,2025
France,10,8.666666666666666,52,6,51,46.333333333333336,281,92,74.33333333333333,632,10,8,47,TRUE,50,25,37.5,2025
French Guiana,0,1,3,2,1,1,5,1,2,11,1,1,2,FALSE,25,0,12.5,2025
French Polynesia,0,0,0,0,1,1,1,1,1.5,5,0,0,0,FALSE,25,0,12.5,2025
French Southern and Antarctic Lands,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,2021
Gabon,1,1.3333333333333333,44,12,3,6,54,6,8.333333333333334,79,1,1,14,TRUE,25,0,12.5,2025
Gambia,0,1,155,19,3,3.3333333333333335,103,5,5.333333333333333,155,0,1,122,FALSE,25,0,12.5,2025
Georgia,0,1,10,5,20,18,157,22,21,220,0,1,8,FALSE,50,25,37.5,2025
Germany,7,10.666666666666666,56,6,57,52.333333333333336,291,66,61.333333333333336,377,7,10.333333333333334,54,TRUE,50,50,50,2025
Ghana,258,194.33333333333334,1421,28,123,151,966,231,253.66666666666666,1640,133,113,791,TRUE,75,75,75,2025
Gibraltar,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,2025
Greece,6,4.666666666666667,54,8,57,54.333333333333336,377,92,104.33333333333333,943,5,4.333333333333333,43,TRUE,75,25,50,2025
Greenland,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,2025
Grenada,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,2025
Guadeloupe,0,0,2,2,1,0.6666666666666666,5,9,4,20,0,0,2,FALSE,25,0,12.5,2025
Guam,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,2025
Guatemala,424,519.6666666666666,5464,8,304,418.6666666666667,3292,426,529.6666666666666,5810,307,420.6666666666667,3089,TRUE,75,75,75,2025
Guinea,28,54.666666666666664,3620,28,35,44.666666666666664,559,71,86.33333333333333,1118,14,19.666666666666668,1770,TRUE,50,50,50,2025
Guinea-Bissau,0,4.666666666666667,983,21,3,5.666666666666667,69,3,6.333333333333333,188,0,4,67,FALSE,25,25,25,2025
Guyana,10,4.333333333333333,23,7,5,6.333333333333333,50,10,9.666666666666666,74,4,2.3333333333333335,14,TRUE,25,25,25,2025
Haiti,2480,2682.3333333333335,12004,8,493,580.3333333333334,3354,1089,1185.3333333333333,6237,909,1089.6666666666667,4922,TRUE,100,100,100,2025
Heard Island and McDonald Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,2021
Honduras,489,546,5578,8,365,394.6666666666667,4072,437,469,4830,410,457.6666666666667,4711,TRUE,75,75,75,2025
Hungary,1,0.33333333333333337,1,1,8,7.333333333333333,35,8,8,38,1,0.33333333333333337,1,TRUE,25,0,12.5,2025
Iceland,0,0,3,1,1,1,5,1,1,5,0,0,3,FALSE,0,0,0,2025
India,1060,1153.6666666666667,13366,10,1479,1842.3333333333333,15448,2622,3196.6666666666665,32439,450,583.6666666666666,5430,TRUE,100,75,87.5,2025
Indonesia,236,205.66666666666666,1738,11,305,239,1546,544,454,2957,104,102.33333333333333,776,TRUE,75,75,75,2025
Iran,702,418,3711,10,133,102.33333333333333,994,554,306.6666666666667,2050,297,191,1323,TRUE,75,75,75,2025
