Area,latest_year,undernourishment_rate,severe_food_insecurity,moderate_severe_food_insecurity,dietary_energy_adequacy,cereal_import_dependency,food_import_value,hunger_risk,food_insecurity_level,development_level
Angola,2022,22.5,NA,NA,NA,NA,NA,High,Very Low,Very Low Income
Bangladesh,2022,10.4,NA,NA,NA,NA,NA,Medium,Very Low,Very Low Income
Barbados,2022,4.4,NA,NA,NA,NA,NA,Very Low,Very Low,Very Low Income
Belize,2022,7,NA,NA,NA,NA,NA,Low,Very Low,Very Low Income
Bolivia (Plurinational State of),2022,21.8,NA,NA,NA,NA,NA,High,Very Low,Very Low Income
Central African Republic,2022,29.8,NA,NA,NA,NA,NA,Critical,Very Low,Very Low Income
"China, Hong Kong SAR",2022,3.1,NA,NA,NA,NA,NA,Very Low,Very Low,Very Low Income
"China, Macao SAR",2022,11.2,NA,NA,NA,NA,NA,Medium,Very Low,Very Low Income
"China, Taiwan Province of",2022,3.8,NA,NA,NA,NA,NA,Very Low,Very Low,Very Low Income
Congo,2022,26.4,NA,NA,NA,NA,NA,Critical,Very Low,Very Low Income
Dominica,2022,3.6,NA,NA,NA,NA,NA,Very Low,Very Low,Very Low Income
Fiji,2022,6.8,NA,NA,NA,NA,NA,Low,Very Low,Very Low Income
French Polynesia,2022,3.8,NA,NA,NA,NA,NA,Very Low,Very Low,Very Low Income
Gabon,2022,25.3,NA,NA,NA,NA,NA,Critical,Very Low,Very Low Income
Guinea,2022,11.4,NA,NA,NA,NA,NA,Medium,Very Low,Very Low Income
Guinea-Bissau,2022,22.1,NA,NA,NA,NA,NA,High,Very Low,Very Low Income
India,2022,12,NA,NA,NA,NA,NA,Medium,Very Low,Very Low Income
Iraq,2022,14.9,NA,NA,NA,NA,NA,Medium,Very Low,Very Low Income
Jordan,2022,14.3,NA,NA,NA,NA,NA,Medium,Very Low,Very Low Income
Kyrgyzstan,2022,5.1,NA,NA,NA,NA,NA,Low,Very Low,Very Low Income
Morocco,2022,7,NA,NA,NA,NA,NA,Low,Very Low,Very Low Income
Mozambique,2022,21.8,NA,NA,NA,NA,NA,High,Very Low,Very Low Income
New Caledonia,2022,4.9,NA,NA,NA,NA,NA,Very Low,Very Low,Very Low Income
Oman,2022,5.9,NA,NA,NA,NA,NA,Low,Very Low,Very Low Income
Panama,2022,5.7,NA,NA,NA,NA,NA,Low,Very Low,Very Low Income
Papua New Guinea,2022,28.7,NA,NA,NA,NA,NA,Critical,Very Low,Very Low Income
Paraguay,2022,5.2,NA,NA,NA,NA,NA,Low,Very Low,Very Low Income
Polynesia,2022,3.7,NA,NA,NA,NA,NA,Very Low,Very Low,Very Low Income
Rwanda,2022,24.4,NA,NA,NA,NA,NA,High,Very Low,Very Low Income
Saint Vincent and the Grenadines,2022,6.1,NA,NA,NA,NA,NA,Low,Very Low,Very Low Income
Sao Tome and Principe,2022,17.4,NA,NA,NA,NA,NA,High,Very Low,Very Low Income
Solomon Islands,2022,20,NA,NA,NA,NA,NA,High,Very Low,Very Low Income
Somalia,2022,53.2,NA,NA,NA,NA,NA,Critical,Very Low,Very Low Income
Suriname,2022,9.7,NA,NA,NA,NA,NA,Low,Very Low,Very Low Income
Syrian Arab Republic,2022,39,NA,NA,NA,NA,NA,Critical,Very Low,Very Low Income
Timor-Leste,2022,18.7,NA,NA,NA,NA,NA,High,Very Low,Very Low Income
Turkmenistan,2022,4.3,NA,NA,NA,NA,NA,Very Low,Very Low,Very Low Income
Vanuatu,2022,7.2,NA,NA,NA,NA,NA,Low,Very Low,Very Low Income
Venezuela (Bolivarian Republic of),2022,5.9,NA,NA,NA,NA,NA,Low,Very Low,Very Low Income
