country,assessment_year,ipc_phase,population_phase3_plus,population_phase4_plus,population_phase5,primary_driver,secondary_driver,source_line
Afghanistan,2024,4,40,NA,NA,NA,NA,"Phase 4 or equivalent, indicating the widespread         Afghanistan, Central African Republic, Chad             DJIBOUTI                                                                                40%             May–December 2024"
Angola,2024,5,20,NA,NA,NA,NA,"                                                     (IPC/CH Phase 5)                                                                                                                           In localized areas of Madagascar in 2016, Angola"
Bangladesh,2024,4,20,NA,NA,Climate,NA,"      were classified in IPC AMN Phase 4 from June to                                                            Flooding in 2024 in Afghanistan, Bangladesh,"
Benin,2024,4,20,NA,NA,NA,NA,"western Cameroon and northern areas of Benin,                                  origin (UNHCR, 2024).                                                                                                                        revealed Critical (IPC AMN Phase 4) levels of"
Burkina Faso,2024,NA,20,NA,NA,Conflict,NA,"    impacts of the devastating conflict. It had the       of the total population) continuing to face high          While, in March 2024, the IPC FRC projected                                                     -18%       -0.6M        BURKINA FASO"
Burundi,2024,5,31,NA,NA,NA,NA,"     in IPC AMN Phase 5 in 2024, but 31 percent of          deterioration over this period. In Burundi, in 2020,                                                                                                       seasonal deterioration is projected for April–June"
CAR,2024,NA,20,NA,NA,NA,NA,"Rome. [Online] [Accessed on 19 November 2024] https://        IPC_DRC_Acute_Malnutrition_Jul2024_Jun2025_Report_            malnutrition aiguë de l’IPC, Septembre 2023-Août 2024.       african-republic-car-sudan-situation-5-11-january-2025"
Cameroon,2024,4,20,NA,NA,NA,NA,"western Cameroon and northern areas of Benin,                                  origin (UNHCR, 2024).                                                                                                                        revealed Critical (IPC AMN Phase 4) levels of"
Central African Republic,2024,4,40,NA,NA,NA,NA,"Phase 4 or equivalent, indicating the widespread         Afghanistan, Central African Republic, Chad             DJIBOUTI                                                                                40%             May–December 2024"
Chad,2024,4,40,NA,NA,NA,NA,"Phase 4 or equivalent, indicating the widespread         Afghanistan, Central African Republic, Chad             DJIBOUTI                                                                                40%             May–December 2024"
Colombia,2024,5,5,NA,NA,NA,NA,"                                                                                            Catastrophe (IPC Phase 5). Colombia,"
Côte d'Ivoire,2024,NA,77,NA,NA,NA,NA,          Côte d'Ivoire                         CH                         Jun–Aug 2024                       31.1          77%      3.8          16%            0.9          4%       CH                   Jun–Aug 2025              32.5          76%         3.7         15%            1.5          6%
DRC,2025,NA,24,NA,NA,Economic,NA,"ICG. 2025. Fall of DRC’s Goma: Urgent Action Needed           report/colombia/colombia-informe-de-situacion-               economic sectors. February. [Online] [Accessed on 24         GNAFC. 2024. Financing forecast. Rome, 2024."
Democratic Republic of the Congo,2024,3,3,NA,NA,NA,NA,"                                                                                                                                                                          Democratic Republic of the Congo, Ethiopia,                                                    in Crisis or worse (IPC/CH Phase 3 "
Djibouti,2024,4,40,NA,NA,NA,NA,"Phase 4 or equivalent, indicating the widespread         Afghanistan, Central African Republic, Chad             DJIBOUTI                                                                                40%             May–December 2024"
El Salvador,2023,NA,20,NA,NA,NA,NA,"                                                               Sources: IPC TWGs, 2023, 2024; FEWS NET (El Salvador); PRPC, 2025 (Colombia (residents)); WFP (CARI) (Colombia and Ecuador (refugees and migrants))."
Eritrea,2024,5,64,NA,NA,NA,NA,"        and, from August 2024, the Sudan (initially                2022 projected Famine (IPC Phase 5) for                        ERITREA                            1.8                    20.1                    20.4                    175                      4.1                     64"
Ethiopia,2023,5,20,NA,NA,NA,NA,"                                                                 Critical (IPC AMN Phase 5) from November 2023 to                                                                 (Cox’s Bazar), Ethiopia, Mauritania, Senegal"
Gambia,2024,NA,84,NA,NA,NA,NA,                                                                               GAMBIA            2.3                84.9               16.2                16.9                174                3.7                47.5         The high inflation rates observed in 2024 in several
Gaza,2024,3,20,NA,NA,NA,NA,CH Phase 3 or above or equivalent in 2024. See            DEMOCRATIC   REPUBLIC                                                                                           larger percentage were in IPC Phase 4 and                     PALESTINE (GAZA STRIP)                             100%
Ghana,2024,4,91,NA,NA,NA,NA,"largest number of people in CH Phase 4, primarily        for 91 percent of the total population facing high     de l’Analyse Economique, Benin; Ghana Statistical Services; Institut National de la"
Guatemala,2024,3,16900000,NA,NA,NA,NA,"     as Guatemala, Haiti, Pakistan and Zimbabwe.               13.2 million people in Crisis or worse ( IPC Phase 3 or above) to 16.9 million,"
Guinea,2024,NA,20,NA,NA,NA,NA,"In 2024, following a prolonged and intense period         Liberia, Guinea and Guinea-Bissau, remain"
Guinea-Bissau,2024,NA,20,NA,NA,NA,NA,"In 2024, following a prolonged and intense period         Liberia, Guinea and Guinea-Bissau, remain"
Haiti,2024,3,83,NA,NA,NA,NA,"      In 2024, Haiti faced the most severe food crisis       humanitarian assistance (IPC, September 2024).          Serious or worse (IPC AMN Phase 3 or above). The         population. Most (83 percent) are hosted by"
Honduras,2024,3,30,NA,NA,NA,NA,"                                                                    (Phase 3 de l’IPC) et l’Urgence (Phase 4 de l’IPC) persistent   Honduras, and Nicaragua. October 2024. [Online]                2024. December 2024. [Online] [Accessed on 30 December"
Iraq,2024,5,5,NA,NA,Economic,NA,population in Catastrophe (IPC Phase 5).                        Economic shocks were the primary              Statistics; Iran: Statistical Centre of Iran; Iraq: Authority of Statistics and Geographic
Jordan,2024,NA,75,NA,NA,Climate,NA,                                                        (GAZA STRIP)                                                                                                      following the severe drought in 2024. Lebanon                                    JORDAN                    75%
Kenya,2021,3,20,NA,NA,NA,NA,"     Kenya, South Sudan and refugees in Uganda              2021 to 2023, before improving in 2024 (IPC,                                                                                                               areas were expected to be in IPC AMN Phase 3 or"
Lebanon,2025,3,20,NA,NA,NA,NA,"AMN Phase 3 or above), with Rafah governorate in       just over 5 percent (by MUAC) in July–August            Strip), Syrian Arab Republic and Lebanon. Acute                                 2025 outlook"
Liberia,2024,NA,20,NA,NA,NA,NA,"In 2024, following a prolonged and intense period         Liberia, Guinea and Guinea-Bissau, remain"
Libya,2024,3,3,NA,NA,NA,NA,                                                            Selected and included with data for Phase 3 LIBYA
Madagascar,2025,4,20,NA,NA,NA,NA,"     of the analysed population projected to face IPC                                        Phase 4 (IPC, March 2025).                                                         Madagascar, Malawi and Mozambique are likely"
Malawi,2025,4,20,NA,NA,NA,NA,"     of the analysed population projected to face IPC                                        Phase 4 (IPC, March 2025).                                                         Madagascar, Malawi and Mozambique are likely"
Mali,2024,5,5,NA,NA,NA,NA,                                                    conditions (IPC AMN Phase 5) in Mali
Mauritania,2023,5,20,NA,NA,NA,NA,"                                                                 Critical (IPC AMN Phase 5) from November 2023 to                                                                 (Cox’s Bazar), Ethiopia, Mauritania, Senegal"
Mozambique,2025,4,20,NA,NA,NA,NA,"     of the analysed population projected to face IPC                                        Phase 4 (IPC, March 2025).                                                         Madagascar, Malawi and Mozambique are likely"
Myanmar,2024,3,20,NA,NA,NA,NA,"Phase 3 or above. The three of them accounted for                                      Source: IPC TWGs, 2024; Myanmar pre-analysis conducted under the HNRP; CH, 2024;   of the analysed population faced high levels of                        REPUBLIC"
Nepal,2024,NA,99,NA,NA,NA,NA,                                                                                                                                                                                  NEPAL                                                          20.3               16.7              99.0                14
Nicaragua,2024,3,30,NA,NA,NA,NA,"                                                                    (Phase 3 de l’IPC) et l’Urgence (Phase 4 de l’IPC) persistent   Honduras, and Nicaragua. October 2024. [Online]                2024. December 2024. [Online] [Accessed on 30 December"
Niger,2024,5,20,NA,NA,NA,NA,Catastrophe (CH Phase 5) in 2024. This marks                                                                                NIGER
Nigeria,2024,5,1000000,NA,NA,NA,NA,"Nigeria and Togo rank as ‘High’ (EC-JRC, 2024).      of IDPs facing Catastrophe (CH Phase 5) between                                              in the Niger and Nigeria, with over 1 million fewer"
Pakistan,2024,3,16900000,NA,NA,NA,NA,"     as Guatemala, Haiti, Pakistan and Zimbabwe.               13.2 million people in Crisis or worse ( IPC Phase 3 or above) to 16.9 million,"
Palestine,2024,3,20,NA,NA,NA,NA,CH Phase 3 or above or equivalent in 2024. See            DEMOCRATIC   REPUBLIC                                                                                           larger percentage were in IPC Phase 4 and                     PALESTINE (GAZA STRIP)                             100%
Peru,2024,5,2800000,NA,NA,NA,NA,"                                                        available for migrants and refugees in Peru.                                              into Catastrophe (IPC Phase 5) through June                                        Guatemala had 2.8 million people in this phase,"
Rwanda,2023,NA,20,NA,NA,NA,NA,"  were Palestine refugees under its mandate before October 2023. These        Iran, Jordan and Rwanda – were selected for"
Senegal,2023,5,20,NA,NA,NA,NA,"                                                                 Critical (IPC AMN Phase 5) from November 2023 to                                                                 (Cox’s Bazar), Ethiopia, Mauritania, Senegal"
Sierra Leone,2025,NA,20,NA,NA,Economic,NA,"to the global economic environment. As a result,          in Nigeria and Sierra Leone in 2025, despite some       pessimistic rainfall outlook raises concerns about"
Somalia,2022,5,20,NA,NA,NA,NA,"(IPC Phase 5) in Somalia in 2022–2023 (FSIN and        crises (GNAFC, 2024). Investment in agriculture"
South Sudan,2024,4,20,NA,NA,Conflict,NA,"Somalia and 5.8 percent in South Sudan. Although 2024). The ongoing conflict will likely continue                sharply during April–June 2025, with an estimated Phase 4) outcomes are expected to persist in the"
Sri Lanka,2024,NA,22,NA,NA,NA,NA,          Sri Lanka                             WFP/CARI¹                  Nov 2024                          22.6           100%     N/A          N/A           3.6          16%       No projections available
Sudan,2024,5,20,NA,NA,NA,NA,"Compared with the 2024 peak, 14 countries/                                                                                                                                                             face Catastrophe (IPC Phase 5) in the Sudan, but"
Syria,2025,3,20,NA,NA,NA,NA,Crisis (IPC Phase 3) Outcomes Persist. December. [Online]                                                                  September 2025 [Accessed 13 May 2025] https://                reliefweb.int/report/syrian-arab-republic/whole-syria-flash
Tanzania,2024,4,4,NA,NA,Climate,NA,"     Of them, around 0.1M were in Emergency (IPC Phase 4).                                                                                              severe drought conditions in decades     Tanzania. No populations were in Emergency (IPC Phase 4).                                                  "
Togo,2024,5,1000000,NA,NA,NA,NA,"Nigeria and Togo rank as ‘High’ (EC-JRC, 2024).      of IDPs facing Catastrophe (CH Phase 5) between                                              in the Niger and Nigeria, with over 1 million fewer"
Uganda,2024,5,78,NA,NA,Conflict,NA,"     Phase 5) detected in some areas. Three areas had                        3.8M pregnant and breastfeeding                                    Sudan crisis, 2024–2025, page 78. Conflict in South                     UGANDA (refugees)            0.1M                  Severe acute malnutrition"
United Republic of Tanzania,2023,NA,20,NA,NA,NA,NA,"                                                                                                                                                                                                 Source: United Republic of Tanzania IPC TWG, December 2023."
Venezuela,2025,NA,20,NA,NA,NA,NA," ACUTE FOOD INSECURITY | Cuba, Peru (migrants and refugees) and the Bolivarian Republic of Venezuela were selected for inclusion in the GRFC 2025, but did not have data that met GRFC technical requirements."
West Bank,2024,5,5,NA,NA,NA,NA,"     lowering productivity in agriculture, and diverting      Myanmar and Nigeria, and the climatic shock of                              CH Phase 5) – namely the Sudan, Palestine (Gaza                and West Bank), Lebanon and Yemen, while"
Yemen,2024,4,20,NA,NA,NA,NA,"Phase 4.                                                Yemen or refugees and migrants in Ecuador), and        for sub-Saharan Africa (IMF, October 2024).                                                      without external assistance.                            13"
Zambia,2024,3,40,NA,NA,NA,NA,"             in 40 countries/territories were in this phase.                                    Populations in Crisis (IPC/CH Phase 3)                                              Yemen (GoY)-controlled areas) and Zambia were                                          no one faced IPC Phase 2, as the "
Zimbabwe,2024,4,20,NA,NA,NA,NA,"     fig 1.9 Total number of forcibly displaced people                          Phase 4 (IPC, October 2024).                                                                                            ZIMBABWE"
