country,iso3,climate_vulnerability_index,Year,child_stunting_rate,child_wasting_rate,child_underweight_rate,infant_mortality,under5_mortality,child_mortality,who_stunting_rate,food_supply_kcal,poverty_below_3usd,tfp_index
Afghanistan,AFG,76.8,NA,NA,NA,NA,NA,NA,NA,41.4,2273.8936,NA,131.8512
Afghanistan,AFG,76.8,NA,NA,NA,NA,NA,NA,NA,42.7,2273.8936,NA,131.8512
Afghanistan,AFG,76.8,NA,NA,NA,NA,NA,NA,NA,42,2273.8936,NA,131.8512
Algeria,DZA,43.5,NA,NA,NA,NA,NA,NA,NA,8.4,3424.5012,0,106.8146
Algeria,DZA,43.5,NA,NA,NA,NA,NA,NA,NA,9.5,3424.5012,0,106.8146
Algeria,DZA,43.5,NA,NA,NA,NA,NA,NA,NA,8.9,3424.5012,0,106.8146
Angola,AGO,69,NA,NA,NA,NA,NA,NA,NA,44.8,2431.6443,39.294704,96.8475
Angola,AGO,69,NA,NA,NA,NA,NA,NA,NA,50.5,2431.6443,39.294704,96.8475
Angola,AGO,69,NA,NA,NA,NA,NA,NA,NA,47.7,2431.6443,39.294704,96.8475
Argentina urban,ARG,31.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bangladesh,BGD,45.6,2023,21.6,10.9,21.1,32.4,36.2,5.46,24.4,2608.2378,5.9090796,89.147
Bangladesh,BGD,45.6,2023,21.6,10.9,21.1,32.4,36.2,5.46,25.7,2608.2378,5.9090796,89.147
Bangladesh,BGD,45.6,2023,21.6,10.9,21.1,32.4,36.2,5.46,25.1,2608.2378,5.9090796,89.147
Barbados,BRB,33.3,NA,NA,NA,NA,NA,NA,NA,5,3189.6501,1.6773976,NA
Barbados,BRB,33.3,NA,NA,NA,NA,NA,NA,NA,6.5,3189.6501,1.6773976,NA
Barbados,BRB,33.3,NA,NA,NA,NA,NA,NA,NA,5.8,3189.6501,1.6773976,NA
Belize,BLZ,40.7,NA,NA,NA,NA,NA,NA,NA,10.5,2833.099,1.0364783,86.5328
Belize,BLZ,40.7,NA,NA,NA,NA,NA,NA,NA,12.8,2833.099,1.0364783,86.5328
Belize,BLZ,40.7,NA,NA,NA,NA,NA,NA,NA,11.7,2833.099,1.0364783,86.5328
Benin,BEN,67.2,2023,39,10.3,23.3,64.5,63.9,NA,30.4,2703.3135,27.223417,95.4957
Benin,BEN,67.2,2023,39,10.3,23.3,64.5,63.9,NA,35.9,2703.3135,27.223417,95.4957
Benin,BEN,67.2,2023,39,10.3,23.3,64.5,63.9,NA,33.2,2703.3135,27.223417,95.4957
Bhutan,BTN,38.4,NA,NA,NA,NA,NA,NA,NA,17.2,3221.6367,0.013378284,87.3668
Bhutan,BTN,38.4,NA,NA,NA,NA,NA,NA,NA,18.6,3221.6367,0.013378284,87.3668
Bhutan,BTN,38.4,NA,NA,NA,NA,NA,NA,NA,17.9,3221.6367,0.013378284,87.3668
Bolivia,BOL,41.2,NA,NA,NA,NA,NA,NA,NA,NA,2359.748,2.8174872,98.3896
Botswana,BWA,39.4,NA,NA,NA,NA,NA,NA,NA,18.6,2826.39,21.36526,80.9307
Botswana,BWA,39.4,NA,NA,NA,NA,NA,NA,NA,23.3,2826.39,21.36526,80.9307
Botswana,BWA,39.4,NA,NA,NA,NA,NA,NA,NA,21,2826.39,21.36526,80.9307
Brazil,BRA,33.4,NA,NA,NA,NA,NA,NA,NA,8.1,3383.5542,3.8155887,96.5941
