country,refugee_latest_year,refugees_latest,idps_latest,total_displaced_latest,import_latest_year,food_import_dependency,food_import_max,food_import_commodities,water_latest_year,water_stress_index
Afghanistan,2025,20861,3199648,3220882,NA,NA,NA,NA,2022,54.76
Albania,2025,10895,0,12974,NA,NA,NA,NA,NA,NA
Algeria,2025,181964,0,185882,NA,NA,NA,NA,2022,144.81
Angola,2025,25879,0,56146,NA,NA,NA,NA,2022,1.87
Anguilla,2022,0,0,0,NA,NA,NA,NA,NA,NA
Antigua and Barbuda,2025,0,0,5,NA,NA,NA,NA,2022,8.46
Argentina,2025,4611,0,9850,2021,0.2949707049180328,1,61,2022,10.46
Armenia,2025,138054,0,139238,NA,NA,NA,NA,2022,61.97
Aruba,2025,0,0,0,NA,NA,NA,NA,NA,NA
Australia,2025,34562,0,125647,2021,0.12902540322580644,1,186,2022,4.67
Austria,2025,281337,0,311479,NA,NA,NA,NA,2022,8.68
Azerbaijan,2025,6389,655212,662041,NA,NA,NA,NA,2022,57.53
Bahamas,2025,10,0,30,NA,NA,NA,NA,NA,NA
Bahrain,2025,240,0,362,2021,0.13142857714285713,1,175,2022,133.71
Bangladesh,2025,1143178,0,2286309,2021,0.3387096935483871,1,62,2022,5.72
Barbados,2025,5,0,13,NA,NA,NA,NA,2022,87.5
Belarus,2025,41807,0,48641,2021,0.18320545801526716,1,131,2022,4.66
Belgium,2025,186406,0,244016,NA,NA,NA,NA,2022,51.88
Belize,2025,358,0,2351,2021,0.4857142857142857,1,35,2022,1.26
Benin,2025,16243,12501,35757,NA,NA,NA,NA,2022,0.98
Bolivia (Plurinational State of),2025,1117,0,1182,2021,0.37735850943396226,1,53,NA,NA
Bosnia and Herzegovina,2025,532,94796,95518,2021,0.16129033064516132,1,124,2022,2.07
Botswana,2025,841,0,862,2021,0.38888880555555555,1,36,2022,2.23
Brazil,2025,267381,0,357486,2021,0.19999999166666665,0.999843,120,2022,1.5
British Virgin Islands,2025,5,0,48,NA,NA,NA,NA,NA,NA
Brunei Darussalam,2025,0,0,20863,2021,0.27118650847457626,1,59,NA,NA
Bulgaria,2025,102596,0,106279,NA,NA,NA,NA,2022,40.24
Burkina Faso,2025,40301,2062534,2104293,NA,NA,NA,NA,2022,7.82
Burundi,2025,104253,6930,113628,NA,NA,NA,NA,2022,10.19
Cabo Verde,2025,0,0,115,NA,NA,NA,NA,NA,NA
Cambodia,2025,23,0,75028,NA,NA,NA,NA,2022,1.04
Cameroon,2025,412118,969273,1400551,NA,NA,NA,NA,2022,1.56
Canada,2025,389250,0,701307,2021,0.062015232558139566,1,387,2022,3.72
Cayman Islands,2025,56,0,69,NA,NA,NA,NA,NA,NA
Central African Rep.,2025,54376,447089,509791,NA,NA,NA,NA,NA,NA
Chad,2025,1430067,225689,1664547,NA,NA,NA,NA,2022,4.29
Chile,2025,2496,0,16004,2021,0.11426383333333333,0.999921,210,2022,8.98
China,2025,251,0,739,2021,0.11594201449275364,0.977078,207,2022,41.52
"China, Hong Kong SAR",2025,253,0,253,NA,NA,NA,NA,NA,NA
