country,year,indicator,value,source,last_updated
Afghanistan,2020,Number of Disasters,1,EM-DAT (Realistic Simulation),2025-10-18
Afghanistan,2020,Total Affected (people),0,EM-DAT (Realistic Simulation),2025-10-18
Afghanistan,2020,Total Damages (USD millions),253.5840664753094,EM-DAT (Realistic Simulation),2025-10-18
Afghanistan,2020,Drought Events,3,EM-DAT (Realistic Simulation),2025-10-18
Afghanistan,2020,Flood Events,0,EM-DAT (Realistic Simulation),2025-10-18
Afghanistan,2020,Storm Events,0,EM-DAT (Realistic Simulation),2025-10-18
Afghanistan,2020,Food Security Impact Score,3.961595198447017,EM-DAT (Realistic Simulation),2025-10-18
Afghanistan,2021,Number of Disasters,2,EM-DAT (Realistic Simulation),2025-10-18
Afghanistan,2021,Total Affected (people),0,EM-DAT (Realistic Simulation),2025-10-18
Afghanistan,2021,Total Damages (USD millions),0,EM-DAT (Realistic Simulation),2025-10-18
Afghanistan,2021,Drought Events,1,EM-DAT (Realistic Simulation),2025-10-18
Afghanistan,2021,Flood Events,1,EM-DAT (Realistic Simulation),2025-10-18
Afghanistan,2021,Storm Events,0,EM-DAT (Realistic Simulation),2025-10-18
Afghanistan,2021,Food Security Impact Score,2.09066436066541,EM-DAT (Realistic Simulation),2025-10-18
Afghanistan,2022,Number of Disasters,3,EM-DAT (Realistic Simulation),2025-10-18
Afghanistan,2022,Total Affected (people),142487.53742301752,EM-DAT (Realistic Simulation),2025-10-18
Afghanistan,2022,Total Damages (USD millions),731.0052341409597,EM-DAT (Realistic Simulation),2025-10-18
Afghanistan,2022,Drought Events,0,EM-DAT (Realistic Simulation),2025-10-18
Afghanistan,2022,Flood Events,1,EM-DAT (Realistic Simulation),2025-10-18
Afghanistan,2022,Storm Events,2,EM-DAT (Realistic Simulation),2025-10-18
Afghanistan,2022,Food Security Impact Score,3.2551586969577344,EM-DAT (Realistic Simulation),2025-10-18
Afghanistan,2023,Number of Disasters,1,EM-DAT (Realistic Simulation),2025-10-18
Afghanistan,2023,Total Affected (people),11138.998312351898,EM-DAT (Realistic Simulation),2025-10-18
Afghanistan,2023,Total Damages (USD millions),0,EM-DAT (Realistic Simulation),2025-10-18
Afghanistan,2023,Drought Events,0,EM-DAT (Realistic Simulation),2025-10-18
Afghanistan,2023,Flood Events,2,EM-DAT (Realistic Simulation),2025-10-18
Afghanistan,2023,Storm Events,1,EM-DAT (Realistic Simulation),2025-10-18
Afghanistan,2023,Food Security Impact Score,3.4764376722723602,EM-DAT (Realistic Simulation),2025-10-18
Africa Eastern and Southern,2020,Number of Disasters,2,EM-DAT (Realistic Simulation),2025-10-18
Africa Eastern and Southern,2020,Total Affected (people),206921.96640924516,EM-DAT (Realistic Simulation),2025-10-18
Africa Eastern and Southern,2020,Total Damages (USD millions),347.36500505961357,EM-DAT (Realistic Simulation),2025-10-18
Africa Eastern and Southern,2020,Drought Events,0,EM-DAT (Realistic Simulation),2025-10-18
Africa Eastern and Southern,2020,Flood Events,1,EM-DAT (Realistic Simulation),2025-10-18
Africa Eastern and Southern,2020,Storm Events,0,EM-DAT (Realistic Simulation),2025-10-18
Africa Eastern and Southern,2020,Food Security Impact Score,2.0162379927397693,EM-DAT (Realistic Simulation),2025-10-18
Africa Eastern and Southern,2021,Number of Disasters,0,EM-DAT (Realistic Simulation),2025-10-18
Africa Eastern and Southern,2021,Total Affected (people),192859.64163014322,EM-DAT (Realistic Simulation),2025-10-18
Africa Eastern and Southern,2021,Total Damages (USD millions),292.0643867408461,EM-DAT (Realistic Simulation),2025-10-18
Africa Eastern and Southern,2021,Drought Events,1,EM-DAT (Realistic Simulation),2025-10-18
Africa Eastern and Southern,2021,Flood Events,0,EM-DAT (Realistic Simulation),2025-10-18
Africa Eastern and Southern,2021,Storm Events,0,EM-DAT (Realistic Simulation),2025-10-18
Africa Eastern and Southern,2021,Food Security Impact Score,2.7188900386106503,EM-DAT (Realistic Simulation),2025-10-18
Africa Eastern and Southern,2022,Number of Disasters,0,EM-DAT (Realistic Simulation),2025-10-18
Africa Eastern and Southern,2022,Total Affected (people),87542.75107893776,EM-DAT (Realistic Simulation),2025-10-18
Africa Eastern and Southern,2022,Total Damages (USD millions),1661.068366684673,EM-DAT (Realistic Simulation),2025-10-18
Africa Eastern and Southern,2022,Drought Events,0,EM-DAT (Realistic Simulation),2025-10-18
Africa Eastern and Southern,2022,Flood Events,2,EM-DAT (Realistic Simulation),2025-10-18
Africa Eastern and Southern,2022,Storm Events,1,EM-DAT (Realistic Simulation),2025-10-18
Africa Eastern and Southern,2022,Food Security Impact Score,0.04416769370306328,EM-DAT (Realistic Simulation),2025-10-18
Africa Eastern and Southern,2023,Number of Disasters,1,EM-DAT (Realistic Simulation),2025-10-18
Africa Eastern and Southern,2023,Total Affected (people),95537.93723693857,EM-DAT (Realistic Simulation),2025-10-18
Africa Eastern and Southern,2023,Total Damages (USD millions),1163.1663953105979,EM-DAT (Realistic Simulation),2025-10-18
Africa Eastern and Southern,2023,Drought Events,0,EM-DAT (Realistic Simulation),2025-10-18
Africa Eastern and Southern,2023,Flood Events,1,EM-DAT (Realistic Simulation),2025-10-18
Africa Eastern and Southern,2023,Storm Events,1,EM-DAT (Realistic Simulation),2025-10-18
Africa Eastern and Southern,2023,Food Security Impact Score,1.2842757002313228,EM-DAT (Realistic Simulation),2025-10-18
Africa Western and Central,2020,Number of Disasters,1,EM-DAT (Realistic Simulation),2025-10-18
Africa Western and Central,2020,Total Affected (people),33039.654010373095,EM-DAT (Realistic Simulation),2025-10-18
Africa Western and Central,2020,Total Damages (USD millions),136.42907131539693,EM-DAT (Realistic Simulation),2025-10-18
Africa Western and Central,2020,Drought Events,0,EM-DAT (Realistic Simulation),2025-10-18
Africa Western and Central,2020,Flood Events,0,EM-DAT (Realistic Simulation),2025-10-18
Africa Western and Central,2020,Storm Events,2,EM-DAT (Realistic Simulation),2025-10-18
Africa Western and Central,2020,Food Security Impact Score,0,EM-DAT (Realistic Simulation),2025-10-18
Africa Western and Central,2021,Number of Disasters,2,EM-DAT (Realistic Simulation),2025-10-18
Africa Western and Central,2021,Total Affected (people),30432.306940500042,EM-DAT (Realistic Simulation),2025-10-18
Africa Western and Central,2021,Total Damages (USD millions),0,EM-DAT (Realistic Simulation),2025-10-18
Africa Western and Central,2021,Drought Events,2,EM-DAT (Realistic Simulation),2025-10-18
Africa Western and Central,2021,Flood Events,0,EM-DAT (Realistic Simulation),2025-10-18
Africa Western and Central,2021,Storm Events,2,EM-DAT (Realistic Simulation),2025-10-18
Africa Western and Central,2021,Food Security Impact Score,4.936136592961072,EM-DAT (Realistic Simulation),2025-10-18
Africa Western and Central,2022,Number of Disasters,1,EM-DAT (Realistic Simulation),2025-10-18
Africa Western and Central,2022,Total Affected (people),16998.47080211722,EM-DAT (Realistic Simulation),2025-10-18
Africa Western and Central,2022,Total Damages (USD millions),839.6070652838985,EM-DAT (Realistic Simulation),2025-10-18
Africa Western and Central,2022,Drought Events,0,EM-DAT (Realistic Simulation),2025-10-18
Africa Western and Central,2022,Flood Events,4,EM-DAT (Realistic Simulation),2025-10-18
Africa Western and Central,2022,Storm Events,1,EM-DAT (Realistic Simulation),2025-10-18
Africa Western and Central,2022,Food Security Impact Score,5.363791084280107,EM-DAT (Realistic Simulation),2025-10-18
Africa Western and Central,2023,Number of Disasters,0,EM-DAT (Realistic Simulation),2025-10-18
Africa Western and Central,2023,Total Affected (people),7670.4662127834745,EM-DAT (Realistic Simulation),2025-10-18
Africa Western and Central,2023,Total Damages (USD millions),502.3711533249702,EM-DAT (Realistic Simulation),2025-10-18
Africa Western and Central,2023,Drought Events,0,EM-DAT (Realistic Simulation),2025-10-18
Africa Western and Central,2023,Flood Events,1,EM-DAT (Realistic Simulation),2025-10-18
Africa Western and Central,2023,Storm Events,1,EM-DAT (Realistic Simulation),2025-10-18
Africa Western and Central,2023,Food Security Impact Score,6.50199832565326,EM-DAT (Realistic Simulation),2025-10-18
Albania,2020,Number of Disasters,0,EM-DAT (Realistic Simulation),2025-10-18
Albania,2020,Total Affected (people),36403.44797491859,EM-DAT (Realistic Simulation),2025-10-18
Albania,2020,Total Damages (USD millions),0,EM-DAT (Realistic Simulation),2025-10-18
Albania,2020,Drought Events,0,EM-DAT (Realistic Simulation),2025-10-18
Albania,2020,Flood Events,2,EM-DAT (Realistic Simulation),2025-10-18
Albania,2020,Storm Events,0,EM-DAT (Realistic Simulation),2025-10-18
Albania,2020,Food Security Impact Score,2.459952773272956,EM-DAT (Realistic Simulation),2025-10-18
Albania,2021,Number of Disasters,2,EM-DAT (Realistic Simulation),2025-10-18
Albania,2021,Total Affected (people),41515.20326097845,EM-DAT (Realistic Simulation),2025-10-18
Albania,2021,Total Damages (USD millions),0,EM-DAT (Realistic Simulation),2025-10-18
Albania,2021,Drought Events,1,EM-DAT (Realistic Simulation),2025-10-18
Albania,2021,Flood Events,1,EM-DAT (Realistic Simulation),2025-10-18
Albania,2021,Storm Events,1,EM-DAT (Realistic Simulation),2025-10-18
Albania,2021,Food Security Impact Score,2.390463756392636,EM-DAT (Realistic Simulation),2025-10-18
Albania,2022,Number of Disasters,2,EM-DAT (Realistic Simulation),2025-10-18
Albania,2022,Total Affected (people),0,EM-DAT (Realistic Simulation),2025-10-18
Albania,2022,Total Damages (USD millions),0,EM-DAT (Realistic Simulation),2025-10-18
Albania,2022,Drought Events,1,EM-DAT (Realistic Simulation),2025-10-18
Albania,2022,Flood Events,0,EM-DAT (Realistic Simulation),2025-10-18
Albania,2022,Storm Events,3,EM-DAT (Realistic Simulation),2025-10-18
Albania,2022,Food Security Impact Score,6.024192461055975,EM-DAT (Realistic Simulation),2025-10-18
