Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20222024","2022-2024","%","28.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6132","Value","210011","Number of people undernourished (million) (3-year average)","20222024","2022-2024","million No","11.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","008","Albania","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20222024","2022-2024","%","5.4","E","Estimated value",""
"FS","Suite of Food Security Indicators","008","Albania","6132","Value","210011","Number of people undernourished (million) (3-year average)","20222024","2022-2024","million No","0.2","E","Estimated value",""
"FS","Suite of Food Security Indicators","012","Algeria","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20222024","2022-2024","%","<2.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","012","Algeria","6132","Value","210011","Number of people undernourished (million) (3-year average)","20222024","2022-2024","million No","","Q","Missing value; suppressed",""
"FS","Suite of Food Security Indicators","016","American Samoa","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20222024","2022-2024","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","016","American Samoa","6132","Value","210011","Number of people undernourished (million) (3-year average)","20222024","2022-2024","million No","","O","Missing value",""
"FS","Suite of Food Security Indicators","020","Andorra","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20222024","2022-2024","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","020","Andorra","6132","Value","210011","Number of people undernourished (million) (3-year average)","20222024","2022-2024","million No","","O","Missing value",""
"FS","Suite of Food Security Indicators","024","Angola","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20222024","2022-2024","%","22.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","024","Angola","6132","Value","210011","Number of people undernourished (million) (3-year average)","20222024","2022-2024","million No","8.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","028","Antigua and Barbuda","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20222024","2022-2024","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","028","Antigua and Barbuda","6132","Value","210011","Number of people undernourished (million) (3-year average)","20222024","2022-2024","million No","","O","Missing value",""
"FS","Suite of Food Security Indicators","032","Argentina","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20222024","2022-2024","%","3.4","E","Estimated value",""
"FS","Suite of Food Security Indicators","032","Argentina","6132","Value","210011","Number of people undernourished (million) (3-year average)","20222024","2022-2024","million No","1.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","051","Armenia","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20222024","2022-2024","%","<2.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","051","Armenia","6132","Value","210011","Number of people undernourished (million) (3-year average)","20222024","2022-2024","million No","","Q","Missing value; suppressed",""
"FS","Suite of Food Security Indicators","036","Australia","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20222024","2022-2024","%","<2.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","036","Australia","6132","Value","210011","Number of people undernourished (million) (3-year average)","20222024","2022-2024","million No","","Q","Missing value; suppressed",""
"FS","Suite of Food Security Indicators","040","Austria","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20222024","2022-2024","%","<2.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","040","Austria","6132","Value","210011","Number of people undernourished (million) (3-year average)","20222024","2022-2024","million No","","Q","Missing value; suppressed",""
"FS","Suite of Food Security Indicators","031","Azerbaijan","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20222024","2022-2024","%","<2.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","031","Azerbaijan","6132","Value","210011","Number of people undernourished (million) (3-year average)","20222024","2022-2024","million No","","Q","Missing value; suppressed",""
"FS","Suite of Food Security Indicators","044","Bahamas","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20222024","2022-2024","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","044","Bahamas","6132","Value","210011","Number of people undernourished (million) (3-year average)","20222024","2022-2024","million No","","O","Missing value",""
"FS","Suite of Food Security Indicators","048","Bahrain","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20222024","2022-2024","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","048","Bahrain","6132","Value","210011","Number of people undernourished (million) (3-year average)","20222024","2022-2024","million No","","O","Missing value",""
"FS","Suite of Food Security Indicators","050","Bangladesh","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20222024","2022-2024","%","10.4","E","Estimated value",""
"FS","Suite of Food Security Indicators","050","Bangladesh","6132","Value","210011","Number of people undernourished (million) (3-year average)","20222024","2022-2024","million No","17.9","E","Estimated value",""
"FS","Suite of Food Security Indicators","052","Barbados","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20222024","2022-2024","%","4.4","E","Estimated value",""
"FS","Suite of Food Security Indicators","052","Barbados","6132","Value","210011","Number of people undernourished (million) (3-year average)","20222024","2022-2024","million No","<0.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","112","Belarus","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20222024","2022-2024","%","<2.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","112","Belarus","6132","Value","210011","Number of people undernourished (million) (3-year average)","20222024","2022-2024","million No","","Q","Missing value; suppressed",""
"FS","Suite of Food Security Indicators","056","Belgium","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20222024","2022-2024","%","<2.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","056","Belgium","6132","Value","210011","Number of people undernourished (million) (3-year average)","20222024","2022-2024","million No","","Q","Missing value; suppressed",""
"FS","Suite of Food Security Indicators","084","Belize","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20222024","2022-2024","%","7","E","Estimated value",""
"FS","Suite of Food Security Indicators","084","Belize","6132","Value","210011","Number of people undernourished (million) (3-year average)","20222024","2022-2024","million No","<0.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","204","Benin","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20222024","2022-2024","%","14.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","204","Benin","6132","Value","210011","Number of people undernourished (million) (3-year average)","20222024","2022-2024","million No","2","E","Estimated value",""
"FS","Suite of Food Security Indicators","060","Bermuda","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20222024","2022-2024","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","060","Bermuda","6132","Value","210011","Number of people undernourished (million) (3-year average)","20222024","2022-2024","million No","","O","Missing value",""
"FS","Suite of Food Security Indicators","064","Bhutan","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20222024","2022-2024","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","064","Bhutan","6132","Value","210011","Number of people undernourished (million) (3-year average)","20222024","2022-2024","million No","","O","Missing value",""
"FS","Suite of Food Security Indicators","068","Bolivia (Plurinational State of)","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20222024","2022-2024","%","21.8","E","Estimated value",""
"FS","Suite of Food Security Indicators","068","Bolivia (Plurinational State of)","6132","Value","210011","Number of people undernourished (million) (3-year average)","20222024","2022-2024","million No","2.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","070","Bosnia and Herzegovina","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20222024","2022-2024","%","<2.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","070","Bosnia and Herzegovina","6132","Value","210011","Number of people undernourished (million) (3-year average)","20222024","2022-2024","million No","","Q","Missing value; suppressed",""
"FS","Suite of Food Security Indicators","072","Botswana","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20222024","2022-2024","%","24","E","Estimated value",""
"FS","Suite of Food Security Indicators","072","Botswana","6132","Value","210011","Number of people undernourished (million) (3-year average)","20222024","2022-2024","million No","0.6","E","Estimated value",""
"FS","Suite of Food Security Indicators","076","Brazil","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20222024","2022-2024","%","<2.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","076","Brazil","6132","Value","210011","Number of people undernourished (million) (3-year average)","20222024","2022-2024","million No","","Q","Missing value; suppressed",""
"FS","Suite of Food Security Indicators","096","Brunei Darussalam","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20222024","2022-2024","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","096","Brunei Darussalam","6132","Value","210011","Number of people undernourished (million) (3-year average)","20222024","2022-2024","million No","","O","Missing value",""
"FS","Suite of Food Security Indicators","100","Bulgaria","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20222024","2022-2024","%","<2.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","100","Bulgaria","6132","Value","210011","Number of people undernourished (million) (3-year average)","20222024","2022-2024","million No","","Q","Missing value; suppressed",""
