country,year,indicator,value,source,last_updated
Afghanistan,2020,Prevalence of Undernourishment (%),1.385258411690094,FAO (Realistic Simulation),2025-10-18
Afghanistan,2020,Number of Undernourished (millions),20.309927791892004,FAO (Realistic Simulation),2025-10-18
Afghanistan,2020,Depth of Food Deficit (kcal/person/day),154.8307644950776,FAO (Realistic Simulation),2025-10-18
Afghanistan,2020,Average Dietary Energy Supply Adequacy (%),98.63340979684664,FAO (Realistic Simulation),2025-10-18
Afghanistan,2020,Average Protein Supply (g/person/day),97.6886139070076,FAO (Realistic Simulation),2025-10-18
Afghanistan,2021,Prevalence of Undernourishment (%),18.62307112946064,FAO (Realistic Simulation),2025-10-18
Afghanistan,2021,Number of Undernourished (millions),10.531089224897315,FAO (Realistic Simulation),2025-10-18
Afghanistan,2021,Depth of Food Deficit (kcal/person/day),100.90556639540245,FAO (Realistic Simulation),2025-10-18
Afghanistan,2021,Average Dietary Energy Supply Adequacy (%),145.4089036092982,FAO (Realistic Simulation),2025-10-18
Afghanistan,2021,Average Protein Supply (g/person/day),47.477144323908036,FAO (Realistic Simulation),2025-10-18
Afghanistan,2022,Prevalence of Undernourishment (%),17.0272887476306,FAO (Realistic Simulation),2025-10-18
Afghanistan,2022,Number of Undernourished (millions),31.8077069824211,FAO (Realistic Simulation),2025-10-18
Afghanistan,2022,Depth of Food Deficit (kcal/person/day),242.6903431902408,FAO (Realistic Simulation),2025-10-18
Afghanistan,2022,Average Dietary Energy Supply Adequacy (%),82.66495100489969,FAO (Realistic Simulation),2025-10-18
Afghanistan,2022,Average Protein Supply (g/person/day),47.579349670065206,FAO (Realistic Simulation),2025-10-18
Afghanistan,2023,Prevalence of Undernourishment (%),8.665426240606068,FAO (Realistic Simulation),2025-10-18
Afghanistan,2023,Number of Undernourished (millions),4.92776106410261,FAO (Realistic Simulation),2025-10-18
Afghanistan,2023,Depth of Food Deficit (kcal/person/day),321.71113732768447,FAO (Realistic Simulation),2025-10-18
Afghanistan,2023,Average Dietary Energy Supply Adequacy (%),116.81393385566537,FAO (Realistic Simulation),2025-10-18
Afghanistan,2023,Average Protein Supply (g/person/day),72.14204004557928,FAO (Realistic Simulation),2025-10-18
Africa Eastern and Southern,2020,Prevalence of Undernourishment (%),14.950757941805909,FAO (Realistic Simulation),2025-10-18
Africa Eastern and Southern,2020,Number of Undernourished (millions),0,FAO (Realistic Simulation),2025-10-18
Africa Eastern and Southern,2020,Depth of Food Deficit (kcal/person/day),136.06171526746255,FAO (Realistic Simulation),2025-10-18
Africa Eastern and Southern,2020,Average Dietary Energy Supply Adequacy (%),80,FAO (Realistic Simulation),2025-10-18
Africa Eastern and Southern,2020,Average Protein Supply (g/person/day),63.02168764932164,FAO (Realistic Simulation),2025-10-18
Africa Eastern and Southern,2021,Prevalence of Undernourishment (%),18.63377520645229,FAO (Realistic Simulation),2025-10-18
Africa Eastern and Southern,2021,Number of Undernourished (millions),0,FAO (Realistic Simulation),2025-10-18
Africa Eastern and Southern,2021,Depth of Food Deficit (kcal/person/day),193.899654295467,FAO (Realistic Simulation),2025-10-18
Africa Eastern and Southern,2021,Average Dietary Energy Supply Adequacy (%),85.33179755100298,FAO (Realistic Simulation),2025-10-18
Africa Eastern and Southern,2021,Average Protein Supply (g/person/day),85.99647541497475,FAO (Realistic Simulation),2025-10-18
Africa Eastern and Southern,2022,Prevalence of Undernourishment (%),2.090164953682695,FAO (Realistic Simulation),2025-10-18
Africa Eastern and Southern,2022,Number of Undernourished (millions),29.936605428018172,FAO (Realistic Simulation),2025-10-18
Africa Eastern and Southern,2022,Depth of Food Deficit (kcal/person/day),66.39594922855218,FAO (Realistic Simulation),2025-10-18
Africa Eastern and Southern,2022,Average Dietary Energy Supply Adequacy (%),124.4261724523848,FAO (Realistic Simulation),2025-10-18
Africa Eastern and Southern,2022,Average Protein Supply (g/person/day),71.26271517275597,FAO (Realistic Simulation),2025-10-18
Africa Eastern and Southern,2023,Prevalence of Undernourishment (%),12.88226765926581,FAO (Realistic Simulation),2025-10-18
Africa Eastern and Southern,2023,Number of Undernourished (millions),4.885462031340653,FAO (Realistic Simulation),2025-10-18
Africa Eastern and Southern,2023,Depth of Food Deficit (kcal/person/day),181.8405134940371,FAO (Realistic Simulation),2025-10-18
Africa Eastern and Southern,2023,Average Dietary Energy Supply Adequacy (%),80,FAO (Realistic Simulation),2025-10-18
Africa Eastern and Southern,2023,Average Protein Supply (g/person/day),110.59151756006642,FAO (Realistic Simulation),2025-10-18
Africa Western and Central,2020,Prevalence of Undernourishment (%),11.55034338143448,FAO (Realistic Simulation),2025-10-18
Africa Western and Central,2020,Number of Undernourished (millions),26.336462641570346,FAO (Realistic Simulation),2025-10-18
Africa Western and Central,2020,Depth of Food Deficit (kcal/person/day),214.02199370128815,FAO (Realistic Simulation),2025-10-18
Africa Western and Central,2020,Average Dietary Energy Supply Adequacy (%),107.29305024729533,FAO (Realistic Simulation),2025-10-18
Africa Western and Central,2020,Average Protein Supply (g/person/day),97.41004084690103,FAO (Realistic Simulation),2025-10-18
Africa Western and Central,2021,Prevalence of Undernourishment (%),0,FAO (Realistic Simulation),2025-10-18
Africa Western and Central,2021,Number of Undernourished (millions),12.35721209064236,FAO (Realistic Simulation),2025-10-18
Africa Western and Central,2021,Depth of Food Deficit (kcal/person/day),170.95050850054474,FAO (Realistic Simulation),2025-10-18
Africa Western and Central,2021,Average Dietary Energy Supply Adequacy (%),95.80710521020592,FAO (Realistic Simulation),2025-10-18
Africa Western and Central,2021,Average Protein Supply (g/person/day),112.00868424517375,FAO (Realistic Simulation),2025-10-18
Africa Western and Central,2022,Prevalence of Undernourishment (%),50.28711951599239,FAO (Realistic Simulation),2025-10-18
Africa Western and Central,2022,Number of Undernourished (millions),28.76696122826131,FAO (Realistic Simulation),2025-10-18
Africa Western and Central,2022,Depth of Food Deficit (kcal/person/day),152.45314020015306,FAO (Realistic Simulation),2025-10-18
Africa Western and Central,2022,Average Dietary Energy Supply Adequacy (%),97.76977896492387,FAO (Realistic Simulation),2025-10-18
Africa Western and Central,2022,Average Protein Supply (g/person/day),106.9690279351191,FAO (Realistic Simulation),2025-10-18
Africa Western and Central,2023,Prevalence of Undernourishment (%),6.2294643250345985,FAO (Realistic Simulation),2025-10-18
Africa Western and Central,2023,Number of Undernourished (millions),0,FAO (Realistic Simulation),2025-10-18
Africa Western and Central,2023,Depth of Food Deficit (kcal/person/day),26.01393991694337,FAO (Realistic Simulation),2025-10-18
Africa Western and Central,2023,Average Dietary Energy Supply Adequacy (%),103.1401489750498,FAO (Realistic Simulation),2025-10-18
Africa Western and Central,2023,Average Protein Supply (g/person/day),82.82923183106259,FAO (Realistic Simulation),2025-10-18
Albania,2020,Prevalence of Undernourishment (%),5.324018156411176,FAO (Realistic Simulation),2025-10-18
Albania,2020,Number of Undernourished (millions),34.065358608122146,FAO (Realistic Simulation),2025-10-18
Albania,2020,Depth of Food Deficit (kcal/person/day),236.35172103166897,FAO (Realistic Simulation),2025-10-18
Albania,2020,Average Dietary Energy Supply Adequacy (%),93.57247456410074,FAO (Realistic Simulation),2025-10-18
Albania,2020,Average Protein Supply (g/person/day),77.7879643540065,FAO (Realistic Simulation),2025-10-18
Albania,2021,Prevalence of Undernourishment (%),16.698181964130914,FAO (Realistic Simulation),2025-10-18
Albania,2021,Number of Undernourished (millions),0,FAO (Realistic Simulation),2025-10-18
Albania,2021,Depth of Food Deficit (kcal/person/day),241.67511732840205,FAO (Realistic Simulation),2025-10-18
Albania,2021,Average Dietary Energy Supply Adequacy (%),115.30513335642502,FAO (Realistic Simulation),2025-10-18
Albania,2021,Average Protein Supply (g/person/day),46.31387157428265,FAO (Realistic Simulation),2025-10-18
