_id,db_id,last_sync,importer_country_ISO3Code,importer_country_name,importer_subregion,importer_continent,exporter_country_ISO3Code,exporter_country_name,exporter_subregion,exporter_continent,date,commodity,import_share
97875,178873,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,ARG,Argentina,South America,Latin America and the Caribbean,2019-01-01,maize,0.214395000000
97876,178874,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,ARG,Argentina,South America,Latin America and the Caribbean,2019-03-01,maize,0.360792000000
97877,178875,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,ARG,Argentina,South America,Latin America and the Caribbean,2019-06-01,maize,0.000005000000
97878,178876,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,ARG,Argentina,South America,Latin America and the Caribbean,2019-08-01,maize,0.003544000000
97879,178877,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,ARG,Argentina,South America,Latin America and the Caribbean,2019-09-01,maize,0.022167000000
97880,178878,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,ARG,Argentina,South America,Latin America and the Caribbean,2019-10-01,maize,0.002127000000
97881,178879,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,ARG,Argentina,South America,Latin America and the Caribbean,2019-11-01,maize,0.000007000000
97882,178880,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,ARG,Argentina,South America,Latin America and the Caribbean,2019-12-01,maize,0.000065000000
97883,178881,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,ARG,Argentina,South America,Latin America and the Caribbean,2020-01-01,maize,0.128637000000
97884,178882,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,ARG,Argentina,South America,Latin America and the Caribbean,2020-02-01,maize,0.839819000000
97885,178883,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,ARG,Argentina,South America,Latin America and the Caribbean,2020-05-01,maize,0.000004000000
97886,178884,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,ARG,Argentina,South America,Latin America and the Caribbean,2020-06-01,maize,0.000165000000
97887,178885,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,ARG,Argentina,South America,Latin America and the Caribbean,2020-08-01,maize,0.012454000000
97888,178886,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,ARG,Argentina,South America,Latin America and the Caribbean,2020-09-01,maize,0.002488000000
97889,178887,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,ARG,Argentina,South America,Latin America and the Caribbean,2020-10-01,maize,0.005516000000
97890,178888,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,ARG,Argentina,South America,Latin America and the Caribbean,2021-05-01,maize,0.000152000000
97891,178889,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,AUS,Australia,Australia and New Zealand,Oceania,2020-02-01,maize,0.001017000000
97892,178890,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,BOL,Bolivia (Plurinational State of),South America,Latin America and the Caribbean,2019-01-01,maize,0.504487000000
97893,178891,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,BOL,Bolivia (Plurinational State of),South America,Latin America and the Caribbean,2019-02-01,maize,0.415417000000
97894,178892,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,BOL,Bolivia (Plurinational State of),South America,Latin America and the Caribbean,2019-03-01,maize,0.631898000000
