Country,Continent,ISO_Code,Level,GDLCODE,Region,Year,sgdi,shdif,shdim,healthindexf,healthindexm,edindexf,edindexm,incindexf,incindexm
Afghanistan,Asia/Pacific,AFG,National,AFGt,Total,2023,0.66,0.379,0.575,0.693,0.723,0.264,0.502,0.298,0.523
Afghanistan,Asia/Pacific,AFG,Subnat,AFGr101,"Central (Kabul Wardak Kapisa Logar Parwan Panjsher)",2023,0.693,0.449,0.648,0.722,0.747,0.384,0.654,0.326,0.557
Afghanistan,Asia/Pacific,AFG,Subnat,AFGr102,"Central Highlands (Bamyan Daikundi)",2023,0.708,0.396,0.559,0.7,0.728,0.338,0.501,0.262,0.479
Afghanistan,Asia/Pacific,AFG,Subnat,AFGr103,"East (Nangarhar Kunar Laghman Nooristan)",2023,0.574,0.329,0.573,0.685,0.716,0.199,0.551,0.261,0.477
Afghanistan,Asia/Pacific,AFG,Subnat,AFGr104,"North (Samangan Sar-e-Pul Balkh Jawzjan Faryab)",2023,0.723,0.42,0.581,0.675,0.708,0.343,0.503,0.32,0.55
Afghanistan,Asia/Pacific,AFG,Subnat,AFGr105,"North East (Baghlan Takhar Badakhshan Kunduz)",2023,0.657,0.352,0.536,0.669,0.703,0.234,0.438,0.28,0.5
Afghanistan,Asia/Pacific,AFG,Subnat,AFGr106,"South (Uruzgan Helmand Zabul Nimroz Kandahar)",2023,0.549,0.282,0.513,0.69,0.72,0.11,0.362,0.295,0.519
Afghanistan,Asia/Pacific,AFG,Subnat,AFGr107,"South East (Ghazni Paktya Paktika Khost)",2023,0.565,0.336,0.594,0.732,0.754,0.18,0.544,0.287,0.51
Afghanistan,Asia/Pacific,AFG,Subnat,AFGr108,"West (Ghor Herat Badghis Farah)",2023,0.681,0.363,0.534,0.683,0.715,0.245,0.418,0.286,0.509
Albania,Europe,ALB,National,ALBt,Total,2023,0.963,0.794,0.824,0.907,0.927,0.737,0.747,0.748,0.809
Albania,Europe,ALB,Subnat,ALBr201," Berat",2023,0.946,0.774,0.818,0.907,0.927,0.689,0.736,0.742,0.804
Albania,Europe,ALB,Subnat,ALBr202," Diber",2023,0.954,0.75,0.786,0.907,0.927,0.624,0.65,0.745,0.806
Albania,Europe,ALB,Subnat,ALBr203," Durres",2023,0.964,0.801,0.831,0.907,0.927,0.739,0.747,0.766,0.828
Albania,Europe,ALB,Subnat,ALBr204," Elbasan",2023,0.963,0.784,0.814,0.907,0.927,0.716,0.725,0.743,0.804
Albania,Europe,ALB,Subnat,ALBr205," Fier",2023,0.949,0.761,0.802,0.907,0.927,0.674,0.712,0.721,0.781
Albania,Europe,ALB,Subnat,ALBr206," Gjirokaster",2023,0.962,0.795,0.826,0.907,0.927,0.733,0.745,0.755,0.816
Albania,Europe,ALB,Subnat,ALBr207," Korce",2023,0.962,0.789,0.82,0.907,0.927,0.719,0.73,0.752,0.814
Albania,Europe,ALB,Subnat,ALBr208," Kukes",2023,0.957,0.748,0.781,0.907,0.927,0.612,0.632,0.752,0.814
Albania,Europe,ALB,Subnat,ALBr209," Lezhe",2023,0.963,0.769,0.798,0.907,0.927,0.679,0.687,0.738,0.799
Albania,Europe,ALB,Subnat,ALBr210," Shkoder",2023,0.972,0.786,0.809,0.907,0.927,0.703,0.692,0.762,0.824
Albania,Europe,ALB,Subnat,ALBr211," Tirana",2023,0.965,0.82,0.85,0.907,0.927,0.811,0.817,0.749,0.811
Albania,Europe,ALB,Subnat,ALBr212," Vlore",2023,0.961,0.801,0.833,0.907,0.927,0.754,0.769,0.751,0.812
