Country,Continent,ISO_Code,Level,GDLCODE,Region,Year,shdi,healthindex,edindex,incindex
Afghanistan,Asia/Pacific,AFG,National,AFGt,Total,2023,0.496,0.708,0.384,0.45
Afghanistan,Asia/Pacific,AFG,Subnat,AFGr101,"Central (Kabul Wardak Kapisa Logar Parwan Panjsher)",2023,0.568,0.735,0.516,0.482
Afghanistan,Asia/Pacific,AFG,Subnat,AFGr102,"Central Highlands (Bamyan Daikundi)",2023,0.495,0.714,0.416,0.409
Afghanistan,Asia/Pacific,AFG,Subnat,AFGr103,"East (Nangarhar Kunar Laghman Nooristan)",2023,0.477,0.701,0.381,0.407
Afghanistan,Asia/Pacific,AFG,Subnat,AFGr104,"North (Samangan Sar-e-Pul Balkh Jawzjan Faryab)",2023,0.517,0.692,0.42,0.475
Afghanistan,Asia/Pacific,AFG,Subnat,AFGr105,"North East (Baghlan Takhar Badakhshan Kunduz)",2023,0.464,0.687,0.338,0.428
Afghanistan,Asia/Pacific,AFG,Subnat,AFGr106,"South (Uruzgan Helmand Zabul Nimroz Kandahar)",2023,0.423,0.706,0.241,0.446
Afghanistan,Asia/Pacific,AFG,Subnat,AFGr107,"South East (Ghazni Paktya Paktika Khost)",2023,0.495,0.743,0.373,0.438
Afghanistan,Asia/Pacific,AFG,Subnat,AFGr108,"West (Ghor Herat Badghis Farah)",2023,0.466,0.7,0.332,0.436
Albania,Europe,ALB,National,ALBt,Total,2023,0.81,0.917,0.742,0.781
Albania,Europe,ALB,Subnat,ALBr201," Berat",2023,0.797,0.917,0.712,0.776
Albania,Europe,ALB,Subnat,ALBr202," Diber",2023,0.769,0.917,0.637,0.778
Albania,Europe,ALB,Subnat,ALBr203," Durres",2023,0.817,0.917,0.743,0.8
Albania,Europe,ALB,Subnat,ALBr204," Elbasan",2023,0.8,0.917,0.718,0.776
Albania,Europe,ALB,Subnat,ALBr205," Fier",2023,0.783,0.917,0.694,0.754
Albania,Europe,ALB,Subnat,ALBr206," Gjirokaster",2023,0.81,0.917,0.735,0.788
Albania,Europe,ALB,Subnat,ALBr207," Korce",2023,0.806,0.917,0.725,0.786
Albania,Europe,ALB,Subnat,ALBr208," Kukes",2023,0.765,0.917,0.62,0.786
Albania,Europe,ALB,Subnat,ALBr209," Lezhe",2023,0.784,0.917,0.682,0.771
Albania,Europe,ALB,Subnat,ALBr210," Shkoder",2023,0.799,0.917,0.699,0.796
Albania,Europe,ALB,Subnat,ALBr211," Tirana",2023,0.836,0.917,0.814,0.783
Albania,Europe,ALB,Subnat,ALBr212," Vlore",2023,0.818,0.917,0.761,0.784
Algeria,Africa,DZA,National,DZAt,Total,2023,0.763,0.866,0.678,0.758
Algeria,Africa,DZA,Subnat,DZAr104,"Hauts Plateaux Centre (Djelfa, Laghouat, MSila)",2023,0.74,0.859,0.621,0.759
Algeria,Africa,DZA,Subnat,DZAr105,"Hauts Plateaux Est (Setif, Batna, Khenchela, Bordj Bou Arreridj, Oum El Bouaghi, Tebessa)",2023,0.753,0.86,0.662,0.75
Algeria,Africa,DZA,Subnat,DZAr106,"Hauts Plateaux Ouest (Tiaret, Saida, Tissemsilt, Naama, El Bayadh)",2023,0.748,0.869,0.636,0.755
Algeria,Africa,DZA,Subnat,DZAr101,"Nord Centre (Alger, Blida, Boumerdes, Tipaza, Bouira, Medea, Tizi-Ouzou, Bejaia, Chlef, Ain Defla)",2023,0.784,0.879,0.716,0.766
Algeria,Africa,DZA,Subnat,DZAr102,"Nord Est (Annaba, Constantine, Skikda, Jijel, Mila, Souk Ahras, El Tarf, Guelma)",2023,0.76,0.83,0.703,0.753
Algeria,Africa,DZA,Subnat,DZAr103,"Nord Ouest (Oran, Tlemcen, Mostaganem, Ain Temouchent, Relizane, Sidi Bel Abbes, Mascara)",2023,0.754,0.883,0.643,0.754
Algeria,Africa,DZA,Subnat,DZAr107,"Sud (Bechar, Tindouf, Adrar, Ghardaia, Biskra, El Oued, Ouargla, Tamanrasset,Illizi)",2023,0.755,0.853,0.666,0.758
Andorra,Europe,AND,National,ANDt,Total,2023,0.913,0.985,0.791,0.978
Angola,Africa,AGO,National,AGOt,Total,2023,0.616,0.686,0.537,0.634
Angola,Africa,AGO,Subnat,AGOr218," Bengo",2023,0.603,0.79,0.467,0.596
Angola,Africa,AGO,Subnat,AGOr209," Benguela",2023,0.562,0.586,0.503,0.604
Angola,Africa,AGO,Subnat,AGOr211," Bie",2023,0.526,0.686,0.404,0.527
Angola,Africa,AGO,Subnat,AGOr201," Cabinda",2023,0.711,0.76,0.674,0.702
Angola,Africa,AGO,Subnat,AGOr216," Cunene",2023,0.544,0.701,0.425,0.541
Angola,Africa,AGO,Subnat,AGOr210," Huambo",2023,0.564,0.659,0.468,0.58
Angola,Africa,AGO,Subnat,AGOr215," Huila",2023,0.546,0.624,0.46,0.566
Angola,Africa,AGO,Subnat,AGOr213," Kuando Kubango",2023,0.532,0.7,0.387,0.556
Angola,Africa,AGO,Subnat,AGOr205," Kuanza Norte",2023,0.57,0.671,0.478,0.578
Angola,Africa,AGO,Subnat,AGOr206," Kuanza Sul",2023,0.478,0.6,0.34,0.537
Angola,Africa,AGO,Subnat,AGOr204," Luanda",2023,0.733,0.75,0.681,0.773
