Country,Continent,ISO_Code,Level,GDLCODE,Region,Year,lifexp,lifexpf
Afghanistan,Asia/Pacific,AFG,National,AFGt,Total,2023,66.04,67.54
Afghanistan,Asia/Pacific,AFG,Subnat,AFGr101,"Central (Kabul Wardak Kapisa Logar Parwan Panjsher)",2023,67.77,69.46
Afghanistan,Asia/Pacific,AFG,Subnat,AFGr102,"Central Highlands (Bamyan Daikundi)",2023,66.44,67.98
Afghanistan,Asia/Pacific,AFG,Subnat,AFGr103,"East (Nangarhar Kunar Laghman Nooristan)",2023,65.56,67.01
Afghanistan,Asia/Pacific,AFG,Subnat,AFGr104,"North (Samangan Sar-e-Pul Balkh Jawzjan Faryab)",2023,64.97,66.36
Afghanistan,Asia/Pacific,AFG,Subnat,AFGr105,"North East (Baghlan Takhar Badakhshan Kunduz)",2023,64.65,66
Afghanistan,Asia/Pacific,AFG,Subnat,AFGr106,"South (Uruzgan Helmand Zabul Nimroz Kandahar)",2023,65.88,67.36
Afghanistan,Asia/Pacific,AFG,Subnat,AFGr107,"South East (Ghazni Paktya Paktika Khost)",2023,68.32,70.07
Afghanistan,Asia/Pacific,AFG,Subnat,AFGr108,"West (Ghor Herat Badghis Farah)",2023,65.47,66.91
Albania,Europe,ALB,National,ALBt,Total,2023,79.6,81.45
Albania,Europe,ALB,Subnat,ALBr201," Berat",2023,79.6,81.45
Albania,Europe,ALB,Subnat,ALBr202," Diber",2023,79.6,81.45
Albania,Europe,ALB,Subnat,ALBr203," Durres",2023,79.6,81.45
Albania,Europe,ALB,Subnat,ALBr204," Elbasan",2023,79.6,81.45
Albania,Europe,ALB,Subnat,ALBr205," Fier",2023,79.6,81.45
Albania,Europe,ALB,Subnat,ALBr206," Gjirokaster",2023,79.6,81.45
Albania,Europe,ALB,Subnat,ALBr207," Korce",2023,79.6,81.45
Albania,Europe,ALB,Subnat,ALBr208," Kukes",2023,79.6,81.45
Albania,Europe,ALB,Subnat,ALBr209," Lezhe",2023,79.6,81.45
Albania,Europe,ALB,Subnat,ALBr210," Shkoder",2023,79.6,81.45
Albania,Europe,ALB,Subnat,ALBr211," Tirana",2023,79.6,81.45
Albania,Europe,ALB,Subnat,ALBr212," Vlore",2023,79.6,81.45
Algeria,Africa,DZA,National,DZAt,Total,2023,76.26,77.7
Algeria,Africa,DZA,Subnat,DZAr104,"Hauts Plateaux Centre (Djelfa, Laghouat, MSila)",2023,75.86,77.26
Algeria,Africa,DZA,Subnat,DZAr105,"Hauts Plateaux Est (Setif, Batna, Khenchela, Bordj Bou Arreridj, Oum El Bouaghi, Tebessa)",2023,75.92,77.32
Algeria,Africa,DZA,Subnat,DZAr106,"Hauts Plateaux Ouest (Tiaret, Saida, Tissemsilt, Naama, El Bayadh)",2023,76.49,77.95
Algeria,Africa,DZA,Subnat,DZAr101,"Nord Centre (Alger, Blida, Boumerdes, Tipaza, Bouira, Medea, Tizi-Ouzou, Bejaia, Chlef, Ain Defla)",2023,77.16,78.68
Algeria,Africa,DZA,Subnat,DZAr102,"Nord Est (Annaba, Constantine, Skikda, Jijel, Mila, Souk Ahras, El Tarf, Guelma)",2023,73.97,75.19
Algeria,Africa,DZA,Subnat,DZAr103,"Nord Ouest (Oran, Tlemcen, Mostaganem, Ain Temouchent, Relizane, Sidi Bel Abbes, Mascara)",2023,77.41,78.95
Algeria,Africa,DZA,Subnat,DZAr107,"Sud (Bechar, Tindouf, Adrar, Ghardaia, Biskra, El Oued, Ouargla, Tamanrasset,Illizi)",2023,75.46,76.82
Andorra,Europe,AND,National,ANDt,Total,2023,84.04,86.11
Angola,Africa,AGO,National,AGOt,Total,2023,64.62,67.14
Angola,Africa,AGO,Subnat,AGOr218," Bengo",2023,71.37,74.67
Angola,Africa,AGO,Subnat,AGOr209," Benguela",2023,58.08,59.86
Angola,Africa,AGO,Subnat,AGOr211," Bie",2023,64.57,67.09
Angola,Africa,AGO,Subnat,AGOr201," Cabinda",2023,69.4,72.48
Angola,Africa,AGO,Subnat,AGOr216," Cunene",2023,65.56,68.2
Angola,Africa,AGO,Subnat,AGOr210," Huambo",2023,62.84,65.17
Angola,Africa,AGO,Subnat,AGOr215," Huila",2023,60.58,62.65
Angola,Africa,AGO,Subnat,AGOr213," Kuando Kubango",2023,65.52,68.15
Angola,Africa,AGO,Subnat,AGOr205," Kuanza Norte",2023,63.64,66.06
Angola,Africa,AGO,Subnat,AGOr206," Kuanza Sul",2023,58.99,60.86
Angola,Africa,AGO,Subnat,AGOr204," Luanda",2023,68.72,71.72
Angola,Africa,AGO,Subnat,AGOr208," Lunda Norte",2023,66.96,69.76
Angola,Africa,AGO,Subnat,AGOr217," Lunda Sul",2023,69.07,72.11
Angola,Africa,AGO,Subnat,AGOr207," Malange",2023,67.57,70.43
Angola,Africa,AGO,Subnat,AGOr212," Moxico",2023,64.62,67.14
Angola,Africa,AGO,Subnat,AGOr214," Namibe",2023,63.26,65.63
Angola,Africa,AGO,Subnat,AGOr203," Uige",2023,65.47,68.09
Angola,Africa,AGO,Subnat,AGOr202," Zaire",2023,67.92,70.83
"Antigua and Barbuda",America,ATG,National,ATGt,Total,2023,77.6,80.29
"Argentina urban",America,ARG,National,ARGt,Total,2023,77.4,79.88
"Argentina urban",America,ARG,Subnat,ARGr104,Cuyo,2023,77.4,79.88
"Argentina urban",America,ARG,Subnat,ARGr101,"Gran Buenos Aires",2023,77.4,79.88
"Argentina urban",America,ARG,Subnat,ARGr103,NEA,2023,77.4,79.88
"Argentina urban",America,ARG,Subnat,ARGr102,NOA,2023,77.4,79.88
