id,country,iso3,latitude,longitude,centroid,role,displacement_type,qualifier,figure,displacement_date,displacement_start_date,displacement_end_date,year,event_id,event_name,event_codes,event_code_types,event_start_date,event_end_date,category,subcategory,type,subtype,old_id,sources,source_url,locations_name,locations_coordinates,locations_accuracy,locations_type,displacement_occurred,created_at,description,link,combined_type
218970,Angola,AGO,-15.7944,20.365669,"[-15.7944, 20.365669]",Recommended figure,Disaster,more than or equal to,96,2025-12-14,2025-12-12,2025-12-14,2025,37795,Angola: Flood - Cuando (Mavinga) - 12/12/2025,,,2025-12-12,2025-12-14,Weather related,Hydrological,Flood,Flood,,Provincial government,,"Mavinga, Cuando Cubango, Angola","-15.7944, 20.365669",County/City/town/Village/Woreda (ADM3),Origin,Displacement without preventive evacuations reported,2026-01-05T19:24:57.191245Z,"Angola: 96 displacements, 12 December - 14 December. More than or equal to 20 households were displaced due to flood on 12 December in Mavinga, Cuando Cubango, Angola, according to government. Provincial government - 17 January 2026",,Flood
214193,Angola,AGO,-12.77654,15.73205,"[-12.77654, 15.73205]",Recommended figure,Disaster,total,149,2025-11-27,2025-11-27,2025-11-27,2025,37061,"Angola: Flood - Huambo (Huambo, Caala, Longonjo) - 27/11/2025",,,2025-11-27,2025-11-27,Weather related,Hydrological,Flood,Flood,,Civil Protection and Fire Service (SPCB),,"Huambo, Huambo, Angola","-12.77654, 15.73205",County/City/town/Village/Woreda (ADM3),Origin,Displacement without preventive evacuations reported,2025-12-01T15:55:29.419698Z,"Angola: 149 displacements, 27 November - 27 November. A total of 149 people were displaced due to flood on 27 November in Huambo, Huambo, Angola, according to government. TV Zimbo - 27 November 2025",,Flood
214146,Angola,AGO,-10.59236,21.318041,"[-10.59236, 21.318041]",Triangulation,Disaster,total,14,2025-11-20,2025-11-20,2025-11-20,2025,37058,Angola: Flood - Lunda-Sul (Muconda) - 20/11/2025,,,2025-11-20,2025-11-20,Weather related,Hydrological,Flood,Flood,,Civil Protection and Fire Service (SPCB),,"Muconda, Lunda Sul, Angola","-10.59236, 21.318041",County/City/town/Village/Woreda (ADM3),Origin,,2025-12-01T15:20:51.651410Z,"Angola: 14 displacements (destroyed housing), 20 November - 20 November. According to government, a total of 3 households were displaced due to destroyed housing in Muconda, Lunda Sul, Angola due to flood on 20 November Civil Protection and Fire Service (SPCB) - 22 November 2025",,Flood
214153,Angola,AGO,-10.59236,21.318041,"[-10.59236, 21.318041]",Recommended figure,Disaster,total,48,2025-11-20,2025-11-20,2025-11-20,2025,37058,Angola: Flood - Lunda-Sul (Muconda) - 20/11/2025,,,2025-11-20,2025-11-20,Weather related,Hydrological,Flood,Flood,,Municipal authorities,,"Muconda, Lunda Sul, Angola","-10.59236, 21.318041",County/City/town/Village/Woreda (ADM3),Origin,,2025-12-01T15:42:13.022978Z,"Angola: 48 displacements (destroyed housing), 20 November - 20 November. Flood resulted in a total of 10 households being displaced due to destroyed housing in Muconda, Lunda Sul, Angola on 20 November, according to local authority. Rádio Nacional de Angola - 25 November 2025",,Flood
214086,Angola,AGO,-11.89211,22.900101,"[-11.89211, 22.900101]",Recommended figure,Disaster,total,615,2025-11-15,2025-11-15,2025-11-15,2025,37056,Angola: Flood - Moxico Leste (Cazombo) - 15/11/2025,,,2025-11-15,2025-11-15,Weather related,Meteorological,Storm,Storm,,Civil Protection and Fire Service (SPCB),,"Cazombo, Moxico, Angola","-11.89211, 22.900101",County/City/town/Village/Woreda (ADM3),Origin,,2025-12-01T14:47:44.513381Z,"Angola: 615 displacements (uninhabitable housing), 15 November - 15 November. Flood resulted in a total of 615 people being displaced in Cazombo, Moxico, Angola on 15 November, according to government. Civil Protection and Fire Service (SPCB) - 16 November 2025",,Storm
208190,Angola,AGO,-9.90365,20.94179,"[-9.90365, 20.94179]",Recommended figure,Disaster,more than or equal to,1928,2025-11-15,2025-11-14,2025-11-15,2025,37000,"Angola: Flood - Lunda-Sul (Saurimo, Muconda, Mona-Quibundo) - 14/11/2025",,,2025-11-14,2025-11-15,Weather related,Hydrological,Flood,Flood,,Civil Protection and Fire Service (SPCB),,"Lunda Sul, Angola","-9.90365, 20.94179",State/Region/Province (ADM1),Origin,Displacement without preventive evacuations reported,2025-11-19T17:20:28.195220Z,"Angola: 1,928 displacements, 14 November - 15 November. More than or equal to 400 households were displaced due to flood on 14 November in Lunda Sul, Angola, according to government. Novo Jornal - 18 November 2025",,Flood
207557,Angola,AGO,-11.65113,20.44594,"[-11.65113, 20.44594]",Triangulation,Disaster,total,250,2025-11-13,2025-11-13,2025-11-13,2025,36977,"Angola: Flood - Moxico (Luena, Léua) - 13/11/2025",,,2025-11-13,2025-11-13,Weather related,Hydrological,Flood,Flood,,Civil Protection and Fire Service (SPCB),,"Léua, Moxico, Angola","-11.65113, 20.44594",County/City/town/Village/Woreda (ADM3),Origin,,2025-11-14T14:48:13.258373Z,"Angola: 250 displacements (uninhabitable housing), 13 November - 13 November. A total of 250 people were homeless due to flood on 13 November in Léua, Moxico, Angola, according to government. Angola News Agency (ANGOP) - 13 November 2025",,Flood
207554,Angola,AGO,-11.77904,19.91227,"[-11.77904, 19.91227]",Triangulation,Disaster,total,253,2025-11-13,2025-11-13,2025-11-13,2025,36977,"Angola: Flood - Moxico (Luena, Léua) - 13/11/2025",,,2025-11-13,2025-11-13,Weather related,Hydrological,Flood,Flood,,Civil Protection and Fire Service (SPCB),,"Luena, Moxico, Angola","-11.77904, 19.91227",County/City/town/Village/Woreda (ADM3),Origin,,2025-11-14T14:46:20.273303Z,"Angola: 253 displacements (destroyed housing), 13 November - 13 November. According to government, a total of 253 people were displaced due to destroyed housing in Luena, Moxico, Angola due to flood on 13 November Angola News Agency (ANGOP) - 13 November 2025",,Flood
208226,Angola,AGO,-12.77654,15.73205,"[-12.77654, 15.73205]",Recommended figure,Disaster,less than or equal to,752,2025-11-06,2025-11-06,2025-11-06,2025,37006,"Angola: Flood - Huambo (Sambo, Cuima, Londuimbali) - 06/11/2025",,,2025-11-06,2025-11-06,Weather related,Hydrological,Flood,Flood,,Civil Protection and Fire Service (SPCB),,"Huambo, Huambo, Angola","-12.77654, 15.73205",County/City/town/Village/Woreda (ADM3),Origin,,2025-11-20T15:36:11.737199Z,"Angola: 752 displacements (destroyed housing), 06 November - 06 November. Less than or equal to 156 households were displaced due to destroyed housing due to flood on 6 November in Huambo, Huambo, Angola, according to government. Jornal de Angola - 07 November 2025",,Flood
207308,Angola,AGO,-6.2699,14.247,"[-6.2699, 14.247]",Triangulation,Disaster,total,48,2025-11-06,2025-11-06,2025-11-06,2025,36911,Angola: Flood - Zaire (Mbanza Kongo) - 06/11/2025,,,2025-11-06,2025-11-06,Weather related,Hydrological,Flood,Flood,,Local Authorities,,"Mbanza Congo Airport, Zaire, Angola","-6.2699, 14.247",County/City/town/Village/Woreda (ADM3),Origin,,2025-11-10T16:16:32.746183Z,"Angola: 48 displacements (destroyed housing), 06 November - 06 November. According to local authority, a total of 10 households were displaced due to destroyed housing in Mbanza Congo, Zaire, Angola due to flood on 6 November Angola News Agency (ANGOP) - 07 November 2025",,Flood
203681,Angola,AGO,-11.48722,16.69591,"[-11.48722, 16.69591]",Recommended figure,Disaster,more than or equal to,100,2025-10-31,2025-10-31,2025-10-31,2025,36734,Angola: Flood - Bié (Andulo) - 31/10/2025,,,2025-10-31,2025-10-31,Weather related,Hydrological,Flood,Flood,,Civil Protection and Fire Service (SPCB),,"Andulo, Bié, Angola","-11.48722, 16.69591",County/City/town/Village/Woreda (ADM3),Origin,,2025-11-03T16:20:32.134947Z,"Angola: 100 displacements (destroyed housing), 31 October - 31 October. A total of 20 households were displaced due to destroyed housing due to flood on 31 October in Andulo, Bié, Angola, according to government. Angola News Agency (ANGOP) - 01 November 2025",,Flood
195410,Angola,AGO,-12.11109,15.17292,"[-12.11109, 15.17292]",Recommended figure,Disaster,more than or equal to,482,2025-10-21,2025-10-21,2025-10-21,2025,33654,Angola: Flood - Benguela (Babaera) - 21/10/2025,,,2025-10-21,2025-10-21,Weather related,Hydrological,Flood,Flood,,Municipal authorities,,"Babaera, Huambo, Angola","-12.11109, 15.17292",County/City/town/Village/Woreda (ADM3),Origin,Displacement without preventive evacuations reported,2025-10-22T12:08:22.106916Z,"Angola: 482 displacements, 21 October - 21 October. According to local authority, more than 100 households were displaced in Babaera, Huambo, Angola due to flood on 21 October Rádio Nacional de Angola - 21 October 2025",,Flood
195421,Angola,AGO,-9.54388,16.347509,"[-9.54388, 16.347509]",Recommended figure,Disaster,total,145,2025-10-20,2025-10-16,2025-10-20,2025,33659,Angola: Flood - Malanje (6 municipalities) - 16/10/2025,,,2025-10-16,2025-10-20,Weather related,Hydrological,Flood,Flood,,Civil Protection and Fire Service (SPCB),,"Malanje, Malanje - Malange, Malanje, Angola","-9.54388, 16.347509",County/City/town/Village/Woreda (ADM3),Origin,,2025-10-23T12:37:29.352204Z,"Angola: 145 displacements (destroyed housing), 16 October - 20 October. According to government, a total of 30 households were displaced due to destroyed housing in Malanje, Malanje, Angola due to flood on 16 October Angola News Agency (ANGOP) - 22 October 2025",,Flood
195423,Angola,AGO,-9.54388,16.347509,"[-9.54388, 16.347509]",Recommended figure,Disaster,total,145,2025-10-20,2025-10-16,2025-10-20,2025,33659,Angola: Flood - Malanje (6 municipalities) - 16/10/2025,,,2025-10-16,2025-10-20,Weather related,Hydrological,Flood,Flood,,Civil Protection and Fire Service (SPCB),,"Malanje, Malanje - Malange, Malanje, Angola","-9.54388, 16.347509",County/City/town/Village/Woreda (ADM3),Origin,,2025-10-23T12:40:00.668487Z,"Angola: 145 displacements (destroyed housing), 16 October - 20 October. Flood resulted in a total of 30 households being displaced due to destroyed housing in Quéssua, Malanje, Angola on 16 October, according to government. Angola News Agency (ANGOP) - 22 October 2025",,Flood
195429,Angola,AGO,-10.59039,17.57847,"[-10.59039, 17.57847]",Recommended figure,Disaster,total,77,2025-10-20,2025-10-16,2025-10-20,2025,33659,Angola: Flood - Malanje (6 municipalities) - 16/10/2025,,,2025-10-16,2025-10-20,Weather related,Hydrological,Flood,Flood,,Civil Protection and Fire Service (SPCB),,"Muxixi, Malanje, Angola","-10.59039, 17.57847",County/City/town/Village/Woreda (ADM3),Origin,,2025-10-23T12:42:26.370987Z,"Angola: 77 displacements (destroyed housing), 16 October - 20 October. A total of 16 households were displaced due to destroyed housing due to flood on 16 October in Muxixi, Malanje, Angola, according to government. Angola News Agency (ANGOP) - 22 October 2025",,Flood
195431,Angola,AGO,-9.78964,16.42881,"[-9.78964, 16.42881]",Recommended figure,Disaster,total,19,2025-10-20,2025-10-16,2025-10-20,2025,33659,Angola: Flood - Malanje (6 municipalities) - 16/10/2025,,,2025-10-16,2025-10-20,Weather related,Hydrological,Flood,Flood,,Civil Protection and Fire Service (SPCB),,"Cangandala, Malanje, Angola","-9.78964, 16.42881",County/City/town/Village/Woreda (ADM3),Origin,,2025-10-23T12:43:55.565931Z,"Angola: 19 displacements (destroyed housing), 16 October - 20 October. According to government, a total of 4 households were displaced due to destroyed housing in Cangandala, Malanje, Angola due to flood on 16 October Angola News Agency (ANGOP) - 22 October 2025",,Flood
