id,country,iso3,latitude,longitude,centroid,role,displacement_type,qualifier,figure,displacement_date,displacement_start_date,displacement_end_date,year,event_id,event_name,event_codes,event_code_types,event_start_date,event_end_date,category,subcategory,type,subtype,old_id,sources,source_url,locations_name,locations_coordinates,locations_accuracy,locations_type,displacement_occurred,created_at,description,link,combined_type
219973,Argentina,ARG,-27.67001,-58.179661,"[-27.67001, -58.179661]",Recommended figure,Disaster,total,205,2026-01-19,2026-01-19,2026-01-19,2026,37995,Argentina: Flood - Corrientes (5 localities) - 19/01/2026,,,2026-01-19,2026-01-19,Weather related,Hydrological,Flood,Flood,,Local Authorities,,"San Luis del Palmar, Departamento San Luis del Palmar, Corrientes, Argentina","-27.67001, -58.179661",County/City/town/Village/Woreda (ADM3),Origin,Displacement without preventive evacuations reported,2026-01-19T19:31:04.835405Z,"Argentina: 205 displacements (evacuated), 19 January - 19 January. According to local authority, a total of 205 people were evacuated in San Luis del Palmar, Corrientes, Argentina due to flood on 19 January. Local Media - 19 January 2026",,Flood
219974,Argentina,ARG,-28.98741,-59.065571,"[-28.98741, -59.065571]",Recommended figure,Disaster,total,15,2026-01-19,2026-01-19,2026-01-19,2026,37995,Argentina: Flood - Corrientes (5 localities) - 19/01/2026,,,2026-01-19,2026-01-19,Weather related,Hydrological,Flood,Flood,,Local Authorities,,"Santa Lucía, Departamento Lavalle, Corrientes, Argentina","-28.98741, -59.065571",County/City/town/Village/Woreda (ADM3),Origin,Displacement without preventive evacuations reported,2026-01-19T19:31:04.885688Z,"Argentina: 15 displacements (evacuated), 19 January - 19 January. Flood resulted in a total of 15 people being evacuated in Santa Lucía, Corrientes, Argentina on 19 January, according to local authority. Local Media - 19 January 2026",,Flood
219975,Argentina,ARG,-27.9475,-57.018131,"[-27.9475, -57.018131]",Recommended figure,Disaster,total,3,2026-01-19,2026-01-19,2026-01-19,2026,37995,Argentina: Flood - Corrientes (5 localities) - 19/01/2026,,,2026-01-19,2026-01-19,Weather related,Hydrological,Flood,Flood,,Local Authorities,,"Ituzaingó, Corrientes, Argentina","-27.9475, -57.018131",County/City/town/Village/Woreda (ADM3),Origin,Displacement without preventive evacuations reported,2026-01-19T19:31:04.933789Z,"Argentina: 3 displacements (evacuated), 19 January - 19 January. A total of 1 household was evacuated due to flood on 19 January in Ituzaingó, Corrientes, Argentina, according to local authority. Local Media - 19 January 2026",,Flood
219976,Argentina,ARG,-27.70281,-58.768131,"[-27.70281, -58.768131]",Recommended figure,Disaster,total,3,2026-01-19,2026-01-19,2026-01-19,2026,37995,Argentina: Flood - Corrientes (5 localities) - 19/01/2026,,,2026-01-19,2026-01-19,Weather related,Hydrological,Flood,Flood,,Local Authorities,,"El Sombrero, Municipio de Empedrado, Departamento Empedrado, Corrientes, Argentina","-27.70281, -58.768131",County/City/town/Village/Woreda (ADM3),Origin,Displacement without preventive evacuations reported,2026-01-19T19:31:04.982527Z,"Argentina: 3 displacements (evacuated), 19 January - 19 January. Flood resulted in a total of 1 household being evacuated in El Sombrero, Corrientes, Argentina on 19 January, according to local authority. Local Media - 19 January 2026",,Flood
219972,Argentina,ARG,-28.578939,-58.708912,"[-28.578939, -58.708912]",Recommended figure,Disaster,more than or equal to,250,2026-01-19,2026-01-19,2026-01-19,2026,37995,Argentina: Flood - Corrientes (5 localities) - 19/01/2026,,,2026-01-19,2026-01-19,Weather related,Hydrological,Flood,Flood,,Local Authorities,,"San Roque, Municipio de San Roque, Departamento San Roque, Corrientes, Argentina","-28.578939, -58.708912",County/City/town/Village/Woreda (ADM3),Origin,Displacement without preventive evacuations reported,2026-01-19T19:31:04.775584Z,"Argentina: 250 displacements (evacuated), 19 January - 19 January. More than or equal to 250 people were evacuated due to flood on 19 January in San Roque, Corrientes, Argentina, according to local authority. Local Media - 19 January 2026",,Flood
219984,Argentina,ARG,-45.859211,-67.59938,"[-45.859211, -67.59938]",Recommended figure,Disaster,total,29,2026-01-19,2026-01-18,2026-01-19,2026,37996,Argentina: Landslide/Wet mass movement - Chubut (Comodoro Rivadavia) - 18/01/2026,,,2026-01-18,2026-01-19,Weather related,Hydrological,Mass Movement,Landslide/Wet mass movement,,Local Authorities,,"Comodoro Rivadavia, Departamento Escalante, Chubut, Argentina","-45.859211, -67.59938",County/City/town/Village/Woreda (ADM3),Origin,Displacement reporting preventive evacuations,2026-01-19T19:54:26.549169Z,"Argentina: 29 displacements (relocated), 18 January - 19 January. Approximately 29 people were relocated due to landslide/wet mass movement between 18 and 19 January in Comodoro Rivadavia, Departamento Escalante, Chubut, Argentina, according to local authority. Local Media - 19 January 2026",,Mass Movement
219982,Argentina,ARG,-45.859211,-67.59938,"[-45.859211, -67.59938]",Recommended figure,Disaster,approximately,195,2026-01-19,2026-01-18,2026-01-19,2026,37996,Argentina: Landslide/Wet mass movement - Chubut (Comodoro Rivadavia) - 18/01/2026,,,2026-01-18,2026-01-19,Weather related,Hydrological,Mass Movement,Landslide/Wet mass movement,,Local Authorities,,"Comodoro Rivadavia, Departamento Escalante, Chubut, Argentina","-45.859211, -67.59938",County/City/town/Village/Woreda (ADM3),Origin,Displacement without preventive evacuations reported,2026-01-19T19:54:26.433775Z,"Argentina: 195 displacements (sheltered), 18 January - 19 January. Landslide/wet mass movement resulted in approximately 195 people being sheltered in Comodoro Rivadavia, Departamento Escalante, Chubut, Argentina between 18 and 19 January, according to local authority. Local Media - 19 January 2026",,Mass Movement
219778,Argentina,ARG,-28.578939,-58.708912,"[-28.578939, -58.708912]",Recommended figure,Disaster,total,100,2026-01-13,2026-01-10,2026-01-13,2026,37943,Argentina: Flood - Corrientes (San Roque) - 10/01/2026,,,2026-01-10,2026-01-10,Weather related,Hydrological,Flood,Flood,,Local Authorities,,"San Roque, Municipio de San Roque, Departamento San Roque, Corrientes, Argentina","-28.578939, -58.708912",County/City/town/Village/Woreda (ADM3),Origin,Displacement without preventive evacuations reported,2026-01-13T19:42:14.336366Z,"Argentina: 100 displacements (evacuated), 10 January - 13 January. According to local authority, a total of 100 people were evacuated in San Roque, Municipio de San Roque, Departamento San Roque, Corrientes, Argentina due to flood on 10 January. Local Media - 13 January 2026",,Flood
219687,Argentina,ARG,-28.578939,-58.708912,"[-28.578939, -58.708912]",Triangulation,Disaster,total,18,2026-01-10,2026-01-10,2026-01-10,2026,37943,Argentina: Flood - Corrientes (San Roque) - 10/01/2026,,,2026-01-10,2026-01-10,Weather related,Hydrological,Flood,Flood,,Protección Civil,,"San Roque, Municipio de San Roque, Departamento San Roque, Corrientes, Argentina","-28.578939, -58.708912",County/City/town/Village/Woreda (ADM3),Origin,Displacement without preventive evacuations reported,2026-01-12T23:43:26.973906Z,"Argentina: 18 displacements (evacuated), 10 January - 10 January. A total of 18 people were evacuated due to flood on 10 January in San Roque, Municipio de San Roque, Departamento San Roque, Corrientes, Argentina, according to national/regional disaster authorities. El Litoral - 10 January 2026",,Flood
219780,Argentina,ARG,-31.069429,-67.282127,"[-31.069429, -67.282127]",Recommended figure,Disaster,total,41,2026-01-09,2026-01-09,2026-01-09,2026,37957,Argentina: Flood - San Juan (Chucuma) - 09/01/2026,,,2026-01-09,2026-01-09,Weather related,Hydrological,Flood,Flood,,Local Authorities,,"Chucuma, Valle Fértil, San Juan, Argentina","-31.069429, -67.282127",County/City/town/Village/Woreda (ADM3),Origin,Displacement reporting preventive evacuations,2026-01-13T19:54:36.240766Z,"Argentina: 41 displacements (evacuated), 09 January - 09 January. A total of 14 households were evacuated due to flood on 9 January in Chucuma, Valle Fértil, San Juan, Argentina, according to local authority. Local Media - 09 January 2026",,Flood
219782,Argentina,ARG,-26.746969,-65.25415,"[-26.746969, -65.25415]",Recommended figure,Disaster,total,14,2026-01-09,2026-01-08,2026-01-09,2026,37959,Argentina: Flood - Tucumán (Tafí Viejo) - 08/01/2026,,,2026-01-08,2026-01-09,Weather related,Hydrological,Flood,Flood,,Protección Civil,,"Tafí Viejo, Departamento Tafí Viejo, Tucumán, Argentina","-26.746969, -65.25415",County/City/town/Village/Woreda (ADM3),Origin,Displacement without preventive evacuations reported,2026-01-13T20:00:51.977422Z,"Argentina: 14 displacements (evacuated), 08 January - 09 January. A total of 14 people were evacuated due to flood between 08 and 09 January in Tafí Viejo, Departamento Tafí Viejo, Tucumán, Argentina, according to national/regional disaster authorities. Local Media - 09 January 2026",,Flood
