id,country,iso3,latitude,longitude,centroid,role,displacement_type,qualifier,figure,displacement_date,displacement_start_date,displacement_end_date,year,event_id,event_name,event_codes,event_code_types,event_start_date,event_end_date,category,subcategory,type,subtype,old_id,sources,source_url,locations_name,locations_coordinates,locations_accuracy,locations_type,displacement_occurred,created_at,description,link,combined_type
218708,Bolivia,BOL,-15.58446,-68.056931,"[-15.58446, -68.056931]",Recommended figure,Disaster,total,98,2025-12-26,2025-12-24,2025-12-26,2025,37718,Bolivia: Flood - La Paz (Tipuani) - 24/12/2025,,,2025-12-24,2025-12-26,Weather related,Hydrological,Flood,Flood,,Local Authorities,,"Municipio Tipuani, Provincia Larecaja, La Paz, Bolivia","-15.58446, -68.056931",County/City/town/Village/Woreda (ADM3),Origin,,2025-12-29T18:09:27.406454Z,"Bolivia: 98 displacements (destroyed housing), 24 December - 26 December. A total of 30 households were displaced due to destroyed housing due to flood on 24 December in Municipio Tipuani, Provincia Larecaja, La Paz, Bolivia, according to local authority. Local Media - 26 December 2025",,Flood
218710,Bolivia,BOL,-18.03425,-63.450062,"[-18.03425, -63.450062]",Recommended figure,Disaster,total,560,2025-12-17,2025-12-17,2025-12-17,2025,37719,Bolivia: Flood - Santa Cruz (El Torno) - 17/12/2025,,,2025-12-17,2025-12-17,Weather related,Hydrological,Flood,Flood,,Centro de Operaciones de Emergencia Departamental,,"Municipio El Torno, Provincia Andrés Ibáñez, Santa Cruz, Bolivia","-18.03425, -63.450062",County/City/town/Village/Woreda (ADM3),Origin,Displacement without preventive evacuations reported,2025-12-29T18:27:28.913407Z,"Bolivia: 560 displacements (evacuated), 17 December - 17 December. According to government, a total of 560 people were evacuated in Municipio El Torno, Provincia Andrés Ibáñez, Santa Cruz, Bolivia due to flood on 17 December Local Media - 17 December 2025",,Flood
219197,Bolivia,BOL,-17.754299,-63.359001,"[-17.754299, -63.359001]",Recommended figure,Disaster,total,30,2025-12-13,2025-12-13,2025-12-13,2025,37858,Bolivia: Flood - Santa Cruz (Porongo) - 13/12/2025,,,2025-12-13,2025-12-13,Weather related,Hydrological,Flood,Flood,,Viceministerio Defensa Civil - VIDECI,,"Municipio Porongo (Ayacucho), Provincia Andrés Ibáñez, Santa Cruz, Bolivia","-17.754299, -63.359001",County/City/town/Village/Woreda (ADM3),Origin,,2026-01-06T14:45:46.486450Z,"Bolivia: 30 displacements (evacuated), 13 December - 13 December. Flood resulted in a total of 30 people being evacuated in Municipio Porongo (Ayacucho), Provincia Andrés Ibáñez, Santa Cruz, Bolivia on 13 December, according to national/regional disaster authorities. Viceministerio Defensa Civil - VIDECI - 22 December 2025",,Flood
219199,Bolivia,BOL,-16.599319,-63.84724,"[-16.599319, -63.84724]",Recommended figure,Disaster,total,72,2025-12-13,2025-12-13,2025-12-13,2025,37859,Bolivia: Flood - Santa Cruz (Santa Rosa) - 13/12/2025,,,2025-12-13,2025-12-13,Weather related,Hydrological,Flood,Flood,,Viceministerio Defensa Civil - VIDECI,,"Municipio Santa Rosa del Sara, Provincia Sara, Santa Cruz, Bolivia","-16.599319, -63.84724",County/City/town/Village/Woreda (ADM3),Origin,,2026-01-06T14:45:46.631954Z,"Bolivia: 72 displacements (destroyed housing), 13 December - 13 December. Flood resulted in a total of 22 households being displaced due to destroyed housing in Municipio Santa Rosa del Sara, Provincia Sara, Santa Cruz, Bolivia on 13 December, according to national/regional disaster authorities. Viceministerio Defensa Civil - VIDECI - 22 December 2025",,Flood
218300,Bolivia,BOL,-18.173901,-63.79039,"[-18.173901, -63.79039]",Recommended figure,Disaster,total,81,2025-11-20,2025-11-17,2025-11-20,2025,37655,Bolivia: Flood - Santa Cruz (Achira) - 17/11/2025,,,2025-11-17,2025-11-17,Weather related,Hydrological,Flood,Flood,,Local Authorities,,"Achira, Municipio Samaipata, Provincia Florida, Santa Cruz, Bolivia","-18.173901, -63.79039",County/City/town/Village/Woreda (ADM3),Origin,,2025-12-17T17:54:11.529289Z,"Bolivia: 81 displacements (destroyed housing), 17 November - 20 November. According to local authority, a total of 25 households were displaced due to destroyed housing in Achira, Municipio Samaipata, Provincia Florida, Santa Cruz, Bolivia due to flood on 17 November Infobae - 20 November 2025",,Flood
219094,Bolivia,BOL,-16.067591,-67.142014,"[-16.067591, -67.142014]",Recommended figure,Disaster,total,33,2025-11-17,2025-11-17,2025-11-17,2025,37822,Bolivia: Flood - La Paz (La Asunta) - 17/11/2025,,,2025-11-17,2025-11-17,Weather related,Hydrological,Flood,Flood,,Viceministerio Defensa Civil - VIDECI,,"Municipio La Asunta, Provincia Sud Yungas, La Paz, Bolivia","-16.067591, -67.142014",County/City/town/Village/Woreda (ADM3),Origin,,2026-01-06T12:33:16.672275Z,"Bolivia: 33 displacements (destroyed housing), 17 November - 17 November. Flood resulted in a total of 10 households being displaced due to destroyed housing in Municipio La Asunta, Provincia Sud Yungas, La Paz, Bolivia on 17 November, according to national/regional disaster authorities. Viceministerio Defensa Civil - VIDECI - 22 December 2025",,Flood
218853,Bolivia,BOL,-16.550381,-65.5672,"[-16.550381, -65.5672]",Recommended figure,Disaster,total,55,2025-11-17,2025-11-17,2025-11-17,2025,37776,Bolivia: Flood - Cochabamba (Villa Tunari) - 17/11/2025,,,2025-11-17,2025-11-17,Weather related,Hydrological,Flood,Flood,,Viceministerio Defensa Civil - VIDECI,,"Villa Tunari, Chapare, Cochabamba, Bolivia","-16.550381, -65.5672",County/City/town/Village/Woreda (ADM3),Origin,,2026-01-03T20:38:56.567668Z,"Bolivia: 55 displacements (destroyed housing), 17 November - 17 November. A total of 17 households were displaced due to destroyed housing due to flood on 17 November in Villa Tunari, Chapare, Cochabamba, Bolivia, according to national/regional disaster authorities. Viceministerio Defensa Civil - VIDECI - 22 December 2025",,Flood
218849,Bolivia,BOL,-16.57214,-64.881157,"[-16.57214, -64.881157]",Recommended figure,Disaster,total,20,2025-11-17,2025-11-17,2025-11-17,2025,37774,Bolivia: Flood - Cochabamba (Chimoré) - 17/11/2025,,,2025-11-17,2025-11-17,Weather related,Hydrological,Flood,Flood,,Viceministerio Defensa Civil - VIDECI,,"Municipio Chimore, Carrasco, Cochabamba, Bolivia","-16.57214, -64.881157",County/City/town/Village/Woreda (ADM3),Origin,,2026-01-03T20:38:56.336877Z,"Bolivia: 20 displacements (destroyed housing), 17 November - 17 November. According to national/regional disaster authorities, a total of 6 households were displaced due to destroyed housing in Municipio Chimore, Carrasco, Cochabamba, Bolivia due to flood on 17 November Viceministerio Defensa Civil - VIDECI - 22 December 2025",,Flood
218851,Bolivia,BOL,-17.044029,-65.324707,"[-17.044029, -65.324707]",Recommended figure,Disaster,total,20,2025-11-17,2025-11-17,2025-11-17,2025,37775,Bolivia: Flood - Cochabamba (Shinahota) - 17/11/2025,,,2025-11-17,2025-11-17,Weather related,Hydrological,Flood,Flood,,Viceministerio Defensa Civil - VIDECI,,"Municipio Shinahota, Tiraque, Cochabamba, Bolivia","-17.044029, -65.324707",County/City/town/Village/Woreda (ADM3),Origin,,2026-01-03T20:38:56.452022Z,"Bolivia: 20 displacements (destroyed housing), 17 November - 17 November. According to national/regional disaster authorities, a total of 6 households were displaced due to destroyed housing in Municipio Shinahota, Tiraque, Cochabamba, Bolivia due to flood on 17 November Viceministerio Defensa Civil - VIDECI - 22 December 2025",,Flood
219194,Bolivia,BOL,-17.40206,-63.881351,"[-17.40206, -63.881351]",Recommended figure,Disaster,total,55,2025-11-17,2025-11-17,2025-11-17,2025,37857,Bolivia: Flood - Santa Cruz (Yapacaní) - 17/11/2025,,,2025-11-17,2025-11-17,Weather related,Hydrological,Flood,Flood,,Viceministerio Defensa Civil - VIDECI,,"Yapacani, Provincia Ichilo, Santa Cruz, Bolivia","-17.40206, -63.881351",County/City/town/Village/Woreda (ADM3),Origin,,2026-01-06T14:45:46.275871Z,"Bolivia: 55 displacements (destroyed housing), 17 November - 17 November. A total of 17 households were displaced due to destroyed housing due to flood on 17 November in Yapacani, Provincia Ichilo, Santa Cruz, Bolivia, according to national/regional disaster authorities. Viceministerio Defensa Civil - VIDECI - 22 December 2025",,Flood
