id,country,iso3,latitude,longitude,centroid,role,displacement_type,qualifier,figure,displacement_date,displacement_start_date,displacement_end_date,year,event_id,event_name,event_codes,event_code_types,event_start_date,event_end_date,category,subcategory,type,subtype,old_id,sources,source_url,locations_name,locations_coordinates,locations_accuracy,locations_type,displacement_occurred,created_at,description,link,combined_type
220281,Brazil,BRA,-26.93207,-49.35196,"[-26.93207, -49.35196]",Recommended figure,Disaster,total,8,2025-12-30,2025-12-30,2025-12-30,2025,38984,Brazil: Storm - Santa Catarina (Rodeio) - 30/12/2025,,,2025-12-30,2025-12-30,Weather related,Meteorological,Storm,Storm,,Secretaria Nacional de Proteção e Defesa Civil (SEDEC),,"Rodeio, Santa Catarina, Brazil","-26.93207, -49.35196",District/Zone/Department (ADM2),Origin,,2026-01-20T20:47:53.322183Z,"Brazil: 8 displacements, 30 December - 30 December. According to the Secretaria Nacional de Proteção e Defesa Civil (SEDEC), based on data from Brazil's Integrated System on Disaster Information (S2ID), 8 people were displaced from Rodeio, Santa Catarina on 30 December 2025 due to Storm. Secretaria Nacional de Proteção e Defesa Civil (SEDEC) - 15 January 2026",,Storm
220279,Brazil,BRA,-27.89154,-53.1122,"[-27.89154, -53.1122]",Recommended figure,Disaster,total,10,2025-12-30,2025-12-30,2025-12-30,2025,38983,Brazil: Storm - Rio Grande do Sul (Novo Barreiro) - 30/12/2025,,,2025-12-30,2025-12-30,Weather related,Meteorological,Storm,Storm,,Secretaria Nacional de Proteção e Defesa Civil (SEDEC),,"Novo Barreiro, Rio Grande do Sul, Brazil","-27.89154, -53.1122",District/Zone/Department (ADM2),Origin,,2026-01-20T20:47:53.178191Z,"Brazil: 10 displacements, 30 December - 30 December. According to the Secretaria Nacional de Proteção e Defesa Civil (SEDEC), based on data from Brazil's Integrated System on Disaster Information (S2ID), 10 people were displaced from Novo Barreiro, Rio Grande Do Sul on 30 December 2025 due to Storm. Secretaria Nacional de Proteção e Defesa Civil (SEDEC) - 15 January 2026",,Storm
220284,Brazil,BRA,-18.79532,-43.37002,"[-18.79532, -43.37002]",Recommended figure,Disaster,total,3,2025-12-30,2025-12-30,2025-12-30,2025,38979,Brazil: Storm - Minas Gerais (Alvorada de Minas) - 30/12/2025,,,2025-12-30,2025-12-30,Weather related,Meteorological,Storm,Storm,,Secretaria Nacional de Proteção e Defesa Civil (SEDEC),,"Alvorada de Minas, Minas Gerais, Brazil","-18.79532, -43.37002",District/Zone/Department (ADM2),Origin,,2026-01-20T20:47:53.504084Z,"Brazil: 3 displacements, 30 December - 30 December. According to the Secretaria Nacional de Proteção e Defesa Civil (SEDEC), based on data from Brazil's Integrated System on Disaster Information (S2ID), 3 people were displaced from Alvorada De Minas, Minas Gerais on 30 December 2025 due to Storm. Secretaria Nacional de Proteção e Defesa Civil (SEDEC) - 15 January 2026",,Storm
220282,Brazil,BRA,-27.11339,-48.90393,"[-27.11339, -48.90393]",Recommended figure,Disaster,total,103,2025-12-30,2025-12-30,2025-12-30,2025,38982,Brazil: Storm - Santa Catarina (Brusque) - 30/12/2025,,,2025-12-30,2025-12-30,Weather related,Meteorological,Storm,Storm,,Secretaria Nacional de Proteção e Defesa Civil (SEDEC),,"Brusque, Santa Catarina, Brazil","-27.11339, -48.90393",District/Zone/Department (ADM2),Origin,,2026-01-20T20:47:53.383743Z,"Brazil: 103 displacements, 30 December - 30 December. According to the Secretaria Nacional de Proteção e Defesa Civil (SEDEC), based on data from Brazil's Integrated System on Disaster Information (S2ID), 103 people were displaced from Brusque, Santa Catarina on 30 December 2025 due to Storm. Secretaria Nacional de Proteção e Defesa Civil (SEDEC) - 15 January 2026",,Storm
220280,Brazil,BRA,-26.4189,-48.65147,"[-26.4189, -48.65147]",Recommended figure,Disaster,total,63,2025-12-30,2025-12-30,2025-12-30,2025,38980,Brazil: Storm - Santa Catarina (Balneário Barra do Sul) - 30/12/2025,,,2025-12-30,2025-12-30,Weather related,Meteorological,Storm,Storm,,Secretaria Nacional de Proteção e Defesa Civil (SEDEC),,"Balneário Barra do Sul, Santa Catarina, Brazil","-26.4189, -48.65147",District/Zone/Department (ADM2),Origin,,2026-01-20T20:47:53.254209Z,"Brazil: 63 displacements, 30 December - 30 December. According to the Secretaria Nacional de Proteção e Defesa Civil (SEDEC), based on data from Brazil's Integrated System on Disaster Information (S2ID), 63 people were displaced from Balneário Barra Do Sul, Santa Catarina on 30 December 2025 due to Storm. Secretaria Nacional de Proteção e Defesa Civil (SEDEC) - 15 January 2026",,Storm
220283,Brazil,BRA,-27.91562,-53.03286,"[-27.91562, -53.03286]",Recommended figure,Disaster,total,100,2025-12-30,2025-12-30,2025-12-30,2025,38981,Brazil: Storm - Rio Grande do Sul (Barra Funda) - 30/12/2025,,,2025-12-30,2025-12-30,Weather related,Meteorological,Storm,Storm,,Secretaria Nacional de Proteção e Defesa Civil (SEDEC),,"Barra Funda, Rio Grande do Sul, Brazil","-27.91562, -53.03286",District/Zone/Department (ADM2),Origin,,2026-01-20T20:47:53.444350Z,"Brazil: 100 displacements, 30 December - 30 December. According to the Secretaria Nacional de Proteção e Defesa Civil (SEDEC), based on data from Brazil's Integrated System on Disaster Information (S2ID), 100 people were displaced from Barra Funda, Rio Grande Do Sul on 30 December 2025 due to Storm. Secretaria Nacional de Proteção e Defesa Civil (SEDEC) - 15 January 2026",,Storm
220291,Brazil,BRA,-7.44532,-57.30272,"[-7.44532, -57.30272]",Recommended figure,Disaster,total,1668,2025-12-29,2025-12-29,2025-12-29,2025,38977,Brazil: Storm - Pará (Jacareacanga) - 29/12/2025,,,2025-12-29,2025-12-29,Weather related,Meteorological,Storm,Storm,,Secretaria Nacional de Proteção e Defesa Civil (SEDEC),,"Jacareacanga, Pará, Brazil","-7.44532, -57.30272",District/Zone/Department (ADM2),Origin,,2026-01-20T20:47:53.945593Z,"Brazil: 1,668 displacements, 29 December - 29 December. According to the Secretaria Nacional de Proteção e Defesa Civil (SEDEC), based on data from Brazil's Integrated System on Disaster Information (S2ID), 1668 people were displaced from Jacareacanga, Pará on 29 December 2025 due to Storm. Secretaria Nacional de Proteção e Defesa Civil (SEDEC) - 15 January 2026",,Storm
220286,Brazil,BRA,-9.65038,-67.77733,"[-9.65038, -67.77733]",Recommended figure,Disaster,total,450,2025-12-29,2025-12-29,2025-12-29,2025,38298,Brazil: Flood - Acre (Porto Acre) - 29/12/2025,,,2025-12-29,2025-12-29,Weather related,Hydrological,Flood,Flood,,Secretaria Nacional de Proteção e Defesa Civil (SEDEC),,"Porto Acre, Acre, Brazil","-9.65038, -67.77733",District/Zone/Department (ADM2),Origin,,2026-01-20T20:47:53.631076Z,"Brazil: 450 displacements, 29 December - 29 December. According to the Secretaria Nacional de Proteção e Defesa Civil (SEDEC), based on data from Brazil's Integrated System on Disaster Information (S2ID), 450 people were displaced from Porto Acre, Acre on 29 December 2025 due to Flood. Secretaria Nacional de Proteção e Defesa Civil (SEDEC) - 15 January 2026",,Flood
220287,Brazil,BRA,-10.29428,-67.26817,"[-10.29428, -67.26817]",Recommended figure,Disaster,total,1,2025-12-29,2025-12-29,2025-12-29,2025,38297,Brazil: Flood - Acre (Plácido de Castro) - 29/12/2025,,,2025-12-29,2025-12-29,Weather related,Hydrological,Flood,Flood,,Secretaria Nacional de Proteção e Defesa Civil (SEDEC),,"Plácido de Castro, Acre, Brazil","-10.29428, -67.26817",District/Zone/Department (ADM2),Origin,,2026-01-20T20:47:53.694366Z,"Brazil: 1 displacement (multiple/other), 29 December - 29 December. According to the Secretaria Nacional de Proteção e Defesa Civil (SEDEC), based on data from Brazil's Integrated System on Disaster Information (S2ID), one person was displaced from Plácido De Castro, Acre on 29 December 2025 due to Flood. Secretaria Nacional de Proteção e Defesa Civil (SEDEC) - 15 January 2026",,Flood
220288,Brazil,BRA,-9.410245024043865,-70.39574572980743,"[-9.410245024043865, -70.39574572980743]",Recommended figure,Disaster,total,600,2025-12-29,2025-12-29,2025-12-29,2025,38299,Brazil: Flood - Acre (Santa Rosa do Purus) - 29/12/2025,,,2025-12-29,2025-12-29,Weather related,Hydrological,Flood,Flood,,Secretaria Nacional de Proteção e Defesa Civil (SEDEC),,"Santa Rosa do Purus, Acre","-9.410245024043865, -70.39574572980743",District/Zone/Department (ADM2),Origin,,2026-01-20T20:47:53.760698Z,"Brazil: 600 displacements, 29 December - 29 December. According to the Secretaria Nacional de Proteção e Defesa Civil (SEDEC), based on data from Brazil's Integrated System on Disaster Information (S2ID), 600 people were displaced from Santa Rosa Do Purus, Acre on 29 December 2025 due to Flood. Secretaria Nacional de Proteção e Defesa Civil (SEDEC) - 15 January 2026",,Flood
220290,Brazil,BRA,-27.80195,-48.65914,"[-27.80195, -48.65914]",Recommended figure,Disaster,total,18,2025-12-29,2025-12-29,2025-12-29,2025,38978,Brazil: Storm - Santa Catarina (Palhoça) - 29/12/2025,,,2025-12-29,2025-12-29,Weather related,Meteorological,Storm,Storm,,Secretaria Nacional de Proteção e Defesa Civil (SEDEC),,"Palhoça, Santa Catarina, Brazil","-27.80195, -48.65914",District/Zone/Department (ADM2),Origin,,2026-01-20T20:47:53.884269Z,"Brazil: 18 displacements, 29 December - 29 December. According to the Secretaria Nacional de Proteção e Defesa Civil (SEDEC), based on data from Brazil's Integrated System on Disaster Information (S2ID), 18 people were displaced from Palhoça, Santa Catarina on 29 December 2025 due to Storm. Secretaria Nacional de Proteção e Defesa Civil (SEDEC) - 15 January 2026",,Storm
220289,Brazil,BRA,-8.90496,-70.91489,"[-8.90496, -70.91489]",Recommended figure,Disaster,total,10,2025-12-29,2025-12-29,2025-12-29,2025,38296,Brazil: Flood - Acre (Feijó) - 29/12/2025,,,2025-12-29,2025-12-29,Weather related,Hydrological,Flood,Flood,,Secretaria Nacional de Proteção e Defesa Civil (SEDEC),,"Feijó, Acre, Brazil","-8.90496, -70.91489",District/Zone/Department (ADM2),Origin,,2026-01-20T20:47:53.820719Z,"Brazil: 10 displacements, 29 December - 29 December. According to the Secretaria Nacional de Proteção e Defesa Civil (SEDEC), based on data from Brazil's Integrated System on Disaster Information (S2ID), 10 people were displaced from Feijó, Acre on 29 December 2025 due to Flood. Secretaria Nacional de Proteção e Defesa Civil (SEDEC) - 15 January 2026",,Flood
220292,Brazil,BRA,-8.239026254323424,-71.44486047921998,"[-8.239026254323424, -71.44486047921998]",Recommended figure,Disaster,total,81,2025-12-27,2025-12-27,2025-12-27,2025,38295,Brazil: Flood - Acre (Tarauacá) - 27/12/2025,,,2025-12-27,2025-12-27,Weather related,Hydrological,Flood,Flood,,Secretaria Nacional de Proteção e Defesa Civil (SEDEC),,"Tarauacá, Acre","-8.239026254323424, -71.44486047921998",District/Zone/Department (ADM2),Origin,,2026-01-20T20:47:54.006395Z,"Brazil: 81 displacements, 27 December - 27 December. According to the Secretaria Nacional de Proteção e Defesa Civil (SEDEC), based on data from Brazil's Integrated System on Disaster Information (S2ID), 81 people were displaced from Tarauacá, Acre on 27 December 2025 due to Flood. Secretaria Nacional de Proteção e Defesa Civil (SEDEC) - 15 January 2026",,Flood
220293,Brazil,BRA,-18.23315,-45.61317,"[-18.23315, -45.61317]",Recommended figure,Disaster,total,50,2025-12-26,2025-12-26,2025-12-26,2025,38976,Brazil: Storm - Minas Gerais (São Gonçalo do Abaeté) - 26/12/2025,,,2025-12-26,2025-12-26,Weather related,Meteorological,Storm,Storm,,Secretaria Nacional de Proteção e Defesa Civil (SEDEC),,"São Gonçalo do Abaeté, Minas Gerais, Brazil","-18.23315, -45.61317",District/Zone/Department (ADM2),Origin,,2026-01-20T20:47:54.084162Z,"Brazil: 50 displacements, 26 December - 26 December. According to the Secretaria Nacional de Proteção e Defesa Civil (SEDEC), based on data from Brazil's Integrated System on Disaster Information (S2ID), 50 people were displaced from São Gonçalo Do Abaeté, Minas Gerais on 26 December 2025 due to Storm. Secretaria Nacional de Proteção e Defesa Civil (SEDEC) - 15 January 2026",,Storm
