id,country,iso3,latitude,longitude,centroid,role,displacement_type,qualifier,figure,displacement_date,displacement_start_date,displacement_end_date,year,event_id,event_name,event_codes,event_code_types,event_start_date,event_end_date,category,subcategory,type,subtype,old_id,sources,source_url,locations_name,locations_coordinates,locations_accuracy,locations_type,displacement_occurred,created_at,description,link,combined_type
226419,Burundi,BDI,-3.884312028679438,29.40563905274698,"[-3.884312028679438, 29.40563905274698]",Recommended figure,Disaster,total,135,2026-01-30,2026-01-30,2026-01-30,2026,39345,Burundi: Storm - Burunga - 01/01/2026,,,2026-01-01,2026-01-02,Weather related,Meteorological,Storm,Storm,,IOM Displacement Tracking Matrix (IOM DTM),,"Kizuka, Rumonge, Burunga, Burundi","-3.884312028679438, 29.40563905274698",County/City/town/Village/Woreda (ADM3),Origin,Displacement without preventive evacuations reported,2026-02-06T14:08:15.128648Z,"Burundi: 135 displacements, 30 January - 30 January. According to IOM Displacement Tracking Matrix (IOM DTM), a total of 135 persons were internally displaced from Kizuka, Rumonge, Burunga due to Storm on 30 January 2026 IOM Displacement Tracking Matrix (IOM DTM) - 31 January 2026",,Storm
226418,Burundi,BDI,-3.756833368326701,29.36331143887037,"[-3.756833368326701, 29.36331143887037]",Recommended figure,Disaster,total,151,2026-01-30,2026-01-30,2026-01-30,2026,39345,Burundi: Storm - Burunga - 01/01/2026,,,2026-01-01,2026-01-02,Weather related,Meteorological,Storm,Storm,,IOM Displacement Tracking Matrix (IOM DTM),,"Minago, Rumonge, Burunga, Burundi","-3.756833368326701, 29.36331143887037",County/City/town/Village/Woreda (ADM3),Origin,Displacement without preventive evacuations reported,2026-02-06T14:08:15.088261Z,"Burundi: 151 displacements, 30 January - 30 January. According to IOM Displacement Tracking Matrix (IOM DTM), a total of 151 persons were internally displaced from Minago, Rumonge, Burunga due to Storm on 30 January 2026 IOM Displacement Tracking Matrix (IOM DTM) - 31 January 2026",,Storm
226405,Burundi,BDI,-3.513107607300428,29.38679186971137,"[-3.513107607300428, 29.38679186971137]",Recommended figure,Disaster,total,32,2026-01-30,2026-01-30,2026-01-30,2026,39341,Burundi: Flood - Bujumbura - 01/01/2026,,,2026-01-01,2026-01-13,Weather related,Hydrological,Flood,Flood,,IOM Displacement Tracking Matrix (IOM DTM),,"Mubone, Mugere, Bujumbura, Burundi","-3.513107607300428, 29.38679186971137",County/City/town/Village/Woreda (ADM3),Origin,Displacement without preventive evacuations reported,2026-02-06T14:08:14.539990Z,"Burundi: 32 displacements, 30 January - 30 January. According to IOM Displacement Tracking Matrix (IOM DTM), a total of 32 persons were internally displaced from Mubone, Mugere, Bujumbura due to Flood on 30 January 2026 IOM Displacement Tracking Matrix (IOM DTM) - 31 January 2026",,Flood
226404,Burundi,BDI,-3.462867463954385,29.35419701748096,"[-3.462867463954385, 29.35419701748096]",Recommended figure,Disaster,total,393,2026-01-30,2026-01-30,2026-01-30,2026,39341,Burundi: Flood - Bujumbura - 01/01/2026,,,2026-01-01,2026-01-13,Weather related,Hydrological,Flood,Flood,,IOM Displacement Tracking Matrix (IOM DTM),,"Ruziba, Mugere, Bujumbura, Burundi","-3.462867463954385, 29.35419701748096",County/City/town/Village/Woreda (ADM3),Origin,Displacement without preventive evacuations reported,2026-02-06T14:08:14.479093Z,"Burundi: 393 displacements, 30 January - 30 January. According to IOM Displacement Tracking Matrix (IOM DTM), a total of 393 persons were internally displaced from Ruziba, Mugere, Bujumbura due to Flood on 30 January 2026 IOM Displacement Tracking Matrix (IOM DTM) - 31 January 2026",,Flood
226403,Burundi,BDI,-3.462867463954385,29.35419701748096,"[-3.462867463954385, 29.35419701748096]",Triangulation,Disaster,total,159,2026-01-30,2026-01-30,2026-01-30,2026,39341,Burundi: Flood - Bujumbura - 01/01/2026,,,2026-01-01,2026-01-13,Weather related,Hydrological,Flood,Flood,,IOM Displacement Tracking Matrix (IOM DTM),,"Ruziba, Mugere, Bujumbura, Burundi","-3.462867463954385, 29.35419701748096",County/City/town/Village/Woreda (ADM3),Origin,,2026-02-06T14:08:14.412425Z,"Burundi: 159 displacements (destroyed housing), 30 January - 30 January. According to IOM Displacement Tracking Matrix (IOM DTM), a total of 33 households were internally displaced from Ruziba, Mugere, Bujumbura due to Flood on 30 January 2026 IOM Displacement Tracking Matrix (IOM DTM) - 31 January 2026",,Flood
226402,Burundi,BDI,-3.728430541862289,29.87335198766944,"[-3.728430541862289, 29.87335198766944]",Recommended figure,Disaster,total,10,2026-01-30,2026-01-30,2026-01-30,2026,39343,Burundi: Flood - Gitega - 01/01/2026,,,2026-01-01,2026-01-27,Weather related,Hydrological,Flood,Flood,,IOM Displacement Tracking Matrix (IOM DTM),,"Mahonda, Gishubi, Gitega, Burundi","-3.728430541862289, 29.87335198766944",County/City/town/Village/Woreda (ADM3),Origin,Displacement without preventive evacuations reported,2026-02-06T14:08:14.365447Z,"Burundi: 10 displacements, 30 January - 30 January. According to IOM Displacement Tracking Matrix (IOM DTM), a total of 10 persons were internally displaced from Mahonda, Gishubi, Gitega due to Flood on 30 January 2026 IOM Displacement Tracking Matrix (IOM DTM) - 31 January 2026",,Flood
226401,Burundi,BDI,-3.790043094373327,29.94257074570666,"[-3.790043094373327, 29.94257074570666]",Triangulation,Disaster,total,14,2026-01-30,2026-01-30,2026-01-30,2026,39343,Burundi: Flood - Gitega - 01/01/2026,,,2026-01-01,2026-01-27,Weather related,Hydrological,Flood,Flood,,IOM Displacement Tracking Matrix (IOM DTM),,"Butezi, Gishubi, Gitega, Burundi","-3.790043094373327, 29.94257074570666",County/City/town/Village/Woreda (ADM3),Origin,,2026-02-06T14:08:07.137540Z,"Burundi: 14 displacements (destroyed housing), 30 January - 30 January. According to IOM Displacement Tracking Matrix (IOM DTM), a total of 3 households were internally displaced from Butezi, Gishubi, Gitega due to Flood on 30 January 2026 IOM Displacement Tracking Matrix (IOM DTM) - 31 January 2026",,Flood
226400,Burundi,BDI,-3.790043094373327,29.94257074570666,"[-3.790043094373327, 29.94257074570666]",Recommended figure,Disaster,total,18,2026-01-30,2026-01-30,2026-01-30,2026,39343,Burundi: Flood - Gitega - 01/01/2026,,,2026-01-01,2026-01-27,Weather related,Hydrological,Flood,Flood,,IOM Displacement Tracking Matrix (IOM DTM),,"Butezi, Gishubi, Gitega, Burundi","-3.790043094373327, 29.94257074570666",County/City/town/Village/Woreda (ADM3),Origin,Displacement without preventive evacuations reported,2026-02-06T14:08:07.066320Z,"Burundi: 18 displacements, 30 January - 30 January. According to IOM Displacement Tracking Matrix (IOM DTM), a total of 18 persons were internally displaced from Butezi, Gishubi, Gitega due to Flood on 30 January 2026 IOM Displacement Tracking Matrix (IOM DTM) - 31 January 2026",,Flood
226421,Burundi,BDI,-3.993170369510695,29.51424097752074,"[-3.993170369510695, 29.51424097752074]",Recommended figure,Disaster,total,14,2026-01-30,2026-01-30,2026-01-30,2026,39345,Burundi: Storm - Burunga - 01/01/2026,,,2026-01-01,2026-01-02,Weather related,Meteorological,Storm,Storm,,IOM Displacement Tracking Matrix (IOM DTM),,"Buruhukiro, Rumonge, Burunga, Burundi","-3.993170369510695, 29.51424097752074",County/City/town/Village/Woreda (ADM3),Origin,Displacement without preventive evacuations reported,2026-02-06T14:08:15.208964Z,"Burundi: 14 displacements, 30 January - 30 January. According to IOM Displacement Tracking Matrix (IOM DTM), a total of 14 persons were internally displaced from Buruhukiro, Rumonge, Burunga due to Storm on 30 January 2026 IOM Displacement Tracking Matrix (IOM DTM) - 31 January 2026",,Storm
226420,Burundi,BDI,-4.037585147040811,29.48059572158087,"[-4.037585147040811, 29.48059572158087]",Recommended figure,Disaster,total,43,2026-01-30,2026-01-30,2026-01-30,2026,39345,Burundi: Storm - Burunga - 01/01/2026,,,2026-01-01,2026-01-02,Weather related,Meteorological,Storm,Storm,,IOM Displacement Tracking Matrix (IOM DTM),,"Gatete, Rumonge, Burunga, Burundi","-4.037585147040811, 29.48059572158087",County/City/town/Village/Woreda (ADM3),Origin,Displacement without preventive evacuations reported,2026-02-06T14:08:15.168989Z,"Burundi: 43 displacements, 30 January - 30 January. According to IOM Displacement Tracking Matrix (IOM DTM), a total of 43 persons were internally displaced from Gatete, Rumonge, Burunga due to Storm on 30 January 2026 IOM Displacement Tracking Matrix (IOM DTM) - 31 January 2026",,Storm
