id,country,iso3,latitude,longitude,centroid,role,displacement_type,qualifier,figure,displacement_date,displacement_start_date,displacement_end_date,year,event_id,event_name,event_codes,event_code_types,event_start_date,event_end_date,category,subcategory,type,subtype,old_id,sources,source_url,locations_name,locations_coordinates,locations_accuracy,locations_type,displacement_occurred,created_at,description,link,combined_type
240826,Central African Republic,CAF,5.68133,16.63459,"[5.68133, 16.63459]",Recommended figure,Disaster,total,1677,2026-01-21,2026-01-21,2026-01-21,2026,40370,Central African Republic: Flood - Ouham-Pende (Bossemptele) - 21/01/2026,,,2026-01-21,2026-01-21,Weather related,Hydrological,Flood,Flood,,Office for the Coordination of Humanitarian Affairs (OCHA),,"Bossemptele, Ouham Pendé, Central African Republic","5.68133, 16.63459",County/City/town/Village/Woreda (ADM3),Origin,,2026-02-24T16:41:08.736054Z,"Central African Republic: 1,677 displacements (destroyed housing), 21 January - 21 January. According to OCHA, exactly 300 households were displaced in Bossemptélé (Ouham-Péndé prefecture) on 21 January 2026 due to torrential rains that destroyed their homes. Office for the Coordination of Humanitarian Affairs (OCHA) - 12 February 2026",,Flood
224304,Central African Republic,CAF,5.02475,25.129271,"[5.02475, 25.129271]",Recommended figure,Conflict,total,2336,2026-01-02,2026-01-02,2026-01-02,2026,40146,Central African Republic: Non-International armed conflict (NIAC) - Countrywide - 2026,,,2026-01-01,2026-02-28,,,,,,IOM Displacement Tracking Matrix (IOM DTM),,"Zemio, Haut-Mbomou, Central African Republic","5.02475, 25.129271",County/City/town/Village/Woreda (ADM3),Origin and destination,Displacement without preventive evacuations reported,2026-01-26T17:41:24.452985Z,"Central African Republic: 2,336 displacements, 02 January - 02 January. Non-international armed conflict resulted in exactly 2,336 people being internally displaced from localities in Zémio sub-prefecture to Bondjokpo and Argué villages on 02 January 2026, according to IOM DTM CAR. IOM Displacement Tracking Matrix (IOM DTM) - 09 January 2026",,Conflict
224282,Central African Republic,CAF,5.02475,25.129271,"[5.02475, 25.129271]",Recommended figure,Conflict,approximately,1300,2026-01-03,2026-01-01,2026-01-03,2026,40146,Central African Republic: Non-International armed conflict (NIAC) - Countrywide - 2026,,,2026-01-01,2026-02-28,,,,,,Protection Cluster; United Nations High Commissioner for Refugees (UNHCR),,"Zemio, Haut-Mbomou, Central African Republic","5.02475, 25.129271",County/City/town/Village/Woreda (ADM3),Origin,Displacement without preventive evacuations reported,2026-01-26T09:51:10.149233Z,"Central African Republic: 1,300 displacements, 01 January - 03 January. According to the Protection Cluster CAR, 1,300 people were internally displaced in Zémio, Haut-Mbomou, between 1 and 3 January 2026, due to non-international armed conflict. Protection Cluster - 07 January 2026",,Conflict
195313,Central African Republic,CAF,9.82505,22.37636,"[9.82505, 22.37636]",Recommended figure,Conflict,approximately,5000,2025-09-22,2025-09-17,2025-09-22,2025,30696,Central African Republic: Non-International armed conflict (NIAC) - Countrywide - 2025,,,2025-01-01,2025-09-22,,,,,,Office for the Coordination of Humanitarian Affairs (OCHA),,"Vakaga, Central African Republic","9.82505, 22.37636",State/Region/Province (ADM1),Origin and destination,Displacement without preventive evacuations reported,2025-10-22T05:23:37.910619Z,"Central African Republic: 5,000 displacements, 17 September - 22 September. According to the Office for the Coordination of Humanitarian Affairs (OCHA), approximately 5,000 people were displaced due to a non-international armed conflict (NIAC) between 17 and 22 September in the Vakaga prefecture. Office for the Coordination of Humanitarian Affairs (OCHA) - 24 September 2025",,Conflict
194836,Central African Republic,CAF,6.99931,19.182301,"[6.99931, 19.182301]",Recommended figure,Conflict,total,18,2025-08-31,2025-08-01,2025-08-31,2025,30696,Central African Republic: Non-International armed conflict (NIAC) - Countrywide - 2025,,,2025-01-01,2025-09-22,,,,,,CMP - CAR,,"Kaga-Bandoro, Nana-Grébizi, Central African Republic","6.99931, 19.182301",District/Zone/Department (ADM2),Destination,Displacement without preventive evacuations reported,2025-10-14T14:06:39.321472Z,"Central African Republic: 18 displacements, 01 August - 31 August. Non-international armed conflict resulted in a total of 18 people being internally displaced to the Kaga-Bandoro sub-prefecture in August, according to the Commission Mouvement de Population. CMP - CAR - 23 September 2025",,Conflict
194835,Central African Republic,CAF,5.76795,20.67565,"[5.76795, 20.67565]",Recommended figure,Conflict,total,31,2025-08-31,2025-08-01,2025-08-31,2025,30696,Central African Republic: Non-International armed conflict (NIAC) - Countrywide - 2025,,,2025-01-01,2025-09-22,,,,,,CMP - CAR,,"Bambari, Ouaka, Central African Republic","5.76795, 20.67565",District/Zone/Department (ADM2),Destination,Displacement without preventive evacuations reported,2025-10-14T14:04:16.349680Z,"Central African Republic: 31 displacements, 01 August - 31 August. Non-international armed conflict resulted in a total of 31 people being internally displaced to the Bambari sub-prefecture in August, according to the Commission Mouvement de Population. CMP - CAR - 23 September 2025",,Conflict
194834,Central African Republic,CAF,4.39072,18.550911,"[4.39072, 18.550911]",Recommended figure,Conflict,total,53,2025-08-31,2025-08-01,2025-08-31,2025,30696,Central African Republic: Non-International armed conflict (NIAC) - Countrywide - 2025,,,2025-01-01,2025-09-22,,,,,,CMP - CAR,,"Bangui-fleuve, Bangui, Central African Republic","4.39072, 18.550911",District/Zone/Department (ADM2),Destination,Displacement without preventive evacuations reported,2025-10-14T14:00:45.400051Z,"Central African Republic: 53 displacements, 01 August - 31 August. Non-international armed conflict resulted in a total of 53 people being internally displaced to the Bangui-Fleuve sub-prefecture in August, according to the Commission Mouvement de Population. CMP - CAR - 23 September 2025",,Conflict
194833,Central African Republic,CAF,4.998,24.530675000000002,"[4.998, 24.530675000000002]",Recommended figure,Conflict,total,205,2025-08-31,2025-08-01,2025-08-31,2025,30696,Central African Republic: Non-International armed conflict (NIAC) - Countrywide - 2025,,,2025-01-01,2025-09-22,,,,,,CMP - CAR,,"Rafaï, Mbomou, Central African Republic; Zemio, Haut-Mbomou, Central African Republic","4.97125, 23.932079; 5.02475, 25.129271",District/Zone/Department (ADM2); District/Zone/Department (ADM2),Destination; Origin,Displacement without preventive evacuations reported,2025-10-14T13:46:34.008584Z,"Central African Republic: 205 displacements, 01 August - 31 August. Non-international armed conflict resulted in a total of 205 people being internally displaced from Zémio to the Rafai sub-prefecture in August, according to the Commission Mouvement de Population. CMP - CAR - 23 September 2025",,Conflict
194828,Central African Republic,CAF,5.20942,25.810995499999997,"[5.20942, 25.810995499999997]",Recommended figure,Conflict,total,853,2025-08-31,2025-08-01,2025-08-31,2025,30696,Central African Republic: Non-International armed conflict (NIAC) - Countrywide - 2025,,,2025-01-01,2025-09-22,,,,,,CMP - CAR,,"Obo, Haut-Mbomou, Central African Republic; Zemio, Haut-Mbomou, Central African Republic","5.39409, 26.49272; 5.02475, 25.129271",District/Zone/Department (ADM2); District/Zone/Department (ADM2),Destination; Origin,Displacement without preventive evacuations reported,2025-10-14T12:55:09.961871Z,"Central African Republic: 853 displacements, 01 August - 31 August. Non-international armed conflict resulted in a total of 853 people being internally displaced from Zémio to the Obo sub-prefecture in August, according to the Commission Mouvement de Population. CMP - CAR - 23 September 2025",,Conflict
194809,Central African Republic,CAF,6.31474,16.38064,"[6.31474, 16.38064]",Recommended figure,Conflict,total,702,2025-08-31,2025-08-01,2025-08-31,2025,30696,Central African Republic: Non-International armed conflict (NIAC) - Countrywide - 2025,,,2025-01-01,2025-09-22,,,,,,CMP - CAR,,"Bozoum, Ouham Pendé, Central African Republic","6.31474, 16.38064",District/Zone/Department (ADM2),Destination,Displacement without preventive evacuations reported,2025-10-14T11:50:07.572580Z,"Central African Republic: 702 displacements, 01 August - 31 August. Non-international armed conflict resulted in a total of 702 people being internally displaced to the Bozoum sub-prefecture in August, according to the Commission Mouvement de Population. CMP - CAR - 23 September 2025",,Conflict
