id,country,iso3,latitude,longitude,centroid,role,displacement_type,qualifier,figure,displacement_date,displacement_start_date,displacement_end_date,year,event_id,event_name,event_codes,event_code_types,event_start_date,event_end_date,category,subcategory,type,subtype,old_id,sources,source_url,locations_name,locations_coordinates,locations_accuracy,locations_type,displacement_occurred,created_at,description,link,combined_type
237726,Colombia,COL,8.33447,-75.666618,"[8.33447, -75.666618]",Recommended figure,Disaster,total,14474,2026-02-13,2026-01-01,2026-02-13,2026,40216,"Colombia: Flood - Córdoba, La Guajira, Antioquia - 01/01/2026",,,2026-01-01,2026-02-13,Weather related,Hydrological,Flood,Flood,,Office for the Coordination of Humanitarian Affairs (OCHA),,"Córdoba, Colombia","8.33447, -75.666618",State/Region/Province (ADM1),Origin,Displacement without preventive evacuations reported,2026-02-18T15:26:21.814653Z,"Colombia: 14,474 displacements (sheltered), 01 January - 13 February. According to Office for the Coordination of Humanitarian Affairs (OCHA), a total of 14474 people were sheltered in Córdoba, Colombia due to flood between January and February. Office for the Coordination of Humanitarian Affairs (OCHA) - 13 February 2026",,Flood
237729,Colombia,COL,8.41325,-76.160545,"[8.41325, -76.160545]",Recommended figure,Disaster,total,84,2026-02-13,2026-01-01,2026-02-13,2026,40216,"Colombia: Flood - Córdoba, La Guajira, Antioquia - 01/01/2026",,,2026-01-01,2026-02-13,Weather related,Hydrological,Flood,Flood,,Office for the Coordination of Humanitarian Affairs (OCHA),,"Córdoba, Colombia; Necoclí, Urabá, Antioquia, Colombia","8.33447, -75.666618; 8.49203, -76.654472",State/Region/Province (ADM1); County/City/town/Village/Woreda (ADM3),Origin; Origin,Displacement without preventive evacuations reported,2026-02-18T15:30:32.973365Z,"Colombia: 84 displacements (evacuated), 01 January - 13 February. A total of 29 households were evacuated due to flood on 1 January in Córdoba, Colombia, Necoclí, Urabá, Antioquia, Colombia, according to Office for the Coordination of Humanitarian Affairs (OCHA). Office for the Coordination of Humanitarian Affairs (OCHA) - 13 February 2026",,Flood
214910,Colombia,COL,2.32421,-77.927307,"[2.32421, -77.927307]",Triangulation,Conflict,total,400,2025-11-16,2025-11-16,2025-11-16,2025,37237,Colombia: Non-International armed conflict (NIAC) - Nariño (El Charco) - 16/11/2025,,,2025-11-16,2025-11-16,,,,,,Equipos Locales de Coordinación,,"El Charco, Nariño, Colombia","2.32421, -77.927307",County/City/town/Village/Woreda (ADM3),Origin,Displacement without preventive evacuations reported,2025-12-05T13:00:31.983342Z,"Colombia: 400 displacements, 16 November - 16 November. A total of 400 people were displaced due to non-international armed conflict (niac) on 16 November in El Charco, Nariño, Colombia, according to clusters and consortias. Office for the Coordination of Humanitarian Affairs (OCHA) - 05 December 2025",,Conflict
214911,Colombia,COL,2.99829,-76.510201,"[2.99829, -76.510201]",Triangulation,Conflict,total,41,2025-11-15,2025-11-15,2025-11-15,2025,37239,Colombia: Non-International armed conflict (NIAC) - Cauca (Santander de Quilichao) - 15/11/2025,,,2025-11-15,2025-11-15,,,,,,Equipos Locales de Coordinación; Local Media,,"Santander de Quilichao, Cauca, Colombia","2.99829, -76.510201",County/City/town/Village/Woreda (ADM3),Origin,Displacement without preventive evacuations reported,2025-12-05T13:04:28.622994Z,"Colombia: 41 displacements, 15 November - 15 November. According to clusters and consortias, media, a total of 41 people were displaced in Santander de Quilichao, Cauca, Colombia due to non-international armed conflict (niac) on 15 November Office for the Coordination of Humanitarian Affairs (OCHA) - 05 December 2025",,Conflict
214914,Colombia,COL,8.78284,-72.898857,"[8.78284, -72.898857]",Triangulation,Conflict,total,50,2025-11-14,2025-11-14,2025-11-14,2025,37240,Colombia: Non-International armed conflict (NIAC) - Norte de Santander (Tibú) - 14/11/2025,,,2025-11-14,2025-11-14,,,,,,Equipos Locales de Coordinación,,"Tibú, Norte de Santander, Colombia","8.78284, -72.898857",District/Zone/Department (ADM2),Origin,Displacement without preventive evacuations reported,2025-12-05T13:07:22.488412Z,"Colombia: 50 displacements, 14 November - 14 November. Non-international armed conflict (niac) resulted in a total of 50 people being displaced in Tibú, Norte de Santander, Colombia on 14 November, according to clusters and consortias. Office for the Coordination of Humanitarian Affairs (OCHA) - 05 December 2025",,Conflict
214918,Colombia,COL,4.56537,-76.522079,"[4.56537, -76.522079]",Triangulation,Conflict,total,96,2025-11-14,2025-11-14,2025-11-14,2025,37241,Colombia: Non-International armed conflict (NIAC) - Chocó (Sipí) - 14/11/2025,,,2025-11-14,2025-11-14,,,,,,Equipos Locales de Coordinación,,"Sipí, Chocó, Colombia","4.56537, -76.522079",County/City/town/Village/Woreda (ADM3),Origin,Displacement without preventive evacuations reported,2025-12-05T13:09:12.276350Z,"Colombia: 96 displacements, 14 November - 14 November. According to clusters and consortias, a total of 96 people were displaced in Sipí, Chocó, Colombia due to non-international armed conflict (niac) on 14 November Office for the Coordination of Humanitarian Affairs (OCHA) - 05 December 2025",,Conflict
214922,Colombia,COL,8.78284,-72.898857,"[8.78284, -72.898857]",Triangulation,Conflict,total,230,2025-11-10,2025-11-10,2025-11-10,2025,37242,Colombia: Non-International armed conflict (NIAC) - Norte de Santander (Tibú) - 10/11/2025,,,2025-11-10,2025-11-10,,,,,,Equipos Locales de Coordinación,,"Tibú, Norte de Santander, Colombia","8.78284, -72.898857",District/Zone/Department (ADM2),Origin,Displacement without preventive evacuations reported,2025-12-05T13:11:12.864273Z,"Colombia: 230 displacements, 10 November - 10 November. According to clusters and consortias, a total of 230 people were displaced in Tibú, Norte de Santander, Colombia due to non-international armed conflict (niac) on 10 November Office for the Coordination of Humanitarian Affairs (OCHA) - 05 December 2025",,Conflict
214926,Colombia,COL,2.32816,-77.263809,"[2.32816, -77.263809]",Triangulation,Conflict,total,100,2025-11-07,2025-11-07,2025-11-07,2025,37243,Colombia: Non-International armed conflict (NIAC) - Cauca (Argelia) - 07/11/2025,,,2025-11-07,2025-11-07,,,,,,Equipos Locales de Coordinación,,"Argelia, Cauca, Colombia","2.32816, -77.263809",County/City/town/Village/Woreda (ADM3),Origin,Displacement without preventive evacuations reported,2025-12-05T13:13:08.375561Z,"Colombia: 100 displacements, 07 November - 07 November. Non-international armed conflict (niac) resulted in a total of 100 people being displaced in Argelia, Cauca, Colombia on 7 November, according to clusters and consortias. Office for the Coordination of Humanitarian Affairs (OCHA) - 05 December 2025",,Conflict
214929,Colombia,COL,2.32816,-77.263809,"[2.32816, -77.263809]",Triangulation,Conflict,total,140,2025-11-05,2025-11-05,2025-11-05,2025,37244,Colombia: Non-International armed conflict (NIAC) - Cauca (Argelia) - 05/11/2025,,,2025-11-05,2025-11-05,,,,,,Equipos Locales de Coordinación,,"Argelia, Cauca, Colombia","2.32816, -77.263809",County/City/town/Village/Woreda (ADM3),Origin,Displacement without preventive evacuations reported,2025-12-05T13:14:56.517270Z,"Colombia: 140 displacements, 05 November - 05 November. Non-international armed conflict (niac) resulted in a total of 140 people being displaced in Argelia, Cauca, Colombia on 5 November, according to clusters and consortias. Office for the Coordination of Humanitarian Affairs (OCHA) - 05 December 2025",,Conflict
214930,Colombia,COL,2.65967,-77.427071,"[2.65967, -77.427071]",Triangulation,Conflict,total,80,2025-11-04,2025-11-04,2025-11-04,2025,37245,Colombia: Non-International armed conflict (NIAC) - Cauca (Timbiquí) - 04/11/2025,,,2025-11-04,2025-11-04,,,,,,Equipos Locales de Coordinación,,"Timbiquí, Cauca, Colombia","2.65967, -77.427071",County/City/town/Village/Woreda (ADM3),Origin,Displacement without preventive evacuations reported,2025-12-05T13:17:26.511775Z,"Colombia: 80 displacements, 04 November - 04 November. Non-international armed conflict (niac) resulted in a total of 80 people being displaced in Timbiquí, Cauca, Colombia on 4 November, according to clusters and consortias. Office for the Coordination of Humanitarian Affairs (OCHA) - 05 December 2025",,Conflict
