id,country,iso3,latitude,longitude,centroid,role,displacement_type,qualifier,figure,displacement_date,displacement_start_date,displacement_end_date,year,event_id,event_name,event_codes,event_code_types,event_start_date,event_end_date,category,subcategory,type,subtype,old_id,sources,source_url,locations_name,locations_coordinates,locations_accuracy,locations_type,displacement_occurred,created_at,description,link,combined_type
219750,Costa Rica,CRI,9.33922,-83.644592,"[9.33922, -83.644592]",Recommended figure,Disaster,total,20,2025-11-16,2025-11-16,2025-11-16,2025,37952,Costa Rica: Flood - San José (Pérez Zeledón) - 16/11/2025,,,2025-11-16,2025-11-16,Weather related,Hydrological,Flood,Flood,,Cuerpos de Bomberos de Costa Rica,,"Cantón Pérez Zeledón, San José, Costa Rica","9.33922, -83.644592",District/Zone/Department (ADM2),Origin,Displacement without preventive evacuations reported,2026-01-13T14:49:08.234347Z,"Costa Rica: 20 displacements (evacuated), 16 November - 16 November. Flood resulted in a total of 20 people being evacuated in Cantón Pérez Zeledón, San José, Costa Rica on 16 November, according to government. Local Media - 16 November 2025",,Flood
208328,Costa Rica,CRI,9.57732,-83.823708,"[9.57732, -83.823708]",Triangulation,Disaster,more than or equal to,200,2025-10-26,2025-10-26,2025-10-26,2025,34778,"Dominican Republic, Cuba, Bahamas, Jamaica, Haiti, Bermuda, Costa Rica, Panama: Hurricane Melissa - DOM (Countrywide), CUB (Countrywide), BHS (Countrywide), JAM (Countrywide), HT (Countrywide), BMU (Countrywide), CR (Countrywide), PA - 26/10/2025",,,2025-10-26,2025-10-26,Weather related,Meteorological,Storm,Typhoon/Hurricane/Cyclone,,Comision Nacional de Emergencias (CNE),,Costa Rica,"9.57732, -83.823708",Country/territory (AM0),Origin,Displacement without preventive evacuations reported,2025-11-24T20:15:39.842403Z,"Costa Rica: 200 displacements (sheltered), 26 October - 26 October. According to government, more than or equal to 200 people were sheltered in Costa Rica due to Hurricane Melissa on 26 October. Comision Nacional de Emergencias (CNE) - 31 October 2025",,Storm
208334,Costa Rica,CRI,10.18464,-85.796059,"[10.18464, -85.796059]",Triangulation,Disaster,total,1,2025-10-17,2025-10-17,2025-10-17,2025,37017,"Costa Rica: Flood - Guanacaste (Curime, Casita, Paraíso de Santa Cruz) - 17/10/2025",,,2025-10-17,2025-10-17,Weather related,Hydrological,Flood,Flood,,Costa Rican Red Cross Society (Cruz Roja Costarricense),,"Paraíso, Veintisiete de Abril, Cantón Santa Cruz, Guanacaste, Costa Rica","10.18464, -85.796059",County/City/town/Village/Woreda (ADM3),Origin,Displacement without preventive evacuations reported,2025-11-24T21:17:48.656102Z,"Costa Rica: 1 displacement (evacuated), 17 October - 17 October. Flood resulted in a total of 1 person being evacuated in Paraíso, Veintisiete de Abril, Cantón Santa Cruz, Guanacaste, Costa Rica on 17 October, according to red cross/red crescent movement. La Nación - 17 October 2025",,Flood
208332,Costa Rica,CRI,10.12491,-85.432472,"[10.12491, -85.432472]",Recommended figure,Disaster,total,25,2025-10-17,2025-10-17,2025-10-17,2025,37017,"Costa Rica: Flood - Guanacaste (Curime, Casita, Paraíso de Santa Cruz) - 17/10/2025",,,2025-10-17,2025-10-17,Weather related,Hydrological,Flood,Flood,,Costa Rican Red Cross Society (Cruz Roja Costarricense),,"Casitas, Nicoya, Cantón Nicoya, Guanacaste, Costa Rica","10.12491, -85.432472",County/City/town/Village/Woreda (ADM3),Origin,Displacement without preventive evacuations reported,2025-11-24T21:17:48.512452Z,"Costa Rica: 25 displacements (evacuated), 17 October - 17 October. A total of 25 people were evacuated due to flood on 17 October in Casitas, Nicoya, Cantón Nicoya, Guanacaste, Costa Rica, according to red cross/red crescent movement. La Nación - 17 October 2025",,Flood
208330,Costa Rica,CRI,10.11522,-85.451492,"[10.11522, -85.451492]",Recommended figure,Disaster,total,17,2025-10-17,2025-10-17,2025-10-17,2025,37017,"Costa Rica: Flood - Guanacaste (Curime, Casita, Paraíso de Santa Cruz) - 17/10/2025",,,2025-10-17,2025-10-17,Weather related,Hydrological,Flood,Flood,,Costa Rican Red Cross Society (Cruz Roja Costarricense),,"Curime, Nicoya, Cantón Nicoya, Guanacaste, Costa Rica","10.11522, -85.451492",Point,Origin,Displacement without preventive evacuations reported,2025-11-24T21:15:58.859140Z,"Costa Rica: 17 displacements (evacuated), 17 October - 17 October. A total of 17 people were evacuated due to flood on 17 October in Curime, Nicoya, Cantón Nicoya, Guanacaste, Costa Rica, according to red cross/red crescent movement. La Nación - 17 October 2025",,Flood
194934,Costa Rica,CRI,9.78818,-85.059273,"[9.78818, -85.059273]",Triangulation,Disaster,total,337,2025-10-06,2025-10-04,2025-10-06,2025,33562,"Costa Rica: Flood - Puntarenas, Guanacaste - 04/10/2025",,,2025-10-04,2025-10-06,Weather related,Hydrological,Flood,Flood,,Comision Nacional de Emergencias (CNE),,"Cantón Puntarenas, Puntarenas, Costa Rica","9.78818, -85.059273",District/Zone/Department (ADM2),Origin,Displacement without preventive evacuations reported,2025-10-15T18:06:49.721278Z,"Costa Rica: 337 displacements (sheltered), 04 October - 06 October. According to government, a total of 337 people were sheltered in Cantón Puntarenas, Puntarenas, Costa Rica due to flood on 4 October Local Media - 06 October 2025",,Flood
194936,Costa Rica,CRI,10.43087,-85.365997,"[10.43087, -85.365997]",Recommended figure,Disaster,total,14,2025-10-06,2025-10-04,2025-10-06,2025,33562,"Costa Rica: Flood - Puntarenas, Guanacaste - 04/10/2025",,,2025-10-04,2025-10-06,Weather related,Hydrological,Flood,Flood,,Comision Nacional de Emergencias (CNE),,"Guanacaste, Costa Rica","10.43087, -85.365997",State/Region/Province (ADM1),Origin,Displacement without preventive evacuations reported,2025-10-15T18:06:49.846209Z,"Costa Rica: 14 displacements (sheltered), 04 October - 06 October. According to government, a total of 14 people were sheltered in Guanacaste, Costa Rica due to flood on 4 October Local Media - 06 October 2025",,Flood
229819,Costa Rica,CRI,8.53356,-83.458321,"[8.53356, -83.458321]",Recommended figure,Disaster,total,21,2025-10-31,2025-10-01,2025-10-31,2025,39689,Costa Rica: Flood - Brunca (Puerto Jiménez) - 01/10/2025,,,2025-10-01,2025-10-31,Weather related,Hydrological,Flood,Flood,,Comision Nacional de Emergencias (CNE),,"Puerto Jiménez, Cantón Golfito, Puntarenas, Costa Rica","8.53356, -83.458321",County/City/town/Village/Woreda (ADM3),Origin,Displacement without preventive evacuations reported,2026-02-10T20:13:05.607441Z,"Costa Rica: 21 displacements (sheltered), 01 October - 31 October. A total of 21 people were sheltered due to flood in October in Puerto Jiménez, Cantón Golfito, Puntarenas, Costa Rica, according to government. Comision Nacional de Emergencias (CNE) - 05 February 2026",,Flood
229817,Costa Rica,CRI,8.53889,-82.946716,"[8.53889, -82.946716]",Recommended figure,Disaster,total,6,2025-10-31,2025-10-01,2025-10-31,2025,39688,Costa Rica: Flood - Brunca (Corredores) - 01/10/2025,,,2025-10-01,2025-10-31,Weather related,Hydrological,Flood,Flood,,Comision Nacional de Emergencias (CNE),,"Cantón Corredores, Puntarenas, Costa Rica","8.53889, -82.946716",District/Zone/Department (ADM2),Origin,Displacement without preventive evacuations reported,2026-02-10T20:13:05.501133Z,"Costa Rica: 6 displacements (sheltered), 01 October - 31 October. Flood resulted in a total of 6 people being sheltered in Cantón Corredores, Puntarenas, Costa Rica in October, according to government. Comision Nacional de Emergencias (CNE) - 05 February 2026",,Flood
229815,Costa Rica,CRI,10.10526,-84.399483,"[10.10526, -84.399483]",Recommended figure,Disaster,total,6,2025-10-31,2025-10-01,2025-10-31,2025,39687,Costa Rica: Flood - Alajuela (Naranjo) - 01/10/2025,,,2025-10-01,2025-10-31,Weather related,Hydrological,Flood,Flood,,Comision Nacional de Emergencias (CNE),,"Cantón Naranjo, Alajuela, Costa Rica","10.10526, -84.399483",District/Zone/Department (ADM2),Origin,Displacement without preventive evacuations reported,2026-02-10T20:13:05.393209Z,"Costa Rica: 6 displacements (sheltered), 01 October - 31 October. Flood resulted in a total of 6 people being sheltered in Cantón Naranjo, Alajuela, Costa Rica in October, according to government. Comision Nacional de Emergencias (CNE) - 05 February 2026",,Flood
