id,country,iso3,latitude,longitude,centroid,role,displacement_type,qualifier,figure,displacement_date,displacement_start_date,displacement_end_date,year,event_id,event_name,event_codes,event_code_types,event_start_date,event_end_date,category,subcategory,type,subtype,old_id,sources,source_url,locations_name,locations_coordinates,locations_accuracy,locations_type,displacement_occurred,created_at,description,link,combined_type
216581,Guatemala,GTM,15.9088146,-91.7117967,"[15.9088146, -91.7117967]",Recommended figure,Disaster,total,94,2025-11-11,2025-11-11,2025-11-11,2025,37503,Guatemala: Cold wave - Huehuetenango - 01/11/2025,,,2025-11-01,2025-11-30,Weather related,Hydrological,Flood,Flood,,Coordinadora Nacional para la Reducción de Desastres (CONRED),,"Nentón, Huehuetenango, Guatemala","15.9088146, -91.7117967",District/Zone/Department (ADM2),Origin,Displacement without preventive evacuations reported,2025-12-13T12:39:53.723791Z,"Guatemala: 94 displacements (evacuated), 11 November - 11 November. According to IDMC calculations based on data from CONRED, during 11 November 2025, a total of 94 people were displaced from Nentón, Huehuetenango by Flood. Coordinadora Nacional para la Reducción de Desastres (CONRED) - 05 December 2025",,Flood
216614,Guatemala,GTM,15.44494,-88.76646,"[15.44494, -88.76646]",Recommended figure,Disaster,total,6,2025-11-02,2025-11-02,2025-11-02,2025,37448,Guatemala: Flood - Izabal - 01/11/2025,,,2025-11-01,2025-11-30,Weather related,Hydrological,Flood,Flood,,Coordinadora Nacional para la Reducción de Desastres (CONRED),,"Municipio de Morales, Izabal Department, Guatemala","15.44494, -88.76646",District/Zone/Department (ADM2),Origin,Displacement without preventive evacuations reported,2025-12-13T12:50:25.330197Z,"Guatemala: 6 displacements (evacuated), 02 November - 02 November. According to IDMC calculations based on data from CONRED, during 02 November 2025, a total of 6 people were displaced from Morales, Izabal by Flood. Coordinadora Nacional para la Reducción de Desastres (CONRED) - 05 December 2025",,Flood
216707,Guatemala,GTM,14.8692299,-91.5713011,"[14.8692299, -91.5713011]",Recommended figure,Disaster,total,151,2025-10-29,2025-10-29,2025-10-29,2025,37447,Guatemala: Flood - Quetzaltenango - 01/10/2025,,,2025-10-01,2025-10-31,Weather related,Hydrological,Flood,Flood,,Coordinadora Nacional para la Reducción de Desastres (CONRED),,"La Esperanza, Quetzaltenango, Guatemala","14.8692299, -91.5713011",District/Zone/Department (ADM2),Origin,Displacement without preventive evacuations reported,2025-12-13T13:09:21.802071Z,"Guatemala: 151 displacements (evacuated), 29 October - 29 October. According to IDMC calculations based on data from CONRED, during 29 October 2025, a total of 151 people were displaced from La Esperanza, Quetzaltenango by Flood. Coordinadora Nacional para la Reducción de Desastres (CONRED) - 05 December 2025",,Flood
215812,Guatemala,GTM,15.4386527,-89.8091518,"[15.4386527, -89.8091518]",Recommended figure,Disaster,total,8,2025-10-29,2025-10-29,2025-10-29,2025,37481,Guatemala: Flood - Alta Verapaz - 01/10/2025,,,2025-10-01,2025-10-31,Weather related,Hydrological,Flood,Flood,,Coordinadora Nacional para la Reducción de Desastres (CONRED),,"Senahú, Alta Verapaz, Guatemala","15.4386527, -89.8091518",District/Zone/Department (ADM2),Origin,Displacement without preventive evacuations reported,2025-12-12T13:16:01.021556Z,"Guatemala: 8 displacements (evacuated), 29 October - 29 October. According to IDMC calculations based on data from CONRED, during 29 October 2025, a total of 8 people were displaced from Senahú, Alta Verapaz by Flood. Coordinadora Nacional para la Reducción de Desastres (CONRED) - 05 December 2025",,Flood
217002,Guatemala,GTM,16.8995525,-90.0023816,"[16.8995525, -90.0023816]",Recommended figure,Disaster,total,996,2025-10-27,2025-10-27,2025-10-27,2025,37482,Guatemala: Flood - Petén - 01/10/2025,,,2025-10-01,2025-10-31,Weather related,Hydrological,Flood,Flood,,Coordinadora Nacional para la Reducción de Desastres (CONRED),,"San Benito, Petén, Guatemala","16.8995525, -90.0023816",District/Zone/Department (ADM2),Origin,Displacement without preventive evacuations reported,2025-12-13T16:05:08.190830Z,"Guatemala: 996 displacements (evacuated), 27 October - 27 October. According to IDMC calculations based on data from CONRED, during 27 October 2025, a total of 996 people were displaced from San Benito, Petén by Flood. Coordinadora Nacional para la Reducción de Desastres (CONRED) - 05 December 2025",,Flood
217009,Guatemala,GTM,16.8083382,-89.8235777,"[16.8083382, -89.8235777]",Recommended figure,Disaster,total,5,2025-10-26,2025-10-26,2025-10-26,2025,37482,Guatemala: Flood - Petén - 01/10/2025,,,2025-10-01,2025-10-31,Weather related,Hydrological,Flood,Flood,,Coordinadora Nacional para la Reducción de Desastres (CONRED),,"Santa Ana, Petén, Guatemala","16.8083382, -89.8235777",District/Zone/Department (ADM2),Origin,Displacement without preventive evacuations reported,2025-12-13T16:13:46.260973Z,"Guatemala: 5 displacements (evacuated), 26 October - 26 October. According to IDMC calculations based on data from CONRED, during 26 October 2025, a total of 5 people were displaced from Santa Ana, Petén by Flood. Coordinadora Nacional para la Reducción de Desastres (CONRED) - 05 December 2025",,Flood
217021,Guatemala,GTM,16.9817477,-89.9005479,"[16.9817477, -89.9005479]",Recommended figure,Disaster,total,30,2025-10-26,2025-10-26,2025-10-26,2025,37482,Guatemala: Flood - Petén - 01/10/2025,,,2025-10-01,2025-10-31,Weather related,Hydrological,Flood,Flood,,Coordinadora Nacional para la Reducción de Desastres (CONRED),,"San José, Petén, Guatemala","16.9817477, -89.9005479",District/Zone/Department (ADM2),Origin,Displacement without preventive evacuations reported,2025-12-13T16:13:46.945345Z,"Guatemala: 30 displacements (evacuated), 26 October - 26 October. According to IDMC calculations based on data from CONRED, during 26 October 2025, a total of 30 people were displaced from San José, Petén by Flood. Coordinadora Nacional para la Reducción de Desastres (CONRED) - 05 December 2025",,Flood
216761,Guatemala,GTM,14.9330496,-92.0039116,"[14.9330496, -92.0039116]",Recommended figure,Disaster,total,15,2025-10-26,2025-10-26,2025-10-26,2025,37445,Guatemala: Flood - San Marcos - 01/10/2025,,,2025-10-01,2025-10-31,Weather related,Hydrological,Flood,Flood,,Coordinadora Nacional para la Reducción de Desastres (CONRED),,"San Pablo, San Marcos, Guatemala","14.9330496, -92.0039116",District/Zone/Department (ADM2),Origin,Displacement without preventive evacuations reported,2025-12-13T13:15:44.404705Z,"Guatemala: 15 displacements (evacuated), 26 October - 26 October. According to IDMC calculations based on data from CONRED, during 26 October 2025, a total of 15 people were displaced from San Pablo, San Marcos by Flood. Coordinadora Nacional para la Reducción de Desastres (CONRED) - 05 December 2025",,Flood
216983,Guatemala,GTM,16.9298524,-89.8914817,"[16.9298524, -89.8914817]",Recommended figure,Disaster,total,24,2025-10-26,2025-10-26,2025-10-26,2025,37482,Guatemala: Flood - Petén - 01/10/2025,,,2025-10-01,2025-10-31,Weather related,Hydrological,Flood,Flood,,Coordinadora Nacional para la Reducción de Desastres (CONRED),,"Flores, Petén, Guatemala","16.9298524, -89.8914817",District/Zone/Department (ADM2),Origin,Displacement without preventive evacuations reported,2025-12-13T16:05:03.800630Z,"Guatemala: 24 displacements (evacuated), 26 October - 26 October. According to IDMC calculations based on data from CONRED, during 26 October 2025, a total of 24 people were displaced from Flores, Petén by Flood. Coordinadora Nacional para la Reducción de Desastres (CONRED) - 05 December 2025",,Flood
216779,Guatemala,GTM,15.2347076,-91.9624692,"[15.2347076, -91.9624692]",Recommended figure,Disaster,total,10,2025-10-23,2025-10-23,2025-10-23,2025,37445,Guatemala: Flood - San Marcos - 01/10/2025,,,2025-10-01,2025-10-31,Weather related,Hydrological,Mass Movement,Landslide/Wet mass movement,,Coordinadora Nacional para la Reducción de Desastres (CONRED),,"San José Ojetenam, San Marcos, Guatemala","15.2347076, -91.9624692",District/Zone/Department (ADM2),Origin,Displacement without preventive evacuations reported,2025-12-13T14:07:38.522827Z,"Guatemala: 10 displacements (evacuated), 23 October - 23 October. According to IDMC calculations based on data from CONRED, during 23 October 2025, a total of 10 people were displaced from San José Ojetenam, San Marcos by Landslide/Wet mass movement. Coordinadora Nacional para la Reducción de Desastres (CONRED) - 05 December 2025",,Mass Movement
216751,Guatemala,GTM,15.1090291,-91.7364409,"[15.1090291, -91.7364409]",Recommended figure,Disaster,total,43,2025-10-22,2025-10-22,2025-10-22,2025,37445,Guatemala: Flood - San Marcos - 01/10/2025,,,2025-10-01,2025-10-31,Weather related,Hydrological,Flood,Flood,,Coordinadora Nacional para la Reducción de Desastres (CONRED),,"Comitancillo, San Marcos, Guatemala","15.1090291, -91.7364409",District/Zone/Department (ADM2),Origin,,2025-12-13T13:15:43.896805Z,"Guatemala: 43 displacements (destroyed housing), 22 October - 22 October. According to IDMC calculations based on data from CONRED, during 22 October 2025, a total of 43 people were displaced from Comitancillo, San Marcos by Flood. Coordinadora Nacional para la Reducción de Desastres (CONRED) - 05 December 2025",,Flood
216714,Guatemala,GTM,14.6224038,-91.8356155,"[14.6224038, -91.8356155]",Recommended figure,Disaster,total,24,2025-10-22,2025-10-22,2025-10-22,2025,37447,Guatemala: Flood - Quetzaltenango - 01/10/2025,,,2025-10-01,2025-10-31,Weather related,Hydrological,Flood,Flood,,Coordinadora Nacional para la Reducción de Desastres (CONRED),,"Génova, Quetzaltenango, Guatemala","14.6224038, -91.8356155",District/Zone/Department (ADM2),Origin,Displacement without preventive evacuations reported,2025-12-13T13:09:22.290295Z,"Guatemala: 24 displacements (evacuated), 22 October - 22 October. According to IDMC calculations based on data from CONRED, during 22 October 2025, a total of 24 people were displaced from Génova, Quetzaltenango by Flood. Coordinadora Nacional para la Reducción de Desastres (CONRED) - 05 December 2025",,Flood
216596,Guatemala,GTM,15.4337735,-89.3725909,"[15.4337735, -89.3725909]",Recommended figure,Disaster,total,120,2025-10-20,2025-10-20,2025-10-20,2025,37533,Guatemala: Flood - Izabal - 01/10/2025,,,2025-10-01,2025-10-31,Weather related,Hydrological,Flood,Flood,,Coordinadora Nacional para la Reducción de Desastres (CONRED),,"El Estor, Izabal, Guatemala","15.4337735, -89.3725909",District/Zone/Department (ADM2),Origin,Displacement without preventive evacuations reported,2025-12-13T12:39:56.579913Z,"Guatemala: 120 displacements (sheltered), 20 October - 20 October. According to IDMC calculations based on data from CONRED, during 20 October 2025, a total of 120 people were displaced from El Estor, Izabal by Flood. Coordinadora Nacional para la Reducción de Desastres (CONRED) - 05 December 2025",,Flood
