id,country,iso3,latitude,longitude,centroid,role,displacement_type,qualifier,figure,displacement_date,displacement_start_date,displacement_end_date,year,event_id,event_name,event_codes,event_code_types,event_start_date,event_end_date,category,subcategory,type,subtype,old_id,sources,source_url,locations_name,locations_coordinates,locations_accuracy,locations_type,displacement_occurred,created_at,description,link,combined_type
219970,Haiti,HTI,18.5416095,-72.314064,"[18.5416095, -72.314064]",Recommended figure,Conflict,total,1700,2026-01-09,2026-01-08,2026-01-09,2026,37994,Haiti: Crime-related violence - Ouest Department (Port-au-Prince) - 08/01/2026,,,2026-01-08,2026-01-09,,,,,,IOM DTM - Haiti,,"Delmas, Port-au-Prince, Département de l'Ouest, Haiti; Port-au-Prince, Port-au-Prince, Département de l'Ouest, Haiti","18.551849, -72.292007; 18.53137, -72.336121",County/City/town/Village/Woreda (ADM3); County/City/town/Village/Woreda (ADM3),Origin; Origin,Displacement without preventive evacuations reported,2026-01-19T10:07:14.071062Z,"Haiti: 1,700 displacements, 08 January - 09 January. According to IOM DTM, 1,700 people were displaced towards sites and host families in Delmas due to armed violence in Port au Prince on 08 January. IOM DTM - Haiti - 10 January 2026",,Conflict
219968,Haiti,HTI,18.53137,-72.336121,"[18.53137, -72.336121]",Recommended figure,Conflict,total,2458,2026-01-09,2026-01-08,2026-01-09,2026,37994,Haiti: Crime-related violence - Ouest Department (Port-au-Prince) - 08/01/2026,,,2026-01-08,2026-01-09,,,,,,IOM DTM - Haiti,,"Port-au-Prince, Port-au-Prince, Département de l'Ouest, Haiti","18.53137, -72.336121",County/City/town/Village/Woreda (ADM3),Origin and destination,Displacement without preventive evacuations reported,2026-01-19T10:03:59.887291Z,"Haiti: 2,458 displacements, 08 January - 09 January. According to IOM DTM, 2,458 people were displaced towards sites and host families due to armed violence in Port au Prince on 08 January. IOM DTM - Haiti - 10 January 2026",,Conflict
219971,Haiti,HTI,18.532955,-72.3726845,"[18.532955, -72.3726845]",Recommended figure,Conflict,total,44,2026-01-09,2026-01-08,2026-01-09,2026,37994,Haiti: Crime-related violence - Ouest Department (Port-au-Prince) - 08/01/2026,,,2026-01-08,2026-01-09,,,,,,IOM DTM - Haiti,,"Carrefour, Port-au-Prince, Département de l'Ouest, Haiti; Port-au-Prince, Port-au-Prince, Département de l'Ouest, Haiti","18.53454, -72.409248; 18.53137, -72.336121",County/City/town/Village/Woreda (ADM3); County/City/town/Village/Woreda (ADM3),Destination; Origin,Displacement without preventive evacuations reported,2026-01-19T10:08:23.965269Z,"Haiti: 44 displacements, 08 January - 09 January. According to IOM DTM, 44 people were displaced towards sites and host families in Carrefour due to armed violence in Port au Prince on 08 January. IOM DTM - Haiti - 10 January 2026",,Conflict
219969,Haiti,HTI,18.563634999999998,-72.325516,"[18.563634999999998, -72.325516]",Recommended figure,Conflict,total,1634,2026-01-09,2026-01-08,2026-01-09,2026,37994,Haiti: Crime-related violence - Ouest Department (Port-au-Prince) - 08/01/2026,,,2026-01-08,2026-01-09,,,,,,IOM DTM - Haiti,,"Commune Cité Soleil, Port-au-Prince, Département de l'Ouest, Haiti; Port-au-Prince, Port-au-Prince, Département de l'Ouest, Haiti","18.5959, -72.314911; 18.53137, -72.336121",County/City/town/Village/Woreda (ADM3); County/City/town/Village/Woreda (ADM3),Destination; Origin,Displacement without preventive evacuations reported,2026-01-19T10:05:58.978215Z,"Haiti: 1,634 displacements, 08 January - 09 January. According to IOM DTM, 1,634 people were displaced towards sites and host families in Cite Soleil due to armed violence in Port au Prince on 08 January. IOM DTM - Haiti - 10 January 2026",,Conflict
218706,Haiti,HTI,19.0098355,-72.6651075,"[19.0098355, -72.6651075]",Triangulation,Conflict,total,1120,2025-12-23,2025-12-23,2025-12-23,2025,37716,Haiti: Crime-related violence - Artibonite (Saint Marc) - 23/12/2025,,,2025-12-23,2025-12-23,,,,,,IOM DTM - Haiti,,"Arrondissement de Saint-Marc, Artibonite Department, Haiti; Montrouis, 1re Délugé, Commune de Saint-Marc, Arrondissement de Saint-Marc, Artibonite Department, Haiti","19.06036, -72.631973; 18.959311, -72.698242",District/Zone/Department (ADM2); Point,Destination; Origin,Displacement without preventive evacuations reported,2025-12-29T11:43:15.228937Z,"Haiti: 1,120 displacements, 23 December - 23 December. According to IOM DTM Haiti, 1,120 people were displaced towards host families in Saint-Marc following armed attacks in Montrouis on 23 December. IOM DTM - Haiti - 24 December 2025",,Conflict
214712,Haiti,HTI,19.374605,-72.649315,"[19.374605, -72.649315]",Triangulation,Conflict,total,680,2025-12-01,2025-12-01,2025-12-01,2025,37180,Haiti: Crime-related violence - Artibonite (L’Estère) - 01/12/2025,,,2025-12-01,2025-12-02,,,,,,IOM DTM - Haiti,,"Gonaïves, Arrondissement des Gonaïves, Artibonite Department, Haiti; L'Estère, Commune L'Estere, Arrondissement des Gonaïves, Artibonite Department, Haiti","19.44606, -72.688431; 19.30315, -72.610199",County/City/town/Village/Woreda (ADM3); County/City/town/Village/Woreda (ADM3),Destination; Origin,Displacement without preventive evacuations reported,2025-12-03T08:52:22.983384Z,"Haiti: 680 displacements, 01 December - 01 December. According to IOM DTM Haiti, 680 individuals were displaced towards host families in the municipality of Gonaïves following armed attacks in L’Estère on 1 December. IOM DTM - Haiti - 02 December 2025",,Conflict
214711,Haiti,HTI,19.30315,-72.610199,"[19.30315, -72.610199]",Triangulation,Conflict,total,1332,2025-12-01,2025-12-01,2025-12-01,2025,37180,Haiti: Crime-related violence - Artibonite (L’Estère) - 01/12/2025,,,2025-12-01,2025-12-02,,,,,,IOM DTM - Haiti,,"L'Estère, Commune L'Estere, Arrondissement des Gonaïves, Artibonite Department, Haiti","19.30315, -72.610199",County/City/town/Village/Woreda (ADM3),Origin and destination,Displacement without preventive evacuations reported,2025-12-03T08:51:06.325982Z,"Haiti: 1,332 displacements, 01 December - 01 December. According to IOM DTM Haiti, 1,332 individuals were displaced towards sites and host families in the municipality of L’Estère following armed attacks in L’Estère on 1 December. IOM DTM - Haiti - 02 December 2025",,Conflict
214710,Haiti,HTI,19.299325,-72.628124,"[19.299325, -72.628124]",Triangulation,Conflict,total,4330,2025-12-01,2025-12-01,2025-12-01,2025,37180,Haiti: Crime-related violence - Artibonite (L’Estère) - 01/12/2025,,,2025-12-01,2025-12-02,,,,,,IOM DTM - Haiti,,"Desdunes, Commune Desdunes, Arrondissement de Dessalines, Artibonite Department, Haiti; L'Estère, Commune L'Estere, Arrondissement des Gonaïves, Artibonite Department, Haiti","19.2955, -72.646049; 19.30315, -72.610199",County/City/town/Village/Woreda (ADM3); County/City/town/Village/Woreda (ADM3),Destination; Origin,Displacement without preventive evacuations reported,2025-12-03T08:50:03.356011Z,"Haiti: 4,330 displacements, 01 December - 01 December. According to IOM DTM Haiti, 4,330 individuals were displaced towards sites and host families in the municipality of Desdunes following armed attacks in L’Estère on 1 December. IOM DTM - Haiti - 02 December 2025",,Conflict
214709,Haiti,HTI,19.20539,-72.5662955,"[19.20539, -72.5662955]",Triangulation,Conflict,total,220,2025-11-30,2025-11-29,2025-11-30,2025,37179,Haiti: Crime-related violence - Artibonite (Pont Sondé) - 29/11/2025,,,2025-11-29,2025-12-01,,,,,,IOM DTM - Haiti,,"Dessalines, Commune Dessalines, Arrondissement de Dessalines, Artibonite Department, Haiti; Pont Sondé, Commune de Saint-Marc, Arrondissement de Saint-Marc, Artibonite Department, Haiti","19.261311, -72.517021; 19.149469, -72.61557",County/City/town/Village/Woreda (ADM3); County/City/town/Village/Woreda (ADM3),Destination; Origin,Displacement without preventive evacuations reported,2025-12-03T08:38:40.510304Z,"Haiti: 220 displacements, 29 November - 30 November. According to IOM DTM Haiti, 220 individuals were displaced towards host families in Dessalines due to armed attacks in Pont Sondé between 29 and 30 November. IOM DTM - Haiti - 02 December 2025",,Conflict
214708,Haiti,HTI,19.125749499999998,-72.65753950000001,"[19.125749499999998, -72.65753950000001]",Triangulation,Conflict,total,5131,2025-11-30,2025-11-29,2025-11-30,2025,37179,Haiti: Crime-related violence - Artibonite (Pont Sondé) - 29/11/2025,,,2025-11-29,2025-12-01,,,,,,IOM DTM - Haiti,,"Pont Sondé, Commune de Saint-Marc, Arrondissement de Saint-Marc, Artibonite Department, Haiti; Saint-Marc, Arrondissement de Saint-Marc, Artibonite Department, Haiti","19.149469, -72.61557; 19.10203, -72.699509",County/City/town/Village/Woreda (ADM3); County/City/town/Village/Woreda (ADM3),Origin; Destination,Displacement without preventive evacuations reported,2025-12-03T08:37:46.506178Z,"Haiti: 5,131 displacements, 29 November - 30 November. According to IOM DTM Haiti, 5,131 individuals were displaced towards sites and host families in Saint Marc due to armed attacks in Pont Sondé between 29 and 30 November. IOM DTM - Haiti - 02 December 2025",,Conflict
