id,country,iso3,latitude,longitude,centroid,role,displacement_type,qualifier,figure,displacement_date,displacement_start_date,displacement_end_date,year,event_id,event_name,event_codes,event_code_types,event_start_date,event_end_date,category,subcategory,type,subtype,old_id,sources,source_url,locations_name,locations_coordinates,locations_accuracy,locations_type,displacement_occurred,created_at,description,link,combined_type
218107,Indonesia,IDN,-0.58275,100.613342,"[-0.58275, 100.613342]",Triangulation,Disaster,approximately,31700,2025-11-30,2025-11-25,2025-11-30,2025,37639,"Indonesia: Tropical Cyclone Senyar & Northeast Monsoon - North Sumatra, West Sumatra, Aceh - 25/11/2025",,,2025-11-25,2025-12-08,Weather related,Meteorological,Storm,Typhoon/Hurricane/Cyclone,,National Agency for Disaster Management (BNPB),,"West Sumatra, Indonesia","-0.58275, 100.613342",State/Region/Province (ADM1),Origin,Displacement without preventive evacuations reported,2025-12-16T10:05:41.165572Z,"Indonesia: 31,700 displacements, 25 November - 30 November. According to national/regional disaster authorities, approximately 31700 people were displaced in West Sumatra, Indonesia due to the combined effects of Tropical Cyclone Senyar and Northeast monsoon on 25 November ASEAN Coordination Centre for Humanitarian Assistance on disaster management (AHA Centre) - 30 November 2025",,Storm
218106,Indonesia,IDN,3.86654,96.542717,"[3.86654, 96.542717]",Triangulation,Disaster,approximately,218000,2025-11-30,2025-11-25,2025-11-30,2025,37639,"Indonesia: Tropical Cyclone Senyar & Northeast Monsoon - North Sumatra, West Sumatra, Aceh - 25/11/2025",,,2025-11-25,2025-12-08,Weather related,Meteorological,Storm,Typhoon/Hurricane/Cyclone,,National Agency for Disaster Management (BNPB),,"Aceh, Indonesia","3.86654, 96.542717",State/Region/Province (ADM1),Origin,Displacement without preventive evacuations reported,2025-12-16T10:05:41.120191Z,"Indonesia: 218,000 displacements, 25 November - 30 November. According to national/regional disaster authorities, approximately 218000 people were displaced in Aceh, Indonesia due to the combined effects of Tropical Cyclone Senyar and Northeast monsoon on 25 November ASEAN Coordination Centre for Humanitarian Assistance on disaster management (AHA Centre) - 30 November 2025",,Storm
218105,Indonesia,IDN,2.19235,99.381218,"[2.19235, 99.381218]",Triangulation,Disaster,approximately,41000,2025-11-30,2025-11-25,2025-11-30,2025,37639,"Indonesia: Tropical Cyclone Senyar & Northeast Monsoon - North Sumatra, West Sumatra, Aceh - 25/11/2025",,,2025-11-25,2025-12-08,Weather related,Meteorological,Storm,Typhoon/Hurricane/Cyclone,,National Agency for Disaster Management (BNPB),,"North Sumatra, Indonesia","2.19235, 99.381218",State/Region/Province (ADM1),Origin,Displacement without preventive evacuations reported,2025-12-16T10:05:41.064936Z,"Indonesia: 41,000 displacements, 25 November - 30 November. According to national/regional disaster authorities, approximately 41000 people were displaced in North Sumatra, Indonesia due to the combined effects of Tropical Cyclone Senyar and Northeast monsoon on 25 November ASEAN Coordination Centre for Humanitarian Assistance on disaster management (AHA Centre) - 30 November 2025",,Storm
208186,Indonesia,IDN,-8.13521,113.224419,"[-8.13521, 113.224419]",Triangulation,Disaster,total,300,2025-11-19,2025-11-19,2025-11-19,2025,36998,"Indonesia: Volcanic activity ""Mt. Semeru"" - East Java (Lumajang) - 19/11/2025",AHA-VO-2025-001475-IDN,Government Assigned Identifier,2025-11-19,2025-11-19,Geophysical,Geophysical,Volcanic activity,Volcanic activity,,National Agency for Disaster Management (BNPB),,"Lumajang, East Java, Indonesia","-8.13521, 113.224419",District/Zone/Department (ADM2),Origin,Displacement without preventive evacuations reported,2025-11-19T15:49:43.217916Z,"Indonesia: 300 displacements (in relief camp), 19 November - 19 November. A total of 300 people were in relief camp due to volcanic activity on 19 November in Lumajang, East Java, Indonesia, according to national/regional disaster authorities. National Agency for Disaster Management (BNPB) - 19 November 2025",,Volcanic activity
219811,Indonesia,IDN,-7.15716,112.65596,"[-7.15716, 112.65596]",Recommended figure,Disaster,total,11,2025-11-18,2025-11-18,2025-11-18,2025,37967,Indonesia: Flood - East Java (Gresik) - 18/11/2025,AHA-FL-2025-001485-IDN,Government Assigned Identifier,2025-11-18,2025-11-18,Weather related,Hydrological,Flood,Flood,,ADINet,,"Gresik, East Java, Indonesia","-7.15716, 112.65596",District/Zone/Department (ADM2),Origin,Displacement without preventive evacuations reported,2026-01-14T12:54:56.692227Z,"Indonesia: 11 displacements, 18 November - 18 November. Flood resulted in a total of 11 people being displaced in Gresik, East Java, Indonesia on 18 November, according to national/regional disaster authorities. ADINet - 18 November 2025",,Flood
219815,Indonesia,IDN,-6.5963,106.797241,"[-6.5963, 106.797241]",Recommended figure,Disaster,total,3,2025-11-18,2025-11-18,2025-11-18,2025,37969,Indonesia: Tornado - West Java (Bogor) - 18/11/2025,AHA-TO-2025-001478-IDN,Government Assigned Identifier,2025-11-18,2025-11-18,Weather related,Meteorological,Storm,Tornado,,ADINet,,"Bogor, West Java, Indonesia","-6.5963, 106.797241",District/Zone/Department (ADM2),Origin,Displacement without preventive evacuations reported,2026-01-14T13:01:22.165814Z,"Indonesia: 3 displacements, 18 November - 18 November. Tornado resulted in a total of 3 people being displaced in Bogor, West Java, Indonesia on 18 November, according to national/regional disaster authorities. ADINet - 18 November 2025",,Storm
219809,Indonesia,IDN,-7.39611,109.69516,"[-7.39611, 109.69516]",Recommended figure,Disaster,total,1019,2025-11-15,2025-11-15,2025-11-15,2025,37966,Indonesia: Landslide - Central Java (Banjarnegara) - 15/11/2025,AHA-LS-2025-001440-IDN,Government Assigned Identifier,2025-11-15,2025-11-15,Weather related,Hydrological,Mass Movement,Landslide/Wet mass movement,,ADINet,,"Banjarnegara, Central Java, Indonesia","-7.39611, 109.69516",District/Zone/Department (ADM2),Origin,Displacement without preventive evacuations reported,2026-01-14T12:51:28.710949Z,"Indonesia: 1,019 displacements, 15 November - 15 November. A total of 1019 people were displaced due to landslide/wet mass movement on 15 November in Banjarnegara, Central Java, Indonesia, according to national/regional disaster authorities. ADINet - 28 November 2025",,Mass Movement
219806,Indonesia,IDN,-7.45409,109.116859,"[-7.45409, 109.116859]",Recommended figure,Disaster,total,67,2025-11-14,2025-11-14,2025-11-14,2025,37965,Indonesia: Landslide - Central Java (Banyumas) - 14/11/2025,AHA-LS-2025-001445-IDN,Government Assigned Identifier,2025-11-14,2025-11-14,Weather related,Hydrological,Mass Movement,Landslide/Wet mass movement,,Department of Social Welfare and Development (DSWD); Disaster Response Operations Monitoring and Information Center (DROMIC),,"Kabupaten Banyumas, Central Java, Indonesia","-7.45409, 109.116859",District/Zone/Department (ADM2),Origin,Displacement without preventive evacuations reported,2026-01-14T12:47:10.105195Z,"Indonesia: 67 displacements, 14 November - 14 November. Landslide/wet mass movement resulted in a total of 67 people being displaced in Kabupaten Banyumas, Central Java, Indonesia on 14 November, according to national/regional disaster authorities, government. ADINet - 14 November 2025",,Mass Movement
219804,Indonesia,IDN,-7.45887,108.80304,"[-7.45887, 108.80304]",Recommended figure,Disaster,total,894,2025-11-13,2025-11-13,2025-11-13,2025,37964,Indonesia: Landslide - Central Java (Cilacap) - 13/11/2025,AHA-LS-2025-001435-IDN,Government Assigned Identifier,2025-11-13,2025-11-13,Weather related,Hydrological,Mass Movement,Landslide/Wet mass movement,,ADINet,,"Kabupaten Cilacap, Indonesia","-7.45887, 108.80304",District/Zone/Department (ADM2),Origin,Displacement without preventive evacuations reported,2026-01-14T11:42:03.664194Z,"Indonesia: 894 displacements, 13 November - 13 November. According to national/regional disaster authorities, a total of 894 people were displaced in Kabupaten Cilacap, Indonesia due to landslide/wet mass movement on 13 November ADINet - 26 November 2025",,Mass Movement
219802,Indonesia,IDN,-7.15716,112.65596,"[-7.15716, 112.65596]",Recommended figure,Disaster,total,4,2025-11-11,2025-11-11,2025-11-11,2025,37963,Indonesia: Flood - East Java (Gresik) - 11/11/2025,AHA-FL-2025-001437-IDN,Government Assigned Identifier,2025-11-11,2025-11-11,Weather related,Hydrological,Flood,Flood,,ADINet,,"Gresik, East Java, Indonesia","-7.15716, 112.65596",District/Zone/Department (ADM2),Origin,Displacement without preventive evacuations reported,2026-01-14T11:36:15.185096Z,"Indonesia: 4 displacements, 11 November - 11 November. Flood resulted in a total of 4 people being displaced in Gresik, East Java, Indonesia on 11 November, according to national/regional disaster authorities. ADINet - 11 November 2025",,Flood
