id,country,iso3,latitude,longitude,centroid,role,displacement_type,qualifier,figure,displacement_date,displacement_start_date,displacement_end_date,year,event_id,event_name,event_codes,event_code_types,event_start_date,event_end_date,category,subcategory,type,subtype,old_id,sources,source_url,locations_name,locations_coordinates,locations_accuracy,locations_type,displacement_occurred,created_at,description,link,combined_type
235149,Malaysia,MYS,5.35828,115.756432,"[5.35828, 115.756432]",Triangulation,Disaster,total,226,2026-02-12,2026-02-12,2026-02-12,2026,40145,"Malaysia: Flood - Sabah (Sipitang, Beaufort) - 11/02/2026",,,2026-02-11,2026-02-12,Weather related,Hydrological,Flood,Flood,,National Disaster Management Agency (NADMA),,"Beaufort, Sabah","5.35828, 115.756432",County/City/town/Village/Woreda (ADM3),Origin,Displacement without preventive evacuations reported,2026-02-13T16:11:12.494773Z,"Malaysia: 226 displacements (in relief camp), 12 February - 12 February. According to national/regional disaster authorities, a total of 226 people were in relief camp in Beaufort, Sabah due to flood on 12 February National Disaster Management Agency (NADMA) - 12 February 2026",,Flood
235146,Malaysia,MYS,5.07615,115.549728,"[5.07615, 115.549728]",Triangulation,Disaster,total,91,2026-02-11,2026-02-11,2026-02-11,2026,40145,"Malaysia: Flood - Sabah (Sipitang, Beaufort) - 11/02/2026",,,2026-02-11,2026-02-12,Weather related,Hydrological,Flood,Flood,,National Disaster Management Agency (NADMA),,"Sipitang, Sabah","5.07615, 115.549728",County/City/town/Village/Woreda (ADM3),Origin,Displacement without preventive evacuations reported,2026-02-13T16:08:02.681754Z,"Malaysia: 91 displacements (in relief camp), 11 February - 11 February. According to national/regional disaster authorities, a total of 91 people were in relief camp in Sipitang, Sabah due to flood on 11 February National Disaster Management Agency (NADMA) - 11 February 2026",,Flood
224291,Malaysia,MYS,1.5196077657027587,110.93646764865849,"[1.5196077657027587, 110.93646764865849]",Recommended figure,Disaster,total,34,2026-01-26,2026-01-26,2026-01-26,2026,39174,Malaysia: Flood - Sarawak (Sebuyau) - 26/01/2026,,,2026-01-26,2026-01-26,Weather related,Hydrological,Flood,Flood,,National Disaster Management Agency (NADMA),,"Sebuyau, Sarawak, Malaysia","1.5196077657027587, 110.93646764865849",District/Zone/Department (ADM2),Origin,Displacement without preventive evacuations reported,2026-01-26T16:25:19.540695Z,"Malaysia: 34 displacements (in relief camp), 26 January - 26 January. A total of 34 people were in relief camp due to flood on 26 January in Sebuyau, Sarawak, Malaysia, according to national/regional disaster authorities. National Disaster Management Agency (NADMA) - 26 January 2026",,Flood
219766,Malaysia,MYS,1.16927,110.568977,"[1.16927, 110.568977]",Recommended figure,Disaster,total,28,2026-01-12,2026-01-12,2026-01-12,2026,37954,Malaysia: Landslide - Sarawak (Serian) - 12/01/2026,,,2026-01-12,2026-01-12,Weather related,Hydrological,Mass Movement,Landslide/Wet mass movement,,National Disaster Management Agency (NADMA),,"Serian, Sarawak, Malaysia","1.16927, 110.568977",County/City/town/Village/Woreda (ADM3),Origin,Displacement without preventive evacuations reported,2026-01-13T15:58:41.009785Z,"Malaysia: 28 displacements (in relief camp), 12 January - 12 January. Landslide/wet mass movement resulted in a total of 28 people being in relief camp in Serian, Sarawak, Malaysia on 12 January, according to national/regional disaster authorities. National Disaster Management Agency (NADMA) - 12 January 2026",,Mass Movement
219597,Malaysia,MYS,2.52417,112.325981,"[2.52417, 112.325981]",Recommended figure,Disaster,total,238,2026-01-11,2026-01-11,2026-01-11,2026,37846,Malaysia: Flood - Sarawak (11 Districts) - 01/01/2026,,,2025-12-01,2026-01-14,Weather related,Hydrological,Flood,Flood,,National Disaster Management Agency (NADMA),,"Selangau, Sarawak, Malaysia","2.52417, 112.325981",County/City/town/Village/Woreda (ADM3),Origin,Displacement without preventive evacuations reported,2026-01-12T10:38:45.584176Z,"Malaysia: 238 displacements (in relief camp), 11 January - 11 January. Flood resulted in a total of 238 people being in relief camp in Selangau, Sarawak, Malaysia on 11 January, according to national/regional disaster authorities. National Disaster Management Agency (NADMA) - 11 January 2026",,Flood
219595,Malaysia,MYS,1.3615,110.40435,"[1.3615, 110.40435]",Recommended figure,Disaster,total,517,2026-01-11,2026-01-11,2026-01-11,2026,37846,Malaysia: Flood - Sarawak (11 Districts) - 01/01/2026,,,2025-12-01,2026-01-14,Weather related,Hydrological,Flood,Flood,,National Disaster Management Agency (NADMA),,"Siburan, Sarawak, Malaysia","1.3615, 110.40435",County/City/town/Village/Woreda (ADM3),Origin,Displacement without preventive evacuations reported,2026-01-12T10:38:45.430010Z,"Malaysia: 517 displacements (in relief camp), 11 January - 11 January. A total of 517 people were in relief camp due to flood on 11 January in Siburan, Sarawak, Malaysia, according to national/regional disaster authorities. National Disaster Management Agency (NADMA) - 11 January 2026",,Flood
219596,Malaysia,MYS,3.1175,113.26487,"[3.1175, 113.26487]",Triangulation,Disaster,total,271,2026-01-11,2026-01-11,2026-01-11,2026,37846,Malaysia: Flood - Sarawak (11 Districts) - 01/01/2026,,,2025-12-01,2026-01-14,Weather related,Hydrological,Flood,Flood,,National Disaster Management Agency (NADMA),,"Sebauh, Sarawak, Malaysia","3.1175, 113.26487",County/City/town/Village/Woreda (ADM3),Origin,Displacement without preventive evacuations reported,2026-01-12T10:38:45.518504Z,"Malaysia: 271 displacements (in relief camp), 11 January - 11 January. A total of 271 people were in relief camp due to flood on 11 January in Sebauh, Sarawak, Malaysia, according to national/regional disaster authorities. National Disaster Management Agency (NADMA) - 11 January 2026",,Flood
219582,Malaysia,MYS,2.893,112.09127,"[2.893, 112.09127]",Recommended figure,Disaster,total,198,2026-01-10,2026-01-10,2026-01-10,2026,37846,Malaysia: Flood - Sarawak (11 Districts) - 01/01/2026,,,2025-12-01,2026-01-14,Weather related,Hydrological,Flood,Flood,,National Disaster Management Agency (NADMA),,"Mukah Division, Sarawak, Malaysia","2.893, 112.09127",Point,Origin,Displacement without preventive evacuations reported,2026-01-12T10:23:24.663684Z,"Malaysia: 198 displacements (in relief camp), 10 January - 10 January. Flood resulted in a total of 198 people being in relief camp in Mukah Division, Sarawak, Malaysia on 10 January, according to national/regional disaster authorities. National Disaster Management Agency (NADMA) - 10 January 2026",,Flood
219583,Malaysia,MYS,3.17998,113.499878,"[3.17998, 113.499878]",Triangulation,Disaster,total,120,2026-01-10,2026-01-10,2026-01-10,2026,37846,Malaysia: Flood - Sarawak (11 Districts) - 01/01/2026,,,2025-12-01,2026-01-14,Weather related,Hydrological,Flood,Flood,,National Disaster Management Agency (NADMA),,"Bintulu Division, Sarawak, Malaysia","3.17998, 113.499878",Point,Origin,Displacement without preventive evacuations reported,2026-01-12T10:23:24.723634Z,"Malaysia: 120 displacements (in relief camp), 10 January - 10 January. According to national/regional disaster authorities, a total of 120 people were in relief camp in Bintulu Division, Sarawak, Malaysia due to flood on 10 January National Disaster Management Agency (NADMA) - 10 January 2026",,Flood
219599,Malaysia,MYS,4.49997,117.99987,"[4.49997, 117.99987]",Recommended figure,Disaster,total,95,2026-01-09,2026-01-09,2026-01-09,2026,37861,Malaysia: Flood - Sabah (5 Districts) - 03/01/2026,,,2026-01-03,2026-01-09,Weather related,Hydrological,Flood,Flood,,National Disaster Management Agency (NADMA),,"Tawau Division, Sabah","4.49997, 117.99987",Point,Origin,Displacement without preventive evacuations reported,2026-01-12T10:42:09.021520Z,"Malaysia: 95 displacements (in relief camp), 09 January - 09 January. According to national/regional disaster authorities, a total of 95 people were in relief camp in Tawau Division, Sabah due to flood on 9 January National Disaster Management Agency (NADMA) - 09 January 2026",,Flood
219571,Malaysia,MYS,1.16662,110.566521,"[1.16662, 110.566521]",Triangulation,Disaster,total,726,2026-01-09,2026-01-09,2026-01-09,2026,37846,Malaysia: Flood - Sarawak (11 Districts) - 01/01/2026,,,2025-12-01,2026-01-14,Weather related,Hydrological,Flood,Flood,,National Disaster Management Agency (NADMA),,"Serian Division, Sarawak, Malaysia","1.16662, 110.566521",Point,Origin,Displacement without preventive evacuations reported,2026-01-12T10:09:36.172829Z,"Malaysia: 726 displacements (in relief camp), 09 January - 09 January. According to national/regional disaster authorities, a total of 726 people were in relief camp in Serian Division, Sarawak, Malaysia due to flood on 9 January National Disaster Management Agency (NADMA) - 09 January 2026",,Flood
219572,Malaysia,MYS,2.29071,111.826263,"[2.29071, 111.826263]",Triangulation,Disaster,total,7,2026-01-09,2026-01-09,2026-01-09,2026,37846,Malaysia: Flood - Sarawak (11 Districts) - 01/01/2026,,,2025-12-01,2026-01-14,Weather related,Hydrological,Flood,Flood,,National Disaster Management Agency (NADMA),,"Sibu Division, Sarawak, Malaysia","2.29071, 111.826263",Point,Origin,Displacement without preventive evacuations reported,2026-01-12T10:09:36.253017Z,"Malaysia: 7 displacements (in relief camp), 09 January - 09 January. Flood resulted in a total of 7 people being in relief camp in Sibu Division, Sarawak, Malaysia on 9 January, according to national/regional disaster authorities. National Disaster Management Agency (NADMA) - 09 January 2026",,Flood
219240,Malaysia,MYS,5.12048,115.944901,"[5.12048, 115.944901]",Recommended figure,Disaster,total,563,2026-01-06,2026-01-06,2026-01-06,2026,37861,Malaysia: Flood - Sabah (5 Districts) - 03/01/2026,,,2026-01-03,2026-01-09,Weather related,Hydrological,Flood,Flood,,National Disaster Management Agency (NADMA),,"Tenom, Sabah","5.12048, 115.944901",County/City/town/Village/Woreda (ADM3),Origin,Displacement without preventive evacuations reported,2026-01-06T15:18:28.751487Z,"Malaysia: 563 displacements (in relief camp), 06 January - 06 January. A total of 563 people were in relief camp due to flood on 6 January in Tenom, Sabah, according to national/regional disaster authorities. National Disaster Management Agency (NADMA) - 06 January 2026",,Flood
219233,Malaysia,MYS,6.34976,116.429291,"[6.34976, 116.429291]",Triangulation,Disaster,total,76,2026-01-05,2026-01-05,2026-01-05,2026,37861,Malaysia: Flood - Sabah (5 Districts) - 03/01/2026,,,2026-01-03,2026-01-09,Weather related,Hydrological,Flood,Flood,,National Disaster Management Agency (NADMA),,"Kota Belud, Sabah","6.34976, 116.429291",County/City/town/Village/Woreda (ADM3),Origin,Displacement without preventive evacuations reported,2026-01-06T15:06:38.807158Z,"Malaysia: 76 displacements (in relief camp), 05 January - 05 January. Flood resulted in a total of 76 people being in relief camp in Kota Belud, Sabah on 5 January, according to national/regional disaster authorities. National Disaster Management Agency (NADMA) - 05 January 2026",,Flood
219227,Malaysia,MYS,4.00001,113.999878,"[4.00001, 113.999878]",Triangulation,Disaster,total,47,2026-01-04,2026-01-04,2026-01-04,2026,37846,Malaysia: Flood - Sarawak (11 Districts) - 01/01/2026,,,2025-12-01,2026-01-14,Weather related,Hydrological,Flood,Flood,,National Disaster Management Agency (NADMA),,"Miri Division, Sarawak, Malaysia","4.00001, 113.999878",Point,Origin,Displacement without preventive evacuations reported,2026-01-06T15:00:59.535124Z,"Malaysia: 47 displacements (in relief camp), 04 January - 04 January. Flood resulted in a total of 47 people being in relief camp in Miri Division, Sarawak, Malaysia on 4 January, according to national/regional disaster authorities. National Disaster Management Agency (NADMA) - 04 January 2026",,Flood
219226,Malaysia,MYS,5.97801,116.072899,"[5.97801, 116.072899]",Triangulation,Disaster,total,182,2026-01-04,2026-01-04,2026-01-04,2026,37861,Malaysia: Flood - Sabah (5 Districts) - 03/01/2026,,,2026-01-03,2026-01-09,Weather related,Hydrological,Flood,Flood,,National Disaster Management Agency (NADMA),,"Kota Kinabalu, Sabah","5.97801, 116.072899",County/City/town/Village/Woreda (ADM3),Origin,Displacement without preventive evacuations reported,2026-01-06T15:00:23.545394Z,"Malaysia: 182 displacements (in relief camp), 04 January - 04 January. A total of 182 people were in relief camp due to flood on 4 January in Kota Kinabalu, Sabah, according to national/regional disaster authorities. National Disaster Management Agency (NADMA) - 04 January 2026",,Flood
219598,Malaysia,MYS,5.35828,115.756432,"[5.35828, 115.756432]",Triangulation,Disaster,total,298,2026-01-03,2026-01-03,2026-01-03,2026,37861,Malaysia: Flood - Sabah (5 Districts) - 03/01/2026,,,2026-01-03,2026-01-09,Weather related,Hydrological,Flood,Flood,,National Disaster Management Agency (NADMA),,"Beaufort, Sabah","5.35828, 115.756432",County/City/town/Village/Woreda (ADM3),Origin,Displacement without preventive evacuations reported,2026-01-12T10:41:37.765997Z,"Malaysia: 298 displacements (in relief camp), 03 January - 03 January. Flood resulted in a total of 298 people being in relief camp in Beaufort, Sabah on 3 January, according to national/regional disaster authorities. National Disaster Management Agency (NADMA) - 03 January 2026",,Flood
219405,Malaysia,MYS,2.69238,101.75016,"[2.69238, 101.75016]",Recommended figure,Disaster,total,24,2026-01-03,2026-01-03,2026-01-03,2026,37862,Malaysia: Flood - Selangor (Sepang) - 03/01/2026,,,2026-01-03,2026-01-03,Weather related,Hydrological,Flood,Flood,,National Disaster Management Agency (NADMA),,"Sepang, Selangor, Malaysia","2.69238, 101.75016",County/City/town/Village/Woreda (ADM3),Origin,Displacement without preventive evacuations reported,2026-01-07T13:16:49.566680Z,"Malaysia: 24 displacements (in relief camp), 03 January - 03 January. Flood resulted in a total of 24 people being in relief camp in Sepang, Selangor, Malaysia on 3 January, according to national/regional disaster authorities. National Disaster Management Agency (NADMA) - 03 January 2026",,Flood
219189,Malaysia,MYS,3.79126,101.853493,"[3.79126, 101.853493]",Recommended figure,Disaster,total,83,2026-01-02,2026-01-02,2026-01-02,2026,37854,Malaysia: Flood - Pahang (Raub) - 02/01/2026,,,2026-01-02,2026-01-02,Weather related,Hydrological,Flood,Flood,,UNHCR Myanmar,,"Raub, Pahang, Malaysia","3.79126, 101.853493",County/City/town/Village/Woreda (ADM3),Origin,Displacement without preventive evacuations reported,2026-01-06T14:36:50.618767Z,"Malaysia: 83 displacements (in relief camp), 02 January - 02 January. A total of 83 people were in relief camp due to flood on 2 January in Raub, Pahang, Malaysia, according to UNHCR Myanmar. National Disaster Management Agency (NADMA) - 02 January 2026",,Flood
219188,Malaysia,MYS,4.85968,115.408249,"[4.85968, 115.408249]",Recommended figure,Disaster,total,166,2026-01-02,2026-01-02,2026-01-02,2026,37846,Malaysia: Flood - Sarawak (11 Districts) - 01/01/2026,,,2025-12-01,2026-01-14,Weather related,Hydrological,Flood,Flood,,UNHCR Myanmar,,"Lawas, Sarawak, Malaysia","4.85968, 115.408249",County/City/town/Village/Woreda (ADM3),Origin,Displacement without preventive evacuations reported,2026-01-06T14:36:50.483195Z,"Malaysia: 166 displacements (in relief camp), 02 January - 02 January. A total of 166 people were in relief camp due to flood on 2 January in Lawas, Sarawak, Malaysia, according to UNHCR Myanmar. National Disaster Management Agency (NADMA) - 02 January 2026",,Flood
219171,Malaysia,MYS,1.46762,110.482277,"[1.46762, 110.482277]",Triangulation,Disaster,total,21,2026-01-01,2026-01-01,2026-01-01,2026,37846,Malaysia: Flood - Sarawak (11 Districts) - 01/01/2026,,,2025-12-01,2026-01-14,Weather related,Hydrological,Flood,Flood,,National Disaster Management Agency (NADMA),,"Samarahan Division, Sarawak, Malaysia","1.46762, 110.482277",Point,Origin,Displacement without preventive evacuations reported,2026-01-06T14:10:44.512697Z,"Malaysia: 21 displacements (in relief camp), 01 January - 01 January. A total of 21 people were in relief camp due to flood on 1 January in Samarahan Division, Sarawak, Malaysia, according to national/regional disaster authorities. National Disaster Management Agency (NADMA) - 01 January 2026",,Flood
219397,Malaysia,MYS,1.57293,110.125992,"[1.57293, 110.125992]",Recommended figure,Disaster,total,413,2025-12-31,2025-12-31,2025-12-31,2025,40348,Malaysia: Flood - Sarawak (11 Districts) - 31/12/2025,,,2025-12-31,2025-12-31,Weather related,Hydrological,Flood,Flood,,National Disaster Management Agency (NADMA),,"Kuching Division, Sarawak, Malaysia","1.57293, 110.125992",District/Zone/Department (ADM2),Origin,Displacement without preventive evacuations reported,2026-01-07T12:54:44.364821Z,"Malaysia: 413 displacements (in relief camp), 31 December - 31 December. A total of 413 people were in relief camp due to flood on 31 December in Kuching Division, Sarawak, Malaysia, according to national/regional disaster authorities. National Disaster Management Agency (NADMA) - 31 December 2025",,Flood
219120,Malaysia,MYS,2.50049,102.815651,"[2.50049, 102.815651]",Recommended figure,Disaster,total,172,2025-12-29,2025-12-29,2025-12-29,2025,37833,Malaysia: Flood - Johor (Segamat) - 29/12/2025,,,2025-12-29,2025-12-29,Weather related,Hydrological,Flood,Flood,,National Disaster Management Agency (NADMA),,"Segamat District, Johor, Malaysia","2.50049, 102.815651",County/City/town/Village/Woreda (ADM3),Origin,Displacement without preventive evacuations reported,2026-01-06T13:05:22.756412Z,"Malaysia: 172 displacements (in relief camp), 29 December - 29 December. According to national/regional disaster authorities, a total of 172 people were in relief camp in Segamat District, Johor, Malaysia due to flood on 29 December National Disaster Management Agency (NADMA) - 29 December 2025",,Flood
219121,Malaysia,MYS,2.80493,103.439194,"[2.80493, 103.439194]",Triangulation,Disaster,total,80,2025-12-29,2025-12-29,2025-12-29,2025,37834,Malaysia: Flood - Pahang (Rompin) - 29/12/2025,,,2025-12-29,2025-12-29,Weather related,Hydrological,Flood,Flood,,National Disaster Management Agency (NADMA),,"Rompin, Pahang, Malaysia","2.80493, 103.439194",County/City/town/Village/Woreda (ADM3),Origin,Displacement without preventive evacuations reported,2026-01-06T13:05:22.822900Z,"Malaysia: 80 displacements (in relief camp), 29 December - 29 December. Flood resulted in a total of 80 people being in relief camp in Rompin, Pahang, Malaysia on 29 December, according to national/regional disaster authorities. National Disaster Management Agency (NADMA) - 29 December 2025",,Flood
