id,country,iso3,latitude,longitude,centroid,role,displacement_type,qualifier,figure,displacement_date,displacement_start_date,displacement_end_date,year,event_id,event_name,event_codes,event_code_types,event_start_date,event_end_date,category,subcategory,type,subtype,old_id,sources,source_url,locations_name,locations_coordinates,locations_accuracy,locations_type,displacement_occurred,created_at,description,link,combined_type
229173,Mali,MLI,13.10936,-4.99381,"[13.10936, -4.99381]",Recommended figure,Conflict,approximately,498,2025-12-28,2025-12-28,2025-12-28,2025,39633,Mali: Non-International armed conflict (NIAC) - Segou (ACF0011) - 28/12/2025,ACF0011,Local Identifier,2025-12-28,2025-12-28,,,,,,RRM Mali,,"San Cercle, Ségou, Mali","13.10936, -4.99381",District/Zone/Department (ADM2),Origin and destination,Displacement without preventive evacuations reported,2026-02-10T12:39:28.420482Z,"Mali: 498 displacements, 28 December - 28 December. According to RRM Mali, approximately 498 new internal displacements were recorded from neighbourhoods of San Cercle, Ségou towards neighbourhoods of San Cercle, Ségou as a result of an armed attack on 28 December 2025. RRM Mali - 14 January 2025",,Conflict
229172,Mali,MLI,13.10936,-4.99381,"[13.10936, -4.99381]",Recommended figure,Conflict,approximately,1044,2025-12-22,2025-12-22,2025-12-22,2025,39632,Mali: Non-International armed conflict (NIAC) - Segou (ACF0010) - 22/12/2025,ACF0010,Local Identifier,2025-12-22,2025-12-22,,,,,,RRM Mali,,"San Cercle, Ségou, Mali","13.10936, -4.99381",District/Zone/Department (ADM2),Origin and destination,Displacement without preventive evacuations reported,2026-02-10T12:39:28.360147Z,"Mali: 1,044 displacements, 22 December - 22 December. According to RRM Mali, approximately 1044 new internal displacements were recorded from neighbourhoods of San Cercle, Ségou towards neighbourhoods of San Cercle, Ségou as a result of an armed attack on 22 December 2025. RRM Mali - 14 January 2025",,Conflict
229171,Mali,MLI,16.692711,0.46782,"[16.692711, 0.46782]",Recommended figure,Conflict,approximately,582,2025-12-15,2025-12-15,2025-12-15,2025,39637,Mali: Non-International armed conflict (NIAC) - Gao (ACF008) - 15/12/2025,ACF008,Local Identifier,2025-12-15,2025-12-15,,,,,,RRM Mali,,"Gao Cercle, Gao, Mali","16.692711, 0.46782",District/Zone/Department (ADM2),Origin and destination,Displacement without preventive evacuations reported,2026-02-10T12:39:28.310383Z,"Mali: 582 displacements, 15 December - 15 December. According to RRM Mali, approximately 582 new internal displacements were recorded from neighbourhoods of Gao Cercle, Gao towards neighbourhoods of Gao Cercle, Gao as a result of an armed attack on 15 December 2025. RRM Mali - 14 January 2025",,Conflict
229163,Mali,MLI,14.742,-4.04628,"[14.742, -4.04628]",Recommended figure,Conflict,approximately,350,2025-12-14,2025-12-14,2025-12-14,2025,39667,Mali: Non-International armed conflict (NIAC) - Mopti (NRC345) - 14/12/2025,NRC345,Local Identifier,2025-12-14,2025-12-14,,,,,,RRM Mali,,"Mopti Cercle, Mopti, Mali","14.742, -4.04628",District/Zone/Department (ADM2),Origin and destination,Displacement without preventive evacuations reported,2026-02-10T12:39:23.901870Z,"Mali: 350 displacements, 14 December - 14 December. According to RRM Mali, approximately 350 new internal displacements were recorded from neighbourhoods of Mopti Cercle, Mopti towards neighbourhoods of Mopti Cercle, Mopti as a result of an armed attack on 14 December 2025. RRM Mali - 14 January 2025",,Conflict
219774,Mali,MLI,14.264185000000001,-4.11623,"[14.264185000000001, -4.11623]",Triangulation,Conflict,total,535,2025-12-20,2025-12-13,2025-12-20,2025,37956,Mali: Non-International armed conflict (NIAC) - Mopti (Djenne/Nouh Bozo) - 13/12/2025,,,2025-12-13,2025-12-20,,,,,,Office for the Coordination of Humanitarian Affairs (OCHA),,"Djenné Cercle, Mopti, Mali; Mopti, Mali","14.01388, -4.586; 14.51449, -3.64646",District/Zone/Department (ADM2); State/Region/Province (ADM1),Origin; Destination,Displacement without preventive evacuations reported,2026-01-13T16:33:24.486941Z,"Mali: 535 displacements, 13 December - 20 December. A total of 535 people (92 households) were displaced due to non-international armed conflict (niac) on between 13 and 20 December from Nouh Bozo willage (Djenné Cercle, Mopti region) towards Mopti, according to Office for the Coordination of Humanitarian Affairs (OCHA). Office for the Coordination of Humanitarian Affairs (OCHA) - 06 January 2026",,Conflict
219871,Mali,MLI,14.39951,-3.64729,"[14.39951, -3.64729]",Triangulation,Conflict,approximately,588,2025-11-07,2025-11-07,2025-11-07,2025,37980,Mali: Non-International armed conflict (NIAC) - BADIANGARA (FLASH 66) - 07/11/2025,FLASH 66,Local Identifier,2025-11-07,2025-11-07,,,,,,RRM Mali,,"Bandiagara Cercle, Mopti, Mali","14.39951, -3.64729",District/Zone/Department (ADM2),Origin and destination,Displacement without preventive evacuations reported,2026-01-15T14:59:08.437170Z,"Mali: 588 displacements, 07 November - 07 November. According to RRM Mali, approximately 588 new internal displacements were recorded from neighbourhoods of Bandiagara Cercle, Mopti towards neighbourhoods of Bandiagara Cercle, Mopti as a result of an armed attack on 07 November 2025. RRM Mali - 14 January 2025",,Conflict
219870,Mali,MLI,14.39951,-3.64729,"[14.39951, -3.64729]",Triangulation,Conflict,approximately,1344,2025-11-07,2025-11-07,2025-11-07,2025,37979,Mali: Non-International armed conflict (NIAC) - BADIANGARA (FLASH 65) - 07/11/2025,FLASH 65,Local Identifier,2025-11-07,2025-11-07,,,,,,RRM Mali,,"Bandiagara Cercle, Mopti, Mali","14.39951, -3.64729",District/Zone/Department (ADM2),Origin and destination,Displacement without preventive evacuations reported,2026-01-15T14:59:08.352803Z,"Mali: 1,344 displacements, 07 November - 07 November. According to RRM Mali, approximately 1344 new internal displacements were recorded from neighbourhoods of Bandiagara Cercle, Mopti towards neighbourhoods of Bandiagara Cercle, Mopti as a result of an armed attack on 07 November 2025. RRM Mali - 14 January 2025",,Conflict
229169,Mali,MLI,14.39951,-3.64729,"[14.39951, -3.64729]",Recommended figure,Conflict,approximately,1344,2025-11-07,2025-11-07,2025-11-07,2025,37979,Mali: Non-International armed conflict (NIAC) - BADIANGARA (FLASH 65) - 07/11/2025,FLASH 65,Local Identifier,2025-11-07,2025-11-07,,,,,,RRM Mali,,"Bandiagara Cercle, Mopti, Mali","14.39951, -3.64729",District/Zone/Department (ADM2),Origin and destination,Displacement without preventive evacuations reported,2026-02-10T12:39:28.195091Z,"Mali: 1,344 displacements, 07 November - 07 November. According to RRM Mali, approximately 1344 new internal displacements were recorded from neighbourhoods of Bandiagara Cercle, Mopti towards neighbourhoods of Bandiagara Cercle, Mopti as a result of an armed attack on 07 November 2025. RRM Mali - 14 January 2025",,Conflict
229170,Mali,MLI,14.39951,-3.64729,"[14.39951, -3.64729]",Recommended figure,Conflict,approximately,588,2025-11-07,2025-11-07,2025-11-07,2025,37980,Mali: Non-International armed conflict (NIAC) - BADIANGARA (FLASH 66) - 07/11/2025,FLASH 66,Local Identifier,2025-11-07,2025-11-07,,,,,,RRM Mali,,"Bandiagara Cercle, Mopti, Mali","14.39951, -3.64729",District/Zone/Department (ADM2),Origin and destination,Displacement without preventive evacuations reported,2026-02-10T12:39:28.250693Z,"Mali: 588 displacements, 07 November - 07 November. According to RRM Mali, approximately 588 new internal displacements were recorded from neighbourhoods of Bandiagara Cercle, Mopti towards neighbourhoods of Bandiagara Cercle, Mopti as a result of an armed attack on 07 November 2025. RRM Mali - 14 January 2025",,Conflict
219869,Mali,MLI,14.39951,-3.64729,"[14.39951, -3.64729]",Triangulation,Conflict,approximately,1095,2025-11-06,2025-11-06,2025-11-06,2025,37978,Mali: Non-International armed conflict (NIAC) - BADIANGARA (FLASH 63) - 06/11/2025,FLASH 63,Local Identifier,2025-11-06,2025-11-06,,,,,,RRM Mali,,"Bandiagara Cercle, Mopti, Mali","14.39951, -3.64729",District/Zone/Department (ADM2),Origin and destination,Displacement without preventive evacuations reported,2026-01-15T14:59:08.264567Z,"Mali: 1,095 displacements, 06 November - 06 November. According to RRM Mali, approximately 1095 new internal displacements were recorded from neighbourhoods of Bandiagara Cercle, Mopti towards neighbourhoods of Bandiagara Cercle, Mopti as a result of an armed attack on 06 November 2025. RRM Mali - 14 January 2025",,Conflict
229168,Mali,MLI,14.39951,-3.64729,"[14.39951, -3.64729]",Recommended figure,Conflict,approximately,1095,2025-11-06,2025-11-06,2025-11-06,2025,37978,Mali: Non-International armed conflict (NIAC) - BADIANGARA (FLASH 63) - 06/11/2025,FLASH 63,Local Identifier,2025-11-06,2025-11-06,,,,,,RRM Mali,,"Bandiagara Cercle, Mopti, Mali","14.39951, -3.64729",District/Zone/Department (ADM2),Origin and destination,Displacement without preventive evacuations reported,2026-02-10T12:39:28.130710Z,"Mali: 1,095 displacements, 06 November - 06 November. According to RRM Mali, approximately 1095 new internal displacements were recorded from neighbourhoods of Bandiagara Cercle, Mopti towards neighbourhoods of Bandiagara Cercle, Mopti as a result of an armed attack on 06 November 2025. RRM Mali - 14 January 2025",,Conflict
219868,Mali,MLI,15.1605,-2.44588,"[15.1605, -2.44588]",Triangulation,Conflict,approximately,628,2025-10-30,2025-10-30,2025-10-30,2025,37981,Mali: Non-International armed conflict (NIAC) - DOUENTZA (IRC097) - 30/10/2025,IRC097,Local Identifier,2025-10-30,2025-10-30,,,,,,RRM Mali,,"Douentza Cercle, Mopti, Mali","15.1605, -2.44588",District/Zone/Department (ADM2),Origin and destination,Displacement without preventive evacuations reported,2026-01-15T14:59:08.191423Z,"Mali: 628 displacements, 30 October - 30 October. According to RRM Mali, approximately 628 new internal displacements were recorded from neighbourhoods of Douentza Cercle, Mopti towards neighbourhoods of Douentza Cercle, Mopti as a result of an armed attack on 30 October 2025. RRM Mali - 14 January 2025",,Conflict
229167,Mali,MLI,15.1605,-2.44588,"[15.1605, -2.44588]",Recommended figure,Conflict,approximately,628,2025-10-30,2025-10-30,2025-10-30,2025,37981,Mali: Non-International armed conflict (NIAC) - DOUENTZA (IRC097) - 30/10/2025,IRC097,Local Identifier,2025-10-30,2025-10-30,,,,,,RRM Mali,,"Douentza Cercle, Mopti, Mali","15.1605, -2.44588",District/Zone/Department (ADM2),Origin and destination,Displacement without preventive evacuations reported,2026-02-10T12:39:24.197889Z,"Mali: 628 displacements, 30 October - 30 October. According to RRM Mali, approximately 628 new internal displacements were recorded from neighbourhoods of Douentza Cercle, Mopti towards neighbourhoods of Douentza Cercle, Mopti as a result of an armed attack on 30 October 2025. RRM Mali - 14 January 2025",,Conflict
229165,Mali,MLI,15.638695,-4.215310000000001,"[15.638695, -4.215310000000001]",Recommended figure,Conflict,approximately,870,2025-10-21,2025-10-21,2025-10-21,2025,39668,Mali: Non-International armed conflict (NIAC) - Tombouctou (IRC095) - 21/10/2025,IRC095,Local Identifier,2025-10-21,2025-10-21,,,,,,RRM Mali,,"Niafounké Cercle, Timbuktu, Mali; Youwarou Cercle, Mopti, Mali","15.88673, -3.86925; 15.39066, -4.56137",District/Zone/Department (ADM2); District/Zone/Department (ADM2),Origin; Destination,Displacement reporting preventive evacuations,2026-02-10T12:39:24.023979Z,"Mali: 870 displacements, 21 October - 21 October. According to RRM Mali, approximately 870 new internal displacements were recorded from neighbourhoods of Niafounké Cercle, Timbuktu towards neighbourhoods of Youwarou Cercle, Mopti as a result of threats and intimidation on 21 October 2025. RRM Mali - 14 January 2025",,Conflict
229166,Mali,MLI,15.17254,-4.39199,"[15.17254, -4.39199]",Recommended figure,Conflict,approximately,1008,2025-10-21,2025-10-21,2025-10-21,2025,39669,Mali: Non-International armed conflict (NIAC) - Tombouctou (IRC096) - 21/10/2025,IRC096,Local Identifier,2025-10-21,2025-10-21,,,,,,RRM Mali,,"Niafounké Cercle, Timbuktu, Mali; Tenenkou, Tenenkou Cercle, Mopti, Mali","15.88673, -3.86925; 14.45835, -4.91473",District/Zone/Department (ADM2); District/Zone/Department (ADM2),Origin; Destination,Displacement reporting preventive evacuations,2026-02-10T12:39:24.129857Z,"Mali: 1,008 displacements, 21 October - 21 October. According to RRM Mali, approximately 1008 new internal displacements were recorded from neighbourhoods of Niafounké Cercle, Timbuktu towards neighbourhoods of Tenenkou Cercle, Mopti as a result of threats and intimidation on 21 October 2025. RRM Mali - 14 January 2025",,Conflict
229162,Mali,MLI,14.39951,-3.64729,"[14.39951, -3.64729]",Recommended figure,Conflict,approximately,1320,2025-10-12,2025-10-12,2025-10-12,2025,37991,Mali: Non-International armed conflict (NIAC) - BADIANGARA (NRC 334) - 12/10/2025,NRC 334,Local Identifier,2025-10-12,2025-10-12,,,,,,RRM Mali,,"Bandiagara Cercle, Mopti, Mali","14.39951, -3.64729",District/Zone/Department (ADM2),Origin and destination,Displacement without preventive evacuations reported,2026-02-10T12:39:23.840479Z,"Mali: 1,320 displacements, 12 October - 12 October. According to RRM Mali, approximately 1320 new internal displacements were recorded from neighbourhoods of Bandiagara Cercle, Mopti towards neighbourhoods of Bandiagara Cercle, Mopti as a result of an armed attack on 12 October 2025. RRM Mali - 14 January 2025",,Conflict
219867,Mali,MLI,14.39951,-3.64729,"[14.39951, -3.64729]",Triangulation,Conflict,approximately,1320,2025-10-12,2025-10-12,2025-10-12,2025,37991,Mali: Non-International armed conflict (NIAC) - BADIANGARA (NRC 334) - 12/10/2025,NRC 334,Local Identifier,2025-10-12,2025-10-12,,,,,,RRM Mali,,"Bandiagara Cercle, Mopti, Mali","14.39951, -3.64729",District/Zone/Department (ADM2),Origin and destination,Displacement without preventive evacuations reported,2026-01-15T14:59:08.112766Z,"Mali: 1,320 displacements, 12 October - 12 October. According to RRM Mali, approximately 1320 new internal displacements were recorded from neighbourhoods of Bandiagara Cercle, Mopti towards neighbourhoods of Bandiagara Cercle, Mopti as a result of an armed attack on 12 October 2025. RRM Mali - 14 January 2025",,Conflict
229164,Mali,MLI,21.7215511,-3.46308715,"[21.7215511, -3.46308715]",Recommended figure,Conflict,approximately,1770,2025-10-05,2025-10-05,2025-10-05,2025,39666,Mali: Non-International armed conflict (NIAC) - Tombouctou (NRC 333) - 05/10/2025,NRC 333,Local Identifier,2025-10-05,2025-10-05,,,,,,RRM Mali,,"Taoudenni, Timbuktu, Tombouctou Region, Mali; Tombouctou Cercle, Timbuktu, Mali","22.6764132, -3.9789143; 20.766689, -2.94726",District/Zone/Department (ADM2); District/Zone/Department (ADM2),Destination; Origin,Displacement without preventive evacuations reported,2026-02-10T12:39:23.960985Z,"Mali: 1,770 displacements, 05 October - 05 October. According to RRM Mali, approximately 1770 new internal displacements were recorded from neighbourhoods of Tombouctou Cercle, Timbuktu towards neighbourhoods of Taoudenni, Timbuktu, Tombouctou Region as a result of an armed attack on 05 October 2025. RRM Mali - 14 January 2025",,Conflict
229161,Mali,MLI,21.7215511,-3.46308715,"[21.7215511, -3.46308715]",Recommended figure,Conflict,approximately,1770,2025-10-04,2025-10-04,2025-10-04,2025,39665,Mali: Non-International armed conflict (NIAC) - Tombouctou (NRC 333) - 04/10/2025,NRC 333,Local Identifier,2025-10-04,2025-10-04,,,,,,RRM Mali,,"Taoudenni, Timbuktu, Tombouctou Region, Mali; Tombouctou Cercle, Timbuktu, Mali","22.6764132, -3.9789143; 20.766689, -2.94726",District/Zone/Department (ADM2); District/Zone/Department (ADM2),Destination; Origin,Displacement without preventive evacuations reported,2026-02-10T12:39:23.780042Z,"Mali: 1,770 displacements, 04 October - 04 October. According to RRM Mali, approximately 1770 new internal displacements were recorded from neighbourhoods of Tombouctou Cercle, Timbuktu towards neighbourhoods of Taoudenni, Timbuktu, Tombouctou Region as a result of an armed attack on 04 October 2025. RRM Mali - 14 January 2025",,Conflict
219114,Mali,MLI,11.003246,-5.665632,"[11.003246, -5.665632]",Triangulation,Conflict,total,13588,2025-12-16,2025-10-01,2025-12-16,2025,37827,Mali: Non-International armed conflict (NIAC) - Sikasso - 2025,,,2025-10-01,2025-12-16,,,,,,Local Authorities; Office for the Coordination of Humanitarian Affairs (OCHA),,"Kaboila, Sikasso Cercle, Sikasso, Mali; Kadiolo Cercle, Sikasso, Mali; Loulouni, Kadiolo Cercle, Sikasso, Mali; Nimbougou, Kadiolo Cercle, Sikasso, Mali; Pimperna, Sikasso Cercle, Sikasso, Mali","11.21047, -5.63362; 10.63037, -5.82893; 10.88866, -5.60567; 10.85617, -5.50522; 11.43056, -5.75472",County/City/town/Village/Woreda (ADM3); District/Zone/Department (ADM2); County/City/town/Village/Woreda (ADM3); County/City/town/Village/Woreda (ADM3); County/City/town/Village/Woreda (ADM3),Origin; Origin; Origin; Origin; Origin,Displacement without preventive evacuations reported,2026-01-06T13:00:32.155033Z,"Mali: 13,588 displacements, 01 October - 16 December. According to Office for the Coordination of Humanitarian Affairs (OCHA), local authorities, a total of 13588 people were displaced in Kaboila, Loulouni, Kai, Pimperna, Nimbougou in Sikasso region in Mali due to non-international armed conflict (niac) since 1 October 2025. Office for the Coordination of Humanitarian Affairs (OCHA) - 16 December 2025",,Conflict
229155,Mali,MLI,17.9635945,-2.69657,"[17.9635945, -2.69657]",Recommended figure,Conflict,approximately,1428,2025-09-28,2025-09-28,2025-09-28,2025,37989,Mali: Non-International armed conflict (NIAC) - DOUENTZA (NRC 330) - 28/09/2025,NRC 330,Local Identifier,2025-09-28,2025-09-28,,,,,,RRM Mali,,"Douentza Cercle, Mopti, Mali; Tombouctou Cercle, Timbuktu, Mali","15.1605, -2.44588; 20.766689, -2.94726",District/Zone/Department (ADM2); District/Zone/Department (ADM2),Origin; Destination,Displacement without preventive evacuations reported,2026-02-10T12:39:23.370818Z,"Mali: 1,428 displacements, 28 September - 28 September. According to RRM Mali, approximately 1428 new internal displacements were recorded from neighbourhoods of Douentza Cercle, Mopti towards neighbourhoods of Tombouctou Cercle, Timbuktu as a result of an armed attack on 28 September 2025. RRM Mali - 14 January 2025",,Conflict
219862,Mali,MLI,17.9635945,-2.69657,"[17.9635945, -2.69657]",Triangulation,Conflict,approximately,1428,2025-09-28,2025-09-28,2025-09-28,2025,37989,Mali: Non-International armed conflict (NIAC) - DOUENTZA (NRC 330) - 28/09/2025,NRC 330,Local Identifier,2025-09-28,2025-09-28,,,,,,RRM Mali,,"Douentza Cercle, Mopti, Mali; Tombouctou Cercle, Timbuktu, Mali","15.1605, -2.44588; 20.766689, -2.94726",District/Zone/Department (ADM2); District/Zone/Department (ADM2),Origin; Destination,Displacement without preventive evacuations reported,2026-01-15T14:59:07.663941Z,"Mali: 1,428 displacements, 28 September - 28 September. According to RRM Mali, approximately 1428 new internal displacements were recorded from neighbourhoods of Douentza Cercle, Mopti towards neighbourhoods of Tombouctou Cercle, Timbuktu as a result of an armed attack on 28 September 2025. RRM Mali - 14 January 2025",,Conflict
229158,Mali,MLI,16.692711,0.46782,"[16.692711, 0.46782]",Recommended figure,Conflict,approximately,206,2025-09-24,2025-09-24,2025-09-24,2025,37976,Mali: Non-International armed conflict (NIAC) - GAO (FLASH 59) - 24/09/2025,FLASH 59,Local Identifier,2025-09-24,2025-09-24,,,,,,RRM Mali,,"Gao Cercle, Gao, Mali","16.692711, 0.46782",District/Zone/Department (ADM2),Origin and destination,Displacement without preventive evacuations reported,2026-02-10T12:39:23.586274Z,"Mali: 206 displacements, 24 September - 24 September. According to RRM Mali, approximately 206 new internal displacements were recorded from neighbourhoods of Gao Cercle, Gao towards neighbourhoods of Gao Cercle, Gao as a result of an armed attack on 24 September 2025. RRM Mali - 14 January 2025",,Conflict
219865,Mali,MLI,16.692711,0.46782,"[16.692711, 0.46782]",Triangulation,Conflict,approximately,206,2025-09-24,2025-09-24,2025-09-24,2025,37976,Mali: Non-International armed conflict (NIAC) - GAO (FLASH 59) - 24/09/2025,FLASH 59,Local Identifier,2025-09-24,2025-09-24,,,,,,RRM Mali,,"Gao Cercle, Gao, Mali","16.692711, 0.46782",District/Zone/Department (ADM2),Origin and destination,Displacement without preventive evacuations reported,2026-01-15T14:59:07.964719Z,"Mali: 206 displacements, 24 September - 24 September. According to RRM Mali, approximately 206 new internal displacements were recorded from neighbourhoods of Gao Cercle, Gao towards neighbourhoods of Gao Cercle, Gao as a result of an armed attack on 24 September 2025. RRM Mali - 14 January 2025",,Conflict
229159,Mali,MLI,14.570755,-3.846785,"[14.570755, -3.846785]",Recommended figure,Conflict,approximately,400,2025-09-23,2025-09-23,2025-09-23,2025,37977,Mali: Non-International armed conflict (NIAC) - MOPTI (FLASH 60) - 23/09/2025,FLASH 60,Local Identifier,2025-09-23,2025-09-23,,,,,,RRM Mali,,"Bandiagara Cercle, Mopti, Mali; Mopti Cercle, Mopti, Mali","14.39951, -3.64729; 14.742, -4.04628",District/Zone/Department (ADM2); District/Zone/Department (ADM2),Destination; Origin,Displacement without preventive evacuations reported,2026-02-10T12:39:23.652307Z,"Mali: 400 displacements, 23 September - 23 September. According to RRM Mali, approximately 400 new internal displacements were recorded from neighbourhoods of Mopti Cercle, Mopti towards neighbourhoods of Bandiagara Cercle, Mopti as a result of an armed attack on 23 September 2025. RRM Mali - 14 January 2025",,Conflict
219866,Mali,MLI,14.570755,-3.846785,"[14.570755, -3.846785]",Triangulation,Conflict,approximately,400,2025-09-23,2025-09-23,2025-09-23,2025,37977,Mali: Non-International armed conflict (NIAC) - MOPTI (FLASH 60) - 23/09/2025,FLASH 60,Local Identifier,2025-09-23,2025-09-23,,,,,,RRM Mali,,"Bandiagara Cercle, Mopti, Mali; Mopti Cercle, Mopti, Mali","14.39951, -3.64729; 14.742, -4.04628",District/Zone/Department (ADM2); District/Zone/Department (ADM2),Destination; Origin,Displacement without preventive evacuations reported,2026-01-15T14:59:08.044415Z,"Mali: 400 displacements, 23 September - 23 September. According to RRM Mali, approximately 400 new internal displacements were recorded from neighbourhoods of Mopti Cercle, Mopti towards neighbourhoods of Bandiagara Cercle, Mopti as a result of an armed attack on 23 September 2025. RRM Mali - 14 January 2025",,Conflict
