id,country,iso3,latitude,longitude,centroid,role,displacement_type,qualifier,figure,displacement_date,displacement_start_date,displacement_end_date,year,event_id,event_name,event_codes,event_code_types,event_start_date,event_end_date,category,subcategory,type,subtype,old_id,sources,source_url,locations_name,locations_coordinates,locations_accuracy,locations_type,displacement_occurred,created_at,description,link,combined_type
240364,Mozambique,MOZ,-22.67322,33.444041999999996,"[-22.67322, 33.444041999999996]",Recommended figure,Disaster,approximately,392000,2026-01-30,2026-01-01,2026-01-30,2026,40315,"Mozambique: Flood - Gaza, Maputo, Central Mozambique - 01/01/2026",,,2026-01-01,2026-01-30,Weather related,Hydrological,Flood,Flood,,United Nations High Commissioner for Refugees (UNHCR),,"Gaza, Mozambique; Maputo, Mozambique; Mozambique","-23.34417, 32.72604; -26.04764, 32.794048; -18.62785, 34.812038",State/Region/Province (ADM1); County/City/town/Village/Woreda (ADM3); Country/territory (AM0),Origin; Origin; Origin,Displacement without preventive evacuations reported,2026-02-20T11:49:42.854788Z,"Mozambique: 392,000 displacements, 01 January - 30 January. According to the UNHCR, around 392,000 people have been displaced due to flooding since the beginning of 2026 in southern and central parts of Mozambique. United Nations High Commissioner for Refugees (UNHCR) - 30 January 2026",,Flood
221989,Mozambique,MOZ,-19.5771,34.402605,"[-19.5771, 34.402605]",Recommended figure,Disaster,more than or equal to,9000,2025-12-29,2025-12-24,2025-12-29,2025,39096,"Mozambique: Flood - Zambézia, Sofala - 24/12/2025",,,2025-12-24,2025-12-31,Weather related,Hydrological,Flood,Flood,,IOM DTM Mozambique,,"Búzi, Sofala, Mozambique; Nhamatanda, Sofala, Mozambique","-19.8839, 34.59687; -19.2703, 34.20834",County/City/town/Village/Woreda (ADM3); County/City/town/Village/Woreda (ADM3),Origin; Origin,Displacement without preventive evacuations reported,2026-01-21T17:40:32.648787Z,"Mozambique: 9,000 displacements, 24 December - 29 December. More than or equal to 9000 people were displaced due to flood on 24 December in Búzi and Nhamatanda, Sofala, Mozambique, according to IOM DTM Mozambique. Office for the Coordination of Humanitarian Affairs (OCHA) - 30 December 2025",,Flood
219827,Mozambique,MOZ,-12.31002,39.417488,"[-12.31002, 39.417488]",Recommended figure,Conflict,total,3614,2025-12-31,2025-12-01,2025-12-31,2025,30456,"Mozambique: Non-International armed conflict (NIAC) - Cabo Delgado, Nampula and Niassa - 2025",,,2025-01-01,2025-12-31,,,,,,IOM DTM Mozambique,,"Cabo Delgado, Mozambique","-12.31002, 39.417488",State/Region/Province (ADM1),Origin,Displacement without preventive evacuations reported,2026-01-14T16:43:41.496843Z,"Mozambique: 3,614 displacements, 01 December - 31 December. According to IOM DTM Mozambique, a total of 3614 people were displaced in Cabo Delgado, Mozambique due to non-international armed conflict (niac) in December IOM DTM Mozambique - 14 January 2026",,Conflict
219828,Mozambique,MOZ,-15.17202,39.11227,"[-15.17202, 39.11227]",Recommended figure,Conflict,total,8,2025-12-31,2025-12-01,2025-12-31,2025,30456,"Mozambique: Non-International armed conflict (NIAC) - Cabo Delgado, Nampula and Niassa - 2025",,,2025-01-01,2025-12-31,,,,,,IOM DTM Mozambique,,"Nampula, Mozambique","-15.17202, 39.11227",State/Region/Province (ADM1),Origin,Displacement without preventive evacuations reported,2026-01-14T16:48:42.485474Z,"Mozambique: 8 displacements, 01 December - 31 December. Non-international armed conflict (niac) resulted in a total of 8 people being displaced in Nampula, Mozambique in December, according to IOM DTM Mozambique. IOM DTM Mozambique - 14 January 2026",,Conflict
208313,Mozambique,MOZ,-19.41674,33.513199,"[-19.41674, 33.513199]",Recommended figure,Disaster,total,370,2025-11-20,2025-11-13,2025-11-20,2025,37010,Mozambique: Flood - Manica (Macate) - 13/11/2025,,,2025-11-13,2025-11-20,Weather related,Hydrological,Flood,Flood,,District authorities ,,"Macate, Manica, Mozambique","-19.41674, 33.513199",County/City/town/Village/Woreda (ADM3),Origin,,2025-11-21T12:59:20.204486Z,"Mozambique: 370 displacements (destroyed housing), 13 November - 20 November. According to local authority, a total of 370 people were displaced due to destroyed housing in Macate, Manica, Mozambique due to flood on 13 November Club of Mozambique - 20 November 2025",,Flood
208206,Mozambique,MOZ,-14.18696,40.530991,"[-14.18696, 40.530991]",Triangulation,Conflict,approximately,128000,2025-11-19,2025-11-10,2025-11-19,2025,30456,"Mozambique: Non-International armed conflict (NIAC) - Cabo Delgado, Nampula and Niassa - 2025",,,2025-01-01,2025-12-31,,,,,,Office for the Coordination of Humanitarian Affairs (OCHA),,"Memba, Nampula, Mozambique","-14.18696, 40.530991",County/City/town/Village/Woreda (ADM3),Origin,Displacement without preventive evacuations reported,2025-11-20T12:49:48.764534Z,"Mozambique: 128,000 displacements (forced to flee), 10 November - 19 November. According to Office for the Coordination of Humanitarian Affairs (OCHA), approximately 128000 people were forced to flee in Memba, Nampula, Mozambique due to non-international armed conflict (niac) between 10 and 19 November Observador - 19 November 2025",,Conflict
218157,Mozambique,MOZ,-13.38679,36.314289,"[-13.38679, 36.314289]",Recommended figure,Conflict,total,9,2025-11-30,2025-11-01,2025-11-30,2025,30456,"Mozambique: Non-International armed conflict (NIAC) - Cabo Delgado, Nampula and Niassa - 2025",,,2025-01-01,2025-12-31,,,,,,IOM DTM Mozambique,,"Niassa, Mozambique","-13.38679, 36.314289",State/Region/Province (ADM1),Destination,Displacement without preventive evacuations reported,2025-12-16T15:53:00.713270Z,"Mozambique: 9 displacements, 01 November - 30 November. A total of 9 people were displaced due to non-international armed conflict (niac) in November in Niassa, Mozambique, according to IOM DTM Mozambique. IOM DTM Mozambique - 16 December 2025",,Conflict
218158,Mozambique,MOZ,-15.17202,39.11227,"[-15.17202, 39.11227]",Recommended figure,Conflict,total,93097,2025-11-30,2025-11-01,2025-11-30,2025,30456,"Mozambique: Non-International armed conflict (NIAC) - Cabo Delgado, Nampula and Niassa - 2025",,,2025-01-01,2025-12-31,,,,,,IOM DTM Mozambique,,"Nampula, Mozambique","-15.17202, 39.11227",State/Region/Province (ADM1),Destination,Displacement without preventive evacuations reported,2025-12-16T15:55:48.294149Z,"Mozambique: 93,097 displacements, 01 November - 30 November. A total of 93097 people were displaced due to non-international armed conflict (niac) in November in Nampula, Mozambique, according to IOM DTM Mozambique. IOM DTM Mozambique - 16 December 2025",,Conflict
218159,Mozambique,MOZ,-12.31002,39.417488,"[-12.31002, 39.417488]",Recommended figure,Conflict,total,18654,2025-11-30,2025-11-01,2025-11-30,2025,30456,"Mozambique: Non-International armed conflict (NIAC) - Cabo Delgado, Nampula and Niassa - 2025",,,2025-01-01,2025-12-31,,,,,,IOM DTM Mozambique,,"Cabo Delgado, Mozambique","-12.31002, 39.417488",State/Region/Province (ADM1),Destination,Displacement without preventive evacuations reported,2025-12-16T15:58:52.883902Z,"Mozambique: 18,654 displacements, 01 November - 30 November. Non-international armed conflict (niac) resulted in a total of 18654 people being displaced in Cabo Delgado, Mozambique in November, according to IOM DTM Mozambique. IOM DTM Mozambique - 16 December 2025",,Conflict
207182,Mozambique,MOZ,-13.38679,36.314289,"[-13.38679, 36.314289]",Recommended figure,Conflict,total,71,2025-10-31,2025-10-01,2025-10-31,2025,30456,"Mozambique: Non-International armed conflict (NIAC) - Cabo Delgado, Nampula and Niassa - 2025",,,2025-01-01,2025-12-31,,,,,,IOM DTM Mozambique,,"Niassa, Mozambique","-13.38679, 36.314289",State/Region/Province (ADM1),Destination,Displacement without preventive evacuations reported,2025-11-07T14:04:36.107414Z,"Mozambique: 71 displacements, 01 October - 31 October. According to IOM DTM Mozambique, a total of 71 people were displaced in Niassa, Mozambique due to non-international armed conflict (niac) in October IOM DTM Mozambique - 07 November 2025",,Conflict
