id,country,iso3,latitude,longitude,centroid,role,displacement_type,qualifier,figure,displacement_date,displacement_start_date,displacement_end_date,year,event_id,event_name,event_codes,event_code_types,event_start_date,event_end_date,category,subcategory,type,subtype,old_id,sources,source_url,locations_name,locations_coordinates,locations_accuracy,locations_type,displacement_occurred,created_at,description,link,combined_type
224618,Myanmar,MMR,17.18631,97.749931,"[17.18631, 97.749931]",Recommended figure,Conflict,total,800,2026-01-26,2026-01-19,2026-01-26,2026,37915,Myanmar: Non-International armed conflict (NIAC) - Kayin State - 2026,,,2026-01-01,2026-12-31,,,,,,UNHCR Myanmar,,"Kayin State, Myanmar","17.18631, 97.749931",State/Region/Province (ADM1),Destination,Displacement without preventive evacuations reported,2026-01-29T14:25:10.784106Z,"Myanmar: 800 displacements, 19 January - 26 January. A total of 800 people were displaced due to non-international armed conflict (niac) on 19 January in Kayin State, Myanmar, according to UNHCR Myanmar. UNHCR Myanmar - 26 January 2026",,Conflict
224619,Myanmar,MMR,19.40822,94.100594,"[19.40822, 94.100594]",Recommended figure,Conflict,total,200,2026-01-26,2026-01-19,2026-01-26,2026,37911,Myanmar: Non-International armed conflict (NIAC) - Rakhine State (Central & North) - 2026,,,2026-01-01,2026-12-31,,,,,,UNHCR Myanmar,,"Rakhine (Central), Myanmar","19.40822, 94.100594",State/Region/Province (ADM1),Destination,Displacement without preventive evacuations reported,2026-01-29T14:25:10.835938Z,"Myanmar: 200 displacements, 19 January - 26 January. Non-international armed conflict (niac) resulted in a total of 200 people being displaced in Rakhine (Central), Myanmar on 19 January, according to UNHCR Myanmar. UNHCR Myanmar - 26 January 2026",,Conflict
224617,Myanmar,MMR,20.274799,94.736221,"[20.274799, 94.736221]",Recommended figure,Conflict,total,15400,2026-01-26,2026-01-19,2026-01-26,2026,37910,Myanmar: Non-International armed conflict (NIAC) - Magway Region - 2026,,,2026-01-01,2026-12-31,,,,,,UNHCR Myanmar,,"Magway Region, Myanmar","20.274799, 94.736221",State/Region/Province (ADM1),Destination,Displacement without preventive evacuations reported,2026-01-29T14:25:10.726552Z,"Myanmar: 15,400 displacements, 19 January - 26 January. Non-international armed conflict (niac) resulted in a total of 15400 people being displaced in Magway Region, Myanmar on 19 January, according to UNHCR Myanmar. UNHCR Myanmar - 26 January 2026",,Conflict
224616,Myanmar,MMR,26.020769,97.491928,"[26.020769, 97.491928]",Recommended figure,Conflict,total,200,2026-01-26,2026-01-19,2026-01-26,2026,37908,Myanmar: Non-International armed conflict (NIAC) - Kachin State - 2026,,,2026-01-01,2026-12-31,,,,,,UNHCR Myanmar,,"Kachin State, Myanmar","26.020769, 97.491928",State/Region/Province (ADM1),Destination,Displacement without preventive evacuations reported,2026-01-29T14:25:10.672223Z,"Myanmar: 200 displacements, 19 January - 26 January. According to UNHCR Myanmar, a total of 200 people were displaced in Kachin State, Myanmar due to non-international armed conflict (niac) on 19 January UNHCR Myanmar - 26 January 2026",,Conflict
224615,Myanmar,MMR,12.27192,98.489594,"[12.27192, 98.489594]",Recommended figure,Conflict,total,400,2026-01-26,2026-01-19,2026-01-26,2026,37912,Myanmar: Non-International armed conflict (NIAC) - Tanintharyi Region - 2026,,,2026-01-01,2026-12-31,,,,,,UNHCR Myanmar,,"Tanintharyi Region, Myanmar","12.27192, 98.489594",State/Region/Province (ADM1),Destination,Displacement without preventive evacuations reported,2026-01-29T14:25:10.614858Z,"Myanmar: 400 displacements, 19 January - 26 January. According to UNHCR Myanmar, a total of 400 people were displaced in Tanintharyi Region, Myanmar due to non-international armed conflict (niac) on 19 January UNHCR Myanmar - 26 January 2026",,Conflict
224490,Myanmar,MMR,26.020769,97.491928,"[26.020769, 97.491928]",Recommended figure,Conflict,total,1400,2026-01-19,2026-01-12,2026-01-19,2026,37908,Myanmar: Non-International armed conflict (NIAC) - Kachin State - 2026,,,2026-01-01,2026-12-31,,,,,,UNHCR Myanmar,,"Kachin State, Myanmar","26.020769, 97.491928",State/Region/Province (ADM1),Destination,Displacement without preventive evacuations reported,2026-01-28T13:31:50.066626Z,"Myanmar: 1,400 displacements, 12 January - 19 January. A total of 1400 people were displaced due to non-international armed conflict (niac) on 12 January in Kachin State, Myanmar, according to UNHCR Myanmar. UNHCR Myanmar - 19 January 2026",,Conflict
224491,Myanmar,MMR,17.18631,97.749931,"[17.18631, 97.749931]",Recommended figure,Conflict,total,100,2026-01-19,2026-01-12,2026-01-19,2026,37915,Myanmar: Non-International armed conflict (NIAC) - Kayin State - 2026,,,2026-01-01,2026-12-31,,,,,,UNHCR Myanmar,,"Kayin State, Myanmar","17.18631, 97.749931",State/Region/Province (ADM1),Destination,Displacement without preventive evacuations reported,2026-01-28T13:31:50.133504Z,"Myanmar: 100 displacements, 12 January - 19 January. A total of 100 people were displaced due to non-international armed conflict (niac) on 12 January in Kayin State, Myanmar, according to UNHCR Myanmar. UNHCR Myanmar - 19 January 2026",,Conflict
224492,Myanmar,MMR,19.40822,94.100594,"[19.40822, 94.100594]",Recommended figure,Conflict,total,200,2026-01-19,2026-01-12,2026-01-19,2026,37911,Myanmar: Non-International armed conflict (NIAC) - Rakhine State (Central & North) - 2026,,,2026-01-01,2026-12-31,,,,,,UNHCR Myanmar,,"Rakhine (Central), Myanmar","19.40822, 94.100594",State/Region/Province (ADM1),Destination,Displacement without preventive evacuations reported,2026-01-28T13:31:50.200132Z,"Myanmar: 200 displacements, 12 January - 19 January. According to UNHCR Myanmar, a total of 200 people were displaced in Rakhine (Central), Myanmar due to non-international armed conflict (niac) on 12 January UNHCR Myanmar - 19 January 2026",,Conflict
224493,Myanmar,MMR,24.47151,95.465286,"[24.47151, 95.465286]",Recommended figure,Conflict,total,2100,2026-01-19,2026-01-12,2026-01-19,2026,37909,Myanmar: Non-International armed conflict (NIAC) - Sagaing Region - 2026,,,2026-01-01,2026-12-31,,,,,,UNHCR Myanmar,,"Sagaing, Myanmar","24.47151, 95.465286",State/Region/Province (ADM1),Destination,Displacement without preventive evacuations reported,2026-01-28T13:31:50.289576Z,"Myanmar: 2,100 displacements, 12 January - 19 January. Non-international armed conflict (niac) resulted in a total of 2100 people being displaced in Sagaing, Myanmar on 12 January, according to UNHCR Myanmar. UNHCR Myanmar - 19 January 2026",,Conflict
224487,Myanmar,MMR,18.32782,95.64238,"[18.32782, 95.64238]",Recommended figure,Conflict,total,2000,2026-01-19,2026-01-12,2026-01-19,2026,37914,Myanmar: Non-International armed conflict (NIAC) - Bago Region (East & West) - 2026,,,2026-01-01,2026-12-31,,,,,,UNHCR Myanmar,,"West Bago Region, Bago Region, Myanmar","18.32782, 95.64238",District/Zone/Department (ADM2),Destination,Displacement without preventive evacuations reported,2026-01-28T13:31:49.735003Z,"Myanmar: 2,000 displacements, 12 January - 19 January. According to UNHCR Myanmar, a total of 2000 people were displaced in West Bago Region, Bago Region, Myanmar due to non-international armed conflict (niac) on 12 January UNHCR Myanmar - 19 January 2026",,Conflict
