id,country,iso3,latitude,longitude,centroid,role,displacement_type,qualifier,figure,displacement_date,displacement_start_date,displacement_end_date,year,event_id,event_name,event_codes,event_code_types,event_start_date,event_end_date,category,subcategory,type,subtype,old_id,sources,source_url,locations_name,locations_coordinates,locations_accuracy,locations_type,displacement_occurred,created_at,description,link,combined_type
207613,Nepal,NPL,27.72526,86.781128,"[27.72526, 86.781128]",Recommended figure,Disaster,total,4,2025-11-02,2025-11-02,2025-11-02,2025,36985,Nepal: Landslide - Solukhumbu - 02/11/2025,,,2025-11-02,2025-11-02,Weather related,Hydrological,Mass Movement,Landslide/Wet mass movement,,Nepal Disaster Risk Reduction Portal,,"Solukhumbu, Sagarmatha, Eastern Development Region, Nepal","27.72526, 86.781128",District/Zone/Department (ADM2),Origin,,2025-11-17T09:25:59.002104Z,"Nepal: 4 displacements (destroyed housing), 02 November - 02 November. A total of 1 household were displaced due to destroyed housing due to landslide/wet mass movement on 2 November in Solukhumbu, Sagarmatha, Eastern Development Region, Nepal, according to government. Nepal Disaster Risk Reduction Portal - 11 November 2025",,Mass Movement
207611,Nepal,NPL,27.15543,86.679893,"[27.15543, 86.679893]",Recommended figure,Disaster,total,4,2025-11-01,2025-11-01,2025-11-01,2025,36984,Nepal: Flood - Khotang - 01/11/2025,,,2025-11-01,2025-11-01,Weather related,Hydrological,Flood,Flood,,Nepal Disaster Risk Reduction Portal,,"Khotang, Sagarmatha, Eastern Development Region, Nepal","27.15543, 86.679893",District/Zone/Department (ADM2),Origin,,2025-11-17T09:23:39.430889Z,"Nepal: 4 displacements (destroyed housing), 01 November - 01 November. According to government, a total of 1 household were displaced due to destroyed housing in Khotang, Sagarmatha, Eastern Development Region, Nepal due to flood on 1 November. Nepal Disaster Risk Reduction Portal - 11 November 2025",,Flood
207605,Nepal,NPL,27.107361,85.069298,"[27.107361, 85.069298]",Recommended figure,Disaster,total,4,2025-10-31,2025-10-31,2025-10-31,2025,36983,"Nepal: Flood - Bara, Pyuthan and Sarlahi - 31/10/2025",,,2025-10-31,2025-10-31,Weather related,Hydrological,Flood,Flood,,Nepal Disaster Risk Reduction Portal,,"Bara, Narayani, Central Development Region, Nepal","27.107361, 85.069298",District/Zone/Department (ADM2),Origin,,2025-11-17T09:23:39.011986Z,"Nepal: 4 displacements (destroyed housing), 31 October - 31 October. A total of 1 household were displaced due to destroyed housing due to flood on 31 October in Bara, Narayani, Central Development Region, Nepal, according to government. Nepal Disaster Risk Reduction Portal - 11 November 2025",,Flood
207609,Nepal,NPL,27.8825,83.927902,"[27.8825, 83.927902]",Recommended figure,Disaster,total,4,2025-10-31,2025-10-31,2025-10-31,2025,36983,"Nepal: Flood - Bara, Pyuthan and Sarlahi - 31/10/2025",,,2025-10-31,2025-10-31,Weather related,Hydrological,Flood,Flood,,Nepal Disaster Risk Reduction Portal,,"Sarlahi, Sankhar, Chapakot, Syangja, Gandaki, Western Development Region, Nepal","27.8825, 83.927902",County/City/town/Village/Woreda (ADM3),Origin,,2025-11-17T09:23:39.282752Z,"Nepal: 4 displacements (destroyed housing), 31 October - 31 October. According to government, a total of 1 household were displaced due to destroyed housing in Sarlahi, Sankhar, Chapakot, Syangja, Gandaki, Western Development Region, Nepal due to flood on 31 October Nepal Disaster Risk Reduction Portal - 11 November 2025",,Flood
207607,Nepal,NPL,28.12105,82.858231,"[28.12105, 82.858231]",Recommended figure,Disaster,total,4,2025-10-31,2025-10-31,2025-10-31,2025,36983,"Nepal: Flood - Bara, Pyuthan and Sarlahi - 31/10/2025",,,2025-10-31,2025-10-31,Weather related,Hydrological,Flood,Flood,,Nepal Disaster Risk Reduction Portal,,"Pyuthan, Pyuthan, Rapti, Mid-Western Development Region, Nepal","28.12105, 82.858231",County/City/town/Village/Woreda (ADM3),Origin,,2025-11-17T09:23:39.149580Z,"Nepal: 4 displacements (destroyed housing), 31 October - 31 October. According to government, a total of 1 household were displaced due to destroyed housing in Pyuthan, Pyuthan, Rapti, Mid-Western Development Region, Nepal due to flood on 31 October Nepal Disaster Risk Reduction Portal - 11 November 2025",,Flood
207602,Nepal,NPL,27.130899,87.532997,"[27.130899, 87.532997]",Recommended figure,Disaster,total,4,2025-10-29,2025-10-29,2025-10-29,2025,36982,Nepal: Flood - Terhathum - 29/10/2025,,,2025-10-29,2025-10-29,Weather related,Hydrological,Flood,Flood,,Nepal Disaster Risk Reduction Portal,,"Tehrathum, Myanglung, Myanglung, Tehrathum, Koshi, Eastern Development Region, Nepal","27.130899, 87.532997",Point,Origin,,2025-11-17T09:17:24.132801Z,"Nepal: 4 displacements (destroyed housing), 29 October - 29 October. According to government, a total of 1 household were displaced due to destroyed housing in Tehrathum, Myanglung, Myanglung, Tehrathum, Koshi, Eastern Development Region, Nepal due to flood on 29 October Nepal Disaster Risk Reduction Portal - 11 November 2025",,Flood
207597,Nepal,NPL,26.881969,86.036682,"[26.881969, 86.036682]",Recommended figure,Disaster,total,9,2025-10-06,2025-10-06,2025-10-06,2025,36980,Nepal: Flood - Dhanusha and Udayapur - 06/10/2025,,,2025-10-06,2025-10-06,Weather related,Hydrological,Flood,Flood,,Nepal Disaster Risk Reduction Portal,,"Dhanusadham, Dhanusa, Janakpur, Central Development Region, Nepal","26.881969, 86.036682",County/City/town/Village/Woreda (ADM3),Origin,,2025-11-17T09:12:24.061812Z,"Nepal: 9 displacements (destroyed housing), 06 October - 06 October. A total of 2 households were displaced due to destroyed housing due to flood on 6 October in Dhanusadham, Dhanusa, Janakpur, Central Development Region, Nepal, according to government. Nepal Disaster Risk Reduction Portal - 11 November 2025",,Flood
207599,Nepal,NPL,27.576229,82.899597,"[27.576229, 82.899597]",Recommended figure,Disaster,total,4,2025-10-06,2025-10-06,2025-10-06,2025,36980,Nepal: Flood - Dhanusha and Udayapur - 06/10/2025,,,2025-10-06,2025-10-06,Weather related,Hydrological,Flood,Flood,,Nepal Disaster Risk Reduction Portal,,"Udayapur, Kapilvastu, Lumbini, Western Development Region, Nepal","27.576229, 82.899597",County/City/town/Village/Woreda (ADM3),Origin,,2025-11-17T09:12:24.199724Z,"Nepal: 4 displacements (destroyed housing), 06 October - 06 October. A total of 1 household were displaced due to destroyed housing due to flood on 6 October in Udayapur, Kapilvastu, Lumbini, Western Development Region, Nepal, according to government. Nepal Disaster Risk Reduction Portal - 11 November 2025",,Flood
207577,Nepal,NPL,27.107361,85.069298,"[27.107361, 85.069298]",Recommended figure,Disaster,total,9,2025-10-05,2025-10-05,2025-10-05,2025,36979,Nepal: Flood - Multiple Districts - 05/10/2025,,,2025-10-05,2025-10-05,Weather related,Hydrological,Flood,Flood,,Nepal Disaster Risk Reduction Portal,,"Bara, Narayani, Central Development Region, Nepal","27.107361, 85.069298",District/Zone/Department (ADM2),Origin,,2025-11-17T08:55:22.326036Z,"Nepal: 9 displacements (destroyed housing), 05 October - 05 October. According to government, a total of 2 households were displaced due to destroyed housing in Bara, Narayani, Central Development Region, Nepal due to flood on 5 October Nepal Disaster Risk Reduction Portal - 11 November 2025",,Flood
207579,Nepal,NPL,27.70433,85.452118,"[27.70433, 85.452118]",Recommended figure,Disaster,total,4,2025-10-05,2025-10-05,2025-10-05,2025,36979,Nepal: Flood - Multiple Districts - 05/10/2025,,,2025-10-05,2025-10-05,Weather related,Hydrological,Flood,Flood,,Nepal Disaster Risk Reduction Portal,,"Bhaktapur, Chhaling, Changunarayan, Bhaktapur, Bagmati, Central Development Region, Nepal","27.70433, 85.452118",County/City/town/Village/Woreda (ADM3),Origin,,2025-11-17T09:03:27.886455Z,"Nepal: 4 displacements (destroyed housing), 05 October - 05 October. A total of 1 household were displaced due to destroyed housing due to flood on 5 October in Bhaktapur, Chhaling, Changunarayan, Bhaktapur, Bagmati, Central Development Region, Nepal, according to government. Nepal Disaster Risk Reduction Portal - 11 November 2025",,Flood
207583,Nepal,NPL,26.983141,87.324768,"[26.983141, 87.324768]",Recommended figure,Disaster,total,13,2025-10-05,2025-10-05,2025-10-05,2025,36979,Nepal: Flood - Multiple Districts - 05/10/2025,,,2025-10-05,2025-10-05,Weather related,Hydrological,Mass Movement,Landslide/Wet mass movement,,Nepal Disaster Risk Reduction Portal,,"Dhankuta, Dhankuta, Koshi, Eastern Development Region, Nepal","26.983141, 87.324768",County/City/town/Village/Woreda (ADM3),Origin,,2025-11-17T09:03:28.143199Z,"Nepal: 13 displacements (destroyed housing), 05 October - 05 October. Landslide/wet mass movement resulted in a total of 3 households being displaced due to destroyed housing in Dhankuta, Dhankuta, Koshi, Eastern Development Region, Nepal on 5 October, according to government. Nepal Disaster Risk Reduction Portal - 11 November 2025",,Mass Movement
207585,Nepal,NPL,26.898729,87.929497,"[26.898729, 87.929497]",Recommended figure,Disaster,total,51,2025-10-05,2025-10-05,2025-10-05,2025,36979,Nepal: Flood - Multiple Districts - 05/10/2025,,,2025-10-05,2025-10-05,Weather related,Hydrological,Mass Movement,Landslide/Wet mass movement,,Nepal Disaster Risk Reduction Portal,,"Ilam, Ilam, Mechi, Eastern Development Region, Nepal","26.898729, 87.929497",County/City/town/Village/Woreda (ADM3),Origin,,2025-11-17T09:03:28.273257Z,"Nepal: 51 displacements (destroyed housing), 05 October - 05 October. According to government, a total of 12 households were displaced due to destroyed housing in Ilam, Ilam, Mechi, Eastern Development Region, Nepal due to landslide/wet mass movement on 5 October Nepal Disaster Risk Reduction Portal - 11 November 2025",,Mass Movement
207587,Nepal,NPL,28.22854,83.850197,"[28.22854, 83.850197]",Recommended figure,Disaster,total,4,2025-10-05,2025-10-05,2025-10-05,2025,36979,Nepal: Flood - Multiple Districts - 05/10/2025,,,2025-10-05,2025-10-05,Weather related,Hydrological,Flood,Flood,,Nepal Disaster Risk Reduction Portal,,"Makanpur, Pokhara Lekhnath Metropolitan Ward No. 23, Pokhara Lekhnath Metropolitan, Kaski, Gandaki, Western Development Region, Nepal","28.22854, 83.850197",County/City/town/Village/Woreda (ADM3),Origin,,2025-11-17T09:08:19.542934Z,"Nepal: 4 displacements (destroyed housing), 05 October - 05 October. A total of 1 household were displaced due to destroyed housing due to flood on 5 October in Makanpur, Pokhara Lekhnath Metropolitan Ward No. 23, Pokhara Lekhnath Metropolitan, Kaski, Gandaki, Western Development Region, Nepal, according to government. Nepal Disaster Risk Reduction Portal - 11 November 2025",,Flood
207589,Nepal,NPL,28.12105,82.858231,"[28.12105, 82.858231]",Recommended figure,Disaster,total,4,2025-10-05,2025-10-05,2025-10-05,2025,36979,Nepal: Flood - Multiple Districts - 05/10/2025,,,2025-10-05,2025-10-05,Weather related,Hydrological,Mass Movement,Landslide/Wet mass movement,,Nepal Disaster Risk Reduction Portal,,"Pyuthan, Pyuthan, Rapti, Mid-Western Development Region, Nepal","28.12105, 82.858231",County/City/town/Village/Woreda (ADM3),Origin,,2025-11-17T09:08:19.649025Z,"Nepal: 4 displacements (destroyed housing), 05 October - 05 October. Landslide/wet mass movement resulted in a total of 1 household being displaced due to destroyed housing in Pyuthan, Pyuthan, Rapti, Mid-Western Development Region, Nepal on 5 October, according to government. Nepal Disaster Risk Reduction Portal - 11 November 2025",,Mass Movement
207591,Nepal,NPL,26.607161,86.749382,"[26.607161, 86.749382]",Recommended figure,Disaster,total,4,2025-10-05,2025-10-05,2025-10-05,2025,36979,Nepal: Flood - Multiple Districts - 05/10/2025,,,2025-10-05,2025-10-05,Weather related,Hydrological,Flood,Flood,,Nepal Disaster Risk Reduction Portal,,"Saptari, Sagarmatha, Eastern Development Region, Nepal","26.607161, 86.749382",District/Zone/Department (ADM2),Origin,,2025-11-17T09:08:19.747489Z,"Nepal: 4 displacements (destroyed housing), 05 October - 05 October. A total of 1 household were displaced due to destroyed housing due to flood on 5 October in Saptari, Sagarmatha, Eastern Development Region, Nepal, according to government. Nepal Disaster Risk Reduction Portal - 11 November 2025",,Flood
