id,country,iso3,latitude,longitude,centroid,role,displacement_type,qualifier,figure,displacement_date,displacement_start_date,displacement_end_date,year,event_id,event_name,event_codes,event_code_types,event_start_date,event_end_date,category,subcategory,type,subtype,old_id,sources,source_url,locations_name,locations_coordinates,locations_accuracy,locations_type,displacement_occurred,created_at,description,link,combined_type
215251,Niger,NER,13.3337,3.6214,"[13.3337, 3.6214]",Recommended figure,Conflict,total,1659,2025-11-21,2025-11-21,2025-11-21,2025,37207,Niger: Non-International armed conflict (NIAC) - Dosso (ner003-falmey zarma-acf-2025_11_24) - 21/11/2025,ner003-falmey zarma-acf-2025_11_24,Local Identifier,2025-11-21,2025-11-21,,,,,,Rapid Response Mechanism,,"Dosso, Niger","13.3337, 3.6214",State/Region/Province (ADM1),Destination,Displacement without preventive evacuations reported,2025-12-09T11:25:01.411287Z,"Niger: 1,659 displacements, 21 November - 21 November. According to RRM Niger, 1659 new internal displacement from Falmey department (Dosso region) towards FALMEY ZARMA (Falmey commune & department, Dosso region) were recorded due NSAG attacks on 21 November 2025. Rapid Response Mechanism - 03 December 2025",,Conflict
214809,Niger,NER,15.7133,13.194569999999999,"[15.7133, 13.194569999999999]",Recommended figure,Conflict,total,1825,2025-11-11,2025-11-11,2025-11-11,2025,37198,Niger: Non-International armed conflict (NIAC) - Diffa (ner002-n'guigmi-drc-2025_11_24) - 11/11/2025,ner002-n'guigmi-drc-2025_11_24,Local Identifier,2025-11-11,2025-11-11,,,,,,Rapid Response Mechanism,,"Diffa, Niger; N’Guigmi, Diffa, Niger","15.52953, 13.1154; 15.89707, 13.27374",State/Region/Province (ADM1); District/Zone/Department (ADM2),Origin; Destination,Displacement without preventive evacuations reported,2025-12-04T00:55:52.587391Z,"Niger: 1,825 displacements, 11 November - 11 November. According to RRM Niger, 1825 new internal displacement from Djana (Commune of Nguigmi, Diffa region) towards N'GUIGMI (N'GUIGMI department, Diffa region) were recorded due to NSAG incursions, threats & ultimatum on 11 November 2025. Rapid Response Mechanism - 03 December 2025",,Conflict
215254,Niger,NER,16.157669,5.32827,"[16.157669, 5.32827]",Recommended figure,Conflict,total,2627,2025-11-07,2025-11-07,2025-11-07,2025,37212,Niger: Non-International armed conflict (NIAC) - Tahoua (ner005-telemces-acf-2025_11_08) - 07/11/2025,ner005-telemces-acf-2025_11_08,Local Identifier,2025-11-07,2025-11-07,,,,,,Rapid Response Mechanism,,"Tahoua, Niger","16.157669, 5.32827",State/Region/Province (ADM1),Origin and destination,Displacement without preventive evacuations reported,2025-12-09T12:16:51.869552Z,"Niger: 2,627 displacements, 07 November - 07 November. According to RRM Niger, 2627 new internal displacement from Tahoua towards TELEMCES (Tillia commune and department, Tahoua region) were recorded due to NSAG incursions, threats & ultimatum on 07 November 2025. Rapid Response Mechanism - 03 December 2025",,Conflict
215250,Niger,NER,13.3337,3.6214,"[13.3337, 3.6214]",Recommended figure,Conflict,total,904,2025-11-06,2025-11-06,2025-11-06,2025,37206,Niger: Non-International armed conflict (NIAC) - Dosso (ner003-kouassi peulh haoussa-acf-2025_11_24) - 06/11/2025,ner003-kouassi peulh haoussa-acf-2025_11_24,Local Identifier,2025-11-06,2025-11-06,,,,,,Rapid Response Mechanism,,"Dosso, Niger","13.3337, 3.6214",State/Region/Province (ADM1),Destination,Displacement without preventive evacuations reported,2025-12-09T11:07:58.335251Z,"Niger: 904 displacements, 06 November - 06 November. According to RRM Niger, 904 new internal displacement towards KOUASSI PEULH HAOUSSA (Falmey commune & department, Dosso region) were recorded due NSAG attacks on 06 November 2025. Rapid Response Mechanism - 03 December 2025",,Conflict
218493,Niger,NER,14.659035,12.820039999999999,"[14.659035, 12.820039999999999]",Recommended figure,Conflict,total,474,2025-10-29,2025-10-29,2025-10-29,2025,37213,Niger: Non-International armed conflict (NIAC) - Diffa (ner002-n'guigmi-unicef-2025_11_03) - 29/10/2025,ner002-n'guigmi-unicef-2025_11_03,Local Identifier,2025-10-29,2025-10-29,,,,,,Rapid Response Mechanism,,"N'Guel Kolo, Diffa, Diffa, Niger; N’Guigmi, Diffa, Niger","13.421, 12.36634; 15.89707, 13.27374",County/City/town/Village/Woreda (ADM3); District/Zone/Department (ADM2),Origin; Destination,Displacement without preventive evacuations reported,2025-12-19T00:43:27.691678Z,"Niger: 474 displacements, 29 October - 29 October. According to RRM Niger, an additional 474 displacements from Nguel Kollo (Diffa region) towards N'GUIGMI (N'GUIGMI commune & department, Diffa region) were recorded due NSAG attacks on 29 October 2025. Rapid Response Mechanism - 03 December 2025",,Conflict
215255,Niger,NER,14.659035,12.820039999999999,"[14.659035, 12.820039999999999]",Recommended figure,Conflict,total,560,2025-10-29,2025-10-29,2025-10-29,2025,37213,Niger: Non-International armed conflict (NIAC) - Diffa (ner002-n'guigmi-unicef-2025_11_03) - 29/10/2025,ner002-n'guigmi-unicef-2025_11_03,Local Identifier,2025-10-29,2025-10-29,,,,,,Rapid Response Mechanism,,"N'Guel Kolo, Diffa, Diffa, Niger; N’Guigmi, Diffa, Niger","13.421, 12.36634; 15.89707, 13.27374",County/City/town/Village/Woreda (ADM3); District/Zone/Department (ADM2),Origin; Destination,Displacement without preventive evacuations reported,2025-12-09T12:50:16.028153Z,"Niger: 560 displacements, 29 October - 29 October. According to RRM Niger, 560 new internal displacement from N'Guel Kolo ( Diffa region) towards N'GUIGMI (N'GUIGMI department, Diffa region) were recorded due to NSAG attacks, incursions, threats & ultimatum on 29 October 2025. Rapid Response Mechanism - 03 December 2025",,Conflict
214808,Niger,NER,15.89707,13.27374,"[15.89707, 13.27374]",Recommended figure,Conflict,total,2027,2025-10-27,2025-10-27,2025-10-27,2025,37197,Niger: Non-International armed conflict (NIAC) - Diffa (ner002-n'guigmi-drc-2025_12_02) - 27/10/2025,ner002-n'guigmi-drc-2025_12_02,Local Identifier,2025-10-27,2025-10-27,,,,,,Rapid Response Mechanism,,"N’Guigmi, Diffa, Niger","15.89707, 13.27374",District/Zone/Department (ADM2),Destination,Displacement without preventive evacuations reported,2025-12-04T00:19:55.239790Z,"Niger: 2,027 displacements, 27 October - 27 October. According to RRM Niger, 2027 new internal displacement towards N'GUIGMI (N'GUIGMI department, Diffa region) were recorded due to NSAG incursions, threats & ultimatum on 27 October 2025. Rapid Response Mechanism - 03 December 2025",,Conflict
215252,Niger,NER,13.421,12.36634,"[13.421, 12.36634]",Recommended figure,Conflict,total,392,2025-10-25,2025-10-25,2025-10-25,2025,37208,Niger: Non-International armed conflict (NIAC) - N’Gachappé (ner002-n'guel kolo-irc-2025_11_12) - 25/10/2025,ner002-n'guel kolo-irc-2025_11_12,Local Identifier,2025-10-25,2025-10-25,,,,,,Rapid Response Mechanism,,"N'Guel Kolo, Diffa, Diffa, Niger","13.421, 12.36634",County/City/town/Village/Woreda (ADM3),Destination,Displacement without preventive evacuations reported,2025-12-09T11:39:38.342882Z,"Niger: 392 displacements, 25 October - 25 October. According to RRM Niger, 392 new internal displacement towards N'GUEL KOLO (Chetimari commune, Diffa department and region) were recorded due NSAG attacks, incursion, kidnapping on 25 October 2025. Rapid Response Mechanism - 03 December 2025",,Conflict
215253,Niger,NER,15.09336,13.134755,"[15.09336, 13.134755]",Recommended figure,Conflict,total,7210,2025-10-14,2025-10-14,2025-10-14,2025,37209,Niger: Non-International armed conflict (NIAC) - Diffa (ner002-birzoweya-drc-2025_11_10) - 14/10/2025,ner002-birzoweya-drc-2025_11_10,Local Identifier,2025-10-14,2025-10-15,,,,,,Rapid Response Mechanism,,"Birzoweya, N’Guigmi, Diffa, Niger; N’Guigmi, Diffa, Niger","14.28965, 12.99577; 15.89707, 13.27374",County/City/town/Village/Woreda (ADM3); District/Zone/Department (ADM2),Destination; Origin,Displacement without preventive evacuations reported,2025-12-09T12:04:47.956166Z,"Niger: 7,210 displacements, 14 October - 14 October. According to RRM Niger, 7210 new internal displacement from Bonégrale Arabe (Nguigmi Commune and Department, Diffa region) towards BIRZOWEYA (N'GUIGMI Ccommune and department, Diffa region) were recorded due to NSAG attacks on 14 October 2025. Rapid Response Mechanism - 03 December 2025",,Conflict
218492,Niger,NER,13.56588,12.874089999999999,"[13.56588, 12.874089999999999]",Recommended figure,Conflict,total,4900,2025-10-14,2025-10-14,2025-10-14,2025,37667,Niger: Non-International armed conflict (NIAC) - Diffa (ner002-n'gagam-irc-2025_11_10) - 14/10/2025,ner002-n'gagam-irc-2025_11_10,Local Identifier,2025-10-14,2025-10-14,,,,,,Rapid Response Mechanism,,"Gueskerou, Diffa, Diffa, Niger; Malam Adjimiri (Garin Wanzam), Diffa, Diffa, Niger","13.486, 12.84285; 13.64576, 12.90533",County/City/town/Village/Woreda (ADM3); County/City/town/Village/Woreda (ADM3),Destination; Origin,Displacement without preventive evacuations reported,2025-12-18T23:03:24.083756Z,"Niger: 4,900 displacements, 14 October - 14 October. According to RRM Niger, 4900 new internal displacements from Garin Wanzam (Diffa department and region) towards N'gagam (N'gagam commune, Gueskerou department, Diffa region) were recorded due to NSAG incursions, threats & ultimatum on 14 October 2025. Rapid Response Mechanism - 03 December 2025",,Conflict
