id,country,iso3,latitude,longitude,centroid,role,displacement_type,qualifier,figure,displacement_date,displacement_start_date,displacement_end_date,year,event_id,event_name,event_codes,event_code_types,event_start_date,event_end_date,category,subcategory,type,subtype,old_id,sources,source_url,locations_name,locations_coordinates,locations_accuracy,locations_type,displacement_occurred,created_at,description,link,combined_type
224495,Nigeria,NGA,7.61491,8.82373,"[7.61491, 8.82373]",Recommended figure,Disaster,total,290,2026-01-21,2026-01-21,2026-01-21,2026,39190,Nigeria: Wildfire - Benue (Tarka LGA/ Mbalkyo/Mbayia ward/ Igbetiv) - 21/01/2026,,,2026-01-21,2026-01-21,Weather related,Climatological,Wildfire,Wildfire,,IOM DTM - Nigeria,,"Tarka, Benue, Nigeria","7.61491, 8.82373",District/Zone/Department (ADM2),Origin,Displacement without preventive evacuations reported,2026-01-28T13:54:51.267406Z,"Nigeria: 290 displacements, 21 January - 21 January. According to IOM DTM - Nigeria, a total of 290 people were displaced in Igbetiv (Mbalkyo/Mbayia ward, Tarka LGA, Benue State), due to wildfire on 21 January 2026. IOM DTM - Nigeria - 26 January 2026",,Wildfire
224496,Nigeria,NGA,11.965185,7.4922249999999995,"[11.965185, 7.4922249999999995]",Recommended figure,Conflict,total,618,2026-01-21,2026-01-21,2026-01-21,2026,39191,"Nigeria: Crime-related violence - Katsina (Kankara LGA/ Kankara A & B ward/ Kunyan Gizo, Musawa LGA/ Tuge ward/Gidan Sarki) - 21/01/2026",,,2026-01-21,2026-01-21,,,,,,IOM DTM - Nigeria,,"Kankara, Kankara, Katsina, Nigeria; Tuge, Musawa, Katsina, Nigeria","11.91462, 7.40744; 12.01575, 7.57701",District/Zone/Department (ADM2); District/Zone/Department (ADM2),Origin and destination; Origin and destination,Displacement without preventive evacuations reported,2026-01-28T14:29:06.852262Z,"Nigeria: 618 displacements, 21 January - 21 January. According to IOM DTM Nigeria, a total of 618 people were displaced from Kunyan Gizo (Kankara A & B ward, Kankara LGA, Katsina State) and Gidan Sarki (Tuge ward, Musawa LGA, Katsina State) to Kankara A & B (Kankara LGA, Katsina State) and Tuge (Musawa LGA, Katsina State), respectively, due to crime-related violence on 21 January 2026. IOM DTM - Nigeria - 28 January 2026",,Conflict
224494,Nigeria,NGA,7.841895,8.844525,"[7.841895, 8.844525]",Recommended figure,Conflict,total,167,2026-01-20,2026-01-20,2026-01-20,2026,39189,Nigeria: Communal violence - Benue (Guma LGA/ Nzorov ward/ Tomanyiin) - 20/01/2026,,,2026-01-20,2026-01-20,,,,,,IOM DTM - Nigeria,,"Gbajimba, Guma, Benue, Nigeria; Guma, Benue, Nigeria","7.8155, 8.8604; 7.86829, 8.82865",County/City/town/Village/Woreda (ADM3); District/Zone/Department (ADM2),Destination; Origin,Displacement without preventive evacuations reported,2026-01-28T13:44:28.501503Z,"Nigeria: 167 displacements, 20 January - 20 January. According to IOM DTM - Nigeria, a total of 167 people were displaced in Tomanyiin (Nzorov ward, Guma LGA, Benue State), towards Gbajimba (Nzorov ward, Guma LGA, Benue State), due to communal violence on 20 January 2026. IOM DTM - Nigeria - 26 January 2026",,Conflict
220973,Nigeria,NGA,12.32903,6.657030000000001,"[12.32903, 6.657030000000001]",Recommended figure,Conflict,total,3226,2026-01-18,2026-01-15,2026-01-18,2026,39089,"Nigeria: Crime-related violence - Zamfara (Kaura Namoda LGA, Tsafe LGA) - 15/01/2026",,,2026-01-15,2026-01-18,,,,,,IOM DTM - Nigeria,,"Kungurki, Kaura Namoda, Zamfara, Nigeria; Kyambarawa, Kaura Namoda, Zamfara, Nigeria; Sabon Gari, Gusau, Zamfara, Nigeria; Tsafe, Zamfara, Nigeria; Yankaba, Kaura Namoda, Zamfara, Nigeria","12.59659, 6.49664; 12.41288, 6.63246; 12.1623, 6.67239; 11.82344, 6.90424; 12.64994, 6.57942",District/Zone/Department (ADM2); District/Zone/Department (ADM2); District/Zone/Department (ADM2); District/Zone/Department (ADM2); District/Zone/Department (ADM2),Origin; Origin and destination; Destination; Origin; Destination,Displacement without preventive evacuations reported,2026-01-21T11:14:09.814974Z,"Nigeria: 3,226 displacements, 15 January - 18 January. According to IOM DTM Nigeria, 3,226 people were displaced from Tudun Jala (Kyam Barawa ward, Kaura Namoda LGA), Unguwar Kara (Kungurki ward, Kaura Namoda LGA), Sabon Garin Tsafe, and Ruga Sabuwar (Tsafe ward, Tsafe LGA) towards Kasuwar Daji (Kyam Barawa ward, Kaura Namoda LGA), Yankaba (Yankaba ward), Yar Loko, Gidan Mallam Abasha, and Tashan Magami (Sabon Gari ward, Gusau LGA) in Zamfara State, due to crime-related violence on 15, 16, and 18 January 2026. IOM DTM - Nigeria - 20 January 2026",,Conflict
220187,Nigeria,NGA,13.2924225,6.01337,"[13.2924225, 6.01337]",Recommended figure,Conflict,total,16517,2026-01-12,2026-01-09,2026-01-12,2026,38028,"Nigeria: Non-International armed conflict (NIAC) - Sokoto (Isa LGA/ Tidibale Ward, Wurno LGA/ Achida Ward, Sabon Birni LGA/ Lajinge Ward) - 09/01/2026",,,2026-01-09,2026-01-12,,,,,,IOM DTM - Nigeria,,"Achida, Wurno, Sokoto, Nigeria; Isa North, Isa, Sokoto, Nigeria; Lajinge, Sabon Birni, Sokoto, Nigeria; Tidibale, Isa, Sokoto, Nigeria","13.16853, 5.40639; 13.21364, 6.39317; 13.57975, 6.14656; 13.20777, 6.10736",District/Zone/Department (ADM2); District/Zone/Department (ADM2); District/Zone/Department (ADM2); District/Zone/Department (ADM2),Origin and destination; Origin and destination; Origin and destination; Origin,Displacement without preventive evacuations reported,2026-01-20T11:33:37.575063Z,"Nigeria: 16,517 displacements, 09 January - 12 January. A total of 16,517 people were displaced by non-international armed conflict (NIAC) on 9 and 12 January 2026 from Tidibale (Isa LGA), Achida (Wurno LGA), and Lajinge (Sabon Birni LGA) wards in Sokoto State, towards Isa North LGA, Achida (Wurno LGA), and Lajinge (Sabon Birni LGA) wards, according to IOM DTM Nigeria. IOM DTM - Nigeria - 16 January 2026",,Conflict
240360,Nigeria,NGA,10.07817405,13.0202829,"[10.07817405, 13.0202829]",Recommended figure,Conflict,total,27,2025-12-31,2025-12-31,2025-12-31,2025,33602,Nigeria: Non-International armed conflict (NIAC) - Adamawa - 2025,,,2025-01-01,2025-12-31,,,,,,IOM DTM - Nigeria,,"Garha, Hong, Adamawa State, Nigeria; Sorau 'B', Maiha, Adamawa, Nigeria","10.4002594, 12.8895986; 9.7560887, 13.1509672",County/City/town/Village/Woreda (ADM3); County/City/town/Village/Woreda (ADM3),Origin; Destination,Displacement without preventive evacuations reported,2026-02-19T18:13:01.829347Z,"Nigeria: 27 displacements, 31 December - 31 December. According to IOM DTM, 27 new internal displacements have been recorded in Nigeria on 31 December 2025 as a result of Non-International armed conflict (NIAC). This figure might be preliminary. IOM DTM - Nigeria - 13 February 2026",,Conflict
238886,Nigeria,NGA,12.62256645,6.58288505,"[12.62256645, 6.58288505]",Recommended figure,Conflict,total,889,2025-12-31,2025-12-31,2025-12-31,2025,40135,Nigeria: Crime-related violence - Zamfara - 01/12/2025,CRIME_RELATED,Local Identifier,2025-12-01,2025-12-31,,,,,,IOM DTM - Nigeria,,"Kaura Namoda, Kaura Namoda, Zamfara, Nigeria; Yankaba, Kaura Namoda, Zamfara State, Nigeria","12.5951892, 6.5863469; 12.6499437, 6.5794232",County/City/town/Village/Woreda (ADM3); County/City/town/Village/Woreda (ADM3),Destination; Origin,Displacement without preventive evacuations reported,2026-02-19T10:21:36.958081Z,"Nigeria: 889 displacements, 31 December - 31 December. According to IOM DTM, 889 new internal displacements have been recorded in Nigeria between 31 December 2025 and 01 January 2026 as a result of Crime-related violence. This figure might be preliminary. IOM DTM - Nigeria - 03 December 2025",,Conflict
240359,Nigeria,NGA,10.2778497,12.8084393,"[10.2778497, 12.8084393]",Recommended figure,Conflict,total,971,2025-12-31,2025-12-31,2025-12-31,2025,33602,Nigeria: Non-International armed conflict (NIAC) - Adamawa - 2025,,,2025-01-01,2025-12-31,,,,,,IOM DTM - Nigeria,,"Garha, Hong, Adamawa State, Nigeria; Gombi, Gombi, Adamawa, Nigeria","10.4002594, 12.8895986; 10.15544, 12.72728",County/City/town/Village/Woreda (ADM3); County/City/town/Village/Woreda (ADM3),Origin; Destination,Displacement without preventive evacuations reported,2026-02-19T18:13:01.778777Z,"Nigeria: 971 displacements, 31 December - 31 December. According to IOM DTM, 971 new internal displacements have been recorded in Nigeria on 31 December 2025 as a result of Non-International armed conflict (NIAC). This figure might be preliminary. IOM DTM - Nigeria - 13 February 2026",,Conflict
240358,Nigeria,NGA,10.3179142,13.04335265,"[10.3179142, 13.04335265]",Recommended figure,Conflict,total,8,2025-12-31,2025-12-31,2025-12-31,2025,33602,Nigeria: Non-International armed conflict (NIAC) - Adamawa - 2025,,,2025-01-01,2025-12-31,,,,,,IOM DTM - Nigeria,,"Garha, Hong, Adamawa State, Nigeria; Yelwa, Mubi North, Adamawa, Nigeria","10.4002594, 12.8895986; 10.235569, 13.1971067",County/City/town/Village/Woreda (ADM3); County/City/town/Village/Woreda (ADM3),Origin; Destination,Displacement without preventive evacuations reported,2026-02-19T18:13:01.727740Z,"Nigeria: 8 displacements, 31 December - 31 December. According to IOM DTM, 8 new internal displacements have been recorded in Nigeria on 31 December 2025 as a result of Non-International armed conflict (NIAC). This figure might be preliminary. IOM DTM - Nigeria - 13 February 2026",,Conflict
240355,Nigeria,NGA,10.315176099999999,12.90794185,"[10.315176099999999, 12.90794185]",Triangulation,Conflict,total,3300,2025-12-30,2025-12-30,2025-12-30,2025,33602,Nigeria: Non-International armed conflict (NIAC) - Adamawa - 2025,,,2025-01-01,2025-12-31,,,,,,IOM DTM - Nigeria,,"Garha, Hong, Adamawa State, Nigeria; Hong, Hong, Adamawa, Nigeria","10.4002594, 12.8895986; 10.2300928, 12.9262851",County/City/town/Village/Woreda (ADM3); County/City/town/Village/Woreda (ADM3),Origin; Destination,Displacement without preventive evacuations reported,2026-02-19T18:13:01.550716Z,"Nigeria: 3,300 displacements, 30 December - 30 December. According to IOM DTM, 3300 new internal displacements have been recorded in Nigeria on 30 December 2025 as a result of Non-International armed conflict (NIAC). This figure might be preliminary. IOM DTM - Nigeria - 13 February 2026",,Conflict
