id,country,iso3,latitude,longitude,centroid,role,displacement_type,qualifier,figure,displacement_date,displacement_start_date,displacement_end_date,year,event_id,event_name,event_codes,event_code_types,event_start_date,event_end_date,category,subcategory,type,subtype,old_id,sources,source_url,locations_name,locations_coordinates,locations_accuracy,locations_type,displacement_occurred,created_at,description,link,combined_type
224901,Palestine,PSE,32.322861,35.221901,"[32.322861, 35.221901]",Recommended figure,Conflict,total,10,2025-12-31,2025-12-31,2025-12-31,2025,31145,Palestine: International armed conflict (IAC) - West Bank - 2025,,,2025-01-01,2025-12-31,,,,,,Office for the Coordination of Humanitarian Affairs (OCHA),,"Jaba, Jenin Governorate, Judea and Samaria, Palestinian Territories","32.322861, 35.221901",County/City/town/Village/Woreda (ADM3),Origin,Displacement without preventive evacuations reported,2026-02-04T09:39:40.973957Z,"Palestine: 10 displacements (evacuated), 31 December - 31 December. International armed conflict (iac) resulted in a total of 2 households being evacuated in Jaba, Jenin Governorate, Palestine on 31 December, according to Office for the Coordination of Humanitarian Affairs (OCHA). Office for the Coordination of Humanitarian Affairs (OCHA) - 07 January 2026",,Conflict
231546,Palestine,PSE,31.8,35.3,"[31.8, 35.3]",Triangulation,Conflict,total,10,2025-12-30,2025-12-30,2025-12-30,2025,31145,Palestine: International armed conflict (IAC) - West Bank - 2025,,,2025-01-01,2025-12-31,,,,,,Office for the Coordination of Humanitarian Affairs (OCHA),,"Al Quds, West Bank, Palestine","31.8, 35.3",State/Region/Province (ADM1),Origin,,2026-02-12T00:21:00.131162Z,"Palestine: 10 displacements (destroyed housing), 30 December - 30 December. According to the Office for the Coordination of Humanitarian Affairs (OCHA), one person was displaced by housing demolitions in between 30 December 2025 and 30 December 2025. Office for the Coordination of Humanitarian Affairs (OCHA) - 11 February 2026",,Conflict
224896,Palestine,PSE,32.40852,35.280762,"[32.40852, 35.280762]",Recommended figure,Conflict,total,75,2025-12-26,2025-12-26,2025-12-26,2025,31145,Palestine: International armed conflict (IAC) - West Bank - 2025,,,2025-01-01,2025-12-31,,,,,,Office for the Coordination of Humanitarian Affairs (OCHA),,"Qabatiya, Jenin Governorate, Judea and Samaria, Palestinian Territories","32.40852, 35.280762",County/City/town/Village/Woreda (ADM3),Origin,Displacement without preventive evacuations reported,2026-02-04T09:36:13.817266Z,"Palestine: 75 displacements, 26 December - 26 December. A total of 15 households were displaced due to international armed conflict (iac) on 26 December in Qabatiya, Jenin Governorate, Judea and Samaria, Palestinian Territories, according to Office for the Coordination of Humanitarian Affairs (OCHA). Office for the Coordination of Humanitarian Affairs (OCHA) - 07 January 2026",,Conflict
224890,Palestine,PSE,32.40852,35.280762,"[32.40852, 35.280762]",Recommended figure,Conflict,total,5,2025-12-26,2025-12-26,2025-12-26,2025,31145,Palestine: International armed conflict (IAC) - West Bank - 2025,,,2025-01-01,2025-12-31,,,,,,Office for the Coordination of Humanitarian Affairs (OCHA),,"Qabatiya, Jenin Governorate, Judea and Samaria, Palestinian Territories","32.40852, 35.280762",County/City/town/Village/Woreda (ADM3),Origin,Displacement without preventive evacuations reported,2026-02-04T09:25:59.344345Z,"Palestine: 5 displacements, 26 December - 26 December. According to Office for the Coordination of Humanitarian Affairs (OCHA), a total of 5 people were displaced in Qabatiya, Jenin Governorate, Palestine due to international armed conflict (iac) on 26 December Office for the Coordination of Humanitarian Affairs (OCHA) - 07 January 2026",,Conflict
224898,Palestine,PSE,32.1908,35.32328,"[32.1908, 35.32328]",Triangulation,Conflict,total,22,2025-12-28,2025-12-25,2025-12-28,2025,39253,Palestine: Communal violence - Nablus - 25/12/2025,,,2025-12-25,2025-12-28,,,,,,Office for the Coordination of Humanitarian Affairs (OCHA),,"Nablus Governorate, Judea and Samaria, Palestinian Territories","32.1908, 35.32328",District/Zone/Department (ADM2),Origin,Displacement without preventive evacuations reported,2026-02-04T09:36:13.968264Z,"Palestine: 22 displacements, 25 December - 28 December. Communal violence resulted in a total of 22 people being displaced in Khirbet Yanun, Nablus governorate on 25 December, according to Office for the Coordination of Humanitarian Affairs (OCHA). Office for the Coordination of Humanitarian Affairs (OCHA) - 07 January 2026",,Conflict
231543,Palestine,PSE,31.7053821,35.2024425,"[31.7053821, 35.2024425]",Triangulation,Conflict,total,13,2025-12-25,2025-12-25,2025-12-25,2025,31145,Palestine: International armed conflict (IAC) - West Bank - 2025,,,2025-01-01,2025-12-31,,,,,,Office for the Coordination of Humanitarian Affairs (OCHA),,Bethlehem,"31.7053821, 35.2024425",State/Region/Province (ADM1),Origin,,2026-02-12T00:20:59.938523Z,"Palestine: 13 displacements (destroyed housing), 25 December - 25 December. According to the Office for the Coordination of Humanitarian Affairs (OCHA), one person was displaced by housing demolitions in between 25 December 2025 and 25 December 2025. Office for the Coordination of Humanitarian Affairs (OCHA) - 11 February 2026",,Conflict
231539,Palestine,PSE,32.2226678,35.2621461,"[32.2226678, 35.2621461]",Triangulation,Conflict,total,4,2025-12-24,2025-12-24,2025-12-24,2025,31145,Palestine: International armed conflict (IAC) - West Bank - 2025,,,2025-01-01,2025-12-31,,,,,,Office for the Coordination of Humanitarian Affairs (OCHA),,Nablus,"32.2226678, 35.2621461",State/Region/Province (ADM1),Origin,,2026-02-12T00:20:59.718677Z,"Palestine: 4 displacements (destroyed housing), 24 December - 24 December. According to the Office for the Coordination of Humanitarian Affairs (OCHA), one person was displaced by housing demolitions in between 24 December 2025 and 24 December 2025. Office for the Coordination of Humanitarian Affairs (OCHA) - 11 February 2026",,Conflict
231541,Palestine,PSE,31.8,35.3,"[31.8, 35.3]",Triangulation,Conflict,total,27,2025-12-24,2025-12-24,2025-12-24,2025,31145,Palestine: International armed conflict (IAC) - West Bank - 2025,,,2025-01-01,2025-12-31,,,,,,Office for the Coordination of Humanitarian Affairs (OCHA),,"Al Quds, West Bank, Palestine","31.8, 35.3",State/Region/Province (ADM1),Origin,,2026-02-12T00:20:59.826693Z,"Palestine: 27 displacements (destroyed housing), 24 December - 24 December. According to the Office for the Coordination of Humanitarian Affairs (OCHA), one person was displaced by housing demolitions in between 24 December 2025 and 24 December 2025. Office for the Coordination of Humanitarian Affairs (OCHA) - 11 February 2026",,Conflict
231538,Palestine,PSE,31.8,35.3,"[31.8, 35.3]",Triangulation,Conflict,total,50,2025-12-22,2025-12-22,2025-12-22,2025,31145,Palestine: International armed conflict (IAC) - West Bank - 2025,,,2025-01-01,2025-12-31,,,,,,Office for the Coordination of Humanitarian Affairs (OCHA),,"Al Quds, West Bank, Palestine","31.8, 35.3",State/Region/Province (ADM1),Origin,,2026-02-12T00:20:59.663746Z,"Palestine: 50 displacements (destroyed housing), 22 December - 22 December. According to the Office for the Coordination of Humanitarian Affairs (OCHA), one person was displaced by housing demolitions in between 22 December 2025 and 22 December 2025. Office for the Coordination of Humanitarian Affairs (OCHA) - 11 February 2026",,Conflict
222646,Palestine,PSE,31.43317,34.37793,"[31.43317, 34.37793]",Recommended figure,Conflict,total,7072,2025-12-31,2025-12-21,2025-12-31,2025,30896,Palestine:  International armed conflict (IAC) (Hostilities Gaza/Israel) - Gaza Strip - 2025,,,2025-01-01,2025-12-31,,,,,,Site Management Cluster - Palestine,,"Gaza Strip, Palestinian Territories","31.43317, 34.37793",Point,Origin,Displacement without preventive evacuations reported,2026-01-22T11:25:07.355155Z,"Palestine: 7,072 displacements, 21 December - 31 December. International armed conflict (iac) resulted in a total of 7072 displacements in the Gaza Strip, Palestine, between 21 December and 3 January, according to Shelter Cluster Palestine. Site Management Cluster - Palestine - 05 January 2026",,Conflict
