id,country,iso3,latitude,longitude,centroid,role,displacement_type,qualifier,figure,displacement_date,displacement_start_date,displacement_end_date,year,event_id,event_name,event_codes,event_code_types,event_start_date,event_end_date,category,subcategory,type,subtype,old_id,sources,source_url,locations_name,locations_coordinates,locations_accuracy,locations_type,displacement_occurred,created_at,description,link,combined_type
225514,South Sudan,SSD,7.79282,33.003139,"[7.79282, 33.003139]",Recommended figure,Conflict,more than or equal to,11800,2026-02-03,2026-01-01,2026-02-03,2026,39313,South Sudan: Non-International armed conflict (NIAC) - Countrywide - 2026,,,2026-01-01,2026-01-19,,,,,,Office for the Coordination of Humanitarian Affairs (OCHA); The South Sudan Relief and Rehabilitation Commission (SSRRC),,"Akobo, Jonglei, South Sudan","7.79282, 33.003139",County/City/town/Village/Woreda (ADM3),Origin,Displacement without preventive evacuations reported,2026-02-04T15:37:36.908090Z,"South Sudan: 11,800 displacements, 01 January - 03 February. According to Relief and Rehabilitation Commission (RRC) cited by OCHA, more than 11,800 people were internally displaced from Akobo County, Jonglei State between January and February due to non-international armed conflict. Office for the Coordination of Humanitarian Affairs (OCHA) - 03 February 2026",,Conflict
225515,South Sudan,SSD,9.33746,31.407881,"[9.33746, 31.407881]",Recommended figure,Conflict,more than or equal to,4068,2026-02-03,2026-01-01,2026-02-03,2026,39313,South Sudan: Non-International armed conflict (NIAC) - Countrywide - 2026,,,2026-01-01,2026-01-19,,,,,,Office for the Coordination of Humanitarian Affairs (OCHA); The South Sudan Relief and Rehabilitation Commission (SSRRC),,"Pigi, Jonglei, South Sudan","9.33746, 31.407881",County/City/town/Village/Woreda (ADM3),Origin,Displacement without preventive evacuations reported,2026-02-04T15:42:20.878453Z,"South Sudan: 4,068 displacements, 01 January - 03 February. According to Relief and Rehabilitation Commission (RRC) cited by OCHA, more than 4,068 people were internally displaced from Canal/Pigi County, Jonglei State between January and February due to non-international armed conflict. Office for the Coordination of Humanitarian Affairs (OCHA) - 03 February 2026",,Conflict
226490,South Sudan,SSD,9.06367,33.433331,"[9.06367, 33.433331]",Recommended figure,Conflict,approximately,13000,2026-01-31,2026-01-01,2026-01-31,2026,39313,South Sudan: Non-International armed conflict (NIAC) - Countrywide - 2026,,,2026-01-01,2026-01-19,,,,,,Office for the Coordination of Humanitarian Affairs (OCHA),,"Longchok, Upper Nile, South Sudan","9.06367, 33.433331",Point,Origin,Displacement without preventive evacuations reported,2026-02-09T08:52:37.860994Z,"South Sudan: 13,000 displacements, 01 January - 31 January. According to OCHA, approximately 13,000 people were internally displaced in Longochuk County, Upper Nile State in January due to non-international armed conflict. Office for the Coordination of Humanitarian Affairs (OCHA) - 06 February 2026",,Conflict
225461,South Sudan,SSD,7.16388,31.409639,"[7.16388, 31.409639]",Recommended figure,Conflict,more than or equal to,8000,2026-01-26,2026-01-01,2026-01-26,2026,39313,South Sudan: Non-International armed conflict (NIAC) - Countrywide - 2026,,,2026-01-01,2026-01-19,,,,,,Office for the Coordination of Humanitarian Affairs (OCHA); The South Sudan Relief and Rehabilitation Commission (SSRRC),,"Panyagor, Jonglei, South Sudan","7.16388, 31.409639",Point,Origin,Displacement without preventive evacuations reported,2026-02-04T15:16:51.528067Z,"South Sudan: 8,000 displacements, 01 January - 26 January. According to Relief and Rehabilitation Commission (RRC) cited by OCHA, more than 8,000 people were internally displaced from Twic East County, Jonglei State in January due to non-international armed conflict. Office for the Coordination of Humanitarian Affairs (OCHA) - 27 January 2026",,Conflict
225462,South Sudan,SSD,6.20399,31.558729,"[6.20399, 31.558729]",Recommended figure,Conflict,more than or equal to,4300,2026-01-26,2026-01-01,2026-01-26,2026,39313,South Sudan: Non-International armed conflict (NIAC) - Countrywide - 2026,,,2026-01-01,2026-01-19,,,,,,Office for the Coordination of Humanitarian Affairs (OCHA); The South Sudan Relief and Rehabilitation Commission (SSRRC),,"Bor, Jonglei, South Sudan","6.20399, 31.558729",County/City/town/Village/Woreda (ADM3),Origin,Displacement without preventive evacuations reported,2026-02-04T15:22:40.797455Z,"South Sudan: 4,300 displacements, 01 January - 26 January. According to Relief and Rehabilitation Commission (RRC) cited by OCHA, more than 4,300 people were internally displaced from Bor South County, Jonglei State in January due to non-international armed conflict. Office for the Coordination of Humanitarian Affairs (OCHA) - 27 January 2026",,Conflict
225456,South Sudan,SSD,7.74977,31.395969,"[7.74977, 31.395969]",Recommended figure,Conflict,more than or equal to,27000,2026-01-26,2026-01-01,2026-01-26,2026,39313,South Sudan: Non-International armed conflict (NIAC) - Countrywide - 2026,,,2026-01-01,2026-01-19,,,,,,Office for the Coordination of Humanitarian Affairs (OCHA); The South Sudan Relief and Rehabilitation Commission (SSRRC),,"Duk Padiet, Jonglei, South Sudan","7.74977, 31.395969",County/City/town/Village/Woreda (ADM3),Origin,Displacement without preventive evacuations reported,2026-02-04T15:00:54.969841Z,"South Sudan: 27,000 displacements, 01 January - 26 January. According to Relief and Rehabilitation Commission (RRC) cited by OCHA, more than 27,000 people were internally displaced from Duk County, Jonglei State in January due to non-international armed conflict. Office for the Coordination of Humanitarian Affairs (OCHA) - 27 January 2026",,Conflict
225459,South Sudan,SSD,8.12371,31.412491,"[8.12371, 31.412491]",Recommended figure,Conflict,more than or equal to,17000,2026-01-26,2026-01-01,2026-01-26,2026,39313,South Sudan: Non-International armed conflict (NIAC) - Countrywide - 2026,,,2026-01-01,2026-01-19,,,,,,Office for the Coordination of Humanitarian Affairs (OCHA); The South Sudan Relief and Rehabilitation Commission (SSRRC),,"Ayod, Jonglei, South Sudan","8.12371, 31.412491",County/City/town/Village/Woreda (ADM3),Origin,Displacement without preventive evacuations reported,2026-02-04T15:16:51.399968Z,"South Sudan: 17,000 displacements, 01 January - 26 January. According to Relief and Rehabilitation Commission (RRC) cited by OCHA, more than 17,000 people were internally displaced from Ayod County, Jonglei State in January due to non-international armed conflict. Office for the Coordination of Humanitarian Affairs (OCHA) - 27 January 2026",,Conflict
225460,South Sudan,SSD,7.79282,33.003139,"[7.79282, 33.003139]",Triangulation,Conflict,more than or equal to,11000,2026-01-26,2026-01-01,2026-01-26,2026,39313,South Sudan: Non-International armed conflict (NIAC) - Countrywide - 2026,,,2026-01-01,2026-01-19,,,,,,Office for the Coordination of Humanitarian Affairs (OCHA); The South Sudan Relief and Rehabilitation Commission (SSRRC),,"Akobo, Jonglei, South Sudan","7.79282, 33.003139",County/City/town/Village/Woreda (ADM3),Origin,Displacement without preventive evacuations reported,2026-02-04T15:16:51.460436Z,"South Sudan: 11,000 displacements, 01 January - 26 January. According to Relief and Rehabilitation Commission (RRC) cited by OCHA, more than 11,000 people were internally displaced from Akobo County, Jonglei State in January due to non-international armed conflict. Office for the Coordination of Humanitarian Affairs (OCHA) - 27 January 2026",,Conflict
225513,South Sudan,SSD,4.7711,33.58823,"[4.7711, 33.58823]",Recommended figure,Conflict,approximately,2000,2026-01-26,2026-01-01,2026-01-26,2026,39313,South Sudan: Non-International armed conflict (NIAC) - Countrywide - 2026,,,2026-01-01,2026-01-19,,,,,,Office for the Coordination of Humanitarian Affairs (OCHA),,"Kapoeta, Eastern Equatoria, South Sudan","4.7711, 33.58823",County/City/town/Village/Woreda (ADM3),Origin,Displacement without preventive evacuations reported,2026-02-04T15:27:27.326455Z,"South Sudan: 2,000 displacements, 01 January - 26 January. According to OCHA, more than 2,000 people were internally displaced from Kapoeta East County, Eastern Equatoria State in January due to non-international armed conflict. Office for the Coordination of Humanitarian Affairs (OCHA) - 27 January 2026",,Conflict
224731,South Sudan,SSD,7.9067,31.88718,"[7.9067, 31.88718]",Recommended figure,Conflict,approximately,105000,2026-01-19,2026-01-01,2026-01-19,2026,39313,South Sudan: Non-International armed conflict (NIAC) - Countrywide - 2026,,,2026-01-01,2026-01-19,,,,,,Office for the Coordination of Humanitarian Affairs (OCHA); The South Sudan Relief and Rehabilitation Commission (SSRRC),,"Uror County, Jonglei, South Sudan","7.9067, 31.88718",County/City/town/Village/Woreda (ADM3),Origin,Displacement without preventive evacuations reported,2026-02-02T17:51:46.027663Z,"South Sudan: 105,000 displacements, 01 January - 19 January. According to Relief and Rehabilitation Commission (RRC) cited by OCHA, approximately 105,000 people were internally displaced from Uror County, Jonglei State between 29 December 2025 and 19 January 2026 due to non-international armed conflict. Office for the Coordination of Humanitarian Affairs (OCHA) - 19 January 2025",,Conflict
