id,country,iso3,latitude,longitude,centroid,role,displacement_type,qualifier,figure,displacement_date,displacement_start_date,displacement_end_date,year,event_id,event_name,event_codes,event_code_types,event_start_date,event_end_date,category,subcategory,type,subtype,old_id,sources,source_url,locations_name,locations_coordinates,locations_accuracy,locations_type,displacement_occurred,created_at,description,link,combined_type
231727,Sri Lanka,LKA,6.84767,79.925758,"[6.84767, 79.925758]",Recommended figure,Disaster,total,85,2026-01-15,2026-01-14,2026-01-15,2026,39950,Sri Lanka: Cyclone Ditwah - Multiple Districts - 01/01/2026,,,2026-01-01,2026-03-01,Weather related,Meteorological,Storm,Typhoon/Hurricane/Cyclone,,Disaster Management Centre (DMC),,"Colombo District, Western Province, Sri Lanka","6.84767, 79.925758",District/Zone/Department (ADM2),Origin,Displacement without preventive evacuations reported,2026-02-12T11:52:42.271573Z,"Sri Lanka: 85 displacements (sheltered), 14 January - 15 January. According to national/regional disaster authorities, a total of 85 people were sheltered in Colombo District, Western Province, Sri Lanka due to typhoon/hurricane/cyclone on 14 January Disaster Management Centre (DMC) - 19 January 2026",,Storm
220169,Sri Lanka,LKA,7.99623,81.049171,"[7.99623, 81.049171]",Recommended figure,Disaster,total,13365,2025-12-27,2025-11-30,2025-12-27,2025,37189,"India, Sri Lanka: Cyclone Ditwah - Multiple Districts - 27/11/2025",FL-2025-000213-LKA; FL-2025-000216-LKA; TC-2025-000218-LKA,Glide Number; Glide Number; Glide Number,2025-11-27,2025-12-03,Weather related,Meteorological,Storm,Typhoon/Hurricane/Cyclone,,Disaster Management Centre (DMC),,"Polonnaruwa District, North Central Province, Sri Lanka","7.99623, 81.049171",District/Zone/Department (ADM2),Origin,Displacement without preventive evacuations reported,2026-01-20T09:35:09.713131Z,"Sri Lanka: 13,365 displacements (sheltered), 30 November - 27 December. Typhoon/hurricane/cyclone resulted in a total of 13365 people being sheltered in Polonnaruwa District, North Central Province, Sri Lanka on 30 November, according to national/regional disaster authorities. Disaster Management Centre (DMC) - 19 January 2026",,Storm
220157,Sri Lanka,LKA,6.17764,81.131264,"[6.17764, 81.131264]",Recommended figure,Disaster,total,8230,2025-12-31,2025-11-29,2025-12-31,2025,37189,"India, Sri Lanka: Cyclone Ditwah - Multiple Districts - 27/11/2025",FL-2025-000213-LKA; FL-2025-000216-LKA; TC-2025-000218-LKA,Glide Number; Glide Number; Glide Number,2025-11-27,2025-12-03,Weather related,Meteorological,Storm,Typhoon/Hurricane/Cyclone,,Disaster Management Centre (DMC),,"Hambantota District, Southern Province, Sri Lanka","6.17764, 81.131264",District/Zone/Department (ADM2),Origin,Displacement without preventive evacuations reported,2026-01-20T09:25:08.127284Z,"Sri Lanka: 8,230 displacements (sheltered), 29 November - 31 December. According to national/regional disaster authorities, a total of 8199 people were sheltered in Hambantota District, Southern Province, Sri Lanka due to typhoon/hurricane/cyclone on 27 December Disaster Management Centre (DMC) - 19 January 2026",,Storm
220159,Sri Lanka,LKA,7.21431,80.640083,"[7.21431, 80.640083]",Recommended figure,Disaster,total,116969,2025-12-31,2025-11-28,2025-12-31,2025,37189,"India, Sri Lanka: Cyclone Ditwah - Multiple Districts - 27/11/2025",FL-2025-000213-LKA; FL-2025-000216-LKA; TC-2025-000218-LKA,Glide Number; Glide Number; Glide Number,2025-11-27,2025-12-03,Weather related,Meteorological,Storm,Typhoon/Hurricane/Cyclone,,Disaster Management Centre (DMC),,"Kandy District, Central Province, Sri Lanka","7.21431, 80.640083",District/Zone/Department (ADM2),Origin,Displacement without preventive evacuations reported,2026-01-20T09:25:08.239634Z,"Sri Lanka: 116,969 displacements (sheltered), 28 November - 31 December. A total of 444 people were sheltered due to typhoon/hurricane/cyclone on 28 November in Kalutara District, Western Province, Sri Lanka, according to national/regional disaster authorities. Disaster Management Centre (DMC) - 19 January 2026",,Storm
220154,Sri Lanka,LKA,6.84767,79.925758,"[6.84767, 79.925758]",Recommended figure,Disaster,total,20785,2025-12-31,2025-11-28,2025-12-31,2025,37189,"India, Sri Lanka: Cyclone Ditwah - Multiple Districts - 27/11/2025",FL-2025-000213-LKA; FL-2025-000216-LKA; TC-2025-000218-LKA,Glide Number; Glide Number; Glide Number,2025-11-27,2025-12-03,Weather related,Meteorological,Storm,Typhoon/Hurricane/Cyclone,,Disaster Management Centre (DMC),,"Colombo District, Western Province, Sri Lanka","6.84767, 79.925758",District/Zone/Department (ADM2),Origin,Displacement without preventive evacuations reported,2026-01-20T09:25:07.940113Z,"Sri Lanka: 20,785 displacements (sheltered), 28 November - 31 December. A total of 20785 people were sheltered due to typhoon/hurricane/cyclone on 28 November in Colombo District, Western Province, Sri Lanka, according to national/regional disaster authorities. Disaster Management Centre (DMC) - 19 January 2026",,Storm
220173,Sri Lanka,LKA,6.57957,80.588219,"[6.57957, 80.588219]",Recommended figure,Disaster,total,2449,2025-12-31,2025-11-28,2025-12-31,2025,37189,"India, Sri Lanka: Cyclone Ditwah - Multiple Districts - 27/11/2025",FL-2025-000213-LKA; FL-2025-000216-LKA; TC-2025-000218-LKA,Glide Number; Glide Number; Glide Number,2025-11-27,2025-12-03,Weather related,Meteorological,Storm,Typhoon/Hurricane/Cyclone,,Disaster Management Centre (DMC),,"Ratnapura District, Sabaragamuwa Province, Sri Lanka","6.57957, 80.588219",District/Zone/Department (ADM2),Origin,Displacement without preventive evacuations reported,2026-01-20T09:35:10.091758Z,"Sri Lanka: 2,449 displacements (sheltered), 28 November - 31 December. A total of 2102 people were sheltered due to typhoon/hurricane/cyclone on 28 November in Ratnapura District, Sabaragamuwa Province, Sri Lanka, according to national/regional disaster authorities. Disaster Management Centre (DMC) - 19 January 2026",,Storm
220174,Sri Lanka,LKA,8.62861,81.200737,"[8.62861, 81.200737]",Recommended figure,Disaster,total,22295,2025-12-31,2025-11-28,2025-12-31,2025,37189,"India, Sri Lanka: Cyclone Ditwah - Multiple Districts - 27/11/2025",FL-2025-000213-LKA; FL-2025-000216-LKA; TC-2025-000218-LKA,Glide Number; Glide Number; Glide Number,2025-11-27,2025-12-03,Weather related,Meteorological,Storm,Typhoon/Hurricane/Cyclone,,Disaster Management Centre (DMC),,"Trincomalee District, Eastern Province, Sri Lanka","8.62861, 81.200737",District/Zone/Department (ADM2),Origin,Displacement without preventive evacuations reported,2026-01-20T09:35:10.179616Z,"Sri Lanka: 22,295 displacements (sheltered), 28 November - 31 December. Typhoon/hurricane/cyclone resulted in a total of 22233 people being sheltered in Trincomalee District, Eastern Province, Sri Lanka on 28 November, according to national/regional disaster authorities. Disaster Management Centre (DMC) - 19 January 2026",,Storm
220168,Sri Lanka,LKA,7.0124,80.757156,"[7.0124, 80.757156]",Recommended figure,Disaster,total,82478,2025-12-31,2025-11-28,2025-12-31,2025,37189,"India, Sri Lanka: Cyclone Ditwah - Multiple Districts - 27/11/2025",FL-2025-000213-LKA; FL-2025-000216-LKA; TC-2025-000218-LKA,Glide Number; Glide Number; Glide Number,2025-11-27,2025-12-03,Weather related,Meteorological,Storm,Typhoon/Hurricane/Cyclone,,Disaster Management Centre (DMC),,"Nuwara Eliya District, Central Province, Sri Lanka","7.0124, 80.757156",District/Zone/Department (ADM2),Origin,Displacement without preventive evacuations reported,2026-01-20T09:35:09.575172Z,"Sri Lanka: 82,478 displacements (sheltered), 28 November - 31 December. Typhoon/hurricane/cyclone resulted in a total of 61171 people being sheltered in Nuwara Eliya District, Central Province, Sri Lanka on 28 November, according to national/regional disaster authorities. Disaster Management Centre (DMC) - 19 January 2026",,Storm
220166,Sri Lanka,LKA,6.87754,81.377792,"[6.87754, 81.377792]",Recommended figure,Disaster,total,1032,2025-12-31,2025-11-28,2025-12-31,2025,37189,"India, Sri Lanka: Cyclone Ditwah - Multiple Districts - 27/11/2025",FL-2025-000213-LKA; FL-2025-000216-LKA; TC-2025-000218-LKA,Glide Number; Glide Number; Glide Number,2025-11-27,2025-12-03,Weather related,Meteorological,Storm,Typhoon/Hurricane/Cyclone,,Disaster Management Centre (DMC),,"Monaragala District, Uva, Sri Lanka","6.87754, 81.377792",District/Zone/Department (ADM2),Origin,Displacement without preventive evacuations reported,2026-01-20T09:25:08.686902Z,"Sri Lanka: 1,032 displacements (sheltered), 28 November - 31 December. A total of 738 people were sheltered due to typhoon/hurricane/cyclone on 28 November in Monaragala District, Uva, Sri Lanka, according to national/regional disaster authorities. Disaster Management Centre (DMC) - 19 January 2026",,Storm
220165,Sri Lanka,LKA,7.69821,80.660912,"[7.69821, 80.660912]",Recommended figure,Disaster,total,26127,2025-12-31,2025-11-28,2025-12-31,2025,37189,"India, Sri Lanka: Cyclone Ditwah - Multiple Districts - 27/11/2025",FL-2025-000213-LKA; FL-2025-000216-LKA; TC-2025-000218-LKA,Glide Number; Glide Number; Glide Number,2025-11-27,2025-12-03,Weather related,Meteorological,Storm,Typhoon/Hurricane/Cyclone,,Disaster Management Centre (DMC),,"Matale District, Central Province, Sri Lanka","7.69821, 80.660912",District/Zone/Department (ADM2),Origin,Displacement without preventive evacuations reported,2026-01-20T09:25:08.622161Z,"Sri Lanka: 26,127 displacements (sheltered), 28 November - 31 December. According to national/regional disaster authorities, a total of 18241 people were sheltered in Matale District, Central Province, Sri Lanka due to typhoon/hurricane/cyclone on 28 November Disaster Management Centre (DMC) - 19 January 2026",,Storm
