id,country,iso3,latitude,longitude,centroid,role,displacement_type,qualifier,figure,displacement_date,displacement_start_date,displacement_end_date,year,event_id,event_name,event_codes,event_code_types,event_start_date,event_end_date,category,subcategory,type,subtype,old_id,sources,source_url,locations_name,locations_coordinates,locations_accuracy,locations_type,displacement_occurred,created_at,description,link,combined_type
232339,Sudan,SDN,16.0431989,36.0181112,"[16.0431989, 36.0181112]",Recommended figure,Conflict,total,804,2025-12-31,2025-11-26,2025-12-31,2025,30948,Sudan: Non-International armed conflict (NIAC) - Countrywide - 2025,,,2025-01-01,2025-12-31,,,,,,IOM Displacement Tracking Matrix (IOM DTM),,"Kassala State, Sudan","16.0431989, 36.0181112",State/Region/Province (ADM1),Destination,Displacement without preventive evacuations reported,2026-02-12T19:43:12.069885Z,"Sudan: 804 displacements, 26 November - 31 December. A total of 804 people were displaced due to Non-International Armed Conflict (NIAC) between 26 November and 31 December 2025 in Kassala State, Sudan, according to IOM Displacement Tracking Matrix (IOM DTM). IOM Displacement Tracking Matrix (IOM DTM) - 31 December 2025",,Conflict
232344,Sudan,SDN,14.41693,29.46837,"[14.41693, 29.46837]",Recommended figure,Conflict,total,6290,2025-12-31,2025-11-26,2025-12-31,2025,30948,Sudan: Non-International armed conflict (NIAC) - Countrywide - 2025,,,2025-01-01,2025-12-31,,,,,,IOM Displacement Tracking Matrix (IOM DTM),,"North Kordofan State, Sudan","14.41693, 29.46837",State/Region/Province (ADM1),Destination,Displacement without preventive evacuations reported,2026-02-12T19:43:12.313397Z,"Sudan: 6,290 displacements, 26 November - 31 December. A total of 6290 people were displaced due to Non-International Armed Conflict (NIAC) between 26 November and 31 December 2025 in North Kordofan State, Sudan, according to IOM Displacement Tracking Matrix (IOM DTM). IOM Displacement Tracking Matrix (IOM DTM) - 31 December 2025",,Conflict
232333,Sudan,SDN,12.12268,23.34705,"[12.12268, 23.34705]",Recommended figure,Conflict,total,3366,2025-12-31,2025-11-26,2025-12-31,2025,30948,Sudan: Non-International armed conflict (NIAC) - Countrywide - 2025,,,2025-01-01,2025-12-31,,,,,,IOM Displacement Tracking Matrix (IOM DTM),,"Central Darfur, Sudan","12.12268, 23.34705",State/Region/Province (ADM1),Destination,Displacement without preventive evacuations reported,2026-02-12T19:43:11.718509Z,"Sudan: 3,366 displacements, 26 November - 31 December. A total of 3366 people were displaced due to Non-International Armed Conflict (NIAC) between 26 November and 31 December 2025 in Central Darfur, Sudan, according to IOM Displacement Tracking Matrix (IOM DTM). IOM Displacement Tracking Matrix (IOM DTM) - 31 December 2025",,Conflict
232352,Sudan,SDN,13.0,33.5,"[13, 33.5]",Recommended figure,Conflict,total,833,2025-12-31,2025-11-26,2025-12-31,2025,30948,Sudan: Non-International armed conflict (NIAC) - Countrywide - 2025,,,2025-01-01,2025-12-31,,,,,,IOM Displacement Tracking Matrix (IOM DTM),,"Sennar State, Sudan","13, 33.5",State/Region/Province (ADM1),Destination,Displacement without preventive evacuations reported,2026-02-12T19:43:12.777551Z,"Sudan: 833 displacements, 26 November - 31 December. A total of 833 people were displaced due to Non-International Armed Conflict (NIAC) between 26 November and 31 December 2025 in Sennar State, Sudan, according to IOM Displacement Tracking Matrix (IOM DTM). IOM Displacement Tracking Matrix (IOM DTM) - 31 December 2025",,Conflict
232342,Sudan,SDN,15.84944,25.504379,"[15.84944, 25.504379]",Recommended figure,Conflict,total,21597,2025-12-31,2025-11-26,2025-12-31,2025,30948,Sudan: Non-International armed conflict (NIAC) - Countrywide - 2025,,,2025-01-01,2025-12-31,,,,,,IOM Displacement Tracking Matrix (IOM DTM),,"North Darfur State, Sudan","15.84944, 25.504379",State/Region/Province (ADM1),Destination,Displacement without preventive evacuations reported,2026-02-12T19:43:12.213625Z,"Sudan: 21,597 displacements, 26 November - 31 December. A total of 21597 people were displaced due to Non-International Armed Conflict (NIAC) between 26 November and 31 December 2025 in North Darfur State, Sudan, according to IOM Displacement Tracking Matrix (IOM DTM). IOM Displacement Tracking Matrix (IOM DTM) - 31 December 2025",,Conflict
232335,Sudan,SDN,11.26541,26.43845,"[11.26541, 26.43845]",Recommended figure,Conflict,total,1890,2025-12-31,2025-11-26,2025-12-31,2025,30948,Sudan: Non-International armed conflict (NIAC) - Countrywide - 2025,,,2025-01-01,2025-12-31,,,,,,IOM Displacement Tracking Matrix (IOM DTM),,"East Darfur State, Sudan","11.26541, 26.43845",State/Region/Province (ADM1),Destination,Displacement without preventive evacuations reported,2026-02-12T19:43:11.869822Z,"Sudan: 1,890 displacements, 26 November - 31 December. A total of 1890 people were displaced due to Non-International Armed Conflict (NIAC) between 26 November and 31 December 2025 in East Darfur State, Sudan, according to IOM Displacement Tracking Matrix (IOM DTM). IOM Displacement Tracking Matrix (IOM DTM) - 31 December 2025",,Conflict
232358,Sudan,SDN,13.83071,22.81534,"[13.83071, 22.81534]",Recommended figure,Conflict,total,1535,2025-12-31,2025-11-26,2025-12-31,2025,30948,Sudan: Non-International armed conflict (NIAC) - Countrywide - 2025,,,2025-01-01,2025-12-31,,,,,,IOM Displacement Tracking Matrix (IOM DTM),,"وادي درام, West Darfur State, Sudan","13.83071, 22.81534",State/Region/Province (ADM1),Destination,Displacement without preventive evacuations reported,2026-02-12T19:43:19.224394Z,"Sudan: 1,535 displacements, 26 November - 31 December. A total of 1535 people were displaced due to Non-International Armed Conflict (NIAC) between 26 November and 31 December 2025 in West Darfur State, Sudan, according to IOM Displacement Tracking Matrix (IOM DTM). IOM Displacement Tracking Matrix (IOM DTM) - 31 December 2025",,Conflict
232360,Sudan,SDN,11.75228,28.204599,"[11.75228, 28.204599]",Recommended figure,Conflict,total,3040,2025-12-31,2025-11-26,2025-12-31,2025,30948,Sudan: Non-International armed conflict (NIAC) - Countrywide - 2025,,,2025-01-01,2025-12-31,,,,,,IOM Displacement Tracking Matrix (IOM DTM),,"West Kurdufan, Sudan","11.75228, 28.204599",State/Region/Province (ADM1),Destination,Displacement without preventive evacuations reported,2026-02-12T19:43:19.325369Z,"Sudan: 3,040 displacements, 26 November - 31 December. A total of 3040 people were displaced due to Non-International Armed Conflict (NIAC) between 26 November and 31 December 2025 in West Kurdufan, Sudan, according to IOM Displacement Tracking Matrix (IOM DTM). IOM Displacement Tracking Matrix (IOM DTM) - 31 December 2025",,Conflict
232349,Sudan,SDN,20.0,36.0,"[20, 36]",Recommended figure,Conflict,total,573,2025-12-31,2025-11-26,2025-12-31,2025,30948,Sudan: Non-International armed conflict (NIAC) - Countrywide - 2025,,,2025-01-01,2025-12-31,,,,,,IOM Displacement Tracking Matrix (IOM DTM),,"Red Sea State, Sudan","20, 36",State/Region/Province (ADM1),Destination,Displacement without preventive evacuations reported,2026-02-12T19:43:12.603801Z,"Sudan: 573 displacements, 26 November - 31 December. A total of 573 people were displaced due to Non-International Armed Conflict (NIAC) between 26 November and 31 December 2025 in Red Sea State, Sudan, according to IOM Displacement Tracking Matrix (IOM DTM). IOM Displacement Tracking Matrix (IOM DTM) - 31 December 2025",,Conflict
232351,Sudan,SDN,19.0105596,33.018318,"[19.0105596, 33.018318]",Recommended figure,Conflict,total,145,2025-12-31,2025-11-26,2025-12-31,2025,30948,Sudan: Non-International armed conflict (NIAC) - Countrywide - 2025,,,2025-01-01,2025-12-31,,,,,,IOM Displacement Tracking Matrix (IOM DTM),,"River Nile State, Sudan","19.0105596, 33.018318",State/Region/Province (ADM1),Destination,Displacement without preventive evacuations reported,2026-02-12T19:43:12.707838Z,"Sudan: 145 displacements, 26 November - 31 December. A total of 145 people were displaced due to Non-International Armed Conflict (NIAC) between 26 November and 31 December 2025 in River Nile State, Sudan, according to IOM Displacement Tracking Matrix (IOM DTM). IOM Displacement Tracking Matrix (IOM DTM) - 31 December 2025",,Conflict
232341,Sudan,SDN,15.55177,32.53241,"[15.55177, 32.53241]",Recommended figure,Conflict,total,10353,2025-12-31,2025-11-26,2025-12-31,2025,30948,Sudan: Non-International armed conflict (NIAC) - Countrywide - 2025,,,2025-01-01,2025-12-31,,,,,,IOM Displacement Tracking Matrix (IOM DTM),,"Khartoum, Sudan","15.55177, 32.53241",State/Region/Province (ADM1),Destination,Displacement without preventive evacuations reported,2026-02-12T19:43:12.165551Z,"Sudan: 10,353 displacements, 26 November - 31 December. A total of 10353 people were displaced due to Non-International Armed Conflict (NIAC) between 26 November and 31 December 2025 in Khartoum, Sudan, according to IOM Displacement Tracking Matrix (IOM DTM). IOM Displacement Tracking Matrix (IOM DTM) - 31 December 2025",,Conflict
