id,country,iso3,latitude,longitude,centroid,role,displacement_type,qualifier,figure,displacement_date,displacement_start_date,displacement_end_date,year,event_id,event_name,event_codes,event_code_types,event_start_date,event_end_date,category,subcategory,type,subtype,old_id,sources,source_url,locations_name,locations_coordinates,locations_accuracy,locations_type,displacement_occurred,created_at,description,link,combined_type
224917,Uganda,UGA,1.35166,34.56358,"[1.35166, 34.56358]",Recommended figure,Disaster,total,50,2025-10-30,2025-10-30,2025-10-30,2025,39306,Uganda: Landslide/Wet mass mouvement - Eastern (Kween/Kween) - 29/10/2025,,,2025-10-29,2025-10-30,Weather related,Hydrological,Mass Movement,Landslide/Wet mass movement,,IOM DTM - Uganda,,"Kween, Eastern Region, Uganda","1.35166, 34.56358",State/Region/Province (ADM1),Origin,Displacement without preventive evacuations reported,2026-02-04T10:13:28.225391Z,"Uganda: 50 displacements, 30 October - 30 October. According to IOM DTM - Uganda, a total of 50 people were internally displaced in the Kween county due to a landslide on 30 October. IOM DTM - Uganda - 05 November 2025",,Mass Movement
224827,Uganda,UGA,1.725,33.961109,"[1.725, 33.961109]",Recommended figure,Disaster,total,115,2025-10-30,2025-10-30,2025-10-30,2025,39230,Uganda: Flood - Eastern (Katakwi/Toroma) - 30/10/2025,,,2025-10-30,2025-10-30,Weather related,Hydrological,Flood,Flood,,IOM DTM - Uganda,,"Toroma, Katakwi, Eastern Region, Uganda","1.725, 33.961109",County/City/town/Village/Woreda (ADM3),Origin,Displacement without preventive evacuations reported,2026-02-04T04:37:03.111990Z,"Uganda: 115 displacements, 30 October - 30 October. According to IOM DTM - Uganda, a total of 115 people were internally displaced in the Toroma county due to floods on 30 October. IOM DTM - Uganda - 05 November 2025",,Flood
224913,Uganda,UGA,1.25495,34.692429,"[1.25495, 34.692429]",Recommended figure,Disaster,total,35,2025-10-30,2025-10-30,2025-10-30,2025,39305,Uganda: Landslide/Wet mass mouvement - Eastern (Bukwo/Kongasis) - 30/10/2025,,,2025-10-30,2025-10-30,Weather related,Hydrological,Mass Movement,Landslide/Wet mass movement,,IOM DTM - Uganda,,"Bukwo, Eastern Region, Uganda","1.25495, 34.692429",District/Zone/Department (ADM2),Origin,Displacement without preventive evacuations reported,2026-02-04T10:05:12.915139Z,"Uganda: 35 displacements, 30 October - 30 October. According to IOM DTM - Uganda, a total of 35 people were internally displaced in the Kongasis county due to a landslide on 30 October. IOM DTM - Uganda - 05 November 2025",,Mass Movement
224853,Uganda,UGA,0.13102,30.004601,"[0.13102, 30.004601]",Recommended figure,Disaster,total,33,2025-10-30,2025-10-30,2025-10-30,2025,39238,Uganda: Flood - Western (Kasese/Busongora) - 30/10/2025,,,2025-10-30,2025-10-30,Weather related,Hydrological,Flood,Flood,,IOM DTM - Uganda,,"Kasese, Western Region, Uganda","0.13102, 30.004601",State/Region/Province (ADM1),Origin,Displacement without preventive evacuations reported,2026-02-04T07:55:38.051267Z,"Uganda: 33 displacements, 30 October - 30 October. According to IOM DTM - Uganda, a total of 33 people were internally displaced in the Busongora county due to floods on 30 October. IOM DTM - Uganda - 05 November 2025",,Flood
215045,Uganda,UGA,1.303305,34.6280045,"[1.303305, 34.6280045]",Recommended figure,Disaster,more than or equal to,12,2025-10-30,2025-10-30,2025-10-30,2025,37253,Uganda: Landslide/Wet mass movement - Eastern (Kween and Bukwo) - 30/10/2025,,,2025-10-30,2025-10-30,Weather related,Hydrological,Mass Movement,Landslide/Wet mass movement,,Local Authorities; Oxfam,,"Bukwo, Eastern Region, Uganda; Kween, Eastern Region, Uganda","1.25495, 34.692429; 1.35166, 34.56358",District/Zone/Department (ADM2); District/Zone/Department (ADM2),Origin; Origin,,2025-12-08T08:37:14.276597Z,"Uganda: 12 displacements (destroyed housing), 30 October - 30 October. According to the European Civil Protection and Humanitarian Aid Operations (ECHO), which references the National and District Authorities of Uganda, several houses were destroyed by a landslide on 30 October 2025 in the Tuikat area of Kween District and the Chesower area of Bukwo District in the eastern region. European Civil Protection and Humanitarian Aid Operations (ECHO) - 31 October 2025",,Mass Movement
224916,Uganda,UGA,1.35166,34.56358,"[1.35166, 34.56358]",Recommended figure,Disaster,total,50,2025-10-29,2025-10-29,2025-10-29,2025,39306,Uganda: Landslide/Wet mass mouvement - Eastern (Kween/Kween) - 29/10/2025,,,2025-10-29,2025-10-30,Weather related,Hydrological,Mass Movement,Landslide/Wet mass movement,,IOM DTM - Uganda,,"Kween, Eastern Region, Uganda","1.35166, 34.56358",State/Region/Province (ADM1),Origin,Displacement without preventive evacuations reported,2026-02-04T10:13:28.099916Z,"Uganda: 50 displacements, 29 October - 29 October. According to IOM DTM - Uganda, a total of 50 people were internally displaced in the Kween county due to a landslide on 29 October. IOM DTM - Uganda - 05 November 2025",,Mass Movement
224835,Uganda,UGA,1.98833,33.971668,"[1.98833, 33.971668]",Recommended figure,Disaster,total,197,2025-10-29,2025-10-29,2025-10-29,2025,39231,Uganda: Flood - Eastern (Katakwi/Usuk) - 09/08/2025,,,2025-08-09,2025-10-29,Weather related,Hydrological,Flood,Flood,,IOM DTM - Uganda,,"Usuku, Katakwi, Eastern Region, Uganda","1.98833, 33.971668",County/City/town/Village/Woreda (ADM3),Origin,Displacement without preventive evacuations reported,2026-02-04T06:42:33.411106Z,"Uganda: 197 displacements, 29 October - 29 October. According to IOM DTM - Uganda, a total of 197 people were internally displaced in the Usuk county due to floods on 29 October. IOM DTM - Uganda - 05 November 2025",,Flood
224905,Uganda,UGA,-0.95375,30.303129,"[-0.95375, 30.303129]",Recommended figure,Disaster,total,3,2025-10-16,2025-10-16,2025-10-16,2025,39256,Uganda: Storm - Western (Ntungamo/Ruhaama) - 16/10/2025,,,2025-10-16,2025-10-16,Weather related,Meteorological,Storm,Storm,,IOM DTM - Uganda,,"Ntungamo, Western Region, Uganda","-0.95375, 30.303129",District/Zone/Department (ADM2),Origin,Displacement without preventive evacuations reported,2026-02-04T09:45:26.827472Z,"Uganda: 3 displacements, 16 October - 16 October. According to IOM DTM - Uganda, a storm resulted in a total of 3 people were internally displaced in the Ruhaama on 16 October. IOM DTM - Uganda - 05 November 2025",,Storm
224865,Uganda,UGA,-0.44735,31.398069,"[-0.44735, 31.398069]",Recommended figure,Disaster,total,6,2025-10-16,2025-10-16,2025-10-16,2025,39243,Uganda: Storm - Central (Lwengo/Bukoto) - 16/10/2025,,,2025-10-16,2025-10-16,Weather related,Meteorological,Storm,Storm,,IOM DTM - Uganda,,"Lwengo, Central Region, Uganda","-0.44735, 31.398069",State/Region/Province (ADM1),Origin,,2026-02-04T08:35:41.680711Z,"Uganda: 6 displacements (destroyed housing), 16 October - 16 October. According to IOM DTM - Uganda, a storm on October 16th resulted in the displacement of a household in Bukoto. IOM DTM - Uganda - 05 November 2025",,Storm
224903,Uganda,UGA,0.13102,30.004601,"[0.13102, 30.004601]",Recommended figure,Disaster,total,1,2025-10-12,2025-10-12,2025-10-12,2025,39255,Uganda: Storm - Western (Kasese/Bukonzo) - 12/10/2025,,,2025-10-12,2025-10-12,Weather related,Meteorological,Storm,Storm,,IOM DTM - Uganda,,"Kasese, Western Region, Uganda","0.13102, 30.004601",State/Region/Province (ADM1),Origin,Displacement without preventive evacuations reported,2026-02-04T09:40:32.514372Z,". According to IOM DTM - Uganda, a storm resulted in one person being internally displaced in the Bukonzo on 12 October. IOM DTM - Uganda - 05 November 2025",,Storm
