id,country,iso3,latitude,longitude,centroid,role,displacement_type,qualifier,figure,displacement_date,displacement_start_date,displacement_end_date,year,event_id,event_name,event_codes,event_code_types,event_start_date,event_end_date,category,subcategory,type,subtype,old_id,sources,source_url,locations_name,locations_coordinates,locations_accuracy,locations_type,displacement_occurred,created_at,description,link,combined_type
240792,Ukraine,UKR,47.72633,34.413109,"[47.72633, 34.413109]",Recommended figure,Conflict,approximately,3,2026-01-24,2026-01-24,2026-01-24,2026,40208,Ukraine: International armed conflict (IAC) - Dnipropetrovsk Oblast - 2026,,,2026-01-01,2026-12-31,,,,,,National Police of Ukraine,,"Nikopol Raion, Dnipropetrovsk Oblast, Ukraine","47.72633, 34.413109",District/Zone/Department (ADM2),Origin,,2026-02-24T08:23:03.467478Z,"Ukraine: 3 displacements (destroyed housing), 24 January - 24 January. According to the National Police of Ukraine, 1 home was destroyed on 25 January in Nikopol, Dnipropetrovsk Oblast due to military operations. National Police of Ukraine - 25 January 2026",,Conflict
240794,Ukraine,UKR,46.650871,32.602299,"[46.650871, 32.602299]",Recommended figure,Conflict,total,5,2026-01-24,2026-01-24,2026-01-24,2026,40368,Ukraine: International armed conflict (IAC) - Kherson Oblast - 2026,,,2026-01-01,2026-12-31,,,,,,National Police of Ukraine,,"Kherson, Херсонська міська рада, Kherson Oblast, Ukraine","46.650871, 32.602299",County/City/town/Village/Woreda (ADM3),Origin,Displacement without preventive evacuations reported,2026-02-24T08:34:29.615924Z,"Ukraine: 5 displacements (evacuated), 24 January - 24 January. According to the National Police of Ukraine, 3 people were evacuated from the Kherson community on 24 January due to military operations National Police of Ukraine - 24 January 2026",,Conflict
240795,Ukraine,UKR,51.146679,34.297001,"[51.146679, 34.297001]",Recommended figure,Conflict,total,1,2026-01-24,2026-01-24,2026-01-24,2026,40211,Ukraine: International armed conflict (IAC) - Sumy Oblast - 2026,,,2026-01-01,2026-12-31,,,,,,National Police of Ukraine,,"Bilopillia, Білопільська міська рада, Bilopillia Raion, Sumy Oblast, Ukraine","51.146679, 34.297001",County/City/town/Village/Woreda (ADM3),Origin,Displacement without preventive evacuations reported,2026-02-24T08:37:32.197800Z,"Ukraine: 1 displacement (evacuated), 24 January - 24 January. According to the National Police of Ukraine, 1 person was evacuated from Bilopil, Sumy Oblast, on 24 January due to military operations National Police of Ukraine - 24 January 2026",,Conflict
240793,Ukraine,UKR,48.52553266666666,37.79981,"[48.52553266666666, 37.79981]",Recommended figure,Conflict,more than or equal to,23,2026-01-24,2026-01-24,2026-01-24,2026,40207,Ukraine: International armed conflict (IAC) - Donetsk Oblast - 2026,,,2026-01-01,2026-12-31,,,,,,National Police of Ukraine,,"Kramatorsk, Kramatorsk Municipality, Donetsk Oblast, Ukraine; Mykolaivka, Khartsyzk Municipality, Donetsk Oblast, Ukraine; Sloviansk, Donetsk Oblast, Ukraine","48.728809, 37.567101; 47.998878, 38.243889; 48.848911, 37.58844",County/City/town/Village/Woreda (ADM3); County/City/town/Village/Woreda (ADM3); County/City/town/Village/Woreda (ADM3),Origin; Origin; Origin,,2026-02-24T08:25:22.634514Z,"Ukraine: 23 displacements (destroyed housing), 24 January - 24 January. According to the National Police of Ukraine, 9 residential buildings were destroyed on 24 January in Donetsk Oblast due to military operations. National Police of Ukraine - 25 January 2026",,Conflict
219383,Ukraine,UKR,51.362309,31.83626,"[51.362309, 31.83626]",Recommended figure,Conflict,total,300,2025-12-30,2025-12-30,2025-12-30,2025,29202,Ukraine: International armed conflict (IAC) - Chernihiv Oblast - 2025,,,2025-01-01,2025-12-31,,,,,,Chernihiv Regional State Administraiton,,"Chernihiv Oblast, Ukraine","51.362309, 31.83626",State/Region/Province (ADM1),Origin,Displacement without preventive evacuations reported,2026-01-07T08:35:03.177936Z,"Ukraine: 300 displacements (evacuated), 30 December - 30 December. According to the Chernihiv Regional State Administration, 300 people were ordered to evacuate 14 villages in Chernihiv due to the ongoing international armed conflict on 30 December. Chernihiv Regional State Administraiton - 30 December 2025",,Conflict
218976,Ukraine,UKR,47.96067,37.834438,"[47.96067, 37.834438]",Recommended figure,Conflict,approximately,1400,2026-01-02,2025-12-25,2026-01-02,2025,29205,Ukraine: International armed conflict (IAC) - Donetsk Oblast - 2025,,,2025-01-01,2025-12-31,,,,,,"Ministry of Development of Communities, Territories and Infrastructure",,"Donetsk Oblast, Ukraine","47.96067, 37.834438",State/Region/Province (ADM1),Origin,Displacement without preventive evacuations reported,2026-01-06T08:52:09.008177Z,"Ukraine: 1,400 displacements (evacuated), 25 December - 02 January. According to the Ministry of Development of Communities, Territories and Infrastructure of Ukraine, between 25 December 2025 and 2 January 2026, approximately 1,400 people were evacuated from Donetsk Oblast due to the International Armed Conflict. Ministry of Development of Communities, Territories and Infrastructure - 02 January 2026",,Conflict
218977,Ukraine,UKR,51.237358,33.808262,"[51.237358, 33.808262]",Recommended figure,Conflict,more than or equal to,200,2026-01-02,2025-12-25,2026-01-02,2025,29209,Ukraine: International armed conflict (IAC) - Sumy Oblast - 2025,,,2025-01-01,2025-12-31,,,,,,"Ministry of Development of Communities, Territories and Infrastructure",,"Sumy Oblast, Ukraine","51.237358, 33.808262",State/Region/Province (ADM1),Origin,Displacement without preventive evacuations reported,2026-01-06T08:55:51.837149Z,"Ukraine: 200 displacements (evacuated), 25 December - 02 January. According to the Ministry of Development of Communities, Territories and Infrastructure of Ukraine, between 25 December 2025 and 2 January 2026, more than 200 people were evacuated from Sumy Oblast due to the International Armed Conflict. Ministry of Development of Communities, Territories and Infrastructure - 02 January 2026",,Conflict
219000,Ukraine,UKR,46.678699,33.35677,"[46.678699, 33.35677]",Recommended figure,Conflict,more than or equal to,100,2026-01-02,2025-12-25,2026-01-02,2025,29233,Ukraine: International armed conflict (IAC) - Kherson Oblast - 2025,,,2025-01-01,2025-12-31,,,,,,"Ministry of Development of Communities, Territories and Infrastructure",,"Kherson Oblast, Ukraine","46.678699, 33.35677",State/Region/Province (ADM1),Origin,Displacement without preventive evacuations reported,2026-01-06T09:05:56.959216Z,"Ukraine: 100 displacements (evacuated), 25 December - 02 January. According to the Ministry of Development of Communities, Territories and Infrastructure of Ukraine, between 24 December 2025 and 2 January 2026, more than 100 people were evacuated from Kherson Oblast due to the International Armed Conflict. Ministry of Development of Communities, Territories and Infrastructure - 02 January 2026",,Conflict
219001,Ukraine,UKR,49.495609,36.663502,"[49.495609, 36.663502]",Recommended figure,Conflict,more than or equal to,300,2026-01-02,2025-12-25,2026-01-02,2025,29204,Ukraine: International armed conflict (IAC) - Kharkiv Oblast - 2025,,,2025-01-01,2025-12-31,,,,,,"Ministry of Development of Communities, Territories and Infrastructure",,"Kharkiv Oblast, Ukraine","49.495609, 36.663502",State/Region/Province (ADM1),Origin,Displacement without preventive evacuations reported,2026-01-06T09:08:46.943980Z,"Ukraine: 300 displacements (evacuated), 25 December - 02 January. According to the Ministry of Development of Communities, Territories and Infrastructure of Ukraine, between 25 December 2025 and 2 January 2026, more than 300 people were evacuated from Kharkiv Oblast due to the International Armed Conflict. Ministry of Development of Communities, Territories and Infrastructure - 02 January 2026",,Conflict
218781,Ukraine,UKR,49.495609,36.663502,"[49.495609, 36.663502]",Recommended figure,Conflict,more than or equal to,2800,2025-12-24,2025-11-15,2025-12-24,2025,29204,Ukraine: International armed conflict (IAC) - Kharkiv Oblast - 2025,,,2025-01-01,2025-12-31,,,,,,"Ministry of Development of Communities, Territories and Infrastructure",,"Kharkiv Oblast, Ukraine","49.495609, 36.663502",State/Region/Province (ADM1),Origin,Displacement without preventive evacuations reported,2026-01-02T09:01:43.765104Z,"Ukraine: 2,800 displacements (evacuated), 15 November - 24 December. According to the Ministry of Development of Communities, Territories and Infrastructure of Ukraine, between 15 November and 24 December, more than 2,800 people were evacuated from Kharkiv Oblast due to the International Armed Conflict. Ministry of Development of Communities, Territories and Infrastructure - 24 December 2025",,Conflict
218777,Ukraine,UKR,47.96067,37.834438,"[47.96067, 37.834438]",Recommended figure,Conflict,approximately,6300,2025-12-24,2025-11-15,2025-12-24,2025,29205,Ukraine: International armed conflict (IAC) - Donetsk Oblast - 2025,,,2025-01-01,2025-12-31,,,,,,"Ministry of Development of Communities, Territories and Infrastructure",,"Donetsk Oblast, Ukraine","47.96067, 37.834438",State/Region/Province (ADM1),Origin,Displacement without preventive evacuations reported,2026-01-02T08:48:18.261541Z,"Ukraine: 6,300 displacements (evacuated), 15 November - 24 December. According to the Ministry of Development of Communities, Territories and Infrastructure of Ukraine, between 15 November and 24 December, approximately 6,300 people were evacuated from Donetsk Oblast due to the International Armed Conflict. Ministry of Development of Communities, Territories and Infrastructure - 24 December 2025",,Conflict
218778,Ukraine,UKR,48.324242,35.165649,"[48.324242, 35.165649]",Recommended figure,Conflict,less than or equal to,9600,2025-12-24,2025-11-15,2025-12-24,2025,29199,Ukraine: International armed conflict (IAC) - Dnipropetrovsk Oblast - 2025,,,2025-01-01,2025-12-31,,,,,,"Ministry of Development of Communities, Territories and Infrastructure",,"Dnipropetrovsk Oblast, Ukraine","48.324242, 35.165649",State/Region/Province (ADM1),Origin,Displacement without preventive evacuations reported,2026-01-02T08:53:06.710659Z,"Ukraine: 9,600 displacements (evacuated), 15 November - 24 December. According to the Ministry of Development of Communities, Territories and Infrastructure of Ukraine, between 15 November and 24 December, almost 9,600 people were evacuated from Dnipropetrovsk Oblast due to the International Armed Conflict. Ministry of Development of Communities, Territories and Infrastructure - 24 December 2025",,Conflict
218779,Ukraine,UKR,51.237358,33.808262,"[51.237358, 33.808262]",Recommended figure,Conflict,more than or equal to,300,2025-12-24,2025-11-15,2025-12-24,2025,29209,Ukraine: International armed conflict (IAC) - Sumy Oblast - 2025,,,2025-01-01,2025-12-31,,,,,,"Ministry of Development of Communities, Territories and Infrastructure",,"Sumy Oblast, Ukraine","51.237358, 33.808262",State/Region/Province (ADM1),Origin,Displacement without preventive evacuations reported,2026-01-02T08:56:34.519448Z,"Ukraine: 300 displacements (evacuated), 15 November - 24 December. According to the Ministry of Development of Communities, Territories and Infrastructure of Ukraine, between 15 November and 24 December, more than 300 people were evacuated from Sumy Oblast due to the International Armed Conflict. Ministry of Development of Communities, Territories and Infrastructure - 24 December 2025",,Conflict
218780,Ukraine,UKR,46.678699,33.35677,"[46.678699, 33.35677]",Recommended figure,Conflict,more than or equal to,200,2025-12-24,2025-11-15,2025-12-24,2025,29233,Ukraine: International armed conflict (IAC) - Kherson Oblast - 2025,,,2025-01-01,2025-12-31,,,,,,"Ministry of Development of Communities, Territories and Infrastructure",,"Kherson Oblast, Ukraine","46.678699, 33.35677",State/Region/Province (ADM1),Origin,Displacement without preventive evacuations reported,2026-01-02T08:58:33.107360Z,"Ukraine: 200 displacements (evacuated), 15 November - 24 December. According to the Ministry of Development of Communities, Territories and Infrastructure of Ukraine, between 15 November and 24 December, more than 200 people were evacuated from Kherson Oblast due to the International Armed Conflict. Ministry of Development of Communities, Territories and Infrastructure - 24 December 2025",,Conflict
218782,Ukraine,UKR,47.14571,35.73764,"[47.14571, 35.73764]",Recommended figure,Conflict,more than or equal to,1700,2025-12-24,2025-11-15,2025-12-24,2025,29232,Ukraine: International armed conflict (IAC) - Zaporizhia Oblast - 2025,,,2025-01-01,2025-12-31,,,,,,"Ministry of Development of Communities, Territories and Infrastructure",,"Zaporizhia Oblast, Ukraine","47.14571, 35.73764",State/Region/Province (ADM1),Origin,Displacement without preventive evacuations reported,2026-01-02T09:03:28.195892Z,"Ukraine: 1,700 displacements (evacuated), 15 November - 24 December. According to the Ministry of Development of Communities, Territories and Infrastructure of Ukraine, between 15 November and 24 December, more than 1,700 people were evacuated from Zaporizhia Oblast due to the International Armed Conflict. Ministry of Development of Communities, Territories and Infrastructure - 24 December 2025",,Conflict
207615,Ukraine,UKR,47.96067,37.834438,"[47.96067, 37.834438]",Recommended figure,Conflict,more than or equal to,1300,2025-11-14,2025-11-10,2025-11-14,2025,29205,Ukraine: International armed conflict (IAC) - Donetsk Oblast - 2025,,,2025-01-01,2025-12-31,,,,,,"Ministry of Development of Communities, Territories and Infrastructure",,"Donetsk Oblast, Ukraine","47.96067, 37.834438",State/Region/Province (ADM1),Origin,Displacement without preventive evacuations reported,2025-11-17T09:31:00.423462Z,"Ukraine: 1,300 displacements (evacuated), 10 November - 14 November. According to the Ministry of Development of Communities, Territories and Infrastructure of Ukraine, between 10 and 14 November, more than 1,300 people were evacuated from Donetsk Oblast due to the International Armed Conflict. Ministry of Development of Communities, Territories and Infrastructure - 14 November 2025",,Conflict
207616,Ukraine,UKR,48.324242,35.165649,"[48.324242, 35.165649]",Recommended figure,Conflict,approximately,800,2025-11-14,2025-11-10,2025-11-14,2025,29199,Ukraine: International armed conflict (IAC) - Dnipropetrovsk Oblast - 2025,,,2025-01-01,2025-12-31,,,,,,"Ministry of Development of Communities, Territories and Infrastructure",,"Dnipropetrovsk Oblast, Ukraine","48.324242, 35.165649",State/Region/Province (ADM1),Origin,Displacement without preventive evacuations reported,2025-11-17T09:34:33.742627Z,"Ukraine: 800 displacements (evacuated), 10 November - 14 November. According to the Ministry of Development of Communities, Territories and Infrastructure of Ukraine, between 10 and 14 November, about 800 people were evacuated from Dnipropetrovsk Oblast due to the International Armed Conflict. Ministry of Development of Communities, Territories and Infrastructure - 14 November 2025",,Conflict
207617,Ukraine,UKR,49.495609,36.663502,"[49.495609, 36.663502]",Recommended figure,Conflict,more than or equal to,300,2025-11-14,2025-11-10,2025-11-14,2025,29204,Ukraine: International armed conflict (IAC) - Kharkiv Oblast - 2025,,,2025-01-01,2025-12-31,,,,,,"Ministry of Development of Communities, Territories and Infrastructure",,"Kharkiv Oblast, Ukraine","49.495609, 36.663502",State/Region/Province (ADM1),Origin,Displacement without preventive evacuations reported,2025-11-17T09:37:19.183049Z,"Ukraine: 300 displacements (evacuated), 10 November - 14 November. According to the Ministry of Development of Communities, Territories and Infrastructure of Ukraine, between 10 and 14 November, more than 300 people were evacuated from Kharkiv Oblast due to the International Armed Conflict. Ministry of Development of Communities, Territories and Infrastructure - 14 November 2025",,Conflict
