id,country,iso3,latitude,longitude,centroid,role,displacement_type,qualifier,figure,displacement_date,displacement_start_date,displacement_end_date,year,event_id,event_name,event_codes,event_code_types,event_start_date,event_end_date,category,subcategory,type,subtype,old_id,sources,source_url,locations_name,locations_coordinates,locations_accuracy,locations_type,displacement_occurred,created_at,description,link,combined_type
214897,Viet Nam,VNM,11.69377,108.152748,"[11.69377, 108.152748]",Triangulation,Disaster,total,2958,2025-12-04,2025-12-03,2025-12-04,2025,37211,Viet Nam: Flood - Lam Dong - 03/12/2025,,,2025-12-03,2025-12-03,Weather related,Hydrological,Flood,Flood,,Viet Nam Disaster and Dyke Management Authority (VDDMA),,"Lam Dong province, Vietnam","11.69377, 108.152748",State/Region/Province (ADM1),Origin,Displacement without preventive evacuations reported,2025-12-05T10:39:59.567706Z,"Viet Nam: 2,958 displacements (evacuated), 03 December - 04 December. Flood resulted in a total of 860 households being evacuated in Lam Dong province, Vietnam on 3 December, according to national/regional disaster authorities. Viet Nam Disaster and Dyke Management Authority (VDDMA) - 05 December 2025",,Flood
214895,Viet Nam,VNM,11.85309,108.587517,"[11.85309, 108.587517]",Recommended figure,Disaster,total,21,2025-12-01,2025-12-01,2025-12-01,2025,37210,Viet Nam: Landslide - Lam Dong (D'ran) - 01/12/2025,,,2025-12-01,2025-12-01,Weather related,Hydrological,Mass Movement,Landslide/Wet mass movement,,Viet Nam Disaster and Dyke Management Authority (VDDMA),,"Đ' Ran, Lâm Đồng Province, Vietnam","11.85309, 108.587517",County/City/town/Village/Woreda (ADM3),Origin,Displacement without preventive evacuations reported,2025-12-05T10:26:59.852401Z,"Viet Nam: 21 displacements (evacuated), 01 December - 01 December. According to national/regional disaster authorities, a total of 6 households were evacuated in Đ'Ran, Lâm Đồng Province, Vietnam due to landslide/wet mass movement on 1 December Viet Nam Disaster and Dyke Management Authority (VDDMA) - 02 December 2025",,Mass Movement
208167,Viet Nam,VNM,12.78871,108.415329,"[12.78871, 108.415329]",Triangulation,Disaster,total,119,2025-11-18,2025-11-17,2025-11-18,2025,36995,Viet Nam: Mixed disasters - 8 Provinces - 17/11/2025,,,2025-11-17,2025-11-25,Mixed disasters,Mixed disasters,Mixed disasters,Mixed disasters,,Viet Nam Disaster and Dyke Management Authority (VDDMA),,"Đắk Lắk province, Vietnam","12.78871, 108.415329",State/Region/Province (ADM1),Origin,Displacement without preventive evacuations reported,2025-11-19T09:14:41.750570Z,"Viet Nam: 119 displacements (evacuated), 17 November - 18 November. A total of 119 people were evacuated due to mixed disasters (landslide and flood) on 17 November in Đắk Lắk province, Vietnam, according to national/regional disaster authorities. Viet Nam Disaster and Dyke Management Authority (VDDMA) - 18 November 2025",,Mixed disasters
208164,Viet Nam,VNM,16.831659,107.005722,"[16.831659, 107.005722]",Recommended figure,Disaster,total,1484,2025-11-18,2025-11-17,2025-11-18,2025,36995,Viet Nam: Mixed disasters - 8 Provinces - 17/11/2025,,,2025-11-17,2025-11-25,Mixed disasters,Mixed disasters,Mixed disasters,Mixed disasters,,Viet Nam Disaster and Dyke Management Authority (VDDMA),,"Quang Tri province, Vietnam","16.831659, 107.005722",State/Region/Province (ADM1),Origin,Displacement without preventive evacuations reported,2025-11-19T09:14:41.624712Z,"Viet Nam: 1,484 displacements (evacuated), 17 November - 18 November. According to national/regional disaster authorities, a total of 1484 people were evacuated in Quang Tri province, Vietnam due to mixed disasters (landslide and flood) on 17 November Viet Nam Disaster and Dyke Management Authority (VDDMA) - 18 November 2025",,Mixed disasters
208168,Viet Nam,VNM,12.19608,108.995041,"[12.19608, 108.995041]",Triangulation,Disaster,total,3648,2025-11-18,2025-11-17,2025-11-18,2025,36995,Viet Nam: Mixed disasters - 8 Provinces - 17/11/2025,,,2025-11-17,2025-11-25,Mixed disasters,Mixed disasters,Mixed disasters,Mixed disasters,,Viet Nam Disaster and Dyke Management Authority (VDDMA),,"Khanh Hoa province, Vietnam","12.19608, 108.995041",State/Region/Province (ADM1),Origin,Displacement without preventive evacuations reported,2025-11-19T09:14:41.792864Z,"Viet Nam: 3,648 displacements (evacuated), 17 November - 18 November. A total of 3648 people were evacuated due to mixed disasters (landslide and flood) on 17 November in Khanh Hoa province, Vietnam, according to national/regional disaster authorities. Viet Nam Disaster and Dyke Management Authority (VDDMA) - 18 November 2025",,Mixed disasters
208166,Viet Nam,VNM,16.12599,108.218872,"[16.12599, 108.218872]",Triangulation,Disaster,total,76,2025-11-18,2025-11-17,2025-11-18,2025,36995,Viet Nam: Mixed disasters - 8 Provinces - 17/11/2025,,,2025-11-17,2025-11-25,Mixed disasters,Mixed disasters,Mixed disasters,Mixed disasters,,Viet Nam Disaster and Dyke Management Authority (VDDMA),,"Da Nang, Vietnam","16.12599, 108.218872",State/Region/Province (ADM1),Origin,Displacement without preventive evacuations reported,2025-11-19T09:14:41.710244Z,"Viet Nam: 76 displacements (evacuated), 17 November - 18 November. A total of 22 households were evacuated due to mixed disasters (landslide and flood) on 17 November in Da Nang, Vietnam, according to national/regional disaster authorities. Viet Nam Disaster and Dyke Management Authority (VDDMA) - 18 November 2025",,Mixed disasters
208165,Viet Nam,VNM,16.45459,107.581703,"[16.45459, 107.581703]",Triangulation,Disaster,total,663,2025-11-18,2025-11-17,2025-11-18,2025,36995,Viet Nam: Mixed disasters - 8 Provinces - 17/11/2025,,,2025-11-17,2025-11-25,Mixed disasters,Mixed disasters,Mixed disasters,Mixed disasters,,Viet Nam Disaster and Dyke Management Authority (VDDMA),,"Hue City, Vietnam","16.45459, 107.581703",District/Zone/Department (ADM2),Origin,Displacement without preventive evacuations reported,2025-11-19T09:14:41.669629Z,"Viet Nam: 663 displacements (evacuated), 17 November - 18 November. A total of 663 people were evacuated due to mixed disasters (landslide and flood) on 17 November in Hue City, Vietnam, according to national/regional disaster authorities. Viet Nam Disaster and Dyke Management Authority (VDDMA) - 18 November 2025",,Mixed disasters
208147,Viet Nam,VNM,16.12599,108.218872,"[16.12599, 108.218872]",Triangulation,Disaster,total,664,2025-11-15,2025-11-14,2025-11-15,2025,36990,Viet Nam: Landslide - Da Nang - 14/11/2025,,,2025-11-14,2025-11-14,Weather related,Hydrological,Mass Movement,Landslide/Wet mass movement,,Viet Nam Disaster and Dyke Management Authority (VDDMA),,"Da Nang, Vietnam","16.12599, 108.218872",State/Region/Province (ADM1),Origin,Displacement without preventive evacuations reported,2025-11-18T16:29:09.019129Z,"Viet Nam: 664 displacements (evacuated), 14 November - 15 November. According to national/regional disaster authorities, a total of 664 people were evacuated in Da Nang, Vietnam due to landslide/wet mass movement on 14 November Viet Nam Disaster and Dyke Management Authority (VDDMA) - 15 November 2025",,Mass Movement
206988,Viet Nam,VNM,16.45459,107.581703,"[16.45459, 107.581703]",Recommended figure,Disaster,total,657,2025-11-07,2025-11-05,2025-11-07,2025,36728,"Philippines, Viet Nam: Typhoon Kalmaegi (locally Tino) - PHL (10 Regions), VNM (6 Provinces) - 02/11/2025",TC-2025-000203-VNM,Glide Number,2025-11-02,2025-11-07,Weather related,Meteorological,Storm,Typhoon/Hurricane/Cyclone,,Viet Nam Disaster and Dyke Management Authority (VDDMA),,"Hue City, Vietnam","16.45459, 107.581703",District/Zone/Department (ADM2),Origin,Displacement without preventive evacuations reported,2025-11-07T13:04:51.953438Z,"Viet Nam: 657 displacements (evacuated), 05 November - 07 November. A total of 657 people were evacuated due to Typhoon Kalmaegi on 5 November in Hue City, Vietnam, according to national/regional disaster authorities. Viet Nam Disaster and Dyke Management Authority (VDDMA) - 07 November 2025",,Storm
196135,Viet Nam,VNM,16.45459,107.581703,"[16.45459, 107.581703]",Triangulation,Disaster,total,730,2025-10-27,2025-10-25,2025-10-27,2025,34775,Viet Nam: Mixed disasters - 6 Provinces - 25/10/2025,FL-2025-000198-VNM,Glide Number,2025-10-25,2025-11-04,Weather related,Hydrological,Mass Movement,Landslide/Wet mass movement,,Viet Nam Disaster and Dyke Management Authority (VDDMA),,"Hue City, Vietnam","16.45459, 107.581703",District/Zone/Department (ADM2),Origin,Displacement without preventive evacuations reported,2025-10-27T11:10:02.343687Z,"Viet Nam: 730 displacements (evacuated), 25 October - 27 October. According to national/regional disaster authorities, a total of 730 people were evacuated in Hue City, Vietnam due to landslide/wet mass movement on 25 October Viet Nam Disaster and Dyke Management Authority (VDDMA) - 27 October 2025",,Mass Movement
