"IPC/CH numbers by country - Downloaded on: 15-2-2026"
"Country","Coverage","Phase 1","Phase 2","Phase 3","Phase 4","Phase 5","Phase 3+","Period from","Period to","IPC/CH"
"Afghanistan","100%","12,910,692","18,272,293","12,748,583","4,664,070","","17,412,653","Nov 2025","Mar 2026","IPC"
"Benin","20%","2,133,087","447,323","188,147","2,960","","191,107","Oct 2025","Dec 2025","CH"
"Burundi","93%","6,849,495","4,299,231","1,140,137","","","1,140,137","Jan 2026","Mar 2026","IPC"
"Cabo Verde","100%","394,204","82,042","37,752","","","37,752","Oct 2025","Dec 2025","CH"
"Cameroon","100%","20,099,416","6,194,078","2,871,964","249,306","","3,121,270","Oct 2025","Dec 2025","CH"
"Central African Republic","100%","1,997,502","2,641,160","1,659,522","269,211","","1,928,733","Sep 2025","Mar 2026","IPC"
"Chad","90%","12,227,264","3,915,887","1,831,960","95,621","","1,927,581","Oct 2025","Dec 2025","CH"
"Côte d'Ivoire","76%","20,438,045","3,330,136","1,023,636","9,699","","1,033,335","Oct 2025","Dec 2025","CH"
"Democratic Republic of the Congo","98%","36,832,400","53,397,354","22,739,874","3,947,779","","26,687,653","Jan 2026","Jun 2026","IPC"
"Djibouti","100%","467,216","484,802","174,969","54,693","","229,662","Jul 2025","Dec 2025","IPC"
"Eswatini","100%","460,915","500,422","244,359","14,434","","258,793","Oct 2025","Mar 2026","IPC"
"Gaza Strip","98%","","475,345","1,027,790","570,980","1,885","1,600,655","Dec 2025","Apr 2026","IPC"
"Ghana","100%","27,884,956","4,932,580","1,489,038","72,185","","1,561,223","Oct 2025","Dec 2025","CH"
"Guatemala","100%","8,220,240","6,847,275","2,763,835","248,466","","3,012,301","Feb 2026","Apr 2026","IPC"
"Guinea","84%","8,295,152","2,638,957","1,426,708","53,948","","1,480,656","Oct 2025","Dec 2025","CH"
"Haiti","100%","2,536,622","3,059,549","3,802,136","1,895,492","","5,697,628","Sep 2025","Feb 2026","IPC"
"Lesotho","64%","589,911","591,620","334,113","","","334,113","Oct 2025","Mar 2026","IPC"
"Malawi","83%","8,481,766","6,035,446","4,001,592","7,945","","4,009,537","Oct 2025","Mar 2026","IPC"
"Mali","100%","22,075,035","2,638,287","824,823","30,817","","855,640","Oct 2025","Dec 2025","CH"
"Mauritania","100%","4,176,071","1,036,606","361,004","33,115","","394,119","Oct 2025","Dec 2025","CH"
"Namibia","100%","1,157,294","1,253,174","611,932","","","611,932","Oct 2025","Mar 2026","IPC"
"Niger","96%","20,824,065","5,415,649","1,841,260","14,517","","1,855,777","Oct 2025","Dec 2025","CH"
"Nigeria","89%","104,204,933","86,515,838","26,355,367","857,567","","27,212,934","Oct 2025","Dec 2025","CH"
"Senegal","100%","16,639,064","2,430,539","491,101","13,285","","504,386","Oct 2025","Dec 2025","CH"
"Sierra Leone","100%","5,340,030","2,739,053","933,530","65,078","","998,608","Oct 2025","Dec 2025","CH"
"Somalia","100%","7,965,319","6,964,278","3,430,085","921,168","","4,351,253","Oct 2025","Dec 2025","IPC"
"South Sudan","100%","3,488,643","4,857,741","4,381,292","1,447,499","27,856","5,856,647","Dec 2025","Mar 2026","IPC"
"Sudan","98%","11,688,168","15,861,862","14,018,934","4,934,510","145,656","19,099,100","Feb 2026","May 2026","IPC"
"Togo","72%","5,009,261","1,171,968","288,383","","","288,383","Oct 2025","Dec 2025","CH"
"Yemen","100%","7,129,908","9,622,609","12,573,776","5,511,620","41,167","18,126,563","Sep 2025","Feb 2026","IPC"
"Zambia","100%","3,456,716","4,915,910","1,691,396","9,907","","1,701,303","Oct 2025","Mar 2026","IPC"
"The data combines the latest analyses by the Integrated Food Security Phase Classification (IPC) and the Cadre Harmonisé (CH),"
"initiatives that use a similar analytical approach that produces relevant, consensual, rigorous, and transparent findings on current and projected acute food insecurity."
"These figures include 31 countries (17 IPC, 14 CH) and capture all IPC and CH analyses that are presently valid."
"Country analyses with validity periods that expired within the last three months are also included."
