iso3c,land_area_km2
ABW,180
AFE,14856891.3
AFG,652230
AFW,9045773
AGO,1246700
ALB,27400
AND,470
ARB,13100570
ARE,71020
ARG,2736690
ARM,28199.44
ASM,200
ATG,440
AUS,7692020
AUT,82520
AZE,82650
BDI,25680
BEL,30494
BEN,112760
BFA,273600
BGD,129980
BGR,108560
BHR,800
BHS,10010
BIH,51200
BLR,202983
BLZ,22810
BMU,54
BOL,1083300
BRA,8358140
BRB,430
BRN,5270
BTN,38140
BWA,566730
CAF,622980
CAN,8788700
CEB,1105071.81
CHE,39509.63
CHI,198
CHL,742831.64
CHN,9388210
CIV,318000
CMR,472710
COD,2267050
COG,341500
COL,1109500
COM,1861
CPV,4030
CRI,51060
CSS,412817.61
CUB,103800
CUW,444
CYM,240
CYP,9240
CZE,77167.31
DEU,349430
DJI,23180
DMA,750
DNK,40000
DOM,48198.02
DZA,2381740
EAP,16002104.256
ECA,5907512.44
ECU,248360
EGY,995450
EMU,2836265.96
ERI,121178.2
ESP,499697.4
EST,42730
ETH,1128498.8
EUU,3988313.27
FIN,303960
FJI,18270
FRA,538950
FRO,1370
FSM,700
GAB,257670
GBR,241930
GEO,69490
GHA,227533
GIB,10
GIN,245720
GMB,10120
GNB,28120
GNQ,28050
GRC,128900
GRD,340
GRL,410450
GTM,107160
GUM,540
GUY,211140
HKG,1050
HND,111890
HPC,19409121
HRV,55960
HTI,27560
HUN,91260
IDB,4914873.91
IDN,1892555.47
IMN,570
IND,2973190
IRL,68890
IRN,1622500
IRQ,434130
ISL,100830
ISR,21640
ITA,295720
JAM,10830
JOR,88794
JPN,364569.27
KAZ,2699700
KEN,580876.3
KGZ,191800
KHM,176520
KIR,810
KNA,260
KOR,97600
KWT,17820
LAC,18773907.66
LAO,230800
LBN,10230
LBR,96320
LBY,1759540
LCA,610
LIE,160
LKA,61860
LSO,30360
LTU,62600
LUX,2574.46
LVA,62230
MAC,33
MAF,50
MAR,446300
MCO,2.084
MDA,32930
MDG,581800
MDV,298
MEA,12640239
MEX,1943950
MHL,180
MKD,25220
MLI,1220190
MLT,320
MMR,652670
MNA,10057959
MNE,13450
MNG,1558499.786
MNP,460
MOZ,786380
MRT,1030700
MUS,1997
MWI,94280
MYS,328550
NAC,17936174
NAM,823290
NCL,18280
NER,1266700
NGA,910770
NIC,120340
NLD,33670
NOR,364270
NPL,143350
NRU,20
NZL,263310
OMN,309500
OSS,274896
PAK,770880
PAN,74180
PER,1280000
PHL,298170
PLW,460
PNG,452860
POL,306270
PRI,8870
PRK,120410
PRT,91605.6
PRY,396012.03
PSE,6025
PSS,64150
PYF,3471
QAT,11490
ROU,230080
RUS,16376870
RWA,24670
SAS,3346818
SAU,2149690
SDN,1868000
SEN,192530
SGP,718
SLB,27990
SLE,72180
SLV,20720
SMR,60
SOM,627340
SRB,84090
SSD,631930
SST,751863.61
STP,960
SUR,160507.61
SVK,48080
SVN,20134.5
SWE,407270
SWZ,17200
SXM,34
SYC,460
SYR,183630
TCA,950
TCD,1259200
TEA,15882174.256
TGO,54390
THA,510890
TJK,138790
TKM,469930
TLA,19930599.3
TLS,14870
TMN,10051934
TON,720
TSA,3346818
TTO,5130
TUN,155360
TUR,769630
TUV,30
TZA,885800
UGA,200520
UKR,579400
URY,175020
USA,9147420
UZB,440650
VCT,390
VEN,882050
VGB,150
VIR,350
VNM,313429
VUT,12190
WSM,2780
YEM,527970
ZAF,1213090
ZMB,743390
ZWE,386850
