Entity,Code,Year,Agricultural irrigated land (% of total agricultural land)
Afghanistan,AFG,2001,5.6621246
Afghanistan,AFG,2002,4.617624
Afghanistan,AFG,2003,7.2642803
Afghanistan,AFG,2004,5.4998946
Afghanistan,AFG,2005,5.8390694
Afghanistan,AFG,2006,6.0854654
Afghanistan,AFG,2007,5.9397583
Afghanistan,AFG,2008,5.778563
Afghanistan,AFG,2009,4.842283
Afghanistan,AFG,2010,5.000396
Afghanistan,AFG,2011,5.391006
Afghanistan,AFG,2012,5.4649997
Afghanistan,AFG,2013,5.518333
Afghanistan,AFG,2014,5.742548
Afghanistan,AFG,2015,5.710894
Afghanistan,AFG,2016,6.4811397
Afghanistan,AFG,2017,5.990504
Afghanistan,AFG,2018,5.1223364
Afghanistan,AFG,2019,6.0063143
Afghanistan,AFG,2020,6.50693
Afghanistan,AFG,2021,6.50693
Albania,ALB,2007,17.426273
Albania,ALB,2008,9.991532
Albania,ALB,2009,16.815117
Albania,ALB,2010,17.023226
Albania,ALB,2011,17.010824
Albania,ALB,2012,17.039873
Albania,ALB,2013,17.287964
Albania,ALB,2014,12.756644
Albania,ALB,2015,13.454824
Albania,ALB,2016,14.30143
Albania,ALB,2017,14.562102
Albania,ALB,2018,14.990448
Albania,ALB,2019,15.247019
Albania,ALB,2020,15.614879
Albania,ALB,2021,16.544489
Algeria,DZA,2003,1.8092654
Algeria,DZA,2004,1.9273301
Algeria,DZA,2005,2.0018928
Algeria,DZA,2006,2.0276341
Algeria,DZA,2007,2.193833
Algeria,DZA,2008,2.0715098
Algeria,DZA,2009,2.1371193
Algeria,DZA,2010,2.381254
Algeria,DZA,2011,2.3847733
Algeria,DZA,2012,2.5192406
Algeria,DZA,2013,2.6296332
Algeria,DZA,2014,2.7425334
Algeria,DZA,2015,2.9314196
Algeria,DZA,2016,3.047635
Algeria,DZA,2017,3.1604125
Algeria,DZA,2019,3.3446548
Argentina,ARG,2002,1.0535312
Argentina,ARG,2018,1.1995747
Armenia,ARM,2006,8.762241
Armenia,ARM,2007,8.824704
Armenia,ARM,2008,8.906679
Armenia,ARM,2009,8.9217205
Armenia,ARM,2010,8.945245
