Id,Name
593,Rice (milled  superior)
1257,Cheese (white)
925,Turmeric
238,Milk (powder)
1234,Fish (utaka)
355,Groundnuts (Mix)
570,Bread (traditional)
687,Potatoes (local)
1211,Bean (mung  dry)
215,Sugar (brown  loaf)
710,Tomatoes (navrongo)
879,Bleach (chlorine)
547,Bulgur (brown)
401,Fish (fresh)
524,Pineapples
1065,Chili (whole  dry  Indian LC)
733,Plantains (dominico  green)
192,Meat (pork  first quality)
1188,Fish (emperors  fresh)
856,Meat (pork  with bones)
92,Eggs
1094,Mangoes (Burmese)
756,Oil (vegetable  bulk)
430,Eggs (local)
501,Beans (sugar  biofortified)
1117,Rice (BRRI-14)
779,Teff (Sergegna)
209,Coffee (instant)
802,Fish (mullet  catfish)
384,Bread (pita)
138,Poultry
971,Chili (Jungli)
161,Peas (split  dry)
284,Fuel (diesel)
1071,Cucumber (short  khira)
825,Eggplants (local)
407,Guava
948,Beans (white  long)
1251,Almonds
1002,Underwear
1263,Beverage mix powder (fortified  Cerelac)
919,Coriander (wild)
576,Meat (gazelle  smoked)
361,Livestock (sheep  two-year-old male)
564,Beans (black  Nayarit)
908,Antibiotics (local)
1297,Spinach (malabar)
965,Coriander
315,Lemons
610,Peas
278,Bread (bakery)
762,Yam (dry)
424,Peas (yellow  split)
169,Cornstarch
1011,Beans (white  North)
175,Tea (black)
418,Beans (butter)
324,Onions (local)
1105,Oil (soybean  fortified  Pusti)
1111,Onions (imported  Myanmar)
816,Livestock (ox)
716,Watermelons
221,Maize meal (white  first grade)
470,Yeast
1303,Meat (chicken  farm)
1157,Vermicelli (Pran)
862,Fish (slipmouth)
344,Meat (camel)
842,Bitter melon
1197,Wheat flour (Turkey)
699,Straw
865,Fish (frigate tuna)
201,Sorghum (imported)
1054,Apples (royal gala)
1128,Salt (iodized  ACI)
793,Cooking fat
464,Meat (sheep)
722,Disinfecting solution
438,Rice (broken  imported)
181,Cabbage
673,Pasta (macaroni)
507,Livestock (sheep  medium-sized male)
679,Fish (jack)
750,Eggs (broiler)
1148,Turmeric (powder  Bashundhara)
1271,Rice (Pyzam)
158,Maize (imported)
773,Sorghum (mixed)
1314,Oat
109,Meat
607,Cheese (low-fat)
1320,Beans (new harvest)
822,Salt (local)
556,Fish (lates dry imported)
1220,Kale (chinese)
458,Beans (green  fresh)
