country,assessment_year,ipc_phase,population_phase3_plus,population_phase4_plus,population_phase5,primary_driver,secondary_driver
Afghanistan,2024,NA,33900000,NA,NA,NA,NA
Angola,2020,5,14500000,NA,NA,NA,NA
Bangladesh,2024,NA,25600000,NA,NA,NA,NA
Benin,2024,NA,2600000,NA,NA,NA,NA
Burundi,2025,5,7000000,NA,NA,NA,NA
Central African Republic,2024,NA,17000000,NA,NA,NA,NA
Cameroon,2023,3,15800000,NA,NA,NA,NA
Republic of the Congo,2024,4,NA,NA,NA,NA,NA
Democratic Republic of the Congo,2024,NA,59000000,NA,NA,NA,NA
Djibouti,2024,3,5300000,NA,NA,NA,NA
Eritrea,2025,NA,1300000,NA,NA,NA,NA
Ethiopia,2025,5,14400000,NA,NA,Conflict,NA
Gaza,2024,5,NA,NA,NA,NA,NA
Guatemala,2025,5,1100000,NA,NA,Conflict,NA
Guinea,2024,5,7900000,NA,NA,Conflict,NA
Guinea-Bissau,2024,5,7900000,NA,NA,Conflict,NA
Haiti,2024,4,NA,NA,NA,NA,NA
Honduras,2024,5,4099999.999999999,NA,NA,Conflict,NA
Iraq,2024,3,1000000,NA,NA,NA,NA
Jordan,2024,5,14400000,NA,NA,Conflict,NA
Kenya,2023,5,30400000,NA,NA,Climate,NA
Lebanon,2023,NA,13700000,NA,NA,NA,NA
Liberia,2024,3,NA,NA,NA,NA,NA
Libya,2024,3,NA,NA,NA,NA,NA
Madagascar,2023,5,NA,NA,NA,Conflict,NA
Mali,2024,5,4099999.999999999,NA,NA,NA,NA
Mauritania,2023,NA,95300000,NA,NA,NA,NA
Moldova,2024,NA,4200000,NA,NA,NA,NA
Mozambique,2024,NA,12000000,NA,NA,NA,NA
Myanmar,2024,NA,33900000,NA,NA,NA,NA
Nicaragua,2024,NA,3000000,NA,NA,NA,NA
Niger,2024,3,15800000,NA,NA,NA,NA
Nigeria,2023,4,35100000,NA,NA,NA,NA
Pakistan,2024,NA,33900000,NA,NA,NA,NA
Palestine,2023,3,15800000,NA,NA,NA,NA
Peru,2024,NA,8400000,NA,NA,NA,NA
Rwanda,2024,NA,1000000,NA,NA,NA,NA
Senegal,2023,NA,9700000,NA,NA,NA,NA
Somalia,2024,NA,9700000,NA,NA,NA,NA
Sudan,2024,5,NA,NA,NA,NA,NA
Syria,2024,NA,2500000,NA,NA,Conflict,NA
Tanzania,2024,NA,8900000,NA,NA,NA,NA
Togo,2024,NA,6900000,NA,NA,Climate,NA
Uganda,2023,5,NA,NA,NA,NA,NA
Ukraine,2023,5,30400000,NA,NA,Climate,NA
Venezuela,2024,NA,9900000,NA,NA,NA,NA
Yemen,2023,NA,25600000,NA,NA,NA,NA
Zambia,2024,3,33000000,NA,NA,NA,NA
