MarketId,Country,Admin 1,Admin 2,Market Name,Latitude,Longitude,Population
3690,Afghanistan,Badakhshan,Argo,Badakhshan,37.0378,70.4562,23852
3220,Afghanistan,Badghis,Jawand,Badghis,35.137,63.7345,1
3221,Afghanistan,Baghlan,Dushi,Baghlan,35.8045,68.9142,1
3691,Afghanistan,Balkh,Nahr-e- Shahi,Balkh,36.6699,67.0784,193219
268,Afghanistan,Bamyan,Bamyan,Bamyan,34.8242,67.8217,69670
3692,Afghanistan,Daykundi,Shahristan,Daykundi,33.7064,66.2205,862
3222,Afghanistan,Farah,Khak-e-Safed,Farah,32.6084,62.3018,487
3693,Afghanistan,Faryab,Khwaja Sabzposh,Faryab,36.0602,64.8693,75254
266,Afghanistan,Badakhshan,Faiz Abad,Fayzabad,37.1166,70.58,94559
274,Afghanistan,Paktya,Gardez,Gardez,33.5994,69.2253,57520
3223,Afghanistan,Ghazni,Qarabagh,Ghazni,33.3157,67.8112,770
276,Afghanistan,Ghor,Chaghcharan,Ghor,34.5228,65.253,21116
3224,Afghanistan,Hilmand,Garm Ser,Hilmand,31.1545,64.0471,1
270,Afghanistan,Hirat,Hirat,Hirat,34.3469,62.1983,320125
273,Afghanistan,Nangarhar,Jalalabad,Jalalabad,34.4261,70.4514,422496
3225,Afghanistan,Jawzjan,Khwaja Du Koh,Jawzjan,36.8294,65.8541,1464
271,Afghanistan,Kabul,Kabul,Kabul,34.5167,69.1833,1692702
272,Afghanistan,Kandahar,Kandahar,Kandahar,31.6125,65.7094,395324
3226,Afghanistan,Kapisa,Nejrab,Kapisa,34.9629,69.6226,106126
3227,Afghanistan,Khost,Khost,Khost,33.3773,69.8336,28874
3228,Afghanistan,Kunar,Wata Pur,Kunar,34.966,71.094,31897
3229,Afghanistan,Kunduz,Kunduz,Kunduz,36.8432,68.7465,13074
3230,Afghanistan,Laghman,Alishang,Laghman,34.7642,70.1597,11999
3231,Afghanistan,Logar,Khoshi,Logar,34.0135,69.1685,27493
3232,Afghanistan,Wardak,Hesa Awal-e- Behsud,Maidan Wardak,34.3032,68.2177,3840
269,Afghanistan,Faryab,Maymana,Maymana,35.9214,64.7836,160447
267,Afghanistan,Balkh,Mazar-e-Sharif,Mazar,36.7251,67.1096,515700
3694,Afghanistan,Nangarhar,Rodat,Nangarhar,34.2736,70.4757,6440
275,Afghanistan,Daykundi,Nili,Nili,33.71,66.11,23229
3233,Afghanistan,Nimroz,Chahar Burjak,Nimroz,30.8023,62.3188,1
3234,Afghanistan,Nuristan,Poruns,Nuristan,35.4169,70.7884,1
3235,Afghanistan,Paktika,Gomal,Paktika,32.4769,68.7438,1196
3695,Afghanistan,Paktya,Sayed Karam,Paktya,33.632,69.3883,5385
3236,Afghanistan,Panjsher,Khenj,Panjsher,35.4456,69.7946,1626
3237,Afghanistan,Parwan,Syah Gerd,Parwan,34.9583,68.8861,35044
3238,Afghanistan,Samangan,Khuram wa Sarbagh,Samangan,35.9725,67.7025,1
3239,Afghanistan,Sar-e-pul,Kohistanat,Sar-e-Pul,35.7145,66.1389,1
3240,Afghanistan,Takhar,Taloqan,Takhar,36.7015,69.7788,1
