region_name,region_code,country_name,country_code,reporting_year,reporting_level,survey_acronym,survey_coverage,survey_year,welfare_type,survey_comparability,comparable_spell,poverty_line,headcount,poverty_gap,poverty_severity,watts,mean,median,mld,gini,polarization,decile1,decile2,decile3,decile4,decile5,decile6,decile7,decile8,decile9,decile10,cpi,ppp,reporting_pop,reporting_gdp,reporting_pce,is_interpolated,distribution_type,estimation_type,spl,spr,pg,estimate_type
Sub-Saharan Africa,SSF,Angola,AGO,2000,national,HBS,national,2000.21,consumption,0,2000,10,0.769139744194,0.433468423659,0.294130608546,0.819765589301,8.380260818148,5.300380176781,0.509491939708,0.519451484671,0.464338921627,0.009909980207,0.0219869815,0.03341620371,0.045094892089,0.056466057717,0.070482036374,0.088172535796,0.113397686461,0.159391666238,0.401681959907,0.006580984963,203.688736,16310860.19000002,1932.98847886814,,FALSE,micro,survey,3.95,0.371469199428,9.609202419738,
Sub-Saharan Africa,SSF,Angola,AGO,2008,national,IBEP-MICS,national,2008.5,consumption,1,2008,10,0.784107874089,0.419456589916,0.265238286604,0.70882400263,7.401681958898,5.334157887253,0.311631502322,0.427155149878,0.391365249698,0.020722704667,0.033564171517,0.043176167923,0.053027305776,0.065425990436,0.07923758155,0.096511887757,0.122976103307,0.162341588705,0.323016498362,0.140636450449,203.688736,21996714,3193.28772270836,1268.61427771768,FALSE,micro,survey,3.967,0.353358036083,6.838755591522,
Sub-Saharan Africa,SSF,Angola,AGO,2018,national,IDREA,national,2018.17,consumption,2,2018,10,0.858376595137,0.528766049333,0.376314420684,1.02164725309,6.218052215342,3.879510321885,0.476374936333,0.512642889911,0.470981518706,0.013346549476,0.024281606136,0.033329520437,0.04343721255,0.055829117464,0.069809076858,0.088693035002,0.115676119744,0.159380394157,0.396217368175,0.571606030528,203.688736,31480496.090000078,2775.74642272991,1605.11043188927,FALSE,micro,survey,3.24,0.421619033034,10.964242149646,
Europe & Central Asia,ECS,Albania,ALB,1996,national,EWS,national,1996,consumption,0,1996,10,0.715901398019,0.266195240852,0.126458346004,0.37251111592,8.442032597856,7.419330486853,0.119104326584,0.270103419751,0.241293272375,0.038817883466,0.052792297005,0.063706566514,0.075240257439,0.083462238153,0.092457305123,0.107789612861,0.126116176356,0.152507706392,0.207109956691,0.372476609889,50.77230453,3168033,1683.76965547424,1522.87187313081,FALSE,micro,survey,5.01,0.203901936695,4.209428087499,
Europe & Central Asia,ECS,Albania,ALB,2002,national,LSMS,national,2002,consumption,1,2002 - 2012,10,0.731792429986,0.289664571259,0.143990134325,0.414265505052,8.628333842451,7.117154480994,0.164811599639,0.317389798335,0.268981638919,0.03523453383,0.048484450621,0.058520715358,0.067376298306,0.076407873319,0.088384438922,0.102324653414,0.119868981708,0.149999215591,0.253398838931,0.653954785413,50.77230453,3051010,2297.10853513924,1572.29545989804,FALSE,micro,survey,4.859,0.224403964013,4.429309760589,
Europe & Central Asia,ECS,Albania,ALB,2005,national,LSMS,national,2005,consumption,1,2002 - 2012,10,0.644111401754,0.227526514545,0.105784383565,0.316175518479,9.753929077406,8.300111388607,0.154412756483,0.305956557281,0.254528656817,0.034870461608,0.049362953423,0.059658204008,0.06935465629,0.079654226763,0.090390907976,0.104065136108,0.121028738588,0.148298449437,0.243316265798,0.702719968891,50.77230453,3011487,2712.86983830331,1969.24169374881,FALSE,micro,survey,5.45,0.209975050749,3.860996724759,
Europe & Central Asia,ECS,Albania,ALB,2008,national,LSMS,national,2008,consumption,1,2002 - 2012,10,0.58716165543,0.185880549093,0.078678680136,0.248010668959,10.682071072609,8.939033294419,0.148893380953,0.299846704223,0.247311112608,0.037382980864,0.051433949416,0.06098501954,0.069847255057,0.079011325561,0.089379472656,0.102883019772,0.119204651405,0.145468019414,0.244404306315,0.764380297643,50.77230453,2947314,3345.98161761476,2735.22412768351,FALSE,micro,survey,5.77,0.172609817066,3.450627986226,
Europe & Central Asia,ECS,Albania,ALB,2012,national,LSMS,national,2012,consumption,1,2002 - 2012,10,0.603900654883,0.201306838385,0.089415461675,0.274784868785,10.127717460025,8.768967217716,0.138417068042,0.289604845586,0.249987920799,0.036604352903,0.05192535994,0.06146082609,0.070334993378,0.080799744944,0.092617752259,0.105133410116,0.122924903997,0.148902113141,0.229296543231,0.854852362972,50.77230453,2900401,3720.22876474985,2875.74071620565,FALSE,micro,survey,5.684,0.189182046934,3.634575084492,
Europe & Central Asia,ECS,Albania,ALB,2014,national,HBS,national,2014,consumption,2,2014 - 2017,10,0.573649057244,0.222881674202,0.112051140804,0.321291227323,10.791827595527,8.82748513478,0.198661566313,0.345988964668,0.324309701504,0.028540807069,0.041743442246,0.052298414672,0.063048669594,0.075132675589,0.089338199414,0.105912036203,0.127275531103,0.161268536997,0.255441687113,0.88558423100500006,50.77230453,2889104,3883.63262828191,3030.08514575557,FALSE,micro,survey,5.714,0.254353267216,3.839190183545,
Europe & Central Asia,ECS,Albania,ALB,2015,national,HBS,national,2015,consumption,2,2014 - 2017,10,0.4540834387,0.143622976832,0.062039523861,0.193519444005,13.030741705777,10.687345414637,0.175495470024,0.327537317764,0.300363766021,0.031547363603,0.045467807624,0.055666923442,0.065791515741,0.076198266328,0.088866304853,0.104759011687,0.125259420386,0.158704782985,0.247738603351,0.902376435378,50.77230453,2880703,3981.72662261867,3090.92503415278,FALSE,micro,survey,6.644,0.202021192002,3.029822473087,
Europe & Central Asia,ECS,Albania,ALB,2016,national,HBS,national,2016,consumption,2,2014 - 2017,10,0.448661052073,0.146520374269,0.064954347771,0.199545929872,13.335877223746,10.934010954805,0.187580582292,0.337362987161,0.314380353846,0.029695862687,0.043512687517,0.054228763657,0.064288082889,0.075197730428,0.0889670339,0.105207039694,0.127040351202,0.161402136552,0.250460311474,0.913885667108,50.77230453,2876101,4143.98988316994,3220.90448171056,FALSE,micro,survey,6.767,0.214639823016,3.038517368418,
Europe & Central Asia,ECS,Albania,ALB,2016,national,SILC-C,national,2016,income,4,2016 - 2018,10,0.58568304651,0.257119731811,0.14848981103,0.418304772249,10.582676521098,8.656101962164,0.273720042766,0.385655742935,0.350360081835,0.018382740654,0.034852508503,0.047918269233,0.060813779672,0.073589767184,0.088671505842,0.105685434976,0.129208138588,0.166303124233,0.274574731115,0.913885667108,50.77230453,2876101,4143.98988316994,3220.90448171056,FALSE,micro,survey,5.628,0.294915683617,4.95816415233,
Europe & Central Asia,ECS,Albania,ALB,2017,national,HBS,national,2017,consumption,2,2014 - 2017,10,0.447216733778,0.14372877694,0.062824012577,0.19494565935,13.207340743472,10.841160205019,0.179908465048,0.330556627407,0.30852226484,0.030917738243,0.044587989906,0.05479103517,0.065082411437,0.076048935567,0.089085788241,0.10544002958,0.127174153392,0.160816011147,0.246055907316,0.932041474444,50.77230453,2873457,4283.98262744437,3234.62551148585,FALSE,micro,survey,6.721,0.209629291444,3.028759544798,
Europe & Central Asia,ECS,Albania,ALB,2017,national,SILC-C,national,2017,income,4,2016 - 2018,10,0.545986971726,0.229985917742,0.130373991666,0.369142376858,11.078832396219,9.263284523649,0.254174929513,0.370951266866,0.332536623841,0.018980408536,0.036448518775,0.05009209566,0.063295776352,0.076485841442,0.090747059562,0.106507626353,0.129066837452,0.163898014246,0.264477821621,0.932041474444,50.77230453,2873457,4283.98262744437,3234.62551148585,FALSE,micro,survey,5.932,0.276048543856,4.54555479361,
Europe & Central Asia,ECS,Albania,ALB,2018,national,HBS,national,2018,consumption,3,2018 - 2020,10,0.347956316548,0.104553881194,0.044686261005,0.140597699952,14.170698885466,12.386626322638,0.15240441423,0.301482817366,0.265930116378,0.03170735814,0.04767776553,0.059737454217,0.070730734084,0.081340950257,0.093449785837,0.107498982472,0.12595946171,0.154551693206,0.227345814547,0.950943790128,50.77230453,2866376,4452.23714652476,3337.68948504582,FALSE,micro,survey,7.493,0.190251438344,2.701914762791,
Europe & Central Asia,ECS,Albania,ALB,2018,national,SILC-C,national,2018,income,4,2016 - 2018,10,0.514822348369,0.207148740629,0.112501132385,0.320517452861,11.596248899589,9.789741718687,0.233051287027,0.359887519014,0.319245032793,0.021491020968,0.038550208415,0.051452788906,0.063934622067,0.077324684924,0.091300762542,0.10673536695,0.126765476848,0.162682972132,0.259762096249,0.950943790128,50.77230453,2866376,4452.23714652476,3337.68948504582,FALSE,micro,survey,6.195,0.264003919338,4.062998714908,
Europe & Central Asia,ECS,Albania,ALB,2019,national,HBS,national,2019,consumption,3,2018 - 2020,10,0.340349145883,0.088353374961,0.033502313792,0.113638627118,14.631818313763,12.356349056157,0.147458801983,0.301157683046,0.26233387494,0.035359825851,0.049783410355,0.0602168921,0.069455849736,0.079254147027,0.090381969098,0.103833307577,0.123283361139,0.152291703854,0.236139533262,0.964362461538,50.77230453,2854191,4563.4673625169,3460.23931054664,FALSE,micro,survey,7.478,0.162653803846,2.551434412982,
Europe & Central Asia,ECS,Albania,ALB,2020,national,HBS,national,2020,consumption,3,2018 - 2020,10,0.310546876138,0.084317661422,0.033138395759,0.109981104463,14.847157669537,12.8386012525,0.142736285972,0.294196298171,0.256354313245,0.034180198398,0.050261743249,0.060896200226,0.071092496205,0.08109745104,0.092200084527,0.105630868773,0.124418394428,0.152666423481,0.227556139673,0.979993712248,50.77230453,2837849,4437.65346927974,3285.1820685966,FALSE,micro,survey,7.719,0.164397297904,2.512495131662,
"Middle East, North Africa, Afghanistan & Pakistan",MEA,United Arab Emirates,ARE,2013,national,HIES,national,2013.42,income,0,2013 - 2018,10,0,0,0,0,74.662923281709,67.132309287567,0.192562087876,0.325104208858,0.323312353906,0.023497326715,0.038642840655,0.053066228261,0.06738315328,0.082186395891,0.098176619988,0.11635509094,0.138427579795,0.167911609882,0.214353154593,0.922829019416,2.727601767,7846922.780000027,43269.8404678577,17532.9609241505,FALSE,group,survey,34.866,0.20541,0.574808842861,
"Middle East, North Africa, Afghanistan & Pakistan",MEA,United Arab Emirates,ARE,2018,national,HIES,national,2018,income,0,2013 - 2018,10,0.00996,0.002381775767,7.69325226e-4,0.002901538657,81.180980223599,76.518792101989,0.135325418399,0.263990043944,0.206274012308,0.028349685726,0.053640054156,0.068373005876,0.079582257661,0.089456065811,0.099174768633,0.109823265722,0.123123811597,0.143671643942,0.204805440877,1.039474411567,2.727601767,9346701,42679.75191193,17469.8341180654,FALSE,group,survey,39.559,0.12204,0.485331062752,
Latin America & Caribbean,LCN,Argentina,ARG,1980,urban,EPH,urban,1980,income,0,1980 - 1991,10,0.11206,0.029016910256,0.01011830072,0.036065383282,35.479446616861,27.129506533315,0.287917587121,0.408308603303,0.372918597327,0.020098563654,0.032864354828,0.044929877051,0.056978585226,0.069689033571,0.083945640613,0.10122462704,0.124679981781,0.163835630394,0.301753705842,0.012632220455,42.98624039,23217972,10275.7987023886,,FALSE,group,survey,14.865,0.22458,1.394109201098,
Latin America & Caribbean,LCN,Argentina,ARG,1986,urban,EPH,urban,1986,income,0,1980 - 1991,10,0.088491244737,0.032197375098,0.019560318412,0.068373533451,38.426751195005,27.716040649895,0.346515881656,0.427975056465,0.384633955475,0.017775245166,0.033569337319,0.043552513928,0.055175765396,0.066639816972,0.0798478296,0.097334433922,0.120926932774,0.163270049848,0.321908075075,0.003237793432,42.98624039,26327296,9378.46866394349,,FALSE,micro,survey,15.158,0.215938857374,2.397319418771,
Latin America & Caribbean,LCN,Argentina,ARG,1987,urban,EPH,urban,1987,income,0,1980 - 1991,10,0.133294425921,0.04779181525,0.025615833889,0.084285280486,35.124087320527,24.429858973032,0.380762302035,0.452672895742,0.410318438801,0.015683744926,0.030154684975,0.041190907448,0.051914356101,0.06345038962,0.077232987499,0.095154653674,0.119496158631,0.163303275445,0.342418841682,0.007490139479,42.98624039,26861787,9484.45876638052,,FALSE,micro,survey,13.515,0.228090952217,2.362485903708,
Latin America & Caribbean,LCN,Argentina,ARG,1991,urban,EPH,urban,1991,income,0,1980 - 1991,10,0.237812095187,0.082758556933,0.040460200724,0.126324423374,24.924353573378,16.514070017826,0.388671225728,0.467542730349,0.405788983706,0.017507449463,0.03055301594,0.040586253526,0.049992469453,0.060608696314,0.07238894704,0.088960182082,0.114114858166,0.159224444297,0.366063683719,75.689004088849,42.98624039,29019351,8729.82318518892,,FALSE,micro,survey,9.557,0.224134033357,2.67273790868,
Latin America & Caribbean,LCN,Argentina,ARG,1992,urban,EPH,urban,1992,income,1,1992 - 1997,10,0.246063014757,0.086599935157,0.045315001942,0.143383075917,25.136711188063,17.27111197261,0.380590133935,0.454548422205,0.427533049052,0.016106317184,0.030003139753,0.04070203877,0.051215941093,0.062101474557,0.076568848325,0.09413032129,0.120722265466,0.165611009654,0.342838643907,0.008930437792,42.98624039,29495987,9293.18692251748,,FALSE,micro,survey,9.936,0.241368140031,3.056260313005,
Latin America & Caribbean,LCN,Argentina,ARG,1993,urban,EPH,urban,1993,income,1,1992 - 1997,10,0.238797591985,0.089921100691,0.049065565348,0.151079028425,25.189574506685,17.6520371685,0.377574842087,0.448430965506,0.421860325064,0.014935487413,0.029657409574,0.040989268328,0.052187865887,0.064167877386,0.078969886139,0.096698282733,0.123451698537,0.167092132279,0.331850091724,0.009722700908,42.98624039,29969692,9920.67358582437,6116.87888674423,FALSE,micro,survey,10.126,0.242962649882,3.084788729417,
Latin America & Caribbean,LCN,Argentina,ARG,1994,urban,EPH,urban,1994,income,1,1992 - 1997,10,0.248516920228,0.095064546495,0.051061458089,0.161587572363,24.88627255791,17.068841837318,0.396114142835,0.458980401029,0.427191865773,0.015096901864,0.028806027721,0.039567104709,0.050678223284,0.063134824081,0.077171894131,0.094989224056,0.121058331831,0.165160664695,0.344336803628,0.01008178386,42.98624039,30446027,10359.8927204871,6401.70726807443,FALSE,micro,survey,9.834,0.247007816923,3.387769846736,
Latin America & Caribbean,LCN,Argentina,ARG,1995,urban,EPH,urban,1995,income,1,1992 - 1997,10,0.30458579221,0.123565100523,0.072226788052,0.221489923701,23.641156783668,15.778318429209,0.461284098476,0.488780965104,0.447631993148,0.0115024114,0.026301477462,0.03685284973,0.047332987641,0.059122060583,0.073580127938,0.090705079171,0.116850645112,0.168141262093,0.36961109887,0.01030047225,42.98624039,30919132,9934.10776139515,6041.77397967512,FALSE,micro,survey,9.189,0.267953652601,4.164076339978,
