Country,FAO_Data,WorldBank_Data,WFP_Data,EMDAT_Data,WPR_Data,Total_Sources,Missing_Sources
Bahamas,TRUE,FALSE,FALSE,FALSE,FALSE,1,4
"China, Hong Kong SAR",TRUE,FALSE,FALSE,FALSE,FALSE,1,4
"China, Macao SAR",TRUE,FALSE,FALSE,FALSE,FALSE,1,4
"China, mainland",TRUE,FALSE,FALSE,FALSE,FALSE,1,4
"China, Taiwan Province of",TRUE,FALSE,FALSE,FALSE,FALSE,1,4
Cook Islands,TRUE,FALSE,FALSE,FALSE,FALSE,1,4
Democratic People's Republic of Korea,TRUE,FALSE,FALSE,FALSE,FALSE,1,4
Micronesia (Federated States of),TRUE,FALSE,FALSE,FALSE,FALSE,1,4
Netherlands (Kingdom of the),TRUE,FALSE,FALSE,FALSE,FALSE,1,4
Niue,TRUE,FALSE,FALSE,FALSE,FALSE,1,4
Palestine,TRUE,FALSE,FALSE,FALSE,FALSE,1,4
Puerto Rico,TRUE,FALSE,FALSE,FALSE,FALSE,1,4
Republic of Korea,TRUE,FALSE,FALSE,FALSE,FALSE,1,4
Saint Kitts and Nevis,TRUE,FALSE,FALSE,FALSE,FALSE,1,4
Saint Lucia,TRUE,FALSE,FALSE,FALSE,FALSE,1,4
Saint Vincent and the Grenadines,TRUE,FALSE,FALSE,FALSE,FALSE,1,4
Slovakia,TRUE,FALSE,FALSE,FALSE,FALSE,1,4
Tokelau,TRUE,FALSE,FALSE,FALSE,FALSE,1,4
Türkiye,TRUE,FALSE,FALSE,FALSE,FALSE,1,4
United Kingdom of Great Britain and Northern Ireland,TRUE,FALSE,FALSE,FALSE,FALSE,1,4
United States of America,TRUE,FALSE,FALSE,FALSE,FALSE,1,4
Venezuela (Bolivarian Republic of),TRUE,FALSE,FALSE,FALSE,FALSE,1,4
Cape Verde,FALSE,FALSE,TRUE,FALSE,FALSE,1,4
Gaza,FALSE,FALSE,TRUE,FALSE,FALSE,1,4
Turkey,FALSE,FALSE,TRUE,FALSE,FALSE,1,4
Venezuela,FALSE,FALSE,TRUE,FALSE,FALSE,1,4
West Bank,FALSE,FALSE,TRUE,FALSE,FALSE,1,4
Bolivia (Plurinational State of),TRUE,FALSE,TRUE,FALSE,FALSE,2,3
Congo,TRUE,FALSE,TRUE,FALSE,FALSE,2,3
Côte d'Ivoire,TRUE,FALSE,TRUE,FALSE,FALSE,2,3
Democratic Republic of the Congo,TRUE,FALSE,TRUE,FALSE,FALSE,2,3
Egypt,TRUE,FALSE,TRUE,FALSE,FALSE,2,3
Gambia,TRUE,FALSE,TRUE,FALSE,FALSE,2,3
Iran (Islamic Republic of),TRUE,FALSE,TRUE,FALSE,FALSE,2,3
Kyrgyzstan,TRUE,FALSE,TRUE,FALSE,FALSE,2,3
Lao People's Democratic Republic,TRUE,FALSE,TRUE,FALSE,FALSE,2,3
Republic of Moldova,TRUE,FALSE,TRUE,FALSE,FALSE,2,3
Somalia,TRUE,FALSE,TRUE,FALSE,FALSE,2,3
United Republic of Tanzania,TRUE,FALSE,TRUE,FALSE,FALSE,2,3
Yemen,TRUE,FALSE,TRUE,FALSE,FALSE,2,3
Africa Eastern and Southern,FALSE,TRUE,FALSE,TRUE,FALSE,2,3
Africa Western and Central,FALSE,TRUE,FALSE,TRUE,FALSE,2,3
Arab World,FALSE,TRUE,FALSE,TRUE,FALSE,2,3
Aruba,FALSE,TRUE,FALSE,TRUE,FALSE,2,3
"Bahamas, The",FALSE,TRUE,FALSE,TRUE,FALSE,2,3
Bolivia,FALSE,TRUE,FALSE,TRUE,FALSE,2,3
British Virgin Islands,FALSE,TRUE,FALSE,TRUE,FALSE,2,3
Caribbean small states,FALSE,TRUE,FALSE,TRUE,FALSE,2,3
Cayman Islands,FALSE,TRUE,FALSE,TRUE,FALSE,2,3
Central Europe and the Baltics,FALSE,TRUE,FALSE,TRUE,FALSE,2,3
Channel Islands,FALSE,TRUE,FALSE,TRUE,FALSE,2,3
"Congo, Dem. Rep.",FALSE,TRUE,FALSE,TRUE,FALSE,2,3
"Congo, Rep.",FALSE,TRUE,FALSE,TRUE,FALSE,2,3
Cote d'Ivoire,FALSE,TRUE,FALSE,TRUE,FALSE,2,3
Curacao,FALSE,TRUE,FALSE,TRUE,FALSE,2,3
Early-demographic dividend,FALSE,TRUE,FALSE,TRUE,FALSE,2,3
East Asia & Pacific,FALSE,TRUE,FALSE,TRUE,FALSE,2,3
East Asia & Pacific (excluding high income),FALSE,TRUE,FALSE,TRUE,FALSE,2,3
East Asia & Pacific (IDA & IBRD countries),FALSE,TRUE,FALSE,TRUE,FALSE,2,3
"Egypt, Arab Rep.",FALSE,TRUE,FALSE,TRUE,FALSE,2,3
Euro area,FALSE,TRUE,FALSE,TRUE,FALSE,2,3
Europe & Central Asia,FALSE,TRUE,FALSE,TRUE,FALSE,2,3
Europe & Central Asia (excluding high income),FALSE,TRUE,FALSE,TRUE,FALSE,2,3
Europe & Central Asia (IDA & IBRD countries),FALSE,TRUE,FALSE,TRUE,FALSE,2,3
European Union,FALSE,TRUE,FALSE,TRUE,FALSE,2,3
