predictor,label,n,estimate,std_error,p_value,r_squared,r_squared_adj,beta_std,note
poverty_display,Poverty (% below line; WB or OWID coalesced),155,0.02620204141515317,0.031910371658095224,0.41285912119238277,0.004387382450060399,-0.0021198895600698098,0.06623731916420225,NA
gdp_per_capita,GDP per capita (current US$),188,-2.0333051030481036e-5,1.8105868292732186e-5,0.2628811681086774,0.006734706964522061,0.0013945709804603634,-0.0820652604000137,NA
life_expectancy,Life expectancy at birth (years),203,-0.0927586570185448,0.08181353877328529,0.25823675674671914,0.00635468285415375,0.001411173813627098,-0.07971626467762866,NA
stunting_rate,"Child stunting rate (WHO, %)",148,-0.006772668061553732,0.055668398248787235,0.9033348600602972,1.0136902011785702e-4,-0.006747251740018445,-0.010068218318940851,NA
climate_vulnerability_index,Climate vulnerability index (0–100 scale),164,4.043970266402941,7.331945828661298,0.5820133647712326,0.0018743367476223495,-0.004286932778626795,0.04329361093305065,NA
conflict_ord,Conflict intensity (ordinal 0–4: none → very high),156,0.3510747462325607,0.5776885937428736,0.544266221466966,0.0023924924936007696,-0.004085478334362902,0.04891311167366857,NA
mho_for_reg,Major hunger outbreak 21st century (0/1; NA→FALSE for regression),203,2.142215083152757,2.168017540025205,0.32429231877026354,0.004833926771778625,-1.1714821940667086e-4,0.06952644656372571,NA
grfc_ipc_phase,WFP GRFC IPC phase (numeric),55,-0.32727950471540984,1.0708051532735714,0.7610770033359407,0.0017594464482621698,-0.017075280977242313,-0.041945756022059834,NA
avg_import_share,Avg food import share (0–1),61,12.791734020559396,9.202272747954032,0.16973231398372657,0.031711826333087126,0.015300162372630988,0.17807814670275274,NA
food_supply_kcal,Food supply (kcal/cap/day),171,-5.315411983362427e-4,0.0013107696614708723,0.6856094196260893,9.721023925621303e-4,-0.004939305285588391,-0.03117855661447687,NA
water_per_capita,Renewable water per capita (m³/yr),163,5.746726839014574e-6,1.395348221427176e-5,0.6809979388464821,0.0010524287930920348,-0.005152214506329633,0.03244115893571056,NA
displaced_pct,Displaced persons (% of population),155,0.09669788138795722,0.19467464789596747,0.6201027492681479,0.0016099927373868462,-0.004915432146682441,0.04012471479508409,NA
